dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,gender
78,16,62,78,78,31,78,125,63,78,62,63,125,15,78,93,0,1
31,172,0,78,62,110,250,844,31,109,94,63,125,47,63,32,78,1
156,0,93,109,109,32,171,171,109,63,156,375,156,47,78,16,47,1
62,16,63,47,94,93,47,110,109,94,93,78,78,47,125,109,62,1
47,31,63,78,109,32,171,94,125,62,125,375,156,47,78,16,94,1
125,15,78,93,93,94,78,78,63,141,78,63,94,78,94,16,78,1
187,16,94,63,78,31,63,0,94,94,93,110,110,93,78,93,78,1
78,31,78,78,93,94,78,94,63,109,79,63,94,78,94,16,78,1
125,172,109,109,109,250,78,78,78,125,62,110,47,156,79,265,63,1
110,359,78,78,78,219,93,94,78,62,109,63,78,109,79,94,93,1
94,313,63,94,109,250,78,93,94,94,109,110,47,156,79,265,93,1
63,94,47,63,63,93,156,156,63,78,141,73,78,31,125,15,78,1
62,16,63,63,47,16,47,0,656,62,78,63,140,0,63,110,31,1
78,31,78,62,63,93,156,0,94,94,78,73,78,31,125,15,78,1
109,16,109,47,47,391,438,438,46,78,110,78,109,125,109,16,15,1
94,0,78,94,78,141,78,0,46,31,63,78,125,31,62,94,32,1
78,109,94,78,47,391,438,0,94,110,0,78,109,125,109,16,94,1
125,31,125,93,93,485,594,594,140,78,125,78,47,62,109,16,0,1
93,16,78,94,109,47,78,125,141,32,78,62,125,62,125,78,94,1
156,16,62,94,93,485,594,234,109,125,109,78,47,62,109,16,93,1
62,63,47,31,31,125,63,63,79,62,78,93,78,78,47,172,63,1
172,15,78,63,79,46,47,47,94,78,78,63,78,94,63,62,63,1
62,0,78,62,31,125,63,46,94,62,62,93,78,78,47,172,78,1
93,547,172,79,79,128,225,225,110,63,15,109,78,63,93,15,32,1
78,16,109,63,78,47,62,609,0,79,109,78,79,78,172,94,78,1
78,78,78,78,79,128,225,0,141,94,47,109,78,63,93,15,47,1
63,15,63,93,93,63,140,140,109,63,78,141,78,94,188,78,47,1
62,78,94,31,79,62,78,125,109,94,94,63,78,125,62,110,47,1
