dtfk1,ft1,dtsk1,ft2,dtsk2,dtfk3,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtfk8,dtsk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
63,15,94,16,78,79,63,31,0,15,62,63,93,62,94,62,94,47,94,78,62,47,94,1
78,63,62,203,16,63,15,109,125,16,63,16,78,109,78,94,109,16,31,47,94,32,78,1
141,15,82,121,102,102,53,91,91,259,144,78,125,93,125,78,110,94,187,343,110,15,125,1
109,188,62,78,94,16,15,63,78,172,94,16,16,109,109,93,94,125,78,125,110,15,109,1
125,15,110,78,109,16,53,91,94,223,125,16,171,125,219,78,110,94,187,343,109,15,125,1
94,31,78,94,78,78,15,63,63,62,63,32,31,94,109,79,63,109,140,16,79,47,16,1
78,16,62,94,125,156,79,62,515,63,78,31,15,172,94,125,78,79,78,172,63,16,79,1
140,31,63,78,78,46,15,63,94,62,79,172,110,109,78,79,63,109,140,16,79,47,16,1
125,62,94,125,63,63,63,78,78,125,47,16,125,63,78,78,141,46,32,32,41,15,63,1
172,16,78,31,63,62,31,94,78,125,203,116,63,46,62,79,156,47,94,46,47,47,46,1
94,31,47,62,78,63,63,78,62,125,110,31,94,126,172,78,141,46,32,32,46,15,63,1
78,62,110,125,78,78,156,141,141,16,125,16,109,78,140,94,94,125,78,16,109,78,62,1
203,31,125,125,94,32,16,62,172,15,94,63,78,78,15,79,78,110,78,93,78,31,63,1
78,47,78,125,110,94,156,141,125,109,125,15,63,110,109,94,94,125,78,16,63,78,62,1
62,32,78,125,47,47,47,62,62,141,62,110,78,78,79,79,79,140,47,15,47,16,62,1
78,47,62,110,94,78,32,93,78,157,62,203,78,94,125,47,109,94,62,47,47,47,78,1
63,125,47,94,62,78,47,62,63,140,78,31,63,125,94,79,79,140,47,15,78,16,62,1
94,141,93,157,47,47,250,328,328,62,172,78,422,250,172,344,140,234,63,125,62,31,94,1
313,109,32,47,110,141,79,31,0,62,172,235,359,63,282,78,16,93,63,78,156,281,79,1
78,78,156,47,78,125,250,328,0,63,172,141,94,94,140,344,140,234,63,125,79,31,94,1
93,282,93,94,78,78,234,94,94,47,94,218,79,62,78,78,63,140,94,828,78,219,78,1
63,297,62,141,62,78,188,62,93,63,109,250,93,78,125,62,78,140,78,62,94,204,62,1
62,797,94,94,62,47,234,94,141,203,109,375,62,94,78,78,63,140,94,828,62,219,78,1
93,32,93,63,94,94,110,250,250,63,63,46,187,93,344,63,125,47,63,32,47,78,63,1
78,16,94,47,109,62,31,78,125,16,63,16,62,78,16,63,125,15,78,93,0,16,78,1
31,172,0,93,78,0,110,250,844,938,31,32,94,94,78,63,125,47,63,32,78,78,63,1
156,0,94,16,93,93,32,171,171,16,109,62,156,110,78,375,156,47,78,16,47,31,125,1
62,16,94,141,16,63,93,47,110,31,109,109,93,125,78,78,78,47,125,109,62,15,94,1
47,31,62,16,93,63,32,171,94,31,125,125,125,16,94,375,156,47,78,16,94,31,125,1
125,15,110,78,78,78,94,78,78,203,63,0,78,78,203,63,94,78,94,16,78,32,62,1
187,16,78,125,63,94,31,63,0,0,94,63,93,94,31,110,110,93,78,93,78,31,78,1
78,31,78,109,62,78,94,78,94,171,63,16,79,94,94,63,94,78,94,16,78,32,62,1
125,172,94,203,109,109,250,78,78,110,78,140,62,47,78,110,47,156,79,265,63,94,78,1
110,359,94,62,78,78,219,93,94,78,78,328,109,109,141,63,78,109,79,94,93,125,93,1
94,313,93,109,78,63,250,78,93,250,94,187,109,156,62,110,47,156,79,265,93,94,78,1
63,94,93,125,47,47,93,156,156,31,63,125,141,172,141,73,78,31,125,15,78,31,63,1
62,16,47,140,47,63,16,47,0,594,656,125,78,62,16,63,140,0,63,110,31,31,78,1
78,31,31,94,63,78,93,156,0,16,94,31,78,47,62,73,78,31,125,15,78,31,63,1
109,16,110,47,109,109,391,438,438,31,46,31,110,79,109,78,109,125,109,16,15,0,94,1
94,0,109,63,110,78,141,78,0,32,46,78,63,47,110,78,125,31,62,94,32,31,94,1
78,109,32,31,93,94,391,438,0,31,94,31,0,687,31,78,109,125,109,16,94,0,94,1
125,31,110,46,125,125,485,594,594,47,140,141,125,63,125,78,47,62,109,16,0,32,93,1
93,16,94,31,125,78,47,78,125,31,141,110,78,109,109,62,125,62,125,78,94,47,93,1
156,16,94,47,63,62,485,594,234,16,109,78,109,172,32,78,47,62,109,16,93,32,93,1
62,63,93,110,47,47,125,63,63,171,79,32,78,78,78,93,78,78,47,172,63,79,78,1
172,15,93,94,47,78,46,47,47,31,94,15,78,109,125,63,78,94,63,62,63,63,78,1
62,0,63,78,63,78,125,63,46,47,94,16,62,125,78,93,78,78,47,172,78,79,78,1
93,547,156,16,172,172,128,225,225,40,110,47,15,94,203,109,78,63,93,15,32,47,94,1
78,16,109,47,109,109,47,62,609,734,0,93,109,125,78,78,79,78,172,94,78,62,47,1
78,78,78,63,47,78,128,225,0,47,141,31,47,110,79,109,78,63,93,15,47,47,94,1
63,15,63,93,63,63,63,140,140,188,109,578,78,62,78,141,78,94,188,78,47,63,62,1
62,78,125,93,63,94,62,78,125,207,109,78,94,62,93,63,78,125,62,110,47,31,94,1
62,31,47,109,63,94,63,140,47,687,94,453,63,93,94,141,78,94,188,78,94,63,62,1
78,47,94,78,78,78,271,380,380,47,125,16,94,62,172,63,125,32,0,15,32,16,78,1
62,31,78,110,0,78,32,78,0,47,125,31,78,78,125,63,312,63,94,94,62,31,79,1
63,0,62,125,78,62,271,380,125,140,94,0,76,62,62,63,125,32,0,15,79,16,78,1
78,94,94,109,78,78,140,79,79,250,93,141,62,63,47,63,63,93,63,125,63,110,78,1
63,47,78,109,63,63,94,62,94,125,125,78,78,62,156,63,78,110,62,62,78,47,78,1
63,78,78,125,47,62,140,79,78,172,125,125,47,110,78,63,63,93,63,125,78,110,78,1
126,31,125,94,78,78,31,172,172,31,156,16,109,63,187,453,140,47,63,46,31,32,78,1
125,46,125,172,16,109,15,78,110,125,156,63,94,62,0,78,829,31,93,78,62,31,109,1
141,0,62,109,110,93,31,172,172,93,157,78,94,109,31,453,140,47,63,46,109,32,78,1
62,78,110,62,78,78,78,62,62,94,94,31,93,31,93,110,78,94,63,0,31,62,63,1
94,0,78,156,16,47,61,52,78,94,188,62,47,78,0,63,62,110,62,94,31,47,78,1
94,47,31,110,94,94,78,62,79,78,78,47,109,141,63,110,78,94,63,0,78,62,63,1
125,16,94,109,78,78,188,78,78,31,94,31,109,125,250,62,78,110,78,125,125,32,125,1
156,16,62,63,78,109,0,78,0,31,109,31,78,125,16,63,62,94,62,94,125,235,125,1
109,31,125,110,78,78,188,78,0,0,94,16,78,125,156,62,78,110,78,125,125,32,125,1
125,16,109,15,125,125,109,203,203,47,62,63,47,31,125,94,157,31,62,31,156,16,62,1
47,78,16,62,63,31,94,0,1469,140,31,62,125,31,141,78,0,47,63,156,31,31,94,1
16,79,31,47,62,31,109,203,141,15,125,719,78,78,0,94,157,31,62,31,94,16,62,1
141,62,110,250,94,94,203,78,78,249,88,344,78,78,94,93,94,140,79,47,78,109,94,1
109,63,93,93,94,109,157,78,62,204,78,172,109,78,156,93,94,172,78,94,78,125,93,1
110,0,78,110,78,407,203,78,1109,63,250,203,78,213,78,93,94,140,79,47,93,109,94,1
156,47,47,62,140,140,79,110,110,15,110,16,94,78,16,79,63,47,15,31,48,109,78,1
15,63,31,79,46,93,94,31,141,0,94,78,46,93,16,63,16,78,62,109,16,109,16,1
