dtfk1,ft1,dtsk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtfk7,ft7,dtfk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
110,15,78,93,31,78,156,141,109,16,93,94,79,75,86,93,93,62,16,109,1
109,16,62,62,63,78,94,78,109,16,110,109,93,94,78,109,31,109,16,94,1
78,31,157,63,62,156,156,32,78,204,140,31,78,31,141,62,94,62,32,93,1
94,31,94,79,63,31,0,15,63,31,31,94,78,15,94,109,78,93,78,47,1
94,16,93,78,62,156,0,47,62,32,78,63,78,31,141,62,94,47,32,93,1
47,93,63,47,63,78,78,156,62,63,78,125,93,172,15,63,16,110,15,79,1
78,32,110,94,15,79,0,16,110,15,62,109,78,78,15,78,94,32,31,94,1
16,62,32,78,63,78,125,16,78,16,78,110,93,172,15,63,16,94,15,79,1
47,281,125,94,156,235,235,31,78,47,78,94,110,156,47,125,125,63,16,94,1
250,16,125,94,15,78,94,125,16,109,62,267,62,203,31,109,141,156,32,93,1
78,47,156,63,156,235,0,46,78,110,78,16,110,156,47,125,125,93,16,94,1
78,187,94,78,62,94,94,141,62,16,78,156,62,78,47,78,156,32,31,78,1
110,15,78,78,47,62,94,109,203,265,62,94,62,156,63,125,94,62,16,94,1
94,16,62,94,62,94,78,94,32,15,110,203,62,78,47,78,156,94,31,78,1
109,31,109,94,32,110,110,62,78,16,79,16,63,32,78,79,782,47,62,47,1
63,15,78,93,15,62,640,703,47,94,16,62,141,110,15,93,62,15,62,31,1
94,157,15,63,32,110,0,15,703,16,62,47,63,32,78,79,782,31,62,47,1
78,16,93,78,15,78,78,94,63,94,94,78,62,63,93,63,0,15,15,78,1
94,15,94,204,15,93,47,125,79,78,15,46,62,63,94,62,93,78,31,78,1
94,47,78,78,15,78,94,125,141,15,78,79,62,63,93,63,0,78,15,78,1
93,16,94,78,78,125,125,94,125,109,94,891,78,94,94,203,78,94,78,78,1
250,16,125,110,16,78,0,62,141,93,47,63,79,265,78,110,109,94,813,125,1
140,16,94,172,78,125,891,93,94,78,156,141,78,94,94,203,78,125,78,78,1
562,16,78,78,0,94,94,109,78,15,94,234,94,94,125,78,594,78,47,78,1
93,16,78,109,78,78,94,78,78,31,62,32,109,94,78,78,78,78,47,94,1
156,47,78,79,0,94,94,78,47,31,78,78,94,94,125,78,594,94,47,78,1
125,157,109,93,265,390,390,63,15,93,109,141,985,203,62,141,172,125,110,109,1
38,129,297,594,250,31,0,15,94,125,94,235,109,16,110,78,282,344,313,391,1
16,125,344,219,265,390,0,46,141,187,94,94,985,203,62,141,172,391,110,109,1
94,296,110,141,78,156,156,63,109,31,94,78,234,234,63,157,94,62,203,140,1
78,94,94,128,16,62,0,78,94,94,641,94,78,156,47,109,78,32,63,109,1
125,93,32,110,78,156,125,62,125,62,94,94,234,234,63,157,94,109,203,140,1
141,16,93,94,391,110,110,15,78,109,125,172,235,297,31,141,282,344,32,109,1
93,32,93,93,47,94,125,15,16,125,125,15,94,172,31,140,141,62,62,94,1
234,141,62,79,391,110,0,15,125,188,94,16,235,297,31,141,282,94,32,109,1
62,32,109,78,15,109,109,16,46,47,63,188,94,109,16,31,47,15,32,78,1
63,15,94,79,63,31,0,15,78,63,93,94,62,94,47,94,78,62,47,94,1
78,63,62,63,15,109,125,16,62,16,78,78,94,109,16,31,47,94,32,78,1
141,15,82,102,53,91,91,259,31,78,125,125,78,110,94,187,343,110,15,125,1
109,188,62,16,15,63,78,172,219,16,16,109,93,94,125,78,125,110,15,109,1
125,15,110,16,53,91,94,223,156,16,171,219,78,110,94,187,343,109,15,125,1
94,31,78,78,15,63,63,62,62,32,31,109,79,63,109,140,16,79,47,16,1
78,16,62,156,79,62,515,63,78,31,15,94,125,78,79,78,172,63,16,79,1
140,31,63,46,15,63,94,62,110,172,110,78,79,63,109,140,16,79,47,16,1
125,62,94,63,63,78,78,125,46,16,125,78,78,141,46,32,32,41,15,63,1
172,16,78,62,31,94,78,125,172,116,63,62,79,156,47,94,46,47,47,46,1
94,31,47,63,63,78,62,125,32,31,94,172,78,141,46,32,32,46,15,63,1
78,62,110,78,156,141,141,16,78,16,109,140,94,94,125,78,16,109,78,62,1
203,31,125,32,16,62,172,15,109,63,78,15,79,78,110,78,93,78,31,63,1
78,47,78,94,156,141,125,109,94,15,63,109,94,94,125,78,16,63,78,62,1
62,32,78,47,47,62,62,141,62,110,78,79,79,79,140,47,15,47,16,62,1
78,47,62,78,32,93,78,157,94,203,78,125,47,109,94,62,47,47,47,78,1
63,125,47,78,47,62,63,140,78,31,63,94,79,79,140,47,15,78,16,62,1
94,141,93,47,250,328,328,62,47,78,422,172,344,140,234,63,125,62,31,94,1
313,109,32,141,79,31,0,62,140,235,359,282,78,16,93,63,78,156,281,79,1
78,78,156,125,250,328,0,63,109,141,94,140,344,140,234,63,125,79,31,94,1
93,282,93,78,234,94,94,47,63,218,79,78,78,63,140,94,828,78,219,78,1
63,297,62,78,188,62,93,63,78,250,93,125,62,78,140,78,62,94,204,62,1
62,797,94,47,234,94,141,203,78,375,62,78,78,63,140,94,828,62,219,78,1
93,32,93,94,110,250,250,63,125,46,187,344,63,125,47,63,32,47,78,63,1
78,16,94,62,31,78,125,16,78,16,62,16,63,125,15,78,93,0,16,78,1
31,172,0,0,110,250,844,938,109,32,94,78,63,125,47,63,32,78,78,63,1
