dtfk1,ft1,dtsk1,dtsk4,dtfk5,ft5,dtfk6,dtfk7,ft7,dtsk7,dtfk10,ft10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
47,281,125,235,235,31,62,78,47,63,156,94,156,47,125,109,125,62,63,47,62,16,94,1
250,16,125,78,94,125,110,16,109,63,79,78,203,31,109,31,141,343,156,32,62,32,93,1
78,47,156,235,0,46,62,78,110,93,156,94,156,47,125,109,125,62,93,32,62,16,94,1
78,187,94,94,94,141,78,62,16,94,31,94,78,47,78,109,156,110,32,79,94,31,78,1
110,15,78,62,94,109,62,203,265,32,47,110,156,63,125,78,94,156,62,78,125,16,94,1
94,16,62,94,78,94,16,32,15,93,31,94,78,47,78,109,156,110,94,31,94,31,78,1
109,31,109,110,110,62,32,78,16,63,656,47,32,78,79,766,782,15,47,125,15,62,47,1
63,15,78,62,640,703,63,47,94,47,78,63,110,15,93,832,62,32,15,78,15,62,31,1
94,157,15,110,0,15,110,703,16,47,656,47,32,78,79,766,782,15,31,109,15,62,47,1
78,16,93,78,78,94,78,63,94,78,31,79,63,93,63,78,0,94,15,94,110,15,78,1
94,15,94,93,47,125,62,79,78,15,63,78,63,94,62,78,93,32,78,156,94,31,78,1
94,47,78,78,94,125,15,141,15,62,31,79,63,93,63,78,0,94,78,32,110,15,78,1
93,16,94,125,125,94,78,125,109,172,94,156,94,94,203,94,78,78,94,63,78,78,78,1
250,16,125,78,0,62,78,141,93,94,172,62,265,78,110,156,109,16,94,703,109,813,125,1
140,16,94,125,891,93,94,94,78,78,94,156,94,94,203,94,78,78,125,31,78,78,78,1
562,16,78,94,94,109,62,78,15,79,109,62,94,125,78,78,594,125,78,47,93,47,78,1
93,16,78,78,94,78,94,78,31,78,63,78,94,78,78,109,78,63,78,31,78,47,94,1
156,47,78,94,94,78,31,47,31,78,109,62,94,125,78,78,594,125,94,172,93,47,78,1
125,157,109,390,390,63,15,15,93,219,46,125,203,62,141,47,172,359,125,94,78,110,109,1
38,129,297,31,0,15,985,94,125,125,94,172,16,110,78,157,282,15,344,406,156,313,391,1
16,125,344,390,0,46,31,141,187,94,46,125,203,62,141,47,172,359,391,31,78,110,109,1
94,296,110,156,156,63,93,109,31,110,78,63,234,63,157,109,94,63,62,125,94,203,140,1
78,94,94,62,0,78,234,94,94,62,78,94,156,47,109,141,78,140,32,93,78,63,109,1
125,93,32,156,125,62,93,125,62,109,78,63,234,63,157,109,94,63,109,156,94,203,140,1
141,16,93,110,110,15,78,78,109,79,297,78,297,31,141,93,282,109,344,62,93,32,109,1
93,32,93,94,125,15,235,16,125,344,78,94,172,31,140,78,141,15,62,94,94,62,94,1
234,141,62,110,0,15,16,125,188,109,297,78,297,31,141,93,282,109,94,141,93,32,109,1
62,32,109,109,109,16,31,46,47,63,94,47,109,16,31,94,47,125,15,78,62,32,78,1
63,15,94,31,0,15,94,78,63,15,78,63,94,47,94,109,78,110,62,31,63,47,94,1
78,63,62,109,125,16,16,62,16,79,94,47,109,16,31,94,47,125,94,46,62,32,78,1
141,15,82,91,91,259,63,31,78,16,156,47,110,94,187,110,343,125,110,31,94,15,125,1
109,188,62,63,78,172,78,219,16,110,79,78,94,125,78,125,125,250,110,15,156,15,109,1
125,15,110,91,94,223,16,156,16,78,156,47,110,94,187,110,343,125,109,16,94,15,125,1
94,31,78,63,63,62,78,62,32,46,78,15,63,109,140,78,16,62,79,15,15,47,16,1
78,16,62,62,515,63,79,78,31,79,63,62,78,79,78,109,172,15,63,47,109,16,79,1
140,31,63,63,94,62,31,110,172,16,78,15,63,109,140,78,16,62,79,78,15,47,16,1
125,62,94,78,78,125,78,46,16,63,265,79,141,46,32,62,32,109,41,65,78,15,63,1
172,16,78,94,78,125,78,172,116,41,31,62,156,47,94,126,46,219,47,63,78,47,46,1
94,31,47,78,62,125,78,32,31,62,265,79,141,46,32,62,32,109,46,47,78,15,63,1
78,62,110,141,141,16,110,78,16,94,47,63,94,125,78,187,16,94,109,32,79,78,62,1
203,31,125,62,172,15,94,109,63,109,63,93,78,110,78,110,93,32,78,16,94,31,63,1
78,47,78,141,125,109,47,94,15,63,47,63,94,125,78,187,16,94,63,62,79,78,62,1
62,32,78,62,62,141,63,62,110,78,78,62,79,140,47,63,15,78,47,94,78,16,62,1
78,47,62,93,78,157,79,94,203,47,47,109,109,94,62,125,47,78,47,47,63,47,78,1
63,125,47,62,63,140,46,78,31,63,78,62,79,140,47,63,15,78,78,62,78,16,62,1
94,141,93,328,328,62,157,47,78,125,62,78,140,234,63,47,125,78,62,125,78,31,94,1
313,109,32,31,0,62,344,140,235,62,62,78,16,93,63,94,78,62,156,16,62,281,79,1
78,78,156,328,0,63,47,109,141,62,62,78,140,234,63,47,125,78,79,31,78,31,94,1
93,282,93,94,94,47,63,63,218,47,78,78,63,140,94,78,828,78,78,297,63,219,78,1
63,297,62,62,93,63,78,78,250,78,62,94,78,140,78,94,62,344,94,484,78,204,62,1
62,797,94,94,141,203,219,78,375,47,78,78,63,140,94,78,828,78,62,375,63,219,78,1
93,32,93,250,250,63,78,125,46,0,78,78,125,47,63,109,32,93,47,78,93,78,63,1
78,16,94,78,125,16,63,78,16,47,63,93,125,15,78,94,93,547,0,78,62,16,78,1
31,172,0,250,844,938,16,109,32,78,78,78,125,47,63,109,32,93,78,63,93,78,63,1
156,0,94,171,171,16,47,63,62,63,31,47,156,47,78,63,16,78,47,78,78,31,125,1
62,16,94,47,110,31,375,94,109,47,63,78,78,47,125,16,109,0,62,16,94,15,94,1
47,31,62,171,94,31,15,62,125,109,31,47,156,47,78,63,16,78,94,62,78,31,125,1
125,15,110,78,78,203,63,141,0,78,141,109,94,78,94,93,16,78,78,78,93,32,62,1
187,16,78,63,0,0,63,94,63,78,234,328,110,93,78,94,93,32,78,32,94,31,78,1
78,31,78,78,94,171,15,109,16,62,141,109,94,78,94,93,16,78,78,16,93,32,62,1
125,172,94,78,78,110,78,125,140,63,94,78,47,156,79,94,265,94,63,422,93,94,78,1
110,359,94,93,94,78,110,62,328,63,93,94,78,109,79,156,94,140,93,547,110,125,93,1
94,313,93,78,93,250,78,94,187,78,94,78,47,156,79,94,265,94,93,203,93,94,78,1
63,94,93,156,156,31,63,78,125,78,78,56,78,31,125,79,15,110,78,78,62,31,63,1
62,16,47,47,0,594,73,62,125,78,62,78,140,0,63,47,110,62,31,47,63,31,78,1
78,31,31,156,0,16,62,94,31,63,78,56,78,31,125,79,15,110,78,172,62,31,63,1
109,16,110,438,438,31,94,78,31,94,94,31,109,125,109,109,16,78,15,78,78,0,94,1
94,0,109,78,0,32,78,31,78,15,63,62,125,31,62,687,94,78,32,110,78,31,94,1
78,109,32,438,0,31,78,110,31,94,94,31,109,125,109,109,16,78,94,62,78,0,94,1
125,31,110,594,594,47,94,78,141,62,47,78,47,62,109,125,16,93,0,125,78,32,93,1
93,16,94,78,125,31,78,32,110,0,62,94,125,62,125,172,78,94,94,15,94,47,93,1
156,16,94,594,234,16,94,125,78,94,47,78,47,62,109,125,16,93,93,125,78,32,93,1
62,63,93,63,63,171,63,62,32,78,63,47,78,78,47,78,172,78,63,78,46,79,78,1
172,15,93,47,47,31,93,78,15,63,62,78,78,94,63,125,62,47,63,125,62,63,78,1
62,0,63,63,46,47,94,62,16,62,63,47,78,78,47,78,172,78,78,62,46,79,78,1
93,547,156,225,225,40,63,63,47,78,47,62,78,63,93,47,15,62,32,93,94,47,94,1
