dtfk1,dtsk1,dtfk3,dtsk4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtfk14,gender
78,78,94,141,125,109,94,15,63,94,94,125,78,187,16,94,63,62,79,1
62,78,47,62,62,141,62,110,78,79,79,140,47,63,15,78,47,94,78,1
78,62,78,93,78,157,94,203,47,47,109,94,62,125,47,78,47,47,63,1
63,47,78,62,63,140,78,31,63,79,79,140,47,63,15,78,78,62,78,1
94,93,47,328,328,62,47,78,125,344,140,234,63,47,125,78,62,125,78,1
313,32,141,31,0,62,140,235,62,78,16,93,63,94,78,62,156,16,62,1
78,156,125,328,0,63,109,141,62,344,140,234,63,47,125,78,79,31,78,1
93,93,78,94,94,47,63,218,47,78,63,140,94,78,828,78,78,297,63,1
63,62,78,62,93,63,78,250,78,62,78,140,78,94,62,344,94,484,78,1
62,94,47,94,141,203,78,375,47,78,63,140,94,78,828,78,62,375,63,1
93,93,94,250,250,63,125,46,0,63,125,47,63,109,32,93,47,78,93,1
78,94,62,78,125,16,78,16,47,63,125,15,78,94,93,547,0,78,62,1
31,0,0,250,844,938,109,32,78,63,125,47,63,109,32,93,78,63,93,1
156,94,93,171,171,16,63,62,63,375,156,47,78,63,16,78,47,78,78,1
62,94,63,47,110,31,94,109,47,78,78,47,125,16,109,0,62,16,94,1
47,62,63,171,94,31,62,125,109,375,156,47,78,63,16,78,94,62,78,1
125,110,78,78,78,203,141,0,78,63,94,78,94,93,16,78,78,78,93,1
187,78,94,63,0,0,94,63,78,110,110,93,78,94,93,32,78,32,94,1
78,78,78,78,94,171,109,16,62,63,94,78,94,93,16,78,78,16,93,1
125,94,109,78,78,110,125,140,63,110,47,156,79,94,265,94,63,422,93,1
110,94,78,93,94,78,62,328,63,63,78,109,79,156,94,140,93,547,110,1
94,93,63,78,93,250,94,187,78,110,47,156,79,94,265,94,93,203,93,1
63,93,47,156,156,31,78,125,78,73,78,31,125,79,15,110,78,78,62,1
62,47,63,47,0,594,62,125,78,63,140,0,63,47,110,62,31,47,63,1
78,31,78,156,0,16,94,31,63,73,78,31,125,79,15,110,78,172,62,1
109,110,109,438,438,31,78,31,94,78,109,125,109,109,16,78,15,78,78,1
94,109,78,78,0,32,31,78,15,78,125,31,62,687,94,78,32,110,78,1
78,32,94,438,0,31,110,31,94,78,109,125,109,109,16,78,94,62,78,1
125,110,125,594,594,47,78,141,62,78,47,62,109,125,16,93,0,125,78,1
93,94,78,78,125,31,32,110,0,62,125,62,125,172,78,94,94,15,94,1
156,94,62,594,234,16,125,78,94,78,47,62,109,125,16,93,93,125,78,1
62,93,47,63,63,171,62,32,78,93,78,78,47,78,172,78,63,78,46,1
172,93,78,47,47,31,78,15,63,63,78,94,63,125,62,47,63,125,62,1
62,63,78,63,46,47,62,16,62,93,78,78,47,78,172,78,78,62,46,1
93,156,172,225,225,40,63,47,78,109,78,63,93,47,15,62,32,93,94,1
78,109,109,62,609,734,79,93,32,78,79,78,172,110,94,78,78,0,15,1
78,78,78,225,0,47,94,31,172,109,78,63,93,47,15,62,47,78,94,1
63,63,63,140,140,188,63,578,94,141,78,94,188,47,78,62,47,109,93,1
62,125,94,78,125,207,94,78,47,63,78,125,62,93,110,78,47,438,94,1
62,47,94,140,47,687,125,453,78,141,78,94,188,47,78,62,94,47,93,1
78,94,78,380,380,47,47,16,62,63,125,32,0,47,15,78,32,94,62,1
62,78,78,78,0,47,62,31,32,63,312,63,94,62,94,141,62,32,78,1
63,62,62,380,125,140,62,0,32,63,125,32,0,47,15,78,79,31,62,1
78,94,78,79,79,250,47,141,62,63,63,93,63,63,125,62,63,125,62,1
63,78,63,62,94,125,78,78,63,63,78,110,62,110,62,78,78,63,63,1
63,78,62,79,78,172,63,125,83,63,63,93,63,63,125,62,78,78,62,1
126,125,78,172,172,31,94,16,93,453,140,47,63,32,46,79,31,94,78,1
125,125,109,78,110,125,31,63,31,78,829,31,93,109,78,110,62,47,157,1
141,62,93,172,172,93,94,78,94,453,140,47,63,32,46,79,109,0,78,1
62,110,78,62,62,94,78,31,94,110,78,94,63,141,0,78,31,79,78,1
94,78,47,52,78,94,63,62,31,63,62,110,62,141,94,15,31,31,78,1
94,31,94,62,79,78,94,47,78,110,78,94,63,141,0,78,78,47,78,1
125,94,78,78,78,31,110,31,78,62,78,110,78,93,125,110,125,125,78,1
156,62,109,78,0,31,156,31,125,63,62,94,62,125,94,235,125,0,62,1
109,125,78,78,0,0,156,16,94,62,78,110,78,93,125,110,125,31,78,1
125,109,125,203,203,47,31,63,31,94,157,31,62,31,31,47,156,110,78,1
47,16,31,0,1469,140,0,62,156,78,0,47,63,78,156,16,31,125,63,1
16,31,31,203,141,15,125,719,109,94,157,31,62,31,31,47,94,0,78,1
141,110,94,78,78,249,78,344,407,93,94,140,79,78,47,109,78,391,78,1
109,93,109,78,62,204,78,172,78,93,94,172,78,213,94,110,78,516,94,1
110,78,407,78,1109,63,94,203,78,93,94,140,79,78,47,109,93,235,78,1
156,47,140,110,110,15,78,16,110,79,63,47,15,63,31,63,48,5,46,1
15,31,93,31,141,0,16,78,48,63,16,78,62,31,109,31,16,94,16,1
63,16,110,110,438,125,625,32,79,79,63,47,15,63,31,63,16,110,46,1
156,125,109,157,157,156,110,94,93,63,94,203,63,47,157,171,110,93,141,1
125,109,94,47,172,0,125,125,110,62,16,141,62,47,172,78,531,140,125,1
250,531,93,157,94,156,141,140,78,63,94,203,63,47,157,171,93,110,141,1
125,125,94,125,125,78,109,63,93,94,125,94,78,109,110,93,94,47,109,1
141,125,94,109,109,32,110,140,94,78,156,47,110,187,94,453,94,31,109,1
109,94,93,125,125,47,125,110,78,94,125,94,78,109,110,93,94,78,109,1
78,109,63,94,94,219,78,109,63,78,78,110,46,94,46,63,63,94,110,1
109,62,62,78,94,187,110,15,63,47,94,93,78,125,63,109,63,16,78,1
78,63,63,94,110,234,93,0,63,78,78,110,46,94,46,63,63,31,110,1
93,110,171,156,156,32,94,31,109,94,250,31,125,125,16,114,78,109,125,1
94,109,110,63,110,78,62,109,78,93,125,93,94,110,93,110,62,140,78,1
250,62,109,156,125,79,141,15,94,94,250,31,125,125,16,114,125,0,125,1
125,78,78,141,141,62,78,63,78,63,62,140,63,109,78,16,0,110,110,1
78,94,125,63,0,15,78,78,0,63,78,93,32,31,109,187,94,15,94,1
78,94,78,141,187,0,140,63,62,63,62,140,63,109,78,16,78,141,110,1
93,94,109,203,203,15,125,16,94,125,94,78,109,141,94,78,94,109,109,1
172,78,94,78,156,16,109,0,94,79,109,63,141,375,78,109,15,78,78,1
62,15,94,203,0,47,47,16,172,125,94,78,109,141,94,78,78,15,109,1
94,125,109,203,203,78,125,47,110,125,109,63,78,109,110,93,78,94,94,1
500,156,109,62,0,15,46,109,78,94,78,110,109,94,94,172,79,78,78,1
93,79,110,203,0,47,141,31,110,125,109,63,78,109,110,93,94,484,94,1
156,78,141,78,78,32,15,47,31,62,47,125,47,62,47,63,31,78,0,1
78,32,47,16,531,625,47,79,31,62,94,0,62,47,109,31,32,78,31,1
78,32,31,78,671,193,78,32,93,62,47,125,47,62,47,63,0,79,0,1
110,109,141,125,125,31,63,125,203,93,47,141,31,31,16,63,46,109,15,1
47,109,94,94,0,0,0,16,46,79,0,93,47,1000,78,156,0,94,0,1
32,0,203,125,657,720,250,78,453,93,47,141,31,31,16,63,93,63,15,1
94,62,63,78,78,31,78,79,62,106,47,125,63,63,94,62,63,94,78,1
78,62,63,63,78,250,94,93,63,31,78,109,63,101,176,13,63,78,62,1
63,63,62,78,62,188,78,140,63,106,47,125,63,63,94,62,62,141,78,1
78,110,109,109,109,31,47,234,78,109,140,16,62,109,203,63,32,78,63,2
78,78,93,62,0,31,94,109,32,63,109,16,78,125,63,94,78,265,78,2
78,78,78,109,0,16,125,109,109,109,140,16,62,109,203,63,78,219,63,2
375,78,62,250,250,31,109,62,94,62,94,62,94,109,47,78,156,63,93,2
94,78,63,62,0,32,47,125,156,63,79,78,62,94,62,266,16,78,110,2
