dtfk1,ft1,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,gender
62,16,47,94,93,47,109,94,93,78,78,47,125,16,0,62,1
47,31,78,109,32,171,125,62,125,375,156,47,78,63,78,94,1
125,15,93,93,94,78,63,141,78,63,94,78,94,93,78,78,1
187,16,63,78,31,63,94,94,93,110,110,93,78,94,32,78,1
78,31,78,93,94,78,63,109,79,63,94,78,94,93,78,78,1
125,172,109,109,250,78,78,125,62,110,47,156,79,94,94,63,1
110,359,78,78,219,93,78,62,109,63,78,109,79,156,140,93,1
94,313,94,109,250,78,94,94,109,110,47,156,79,94,94,93,1
63,94,63,63,93,156,63,78,141,73,78,31,125,79,110,78,1
62,16,63,47,16,47,656,62,78,63,140,0,63,47,62,31,1
78,31,62,63,93,156,94,94,78,73,78,31,125,79,110,78,1
109,16,47,47,391,438,46,78,110,78,109,125,109,109,78,15,1
94,0,94,78,141,78,46,31,63,78,125,31,62,687,78,32,1
78,109,78,47,391,438,94,110,0,78,109,125,109,109,78,94,1
125,31,93,93,485,594,140,78,125,78,47,62,109,125,93,0,1
93,16,94,109,47,78,141,32,78,62,125,62,125,172,94,94,1
156,16,94,93,485,594,109,125,109,78,47,62,109,125,93,93,1
62,63,31,31,125,63,79,62,78,93,78,78,47,78,78,63,1
172,15,63,79,46,47,94,78,78,63,78,94,63,125,47,63,1
62,0,62,31,125,63,94,62,62,93,78,78,47,78,78,78,1
93,547,79,79,128,225,110,63,15,109,78,63,93,47,62,32,1
78,16,63,78,47,62,0,79,109,78,79,78,172,110,78,78,1
78,78,78,79,128,225,141,94,47,109,78,63,93,47,62,47,1
63,15,93,93,63,140,109,63,78,141,78,94,188,47,62,47,1
62,78,31,79,62,78,109,94,94,63,78,125,62,93,78,47,1
62,31,78,93,63,140,94,125,63,141,78,94,188,47,62,94,1
78,47,40,40,271,380,125,47,94,63,125,32,0,47,78,32,1
62,31,79,78,32,78,125,62,78,63,312,63,94,62,141,62,1
63,0,94,40,271,380,94,62,76,63,125,32,0,47,78,79,1
78,94,78,78,140,79,93,47,62,63,63,93,63,63,62,63,1
63,47,62,63,94,62,125,78,78,63,78,110,62,110,78,78,1
