ft1,dtsk1,dtfk4,dtsk4,ft5,dtsk5,dtfk6,dtfk7,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtsk12,dtfk13,ft14,gender
141,93,78,328,62,172,157,47,78,62,78,344,140,234,63,78,62,31,1
109,32,46,31,62,172,344,140,235,62,78,78,16,93,63,62,156,281,1
78,156,78,328,63,172,47,109,141,62,78,344,140,234,63,78,79,31,1
282,93,78,94,47,94,63,63,218,78,78,78,63,140,94,78,78,219,1
297,62,62,62,63,109,78,78,250,62,94,62,78,140,78,344,94,204,1
797,94,78,94,203,109,219,78,375,78,78,78,63,140,94,78,62,219,1
32,93,62,250,63,63,78,125,46,78,78,63,125,47,63,93,47,78,1
16,94,78,78,16,63,63,78,16,63,93,63,125,15,78,547,0,16,1
172,0,62,250,938,31,16,109,32,78,78,63,125,47,63,93,78,78,1
0,94,109,171,16,109,47,63,62,31,47,375,156,47,78,78,47,31,1
16,94,94,47,31,109,375,94,109,63,78,78,78,47,125,0,62,15,1
31,62,109,171,31,125,15,62,125,31,47,375,156,47,78,78,94,31,1
15,110,93,78,203,63,63,141,0,141,109,63,94,78,94,78,78,32,1
16,78,78,63,0,94,63,94,63,234,328,110,110,93,78,32,78,31,1
31,78,93,78,171,63,15,109,16,141,109,63,94,78,94,78,78,32,1
172,94,109,78,110,78,78,125,140,94,78,110,47,156,79,94,63,94,1
359,94,78,93,78,78,110,62,328,93,94,63,78,109,79,140,93,125,1
313,93,109,78,250,94,78,94,187,94,78,110,47,156,79,94,93,94,1
94,93,63,156,31,63,63,78,125,78,56,73,78,31,125,110,78,31,1
16,47,47,47,594,656,73,62,125,62,78,63,140,0,63,62,31,31,1
31,31,63,156,16,94,62,94,31,78,56,73,78,31,125,110,78,31,1
16,110,47,438,31,46,94,78,31,94,31,78,109,125,109,78,15,0,1
0,109,78,78,32,46,78,31,78,63,62,78,125,31,62,78,32,31,1
109,32,47,438,31,94,78,110,31,94,31,78,109,125,109,78,94,0,1
31,110,93,594,47,140,94,78,141,47,78,78,47,62,109,93,0,32,1
16,94,109,78,31,141,78,32,110,62,94,62,125,62,125,94,94,47,1
16,94,93,594,16,109,94,125,78,47,78,78,47,62,109,93,93,32,1
63,93,31,63,171,79,63,62,32,63,47,93,78,78,47,78,63,79,1
15,93,79,47,31,94,93,78,15,62,78,63,78,94,63,47,63,63,1
0,63,31,63,47,94,94,62,16,63,47,93,78,78,47,78,78,79,1
547,156,79,225,40,110,63,63,47,47,62,109,78,63,93,62,32,47,1
16,109,78,62,734,0,109,79,93,78,78,78,79,78,172,78,78,62,1
78,78,79,225,47,141,93,94,31,47,62,109,78,63,93,62,47,47,1
15,63,93,140,188,109,31,63,578,47,94,141,78,94,188,62,47,63,1
78,125,79,78,207,109,141,94,78,47,78,63,78,125,62,78,47,31,1
31,47,93,140,687,94,78,125,453,47,94,141,78,94,188,62,94,63,1
47,94,40,380,47,125,79,47,16,47,62,63,125,32,0,78,32,16,1
31,78,78,78,47,125,63,62,31,63,62,63,312,63,94,141,62,31,1
0,62,40,380,140,94,63,62,0,47,62,63,125,32,0,78,79,16,1
94,94,78,79,250,93,62,47,141,125,47,63,63,93,63,62,63,110,1
47,78,63,62,125,125,63,78,78,62,78,63,78,110,62,78,78,47,1
78,78,78,79,172,125,62,63,125,125,47,63,63,93,63,62,78,110,1
31,125,109,172,31,156,110,94,16,0,93,453,140,47,63,79,31,32,1
46,125,125,78,125,156,453,31,63,93,110,78,829,31,93,110,62,31,1
0,62,109,172,93,157,31,94,78,0,93,453,140,47,63,79,109,32,1
78,110,63,62,94,94,62,78,31,32,62,110,78,94,63,78,31,62,1
0,78,78,52,94,188,110,63,62,78,78,63,62,110,62,15,31,47,1
47,31,63,62,78,78,16,94,47,32,62,110,78,94,63,78,78,62,1
16,94,93,78,31,94,94,110,31,78,63,62,78,110,78,110,125,32,1
16,62,78,78,31,109,62,156,31,78,47,63,62,94,62,235,125,235,1
31,125,93,78,0,94,0,156,16,78,63,62,78,110,78,110,125,32,1
16,109,47,203,47,62,31,31,63,16,62,94,157,31,62,47,156,16,1
78,16,344,0,140,31,94,0,62,78,78,78,0,47,63,16,31,31,1
79,31,47,203,15,125,125,125,719,16,62,94,157,31,62,47,94,16,1
62,110,78,78,249,88,78,78,344,234,79,93,94,140,79,109,78,109,1
63,93,62,78,204,78,93,78,172,281,63,93,94,172,78,110,78,125,1
0,78,78,78,63,250,32,94,203,234,79,93,94,140,79,109,93,109,1
47,47,78,110,15,110,31,78,16,63,78,79,63,47,15,63,48,109,1
63,31,15,31,0,94,79,16,78,31,78,63,16,78,62,31,16,109,1
15,16,78,110,125,31,93,625,32,63,78,79,63,47,15,63,16,109,1
