@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,32,93,16,47,141,16,125,344,218,15,78,94,94,172,31,78,141,94,344,62,94,1
234,141,79,31,391,109,125,188,109,1172,16,297,78,235,297,31,93,282,141,266,32,109,1
62,32,78,94,15,62,46,47,63,62,188,94,47,94,109,16,94,47,78,47,32,78,1
63,15,79,15,63,62,78,63,15,94,94,78,63,62,94,47,109,78,31,63,47,94,1
78,63,63,47,15,63,62,16,79,884,78,94,47,94,109,16,94,47,46,47,32,78,1
141,15,102,31,53,144,31,78,16,875,125,156,47,78,110,94,110,343,31,125,15,125,1
109,188,16,141,15,94,219,16,110,110,109,79,78,93,94,125,125,125,15,109,15,109,1
125,15,16,93,53,125,156,16,78,125,219,156,47,78,110,94,110,343,16,125,15,125,1
94,31,78,16,15,63,62,32,46,657,109,78,15,79,63,109,78,16,15,47,47,16,1
78,16,156,32,79,78,78,31,79,109,94,63,62,125,78,79,109,172,47,78,16,79,1
140,31,46,16,15,79,110,172,16,63,78,78,15,79,63,109,78,16,78,62,47,16,1
125,62,63,78,63,47,46,16,63,63,78,265,79,78,141,46,62,32,65,78,15,63,1
172,16,62,63,31,203,172,116,41,63,62,31,62,79,156,47,126,46,63,62,47,46,1
94,31,63,15,63,110,32,31,62,906,172,265,79,78,141,46,62,32,47,94,15,63,1
78,62,78,31,156,125,78,16,94,109,140,47,63,94,94,125,187,16,32,109,78,62,1
203,31,32,218,16,94,109,63,109,109,15,63,93,79,78,110,110,93,16,93,31,63,1
78,47,94,31,156,125,94,15,63,129,109,47,63,94,94,125,187,16,62,47,78,62,1
62,32,47,46,47,62,62,110,78,63,79,78,62,79,79,140,63,15,94,63,16,62,1
78,47,78,78,32,62,94,203,47,141,125,47,109,47,109,94,125,47,47,62,47,78,1
63,125,78,47,47,78,78,31,63,79,94,78,62,79,79,140,63,15,62,63,16,62,1
94,141,47,47,250,172,47,78,125,1078,172,62,78,344,140,234,47,125,125,125,31,94,1
313,109,141,62,79,172,140,235,62,62,282,62,78,78,16,93,94,78,16,78,281,79,1
78,78,125,78,250,172,109,141,62,0,140,62,78,344,140,234,47,125,31,109,31,94,1
93,282,78,891,234,94,63,218,47,78,78,78,78,78,63,140,78,828,297,78,219,78,1
63,297,78,250,188,109,78,250,78,125,125,62,94,62,78,140,94,62,484,79,204,62,1
62,797,47,235,234,109,78,375,47,110,78,78,78,78,63,140,78,828,375,63,219,78,1
93,32,94,78,110,63,125,46,0,62,344,78,78,63,125,47,109,32,78,78,78,63,1
78,16,62,47,31,63,78,16,47,94,16,63,93,63,125,15,94,93,78,31,16,78,1
31,172,0,16,110,31,109,32,78,1047,78,78,78,63,125,47,109,32,63,187,78,63,1
156,0,93,16,32,109,63,62,63,126,78,31,47,375,156,47,63,16,78,16,31,125,1
62,16,63,47,93,109,94,109,47,140,78,63,78,78,78,47,16,109,16,62,15,94,1
47,31,63,62,32,125,62,125,109,1176,94,31,47,375,156,47,63,16,62,78,31,125,1
