@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,5,6,8,9,12,14,16,18,19,21,22,23,24,26,27,28,34,36,37,38,39,40,42,43'

@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
62,93,78,62,32,78,62,62,203,141,109,47,109,94,62,47,47,1
47,94,78,63,47,63,78,47,31,79,62,79,79,140,47,15,16,1
93,93,47,78,250,328,172,93,78,1078,78,344,140,234,63,125,31,1
32,31,141,46,79,0,172,94,235,62,78,78,16,93,63,78,281,1
156,297,125,78,250,0,172,63,141,0,78,344,140,234,63,125,31,1
93,93,78,78,234,94,94,984,218,78,78,78,63,140,94,828,219,1
62,47,78,62,188,93,109,63,250,125,94,62,78,140,78,62,204,1
94,78,47,78,234,141,109,78,375,110,78,78,63,140,94,828,219,1
93,93,94,62,110,250,63,94,46,62,78,63,125,47,63,32,78,1
94,94,62,78,31,125,63,62,16,94,93,63,125,15,78,93,16,1
0,172,0,62,110,844,31,46,32,1047,78,63,125,47,63,32,78,1
94,94,93,109,32,171,109,125,62,126,47,375,156,47,78,16,31,1
94,47,63,94,93,110,109,78,109,140,78,78,78,47,125,109,15,1
62,109,63,109,32,94,125,63,125,1176,47,375,156,47,78,16,31,1
110,110,78,93,94,78,63,94,0,141,109,63,94,78,94,16,32,1
78,93,94,78,31,0,94,62,63,94,328,110,110,93,78,93,31,1
78,63,78,93,94,94,63,78,16,78,109,63,94,78,94,16,32,1
94,94,109,109,250,78,78,156,140,94,78,110,47,156,79,265,94,1
94,79,78,78,219,94,78,93,328,156,94,63,78,109,79,94,125,1
93,94,63,109,250,93,94,63,187,78,78,110,47,156,79,265,94,1
93,93,47,63,93,156,63,469,125,78,56,73,78,31,125,15,31,1
47,63,63,47,16,0,656,166,125,15,78,63,140,0,63,110,31,1
