@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,12,16,17,18,21,22,23,24,26,30,33,34,35,36,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,94,128,63,93,94,16,0,78,125,94,94,94,94,78,94,156,47,32,93,47,63,109,1
125,93,110,62,94,94,78,125,62,94,125,62,797,94,78,63,234,63,109,156,63,203,140,1
141,16,94,125,62,62,391,110,15,110,78,109,109,172,297,78,297,31,344,62,360,32,109,1
93,32,93,16,78,94,47,125,15,141,16,125,218,15,78,94,172,31,62,94,344,62,94,1
234,141,79,31,94,62,391,0,15,109,125,188,1172,16,297,78,297,31,94,141,266,32,109,1
62,32,78,94,63,63,15,109,16,62,46,47,62,188,94,47,109,16,15,78,47,32,78,1
63,15,79,15,31,78,63,0,15,62,78,63,94,94,78,63,94,47,62,31,63,47,94,1
78,63,63,47,47,63,15,125,16,63,62,16,884,78,94,47,109,16,94,46,47,32,78,1
141,15,102,31,118,118,53,91,259,144,31,78,875,125,156,47,110,94,110,31,125,15,125,1
109,188,16,141,63,110,15,78,172,94,219,16,110,109,79,78,94,125,110,15,109,15,109,1
125,15,16,93,532,118,53,94,223,125,156,16,125,219,156,47,110,94,109,16,125,15,125,1
94,31,78,16,94,94,15,63,62,63,62,32,657,109,78,15,63,109,79,15,47,47,16,1
78,16,156,32,78,78,79,515,63,78,78,31,109,94,63,62,78,79,63,47,78,16,79,1
140,31,46,16,78,94,15,94,62,79,110,172,63,78,78,15,63,109,79,78,62,47,16,1
125,62,63,78,109,109,63,78,125,47,46,16,63,78,265,79,141,46,41,65,78,15,63,1
172,16,62,63,78,94,31,78,125,203,172,116,63,62,31,62,156,47,47,63,62,47,46,1
94,31,63,15,94,109,63,62,125,110,32,31,906,172,265,79,141,46,46,47,94,15,63,1
78,62,78,31,78,78,156,141,16,125,78,16,109,140,47,63,94,125,109,32,109,78,62,1
203,31,32,218,110,78,16,172,15,94,109,63,109,15,63,93,78,110,78,16,93,31,63,1
78,47,94,31,78,78,156,125,109,125,94,15,129,109,47,63,94,125,63,62,47,78,62,1
62,32,47,46,63,63,47,62,141,62,62,110,63,79,78,62,79,140,47,94,63,16,62,1
78,47,78,78,63,62,32,78,157,62,94,203,141,125,47,109,109,94,47,47,62,47,78,1
63,125,78,47,62,63,47,63,140,78,78,31,79,94,78,62,79,140,78,62,63,16,62,1
94,141,47,47,78,78,250,328,62,172,47,78,1078,172,62,78,140,234,62,125,125,31,94,1
313,109,141,62,157,46,79,0,62,172,140,235,62,282,62,78,16,93,156,16,78,281,79,1
78,78,125,78,15,78,250,0,63,172,109,141,0,140,62,78,140,234,79,31,109,31,94,1
93,282,78,891,78,78,234,94,47,94,63,218,78,78,78,78,63,140,78,297,78,219,78,1
63,297,78,250,63,62,188,93,63,109,78,250,125,125,62,94,78,140,94,484,79,204,62,1
62,797,47,235,62,78,234,141,203,109,78,375,110,78,78,78,63,140,62,375,63,219,78,1
93,32,94,78,62,62,110,250,63,63,125,46,62,344,78,78,125,47,47,78,78,78,63,1
78,16,62,47,78,78,31,125,16,63,78,16,94,16,63,93,125,15,0,78,31,16,78,1
31,172,0,16,78,62,110,844,938,31,109,32,1047,78,78,78,125,47,78,63,187,78,63,1
156,0,93,16,109,109,32,171,16,109,63,62,126,78,31,47,156,47,47,78,16,31,125,1
62,16,63,47,47,94,93,110,31,109,94,109,140,78,63,78,78,47,62,16,62,15,94,1
47,31,63,62,78,109,32,94,31,125,62,125,1176,94,31,47,156,47,94,62,78,31,125,1
125,15,78,63,93,93,94,78,203,63,141,0,141,203,141,109,94,78,78,78,78,32,62,1
187,16,94,62,63,78,31,0,0,94,94,63,94,31,234,328,110,93,78,32,62,31,78,1
78,31,78,63,78,93,94,94,171,63,109,16,78,94,141,109,94,78,78,16,78,32,62,1
125,172,109,110,109,109,250,78,110,78,125,140,94,78,94,78,47,156,63,422,78,94,78,1
110,359,78,110,78,78,219,94,78,78,62,328,156,141,93,94,78,109,93,547,94,125,93,1
94,313,63,15,94,109,250,93,250,94,94,187,78,62,94,78,47,156,93,203,63,94,78,1
63,94,47,47,63,63,93,156,31,63,78,125,78,141,78,56,78,31,78,78,47,31,63,1
62,16,63,62,63,47,16,0,594,656,62,125,15,16,62,78,140,0,31,47,63,31,78,1
78,31,78,32,62,63,93,0,16,94,94,31,844,62,78,56,78,31,78,172,78,31,63,1
109,16,109,78,47,47,391,438,31,46,78,31,78,109,94,31,109,125,15,78,31,0,94,1
94,0,78,47,94,78,141,0,32,46,31,78,46,110,63,62,125,31,32,110,31,31,94,1
78,109,94,31,78,47,391,0,31,94,110,31,765,31,94,31,109,125,94,62,63,0,94,1
125,31,125,79,93,93,485,594,47,140,78,141,140,125,47,78,47,62,0,125,62,32,93,1
93,16,78,125,94,109,47,125,31,141,32,110,109,109,62,94,125,62,94,15,63,47,93,1
156,16,62,31,94,93,485,234,16,109,125,78,985,32,47,78,47,62,93,125,94,32,93,1
62,63,47,78,31,31,125,63,171,79,62,32,63,78,63,47,78,78,63,78,63,79,78,1
172,15,78,47,63,79,46,47,31,94,78,15,109,125,62,78,78,94,63,125,31,63,78,1
62,0,78,47,62,31,125,46,47,94,62,16,62,78,63,47,78,78,78,62,32,79,78,1
93,547,172,292,79,79,128,225,40,110,63,47,94,203,47,62,78,63,32,93,16,47,94,1
78,16,109,0,63,78,47,609,734,0,79,93,62,78,78,78,79,78,78,0,63,62,47,1
