@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,13,14,16,17,18,22,23,24,25,27,28,33,34,36,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,94,172,128,94,16,62,125,94,94,62,62,94,78,156,47,78,32,93,47,78,63,109,1
125,93,344,110,94,78,156,94,125,62,109,94,63,234,234,63,94,109,156,63,94,203,140,1
141,16,93,94,62,391,110,110,78,109,79,47,78,235,297,31,282,344,62,360,93,32,109,1
93,32,172,93,94,47,94,141,16,125,344,157,94,94,172,31,141,62,94,344,94,62,94,1
234,141,394,79,62,391,110,109,125,188,109,1313,78,235,297,31,282,94,141,266,93,32,109,1
62,32,109,78,63,15,109,62,46,47,63,78,47,94,109,16,47,15,78,47,62,32,78,1
63,15,109,79,78,63,31,62,78,63,15,62,63,62,94,47,78,62,31,63,63,47,94,1
78,63,109,63,63,15,109,63,62,16,79,62,47,94,109,16,47,94,46,47,62,32,78,1
141,15,82,102,118,53,91,144,31,78,16,125,47,78,110,94,343,110,31,125,94,15,125,1
109,188,109,16,110,15,63,94,219,16,110,125,78,93,94,125,125,110,15,109,156,15,109,1
125,15,110,16,118,53,91,125,156,16,78,110,47,78,110,94,343,109,16,125,94,15,125,1
94,31,78,78,94,15,63,63,62,32,46,78,15,79,63,109,16,79,15,47,15,47,16,1
78,16,62,156,78,79,62,78,78,31,79,63,62,125,78,79,172,63,47,78,109,16,79,1
140,31,63,46,94,15,63,79,110,172,16,109,15,79,63,109,16,79,78,62,15,47,16,1
125,62,94,63,109,63,78,47,46,16,63,172,79,78,141,46,32,41,65,78,78,15,63,1
172,16,156,62,94,31,94,203,172,116,41,109,62,79,156,47,46,47,63,62,78,47,46,1
94,31,63,63,109,63,78,110,32,31,62,94,79,78,141,46,32,46,47,94,78,15,63,1
78,62,110,78,78,156,141,125,78,16,94,16,63,94,94,125,16,109,32,109,79,78,62,1
203,31,110,32,78,16,62,94,109,63,109,79,93,79,78,110,93,78,16,93,94,31,63,1
