@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,8,10,15,16,17,18,19,20,21,22,23,24,27,33,34,39,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,172,93,78,47,94,125,15,218,157,78,94,94,172,31,141,15,62,94,94,62,94,1
234,394,79,94,391,110,0,15,1172,1313,297,78,235,297,31,282,109,94,141,93,32,109,1
62,109,78,63,15,109,109,16,62,78,94,47,94,109,16,47,125,15,78,62,32,78,1
63,109,79,31,63,31,0,15,94,62,78,63,62,94,47,78,110,62,31,63,47,94,1
78,109,63,47,15,109,125,16,884,62,94,47,94,109,16,47,125,94,46,62,32,78,1
141,82,102,118,53,91,91,259,875,125,156,47,78,110,94,343,125,110,31,94,15,125,1
109,109,16,63,15,63,78,172,110,125,79,78,93,94,125,125,250,110,15,156,15,109,1
125,110,16,532,53,91,94,223,125,110,156,47,78,110,94,343,125,109,16,94,15,125,1
94,78,78,94,15,63,63,62,657,78,78,15,79,63,109,16,62,79,15,15,47,16,1
78,62,156,78,79,62,515,63,109,63,63,62,125,78,79,172,15,63,47,109,16,79,1
140,63,46,78,15,63,94,62,63,109,78,15,79,63,109,16,62,79,78,15,47,16,1
125,94,63,109,63,78,78,125,63,172,265,79,78,141,46,32,109,41,65,78,15,63,1
172,156,62,78,31,94,78,125,63,109,31,62,79,156,47,46,219,47,63,78,47,46,1
94,63,63,94,63,78,62,125,906,94,265,79,78,141,46,32,109,46,47,78,15,63,1
78,110,78,78,156,141,141,16,109,16,47,63,94,94,125,16,94,109,32,79,78,62,1
203,110,32,110,16,62,172,15,109,79,63,93,79,78,110,93,32,78,16,94,31,63,1
78,78,94,78,156,141,125,109,129,62,47,63,94,94,125,16,94,63,62,79,78,62,1
62,78,47,63,47,62,62,141,63,140,78,62,79,79,140,15,78,47,94,78,16,62,1
78,93,78,63,32,93,78,157,141,62,47,109,47,109,94,47,78,47,47,63,47,78,1
63,94,78,62,47,62,63,140,79,171,78,62,79,79,140,15,78,78,62,78,16,62,1
94,93,47,78,250,328,328,62,1078,94,62,78,344,140,234,125,78,62,125,78,31,94,1
313,31,141,157,79,31,0,62,62,188,62,78,78,16,93,78,62,156,16,62,281,79,1
78,297,125,15,250,328,0,63,0,47,62,78,344,140,234,125,78,79,31,78,31,94,1
93,93,78,78,234,94,94,47,78,156,78,78,78,63,140,828,78,78,297,63,219,78,1
63,47,78,63,188,62,93,63,125,62,62,94,62,78,140,62,344,94,484,78,204,62,1
62,78,47,62,234,94,141,203,110,141,78,78,78,63,140,828,78,62,375,63,219,78,1
93,93,94,62,110,250,250,63,62,204,78,78,63,125,47,32,93,47,78,93,78,63,1
78,94,62,78,31,78,125,16,94,266,63,93,63,125,15,93,547,0,78,62,16,78,1
31,172,0,78,110,250,844,938,1047,1203,78,78,63,125,47,32,93,78,63,93,78,63,1
156,94,93,109,32,171,171,16,126,109,31,47,375,156,47,16,78,47,78,78,31,125,1
62,47,63,47,93,47,110,31,140,94,63,78,78,78,47,109,0,62,16,94,15,94,1
47,109,63,78,32,171,94,31,1176,94,31,47,375,156,47,16,78,94,62,78,31,125,1
125,110,78,93,94,78,78,203,141,0,141,109,63,94,78,16,78,78,78,93,32,62,1
187,93,94,63,31,63,0,0,94,125,234,328,110,110,93,93,32,78,32,94,31,78,1
78,63,78,78,94,78,94,171,78,93,141,109,63,94,78,16,78,78,16,93,32,62,1
125,94,109,109,250,78,78,110,94,172,94,78,110,47,156,265,94,63,422,93,94,78,1
110,79,78,78,219,93,94,78,156,94,93,94,63,78,109,94,140,93,547,110,125,93,1
94,94,63,94,250,78,93,250,78,188,94,78,110,47,156,265,94,93,203,93,94,78,1
63,93,47,63,93,156,156,31,78,63,78,56,73,78,31,15,110,78,78,62,31,63,1
62,63,63,63,16,47,0,594,15,109,62,78,63,140,0,110,62,31,47,63,31,78,1
78,47,78,62,93,156,0,16,844,891,78,56,73,78,31,15,110,78,172,62,31,63,1
109,110,109,47,391,438,438,31,78,32,94,31,78,109,125,16,78,15,78,78,0,94,1
94,93,78,94,141,78,0,32,46,125,63,62,78,125,31,94,78,32,110,78,31,94,1
78,203,94,78,391,438,0,31,765,844,94,31,78,109,125,16,78,94,62,78,0,94,1
125,110,125,93,485,594,594,47,140,16,47,78,78,47,62,16,93,0,125,78,32,93,1
93,125,78,94,47,78,125,31,109,0,62,94,62,125,62,78,94,94,15,94,47,93,1
156,188,62,94,485,594,234,16,985,1078,47,78,78,47,62,16,93,93,125,78,32,93,1
62,93,47,31,125,63,63,171,63,156,63,47,93,78,78,172,78,63,78,46,79,78,1
172,94,78,63,46,47,47,31,109,63,62,78,63,78,94,62,47,63,125,62,63,78,1
62,78,78,62,125,63,46,47,62,141,63,47,93,78,78,172,78,78,62,46,79,78,1
93,156,172,79,128,225,225,40,94,93,47,62,109,78,63,15,62,32,93,94,47,94,1
78,109,109,63,47,62,609,734,62,94,78,78,78,79,78,94,78,78,0,15,62,47,1
78,15,78,78,128,225,0,47,812,78,47,62,109,78,63,15,62,47,78,94,47,94,1
63,63,63,93,63,140,140,188,63,109,47,94,141,78,94,78,62,47,109,93,63,62,1
62,79,94,31,62,78,125,207,94,63,47,78,63,78,125,110,78,47,438,94,31,94,1
62,63,94,78,63,140,47,687,63,125,47,94,141,78,94,78,62,94,47,93,63,62,1
78,94,78,40,271,380,380,47,62,78,47,62,63,125,32,15,78,32,94,62,16,78,1
62,31,78,79,32,78,0,47,94,31,63,62,63,312,63,94,141,62,32,78,31,79,1
63,141,62,94,271,380,125,140,813,891,47,62,63,125,32,15,78,79,31,62,16,78,1
78,94,78,78,140,79,79,250,63,156,125,47,63,63,93,125,62,63,125,62,110,78,1
63,94,63,62,94,62,94,125,125,47,62,78,63,78,110,62,78,78,63,63,47,78,1
63,94,62,47,140,79,78,172,63,187,125,47,63,63,93,125,62,78,78,62,110,78,1
126,125,78,109,31,172,172,31,172,47,0,93,453,140,47,46,79,31,94,78,32,78,1
125,47,109,110,15,78,110,125,15,141,93,110,78,829,31,78,110,62,47,157,31,109,1
141,78,93,78,31,172,172,93,719,875,0,93,453,140,47,46,79,109,0,78,32,78,1
62,110,78,63,78,62,62,94,47,547,32,62,110,78,94,0,78,31,79,78,62,63,1
94,0,47,62,61,52,78,94,31,110,78,78,63,62,110,94,15,31,31,78,47,78,1
94,93,94,47,78,62,79,78,895,62,32,62,110,78,94,0,78,78,47,78,62,63,1
125,94,78,93,188,78,78,31,78,110,78,63,62,78,110,125,110,125,125,78,32,125,1
156,140,109,94,0,78,0,31,78,156,78,47,63,62,94,94,235,125,0,62,235,125,1
109,78,78,109,188,78,0,0,203,62,78,63,62,78,110,125,110,125,31,78,32,125,1
125,109,125,47,109,203,203,47,93,0,16,62,94,157,31,31,47,156,110,78,16,62,1
47,32,31,31,94,0,1469,140,47,32,78,78,78,0,47,156,16,31,125,63,31,94,1
16,47,31,62,109,203,141,15,859,110,16,62,94,157,31,31,47,94,0,78,16,62,1
141,110,94,78,203,78,78,249,94,531,234,79,93,94,140,47,109,78,391,78,109,94,1
109,94,109,78,157,78,62,204,157,78,281,63,93,94,172,94,110,78,516,94,125,93,1
110,109,407,78,203,78,1109,63,63,250,234,79,93,94,140,47,109,93,235,78,109,94,1
156,47,140,78,79,110,110,15,469,578,63,78,79,63,47,31,63,48,5,46,109,78,1
15,31,93,31,94,31,141,0,47,140,31,78,63,16,78,109,31,16,94,16,109,16,1
63,235,110,16,79,110,438,125,0,62,63,78,79,63,47,31,63,16,110,46,109,78,1
156,125,109,187,109,157,157,156,125,110,94,109,63,94,203,157,171,110,93,141,15,94,1
125,156,94,109,141,47,172,0,125,156,93,110,62,16,141,172,78,531,140,125,63,93,1
250,312,93,125,109,157,94,156,750,125,94,109,63,94,203,157,171,93,110,141,15,94,1
125,125,94,94,125,125,125,78,94,109,94,62,94,125,94,110,93,94,47,109,62,79,1
141,125,94,94,47,109,109,32,94,125,47,93,78,156,47,94,453,94,31,109,94,94,1
109,156,93,109,125,125,125,47,125,94,94,62,94,125,94,110,93,94,78,109,62,79,1
78,109,63,78,125,94,94,219,78,94,93,63,78,78,110,46,63,63,94,110,62,94,1
109,78,62,78,31,78,94,187,63,78,78,109,47,94,93,63,109,63,16,78,109,63,1
78,109,63,94,125,94,110,234,93,125,93,63,78,78,110,46,63,63,31,110,62,94,1
93,110,171,94,47,156,156,32,110,47,15,141,94,250,31,16,114,78,109,125,0,109,1
94,0,110,172,0,63,110,78,0,140,62,110,93,125,93,93,110,62,140,78,0,125,1
250,312,109,78,47,156,125,79,860,125,15,141,94,250,31,16,114,125,0,125,0,109,1
125,78,78,78,16,141,141,62,109,32,47,47,63,62,140,78,16,0,110,110,62,156,1
78,32,125,78,78,63,0,15,47,93,78,109,63,78,93,109,187,94,15,94,31,78,1
78,79,78,94,16,141,187,0,937,94,47,47,63,62,140,78,16,78,141,110,62,156,1
93,94,109,297,16,203,203,15,94,188,157,62,125,94,78,94,78,94,109,109,31,110,1
172,219,94,78,32,78,156,16,16,141,110,93,79,109,63,78,109,15,78,78,15,78,1
62,63,94,125,16,203,0,47,110,78,157,62,125,94,78,94,78,78,15,109,31,110,1
94,125,109,110,109,203,203,78,94,343,156,78,125,109,63,110,93,78,94,94,47,78,1
500,141,109,78,47,62,0,15,141,266,79,62,94,78,110,94,172,79,78,78,31,94,1
93,94,110,93,109,203,0,47,1020,1114,156,78,125,109,63,110,93,94,484,94,47,78,1
156,78,141,109,31,78,78,32,687,125,94,16,62,47,125,47,63,31,78,0,78,16,1
78,15,47,47,156,16,531,625,0,78,31,94,62,94,0,109,31,32,78,31,62,0,1
78,62,31,47,31,78,671,193,797,937,94,16,62,47,125,47,63,0,79,0,78,16,1
110,109,141,110,31,125,125,31,610,109,125,47,93,47,141,16,63,46,109,15,93,47,1
47,62,94,125,110,94,0,0,125,203,47,93,79,0,93,78,156,0,94,0,63,93,1
32,15,203,16,31,125,657,720,656,781,125,47,93,47,141,16,63,93,63,15,93,47,1
94,62,63,63,172,78,78,31,109,125,40,60,106,47,125,94,62,63,94,78,79,62,1
78,47,63,62,62,63,78,250,115,76,47,78,31,78,109,176,13,63,78,62,141,62,1
63,62,62,94,172,78,62,188,62,63,40,60,106,47,125,94,62,62,141,78,79,62,1
78,110,109,109,79,109,109,31,0,16,141,62,109,140,16,203,63,32,78,63,16,62,2
78,94,93,63,63,62,0,31,62,203,78,78,63,109,16,63,94,78,265,78,16,78,2
78,328,78,62,79,109,0,16,813,156,141,62,109,140,16,203,63,78,219,63,16,62,2
375,78,62,94,156,250,250,31,93,157,156,63,62,94,62,47,78,156,63,93,47,110,2
94,219,63,47,47,62,0,32,172,219,63,62,63,79,78,62,266,16,78,110,31,78,2
171,218,94,125,156,250,62,94,953,1047,156,63,62,94,62,47,78,78,110,93,47,110,2
109,172,78,94,141,250,250,47,0,31,63,62,78,32,141,78,16,16,78,63,31,78,2
63,110,94,94,172,16,0,47,141,31,15,63,78,31,94,63,125,16,78,63,31,110,2
32,110,62,78,141,250,906,1000,735,797,63,62,78,32,141,78,16,110,15,63,31,78,2
62,109,62,78,31,109,109,31,0,47,16,188,359,218,47,47,62,16,78,47,46,63,2
47,63,63,32,16,47,0,15,79,93,62,63,94,94,15,156,16,16,78,63,47,47,2
63,110,78,79,31,109,0,31,703,766,16,188,359,218,47,47,62,47,15,47,46,63,2
172,94,78,94,31,140,140,31,94,125,125,63,109,62,94,94,109,125,78,78,78,62,2
219,125,94,94,62,78,0,16,94,46,78,78,63,94,109,78,78,16,78,78,63,78,2
140,219,94,78,31,140,109,16,937,63,125,63,109,62,94,94,109,78,94,78,78,62,2
57,113,69,90,63,80,80,442,78,297,47,78,78,69,111,78,109,81,37,33,69,61,2
192,68,98,65,31,78,70,411,172,94,58,68,150,78,94,62,141,79,13,78,63,78,2
74,39,79,104,63,80,73,185,74,258,47,78,78,69,111,78,109,78,15,33,69,61,2
110,125,94,109,63,172,172,47,78,109,110,250,78,156,63,47,125,15,63,78,78,125,2
94,78,78,63,16,78,0,31,141,78,78,78,63,110,47,94,62,410,94,109,172,125,2
187,110,78,78,63,172,0,15,828,94,110,250,78,156,63,47,125,125,266,78,78,125,2
93,125,63,93,32,187,187,0,562,110,16,94,78,94,78,15,78,20,88,109,16,93,2
125,47,94,93,16,62,110,31,94,78,47,47,63,94,31,172,15,32,32,63,46,125,2
78,125,78,93,32,187,109,47,719,94,16,94,78,94,78,15,78,125,15,109,16,93,2
62,78,63,78,219,62,62,31,78,109,547,63,1015,79,125,203,62,62,188,47,47,78,2
62,62,47,46,63,78,63,94,125,94,31,828,62,93,110,62,485,47,172,63,62,63,2
31,47,47,62,219,62,47,78,79,171,547,63,1015,79,125,203,62,63,125,47,47,78,2
109,109,78,125,63,109,109,47,109,47,63,78,109,78,93,47,78,47,78,79,31,78,2
94,156,78,78,31,110,78,78,63,93,78,78,78,109,110,94,62,78,78,78,31,94,2
125,94,94,94,63,109,93,78,843,984,63,78,109,78,93,47,78,94,31,79,31,78,2
