@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,5,6,8,11,14,15,16,23,24,25,27,28,30,33,34,36,37,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
129,297,110,594,15,172,31,0,94,140,94,125,125,94,78,172,16,110,282,406,16,156,313,391,1
125,344,78,219,15,141,390,0,125,31,141,187,94,94,109,125,203,62,172,31,109,78,110,109,1
296,110,110,141,94,94,156,156,63,78,109,31,110,94,78,63,234,63,94,125,94,94,203,140,1
94,94,172,128,93,94,62,0,78,94,94,94,62,641,62,94,156,47,78,93,47,78,63,109,1
93,32,344,110,94,94,156,125,94,94,125,62,109,94,94,63,234,63,94,156,63,94,203,140,1
16,93,93,94,62,62,110,110,235,93,78,109,79,125,47,78,297,31,282,62,360,93,32,109,1
32,93,172,93,78,94,94,125,78,250,16,125,344,125,157,94,172,31,141,94,344,94,62,94,1
141,62,394,79,94,62,110,0,63,218,125,188,109,94,1313,78,297,31,282,141,266,93,32,109,1
32,109,109,78,63,63,109,109,141,63,46,47,63,63,78,47,109,16,47,78,47,62,32,78,1
15,94,109,79,31,78,31,0,78,78,78,63,15,93,62,63,94,47,78,31,63,63,47,94,1
63,62,109,63,47,63,109,125,31,94,62,16,79,78,62,47,109,16,47,46,47,62,32,78,1
15,82,82,102,118,118,91,91,62,109,31,78,16,125,125,47,110,94,343,31,125,94,15,125,1
188,62,109,16,63,110,63,78,78,157,219,16,110,16,125,78,94,125,125,15,109,156,15,109,1
15,110,110,16,532,118,91,94,93,110,156,16,78,171,110,47,110,94,343,16,125,94,15,125,1
31,78,78,78,94,94,63,63,94,78,62,32,46,31,78,15,63,109,16,15,47,15,47,16,1
16,62,62,156,78,78,62,515,62,78,78,31,79,15,63,62,78,79,172,47,78,109,16,79,1
31,63,63,46,78,94,63,94,63,109,110,172,16,110,109,15,63,109,16,78,62,15,47,16,1
62,94,94,63,109,109,78,78,109,172,46,16,63,125,172,79,141,46,32,65,78,78,15,63,1
16,78,156,62,78,94,94,78,93,110,172,116,41,63,109,62,156,47,46,63,62,78,47,46,1
31,47,63,63,94,109,78,62,47,63,32,31,62,94,94,79,141,46,32,47,94,78,15,63,1
62,110,110,78,78,78,141,141,125,203,78,16,94,109,16,63,94,125,16,32,109,79,78,62,1
31,125,110,32,110,78,62,172,62,125,109,63,109,78,79,93,78,110,93,16,93,94,31,63,1
47,78,78,94,78,78,141,125,78,109,94,15,63,63,62,63,94,125,16,62,47,79,78,62,1
32,78,78,47,63,63,62,62,125,78,62,110,78,78,140,62,79,140,15,94,63,78,16,62,1
47,62,93,78,63,62,93,78,62,125,94,203,47,78,62,109,109,94,47,47,62,63,47,78,1
125,47,94,78,62,63,62,63,47,141,78,31,63,63,171,62,79,140,15,62,63,78,16,62,1
141,93,93,47,78,78,328,328,93,313,47,78,125,422,94,78,140,234,125,125,125,78,31,94,1
109,32,31,141,157,46,31,0,94,140,140,235,62,359,188,78,16,93,78,16,78,62,281,79,1
78,156,297,125,15,78,328,0,63,62,109,141,62,94,47,78,140,234,125,31,109,78,31,94,1
282,93,93,78,78,78,94,94,984,63,63,218,47,79,156,78,63,140,828,297,78,63,219,78,1
297,62,47,78,63,62,62,93,63,203,78,250,78,93,62,94,78,140,62,484,79,78,204,62,1
797,94,78,47,62,78,94,141,78,125,78,375,47,62,141,78,63,140,828,375,63,63,219,78,1
32,93,93,94,62,62,250,250,94,78,125,46,0,187,204,78,125,47,32,78,78,93,78,63,1
16,94,94,62,78,78,78,125,62,141,78,16,47,62,266,93,125,15,93,78,31,62,16,78,1
172,0,172,0,78,62,250,844,46,94,109,32,78,94,1203,78,125,47,32,63,187,93,78,63,1
0,94,94,93,109,109,171,171,125,62,63,62,63,156,109,47,156,47,16,78,16,78,31,125,1
16,94,47,63,47,94,47,110,78,78,94,109,47,93,94,78,78,47,109,16,62,94,15,94,1
31,62,109,63,78,109,171,94,63,140,62,125,109,125,94,47,156,47,16,62,78,78,31,125,1
15,110,110,78,93,93,78,78,94,187,141,0,78,78,0,109,94,78,16,78,78,93,32,62,1
16,78,93,94,63,78,63,0,62,125,94,63,78,93,125,328,110,93,93,32,62,94,31,78,1
31,78,63,78,78,93,78,94,78,94,109,16,62,79,93,109,94,78,16,16,78,93,32,62,1
172,94,94,109,109,109,78,78,156,110,125,140,63,62,172,78,47,156,265,422,78,93,94,78,1
359,94,79,78,78,78,93,94,93,610,62,328,63,109,94,94,78,109,94,547,94,110,125,93,1
313,93,94,63,94,109,78,93,63,156,94,187,78,109,188,78,47,156,265,203,63,93,94,78,1
94,93,93,47,63,63,156,156,469,62,78,125,78,141,63,56,78,31,15,78,47,62,31,63,1
16,47,63,63,63,47,47,0,166,16,62,125,78,78,109,78,140,0,110,47,63,63,31,78,1
31,31,47,78,62,63,156,0,141,15,94,31,63,78,891,56,78,31,15,172,78,62,31,63,1
16,110,110,109,47,47,438,438,62,94,78,31,94,110,32,31,109,125,16,78,31,78,0,94,1
0,109,93,78,94,78,78,0,94,78,31,78,15,63,125,62,125,31,94,110,31,78,31,94,1
109,32,203,94,78,47,438,0,47,46,110,31,94,0,844,31,109,125,16,62,63,78,0,94,1
31,110,110,125,93,93,594,594,47,93,78,141,62,125,16,78,47,62,16,125,62,78,32,93,1
16,94,125,78,94,109,78,125,79,109,32,110,0,78,0,94,125,62,78,15,63,94,47,93,1
16,94,188,62,94,93,594,234,94,109,125,78,94,109,1078,78,47,62,16,125,94,78,32,93,1
63,93,93,47,31,31,63,63,109,172,62,32,78,78,156,47,78,78,172,78,63,46,79,78,1
15,93,94,78,63,79,47,47,63,125,78,15,63,78,63,78,78,94,62,125,31,62,63,78,1
0,63,78,78,62,31,63,46,47,109,62,16,62,62,141,47,78,78,172,62,32,46,79,78,1
547,156,156,172,79,79,225,225,78,78,63,47,78,15,93,62,78,63,15,93,16,94,47,94,1
16,109,109,109,63,78,62,609,63,172,79,93,32,109,94,78,79,78,94,0,63,15,62,47,1
78,78,15,78,78,79,225,0,32,62,94,31,172,47,78,62,78,63,15,78,47,94,47,94,1
15,63,63,63,93,93,140,140,141,62,63,578,94,78,109,94,78,94,78,109,47,93,63,62,1
78,125,79,94,31,79,78,125,62,156,94,78,47,94,63,78,78,125,110,438,62,94,31,94,1
31,47,63,94,78,93,140,47,62,94,125,453,78,63,125,94,78,94,78,47,62,93,63,62,1
47,94,94,78,40,40,380,380,15,62,47,16,62,94,78,62,125,32,15,94,31,62,16,78,1
31,78,31,78,79,78,78,0,157,15,62,31,32,78,31,62,312,63,94,32,62,78,31,79,1
0,62,141,62,94,40,380,125,0,94,62,0,32,76,891,62,125,32,15,31,156,62,16,78,1
94,94,94,78,78,78,79,79,125,63,47,141,62,62,156,47,63,93,125,125,62,62,110,78,1
47,78,94,63,62,63,62,94,62,172,78,78,63,78,47,78,78,110,62,63,46,63,47,78,1
78,78,94,62,47,78,79,78,63,125,63,125,83,47,187,47,63,93,125,78,47,62,110,78,1
31,125,125,78,109,109,172,172,46,125,94,16,93,109,47,93,140,47,46,94,78,78,32,78,1
46,125,47,109,110,125,78,110,94,47,31,63,31,94,141,110,829,31,78,47,94,157,31,109,1
0,62,78,93,78,109,172,172,78,15,94,78,94,94,875,93,140,47,46,0,110,78,32,78,1
78,110,110,78,63,63,62,62,47,94,78,31,94,93,547,62,78,94,0,79,46,78,62,63,1
0,78,0,47,62,78,52,78,62,141,63,62,31,47,110,78,62,110,94,31,94,78,47,78,1
47,31,93,94,47,63,62,79,94,31,94,47,78,109,62,62,78,94,0,47,78,78,62,63,1
16,94,94,78,93,93,78,78,62,156,110,31,78,109,110,63,78,110,125,125,125,78,32,125,1
16,62,140,109,94,78,78,0,94,313,156,31,125,78,156,47,62,94,94,0,94,62,235,125,1
31,125,78,78,109,93,78,0,62,78,156,16,94,78,62,63,78,110,125,31,109,78,32,125,1
16,109,109,125,47,47,203,203,78,47,31,63,31,47,0,62,157,31,31,110,62,78,16,62,1
78,16,32,31,31,344,0,1469,78,63,0,62,156,125,32,78,0,47,156,125,15,63,31,94,1
79,31,47,31,62,47,203,141,0,47,125,719,109,78,110,62,157,31,31,0,62,78,16,62,1
62,110,110,94,78,78,78,78,282,109,78,344,407,78,531,79,94,140,47,391,109,78,109,94,1
63,93,94,109,78,62,78,62,63,172,78,172,78,109,78,63,94,172,94,516,78,94,125,93,1
