@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,6,8,11,12,14,16,19,20,23,24,27,28,31,33,34,41,42,43'

@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
109,78,63,63,109,62,141,63,63,63,62,78,47,94,16,47,125,15,78,47,62,1
94,79,31,78,0,62,78,78,15,93,94,62,63,62,47,78,110,62,31,63,63,1
62,63,47,63,125,63,31,94,79,78,884,62,47,94,16,47,125,94,46,47,62,1
82,102,118,118,91,144,62,109,16,125,875,125,47,78,94,343,125,110,31,125,94,1
62,16,63,110,78,94,78,157,110,16,110,125,78,93,125,125,250,110,15,109,156,1
110,16,532,118,94,125,93,110,78,171,125,110,47,78,94,343,125,109,16,125,94,1
78,78,94,94,63,63,94,78,46,31,657,78,15,79,109,16,62,79,15,47,15,1
62,156,78,78,515,78,62,78,79,15,109,63,62,125,79,172,15,63,47,78,109,1
63,46,78,94,94,79,63,109,16,110,63,109,15,79,109,16,62,79,78,62,15,1
94,63,109,109,78,47,109,172,63,125,63,172,79,78,46,32,109,41,65,78,78,1
78,62,78,94,78,203,93,110,41,63,63,109,62,79,47,46,219,47,63,62,78,1
47,63,94,109,62,110,47,63,62,94,906,94,79,78,46,32,109,46,47,94,78,1
110,78,78,78,141,125,125,203,94,109,109,16,63,94,125,16,94,109,32,109,79,1
125,32,110,78,172,94,62,125,109,78,109,79,93,79,110,93,32,78,16,93,94,1
78,94,78,78,125,125,78,109,63,63,129,62,63,94,125,16,94,63,62,47,79,1
78,47,63,63,62,62,125,78,78,78,63,140,62,79,140,15,78,47,94,63,78,1
62,78,63,62,78,62,62,125,47,78,141,62,109,47,94,47,78,47,47,62,63,1
47,78,62,63,63,78,47,141,63,63,79,171,62,79,140,15,78,78,62,63,78,1
93,47,78,78,328,172,93,313,125,422,1078,94,78,344,234,125,78,62,125,125,78,1
32,141,157,46,0,172,94,140,62,359,62,188,78,78,93,78,62,156,16,78,62,1
156,125,15,78,0,172,63,62,62,94,0,47,78,344,234,125,78,79,31,109,78,1
93,78,78,78,94,94,984,63,47,79,78,156,78,78,140,828,78,78,297,78,63,1
62,78,63,62,93,109,63,203,78,93,125,62,94,62,140,62,344,94,484,79,78,1
94,47,62,78,141,109,78,125,47,62,110,141,78,78,140,828,78,62,375,63,63,1
93,94,62,62,250,63,94,78,0,187,62,204,78,63,47,32,93,47,78,78,93,1
94,62,78,78,125,63,62,141,47,62,94,266,93,63,15,93,547,0,78,31,62,1
0,0,78,62,844,31,46,94,78,94,1047,1203,78,63,47,32,93,78,63,187,93,1
94,93,109,109,171,109,125,62,63,156,126,109,47,375,47,16,78,47,78,16,78,1
94,63,47,94,110,109,78,78,47,93,140,94,78,78,47,109,0,62,16,62,94,1
62,63,78,109,94,125,63,140,109,125,1176,94,47,375,47,16,78,94,62,78,78,1
110,78,93,93,78,63,94,187,78,78,141,0,109,63,78,16,78,78,78,78,93,1
78,94,63,78,0,94,62,125,78,93,94,125,328,110,93,93,32,78,32,62,94,1
78,78,78,93,94,63,78,94,62,79,78,93,109,63,78,16,78,78,16,78,93,1
94,109,109,109,78,78,156,110,63,62,94,172,78,110,156,265,94,63,422,78,93,1
94,78,78,78,94,78,93,610,63,109,156,94,94,63,109,94,140,93,547,94,110,1
93,63,94,109,93,94,63,156,78,109,78,188,78,110,156,265,94,93,203,63,93,1
93,47,63,63,156,63,469,62,78,141,78,63,56,73,31,15,110,78,78,47,62,1
47,63,63,47,0,656,166,16,78,78,15,109,78,63,0,110,62,31,47,63,63,1
31,78,62,63,0,94,141,15,63,78,844,891,56,73,31,15,110,78,172,78,62,1
110,109,47,47,438,46,62,94,94,110,78,32,31,78,125,16,78,15,78,31,78,1
109,78,94,78,0,46,94,78,15,63,46,125,62,78,31,94,78,32,110,31,78,1
32,94,78,47,0,94,47,46,94,0,765,844,31,78,125,16,78,94,62,63,78,1
110,125,93,93,594,140,47,93,62,125,140,16,78,78,62,16,93,0,125,62,78,1
94,78,94,109,125,141,79,109,0,78,109,0,94,62,62,78,94,94,15,63,94,1
94,62,94,93,234,109,94,109,94,109,985,1078,78,78,62,16,93,93,125,94,78,1
93,47,31,31,63,79,109,172,78,78,63,156,47,93,78,172,78,63,78,63,46,1
93,78,63,79,47,94,63,125,63,78,109,63,78,63,94,62,47,63,125,31,62,1
63,78,62,31,46,94,47,109,62,62,62,141,47,93,78,172,78,78,62,32,46,1
156,172,79,79,225,110,78,78,78,15,94,93,62,109,63,15,62,32,93,16,94,1
109,109,63,78,609,0,63,172,32,109,62,94,78,78,78,94,78,78,0,63,15,1
78,78,78,79,0,141,32,62,172,47,812,78,62,109,63,15,62,47,78,47,94,1
63,63,93,93,140,109,141,62,94,78,63,109,94,141,94,78,62,47,109,47,93,1
125,94,31,79,125,109,62,156,47,94,94,63,78,63,125,110,78,47,438,62,94,1
47,94,78,93,47,94,62,94,78,63,63,125,94,141,94,78,62,94,47,62,93,1
94,78,40,40,380,125,15,62,62,94,62,78,62,63,32,15,78,32,94,31,62,1
78,78,79,78,0,125,157,15,32,78,94,31,62,63,63,94,141,62,32,62,78,1
62,62,94,40,125,94,0,94,32,76,813,891,62,63,32,15,78,79,31,156,62,1
94,78,78,78,79,93,125,63,62,62,63,156,47,63,93,125,62,63,125,62,62,1
78,63,62,63,94,125,62,172,63,78,125,47,78,63,110,62,78,78,63,46,63,1
78,62,47,78,78,125,63,125,83,47,63,187,47,63,93,125,62,78,78,47,62,1
125,78,109,109,172,156,46,125,93,109,172,47,93,453,47,46,79,31,94,78,78,1
125,109,110,125,110,156,94,47,31,94,15,141,110,78,31,78,110,62,47,94,157,1
62,93,78,109,172,157,78,15,94,94,719,875,93,453,47,46,79,109,0,110,78,1
110,78,63,63,62,94,47,94,94,93,47,547,62,110,94,0,78,31,79,46,78,1
78,47,62,78,78,188,62,141,31,47,31,110,78,63,110,94,15,31,31,94,78,1
31,94,47,63,79,78,94,31,78,109,895,62,62,110,94,0,78,78,47,78,78,1
94,78,93,93,78,94,62,156,78,109,78,110,63,62,110,125,110,125,125,125,78,1
62,109,94,78,0,109,94,313,125,78,78,156,47,63,94,94,235,125,0,94,62,1
125,78,109,93,0,94,62,78,94,78,203,62,63,62,110,125,110,125,31,109,78,1
109,125,47,47,203,62,78,47,31,47,93,0,62,94,31,31,47,156,110,62,78,1
16,31,31,344,1469,31,78,63,156,125,47,32,78,78,47,156,16,31,125,15,63,1
31,31,62,47,141,125,0,47,109,78,859,110,62,94,31,31,47,94,0,62,78,1
110,94,78,78,78,88,282,109,407,78,94,531,79,93,140,47,109,78,391,109,78,1
93,109,78,62,62,78,63,172,78,109,157,78,63,93,172,94,110,78,516,78,94,1
78,407,78,78,1109,250,93,157,78,78,63,250,79,93,140,47,109,93,235,78,78,1
47,140,78,78,110,110,47,15,110,94,469,578,78,79,47,31,63,48,5,84,46,1
31,93,31,15,141,94,188,31,48,46,47,140,78,63,78,109,31,16,94,0,16,1
16,110,16,78,438,31,32,47,79,93,0,62,78,79,47,31,63,16,110,15,46,1
125,109,187,187,157,94,203,125,93,218,125,110,109,63,203,157,171,110,93,161,141,1
109,94,109,78,172,172,93,500,110,297,125,156,110,62,141,172,78,531,140,516,125,1
531,93,125,187,94,110,78,125,78,110,750,125,109,63,203,157,171,93,110,109,141,1
125,94,94,94,125,125,109,141,93,78,94,109,62,94,94,110,93,94,47,109,109,1
125,94,94,94,109,171,94,140,94,109,94,125,93,78,47,94,453,94,31,125,109,1
