@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,9,10,12,13,15,16,23,24,25,27,30,33,34,36,37,38,39,42,43'

@attribute dtfk1 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
78,31,156,16,125,203,78,16,94,109,16,47,63,94,125,16,79,78,1
203,218,16,15,62,125,109,63,109,78,79,63,93,78,110,93,94,31,1
78,31,156,109,78,109,94,15,63,63,62,47,63,94,125,16,79,78,1
62,46,47,141,125,78,62,110,78,78,140,78,62,79,140,15,78,16,1
78,78,32,157,62,125,94,203,47,78,62,47,109,109,94,47,63,47,1
63,47,47,140,47,141,78,31,63,63,171,78,62,79,140,15,78,16,1
94,47,250,62,93,313,47,78,125,422,94,62,78,140,234,125,78,31,1
313,62,79,62,94,140,140,235,62,359,188,62,78,16,93,78,62,281,1
78,78,250,63,63,62,109,141,62,94,47,62,78,140,234,125,78,31,1
93,891,234,47,984,63,63,218,47,79,156,78,78,63,140,828,63,219,1
63,250,188,63,63,203,78,250,78,93,62,62,94,78,140,62,78,204,1
62,235,234,203,78,125,78,375,47,62,141,78,78,63,140,828,63,219,1
93,78,110,63,94,78,125,46,0,187,204,78,78,125,47,32,93,78,1
78,47,31,16,62,141,78,16,47,62,266,63,93,125,15,93,62,16,1
31,16,110,938,46,94,109,32,78,94,1203,78,78,125,47,32,93,78,1
156,16,32,16,125,62,63,62,63,156,109,31,47,156,47,16,78,31,1
62,47,93,31,78,78,94,109,47,93,94,63,78,78,47,109,94,15,1
47,62,32,31,63,140,62,125,109,125,94,31,47,156,47,16,78,31,1
125,63,94,203,94,187,141,0,78,78,0,141,109,94,78,16,93,32,1
187,62,31,0,62,125,94,63,78,93,125,234,328,110,93,93,94,31,1
78,63,94,171,78,94,109,16,62,79,93,141,109,94,78,16,93,32,1
125,110,250,110,156,110,125,140,63,62,172,94,78,47,156,265,93,94,1
110,110,219,78,93,610,62,328,63,109,94,93,94,78,109,94,110,125,1
94,15,250,250,63,156,94,187,78,109,188,94,78,47,156,265,93,94,1
63,47,93,31,469,62,78,125,78,141,63,78,56,78,31,15,62,31,1
62,62,16,594,166,16,62,125,78,78,109,62,78,140,0,110,63,31,1
78,32,93,16,141,15,94,31,63,78,891,78,56,78,31,15,62,31,1
109,78,391,31,62,94,78,31,94,110,32,94,31,109,125,16,78,0,1
94,47,141,32,94,78,31,78,15,63,125,63,62,125,31,94,78,31,1
78,31,391,31,47,46,110,31,94,0,844,94,31,109,125,16,78,0,1
125,79,485,47,47,93,78,141,62,125,16,47,78,47,62,16,78,32,1
93,125,47,31,79,109,32,110,0,78,0,62,94,125,62,78,94,47,1
156,31,485,16,94,109,125,78,94,109,1078,47,78,47,62,16,78,32,1
62,78,125,171,109,172,62,32,78,78,156,63,47,78,78,172,46,79,1
172,47,46,31,63,125,78,15,63,78,63,62,78,78,94,62,62,63,1
62,47,125,47,47,109,62,16,62,62,141,63,47,78,78,172,46,79,1
93,292,128,40,78,78,63,47,78,15,93,47,62,78,63,15,94,47,1
78,0,47,734,63,172,79,93,32,109,94,78,78,79,78,94,15,62,1
78,297,128,47,32,62,94,31,172,47,78,47,62,78,63,15,94,47,1
63,16,63,188,141,62,63,578,94,78,109,47,94,78,94,78,93,63,1
62,78,62,207,62,156,94,78,47,94,63,47,78,78,125,110,94,31,1
62,62,63,687,62,94,125,453,78,63,125,47,94,78,94,78,93,63,1
78,52,271,47,15,62,47,16,62,94,78,47,62,125,32,15,62,16,1
62,31,32,47,157,15,62,31,32,78,31,63,62,312,63,94,78,31,1
63,16,271,140,0,94,62,0,32,76,891,47,62,125,32,15,62,16,1
78,563,140,250,125,63,47,141,62,62,156,125,47,63,93,125,62,110,1
63,109,94,125,62,172,78,78,63,78,47,62,78,78,110,62,63,47,1
63,78,140,172,63,125,63,125,83,47,187,125,47,63,93,125,62,110,1
126,31,31,31,46,125,94,16,93,109,47,0,93,140,47,46,78,32,1
125,0,15,125,94,47,31,63,31,94,141,93,110,829,31,78,157,31,1
141,32,31,93,78,15,94,78,94,94,875,0,93,140,47,46,78,32,1
62,16,78,94,47,94,78,31,94,93,547,32,62,78,94,0,78,62,1
94,31,61,94,62,141,63,62,31,47,110,78,78,62,110,94,78,47,1
94,62,78,78,94,31,94,47,78,109,62,32,62,78,94,0,78,62,1
125,63,188,31,62,156,110,31,78,109,110,78,63,78,110,125,78,32,1
156,31,0,31,94,313,156,31,125,78,156,78,47,62,94,94,62,235,1
109,47,188,0,62,78,156,16,94,78,62,78,63,78,110,125,78,32,1
125,0,109,47,78,47,31,63,31,47,0,16,62,157,31,31,78,16,1
47,109,94,140,78,63,0,62,156,125,32,78,78,0,47,156,63,31,1
16,78,109,15,0,47,125,719,109,78,110,16,62,157,31,31,78,16,1
141,62,203,249,282,109,78,344,407,78,531,234,79,94,140,47,78,109,1
109,94,157,204,63,172,78,172,78,109,78,281,63,94,172,94,94,125,1
110,15,203,63,93,157,94,203,78,78,250,234,79,94,140,47,78,109,1
156,32,79,15,47,15,78,16,110,94,578,63,78,63,47,31,46,109,1
15,32,94,0,188,31,16,78,48,46,140,31,78,16,78,109,16,109,1
63,15,79,125,32,47,625,32,79,93,62,63,78,63,47,31,46,109,1
156,32,109,156,203,125,110,94,93,218,110,94,109,94,203,157,141,15,1
125,125,141,0,93,500,125,125,110,297,156,93,110,16,141,172,125,63,1
250,63,109,156,78,125,141,140,78,110,125,94,109,94,203,157,141,15,1
125,93,125,78,109,141,109,63,93,78,109,94,62,125,94,110,109,62,1
141,78,47,32,94,140,110,140,94,109,125,47,93,156,47,94,109,94,1
109,63,125,47,140,94,125,110,78,110,94,94,62,125,94,110,109,62,1
78,62,125,219,94,109,78,109,63,94,94,93,63,78,110,46,110,62,1
109,47,31,187,62,125,110,15,63,94,78,78,109,94,93,63,78,109,1
78,15,125,234,109,63,93,0,63,94,125,93,63,78,110,46,110,62,1
93,16,47,32,15,94,94,31,109,141,47,15,141,250,31,16,125,0,1
94,47,0,78,109,47,62,109,78,94,140,62,110,125,93,93,78,0,1
250,32,47,79,125,0,141,15,94,94,125,15,141,250,31,16,125,0,1
125,31,16,62,79,78,78,63,78,140,32,47,47,62,140,78,110,62,1
78,16,78,15,62,110,78,78,0,172,93,78,109,78,93,109,94,31,1
78,31,16,0,0,47,140,63,62,78,94,47,47,62,140,78,110,62,1
93,203,16,15,63,172,125,16,94,78,188,157,62,94,78,94,109,31,1
172,31,32,16,78,94,109,0,94,94,141,110,93,109,63,78,78,15,1
62,16,16,47,125,16,47,16,172,78,78,157,62,94,78,94,109,31,1
94,141,109,78,390,500,125,47,110,110,343,156,78,109,63,110,94,47,1
500,485,47,15,63,609,46,109,78,110,266,79,62,78,110,94,78,31,1
93,78,109,47,78,141,141,31,110,78,1114,156,78,109,63,110,94,47,1
156,47,31,32,62,78,15,47,31,78,125,94,16,47,125,47,0,78,1
78,63,156,625,79,172,47,79,31,31,78,31,94,94,0,109,31,62,1
78,63,31,193,109,0,78,32,93,16,937,94,16,47,125,47,0,78,1
110,15,31,31,31,47,63,125,203,203,109,125,47,47,141,16,15,93,1
47,15,110,0,63,78,0,16,46,16,203,47,93,0,93,78,0,63,1
32,16,31,720,47,125,250,78,453,94,781,125,47,47,141,16,15,93,1
94,31,172,31,141,78,78,79,62,63,125,40,60,47,125,94,78,79,1
78,297,62,250,67,91,94,93,63,78,76,47,78,78,109,176,62,141,1
63,47,172,188,86,115,78,140,63,74,63,40,60,47,125,94,78,79,1
78,297,79,31,125,78,47,234,78,110,16,141,62,140,16,203,63,16,2
78,203,63,31,47,203,94,109,32,78,203,78,78,109,16,63,78,16,2
78,172,79,16,251,62,125,109,109,63,156,141,62,140,16,203,63,16,2
375,94,156,31,125,94,109,62,94,109,157,156,63,94,62,47,93,47,2
94,62,47,32,94,16,47,125,156,78,219,63,62,79,78,62,110,31,2
171,47,156,94,46,172,63,15,62,109,1047,156,63,94,62,47,93,47,2
109,16,141,47,15,63,62,47,62,47,31,63,62,32,141,78,63,31,2
63,31,172,47,172,47,47,125,16,94,31,15,63,31,94,63,63,31,2
32,16,141,1000,31,141,94,203,78,91,797,63,62,32,141,78,63,31,2
62,32,31,31,140,47,62,32,78,62,47,16,188,218,47,47,47,46,2
47,15,16,15,78,47,31,47,16,62,93,62,63,94,15,156,63,47,2
63,15,31,31,32,79,125,78,78,62,766,16,188,218,47,47,47,46,2
172,94,31,31,141,219,93,16,94,94,125,125,63,62,94,94,78,78,2
219,62,62,16,62,110,31,109,125,94,46,78,78,94,109,78,78,63,2
140,47,31,16,78,94,109,16,78,62,63,125,63,62,94,94,78,78,2
57,166,63,442,101,192,89,36,79,79,297,47,78,69,111,78,33,69,2
192,49,31,411,94,187,89,24,81,94,94,58,68,78,94,62,78,63,2
74,21,63,185,31,172,11,73,31,47,258,47,78,69,111,78,33,69,2
110,172,63,47,78,94,79,78,78,109,109,110,250,156,63,47,78,78,2
94,62,16,31,94,62,109,94,15,110,78,78,78,110,47,94,109,172,2
187,109,63,15,93,141,93,172,94,141,94,110,250,156,63,47,78,78,2
93,0,32,0,47,125,63,31,78,78,110,16,94,94,78,15,109,16,2
125,16,16,31,78,78,47,117,20,94,78,47,47,94,31,172,63,46,2
78,16,32,47,94,94,63,15,78,94,94,16,94,94,78,15,109,16,2
62,94,219,31,157,62,63,109,47,94,109,547,63,79,125,203,47,47,2
62,125,63,94,78,125,79,125,62,63,94,31,828,93,110,62,63,62,2
31,125,219,78,62,125,94,219,47,63,171,547,63,79,125,203,47,47,2
109,109,63,47,109,94,94,0,94,94,47,63,78,78,93,47,79,31,2
94,63,31,78,79,46,16,62,47,109,93,78,78,109,110,94,78,31,2
125,15,63,78,78,63,94,31,78,94,984,63,78,78,93,47,79,31,2
93,93,31,31,109,94,78,16,46,110,78,31,62,125,62,15,94,16,2
94,47,32,59,62,125,62,94,31,94,94,63,78,79,93,78,93,32,2
79,110,31,31,16,62,78,16,94,78,94,31,62,125,62,15,94,16,2
94,46,15,47,62,94,109,0,62,110,46,47,63,94,94,0,94,16,2
94,579,32,16,172,31,31,140,16,78,125,63,78,78,94,78,62,16,2
62,32,15,63,63,31,62,31,78,109,94,47,63,94,94,0,94,16,2
63,188,62,125,156,63,62,16,62,156,157,94,62,63,109,234,62,31,2
63,94,47,62,47,141,110,62,47,78,63,32,125,62,125,63,47,47,2
203,94,62,46,47,156,62,16,62,47,62,94,62,63,109,234,62,31,2
140,47,62,15,62,125,94,46,63,94,16,78,47,141,62,109,94,47,2
125,31,32,46,141,62,16,141,16,94,62,47,94,109,31,78,78,62,2
