dtfk1,ft1,dtsk4,dtfk5,ft5,dtfk6,dtfk7,ft7,dtfk8,dtfk10,dtfk11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,dtsk13,dtfk14,gender
94,141,328,328,62,157,47,78,422,62,140,63,47,125,78,62,125,78,1
313,109,31,0,62,344,140,235,359,62,16,63,94,78,62,156,78,62,1
78,78,328,0,63,47,109,141,94,62,140,63,47,125,78,79,109,78,1
93,282,94,94,47,63,63,218,79,78,63,94,78,828,78,78,78,63,1
63,297,62,93,63,78,78,250,93,62,78,78,94,62,344,94,79,78,1
62,797,94,141,203,219,78,375,62,78,63,94,78,828,78,62,63,63,1
93,32,250,250,63,78,125,46,187,78,125,63,109,32,93,47,78,93,1
78,16,78,125,16,63,78,16,62,63,125,78,94,93,547,0,31,62,1
31,172,250,844,938,16,109,32,94,78,125,63,109,32,93,78,187,93,1
156,0,171,171,16,47,63,62,156,31,156,78,63,16,78,47,16,78,1
62,16,47,110,31,375,94,109,93,63,78,125,16,109,0,62,62,94,1
47,31,171,94,31,15,62,125,125,31,156,78,63,16,78,94,78,78,1
125,15,78,78,203,63,141,0,78,141,94,94,93,16,78,78,78,93,1
187,16,63,0,0,63,94,63,93,234,110,78,94,93,32,78,62,94,1
78,31,78,94,171,15,109,16,79,141,94,94,93,16,78,78,78,93,1
125,172,78,78,110,78,125,140,62,94,47,79,94,265,94,63,78,93,1
110,359,93,94,78,110,62,328,109,93,78,79,156,94,140,93,94,110,1
94,313,78,93,250,78,94,187,109,94,47,79,94,265,94,93,63,93,1
63,94,156,156,31,63,78,125,141,78,78,125,79,15,110,78,47,62,1
62,16,47,0,594,73,62,125,78,62,140,63,47,110,62,31,63,63,1
78,31,156,0,16,62,94,31,78,78,78,125,79,15,110,78,78,62,1
109,16,438,438,31,94,78,31,110,94,109,109,109,16,78,15,31,78,1
94,0,78,0,32,78,31,78,63,63,125,62,687,94,78,32,31,78,1
78,109,438,0,31,78,110,31,0,94,109,109,109,16,78,94,63,78,1
125,31,594,594,47,94,78,141,125,47,47,109,125,16,93,0,62,78,1
93,16,78,125,31,78,32,110,78,62,125,125,172,78,94,94,63,94,1
156,16,594,234,16,94,125,78,109,47,47,109,125,16,93,93,94,78,1
62,63,63,63,171,63,62,32,78,63,78,47,78,172,78,63,63,46,1
172,15,47,47,31,93,78,15,78,62,78,63,125,62,47,63,31,62,1
62,0,63,46,47,94,62,16,62,63,78,47,78,172,78,78,32,46,1
93,547,225,225,40,63,63,47,15,47,78,93,47,15,62,32,16,94,1
78,16,62,609,734,109,79,93,109,78,79,172,110,94,78,78,63,15,1
78,78,225,0,47,93,94,31,47,47,78,93,47,15,62,47,47,94,1
63,15,140,140,188,31,63,578,78,47,78,188,47,78,62,47,47,93,1
62,78,78,125,207,141,94,78,94,47,78,62,93,110,78,47,62,94,1
62,31,140,47,687,78,125,453,63,47,78,188,47,78,62,94,62,93,1
78,47,380,380,47,79,47,16,94,47,125,0,47,15,78,32,31,62,1
62,31,78,0,47,63,62,31,78,63,312,94,62,94,141,62,62,78,1
63,0,380,125,140,63,62,0,76,47,125,0,47,15,78,79,156,62,1
78,94,79,79,250,62,47,141,62,125,63,63,63,125,62,63,62,62,1
63,47,62,94,125,63,78,78,78,62,78,62,110,62,78,78,46,63,1
63,78,79,78,172,62,63,125,47,125,63,63,63,125,62,78,47,62,1
126,31,172,172,31,110,94,16,109,0,140,63,32,46,79,31,78,78,1
125,46,78,110,125,453,31,63,94,93,829,93,109,78,110,62,94,157,1
141,0,172,172,93,31,94,78,94,0,140,63,32,46,79,109,110,78,1
62,78,62,62,94,62,78,31,93,32,78,63,141,0,78,31,46,78,1
94,0,52,78,94,110,63,62,47,78,62,62,141,94,15,31,94,78,1
94,47,62,79,78,16,94,47,109,32,78,63,141,0,78,78,78,78,1
125,16,78,78,31,94,110,31,109,78,78,78,93,125,110,125,125,78,1
156,16,78,0,31,62,156,31,78,78,62,62,125,94,235,125,94,62,1
109,31,78,0,0,0,156,16,78,78,78,78,93,125,110,125,109,78,1
125,16,203,203,47,31,31,63,47,16,157,62,31,31,47,156,62,78,1
47,78,0,1469,140,94,0,62,125,78,0,63,78,156,16,31,15,63,1
16,79,203,141,15,125,125,719,78,16,157,62,31,31,47,94,62,78,1
141,62,78,78,249,78,78,344,78,234,94,79,78,47,109,78,109,78,1
109,63,78,62,204,93,78,172,109,281,94,78,213,94,110,78,78,94,1
110,0,78,1109,63,32,94,203,78,234,94,79,78,47,109,93,78,78,1
156,47,110,110,15,31,78,16,94,63,63,15,63,31,63,48,84,46,1
15,63,31,141,0,79,16,78,46,31,16,62,31,109,31,16,0,16,1
63,15,110,438,125,93,625,32,93,63,63,15,63,31,63,16,15,46,1
156,16,157,157,156,109,110,94,218,94,94,63,47,157,171,110,161,141,1
125,110,47,172,0,63,125,125,297,93,16,62,47,172,78,531,516,125,1
250,110,157,94,156,94,141,140,110,94,94,63,47,157,171,93,109,141,1
125,93,125,125,78,94,109,63,78,94,125,78,109,110,93,94,109,109,1
141,78,109,109,32,94,110,140,109,47,156,110,187,94,453,94,125,109,1
109,16,125,125,47,47,125,110,110,94,125,78,109,110,93,94,141,109,1
78,63,94,94,219,78,78,109,94,93,78,46,94,46,63,63,78,110,1
109,32,78,94,187,78,110,15,94,78,94,78,125,63,109,63,93,78,1
78,78,94,110,234,15,93,0,94,93,78,46,94,46,63,63,94,110,1
93,47,156,156,32,172,94,31,141,15,250,125,125,16,114,78,16,125,1
94,16,63,110,78,94,62,109,94,62,125,94,110,93,110,62,16,78,1
250,0,156,125,79,16,141,15,94,15,250,125,125,16,114,125,109,125,1
125,15,141,141,62,78,78,63,140,47,62,63,109,78,16,0,15,110,1
78,15,63,0,15,63,78,78,172,78,78,32,31,109,187,94,94,94,1
78,31,141,187,0,94,140,63,78,47,62,63,109,78,16,78,78,110,1
93,47,203,203,15,78,125,16,78,157,94,109,141,94,78,94,125,109,1
172,16,78,156,16,125,109,0,94,110,109,141,375,78,109,15,0,78,1
62,110,203,0,47,32,47,16,78,157,94,109,141,94,78,78,141,109,1
94,78,203,203,78,78,125,47,110,156,109,78,109,110,93,78,78,94,1
500,15,62,0,15,125,46,109,110,79,78,109,94,94,172,79,78,78,1
93,375,203,0,47,78,141,31,78,156,109,78,109,110,93,94,203,94,1
156,47,78,78,32,47,15,47,78,94,47,47,62,47,63,31,0,0,1
78,156,16,531,625,62,47,79,31,31,94,62,47,109,31,32,31,31,1
78,156,78,671,193,15,78,32,16,94,47,47,62,47,63,0,78,0,1
110,15,125,125,31,125,63,125,203,125,47,31,31,16,63,46,16,15,1
47,31,94,0,0,93,0,16,16,47,0,47,1000,78,156,0,15,0,1
32,62,125,657,720,63,250,78,94,125,47,31,31,16,63,93,219,15,1
94,62,78,78,31,62,78,79,63,40,47,63,63,94,62,63,62,78,1
78,47,63,78,250,106,94,93,78,47,78,63,101,176,13,63,62,62,1
63,62,78,62,188,27,78,140,74,40,47,63,63,94,62,62,235,78,1
78,78,109,109,31,63,47,234,110,141,140,62,109,203,63,32,109,63,2
78,47,62,0,31,109,94,109,78,78,109,78,125,63,94,78,110,78,2
78,16,109,0,16,93,125,109,63,141,140,62,109,203,63,78,78,63,2
375,16,250,250,31,47,109,62,109,156,94,94,109,47,78,156,109,93,2
94,31,62,0,32,62,47,125,78,63,79,62,94,62,266,16,31,110,2
171,63,250,62,94,32,63,15,109,156,94,94,109,47,78,78,172,93,2
109,47,250,250,47,94,62,47,47,63,32,31,16,78,16,16,47,63,2
63,15,16,0,47,78,47,125,94,15,31,31,968,63,125,16,16,63,2
32,93,250,906,1000,78,94,203,91,63,32,31,16,78,16,110,93,63,2
62,16,109,109,31,32,62,32,62,16,218,16,16,47,62,16,16,47,2
47,359,47,0,15,359,31,47,62,62,94,62,94,156,16,16,15,63,2
63,78,109,0,31,59,125,78,62,16,218,16,16,47,62,47,94,47,2
172,437,140,140,31,94,93,16,94,125,62,62,78,94,109,125,94,78,2
219,15,78,0,16,109,31,109,94,78,94,62,109,78,78,16,46,78,2
140,110,140,109,16,63,109,16,62,125,62,62,78,94,109,78,78,78,2
57,4369,80,80,442,65,89,36,79,47,69,41,63,78,109,81,78,33,2
192,4,78,70,411,78,89,24,94,58,78,94,141,62,141,79,85,78,2
74,6,80,73,185,109,11,73,47,47,69,41,63,78,109,78,94,33,2
110,156,172,172,47,63,79,78,109,110,156,141,78,47,125,15,78,78,2
94,15,78,0,31,78,109,94,110,78,110,62,109,94,62,410,62,109,2
187,78,172,0,15,47,93,172,141,110,156,141,78,47,125,125,109,78,2
93,32,187,187,0,93,63,31,78,16,94,47,63,15,78,20,78,109,2
125,32,62,110,31,78,47,117,94,47,94,63,109,172,15,32,421,63,2
78,78,187,109,47,16,63,15,94,16,94,47,63,15,78,125,125,109,2
62,141,62,62,31,46,63,109,94,547,79,62,63,203,62,62,46,47,2
62,78,78,63,94,1015,79,125,63,31,93,93,188,62,485,47,63,63,2
31,109,62,47,78,79,94,219,63,547,79,62,63,203,62,63,78,47,2
109,125,109,109,47,78,94,0,94,63,78,203,94,47,78,47,63,79,2
94,16,110,78,78,109,16,62,109,78,109,62,94,94,62,78,94,78,2
125,0,109,93,78,78,94,31,94,63,78,203,94,47,78,94,141,79,2
93,47,79,79,31,47,78,16,110,31,125,109,110,15,94,31,16,94,2
94,16,78,98,59,79,62,94,94,63,79,140,78,78,0,62,93,93,2
79,31,79,94,31,62,78,16,78,31,125,109,110,15,94,62,78,94,2
94,31,140,140,47,78,109,0,110,47,94,47,78,0,78,16,0,94,2
94,0,94,0,16,78,31,140,78,63,78,78,94,78,31,78,79,62,2
62,16,140,0,63,0,62,31,109,47,94,47,78,0,78,94,110,94,2
63,343,78,78,125,47,62,16,156,94,63,62,110,234,31,47,110,62,2
63,0,63,125,62,156,110,62,78,32,62,63,140,63,94,16,47,47,2
203,47,78,79,46,78,62,16,47,94,63,62,110,234,31,62,63,62,2
140,31,172,172,15,78,94,46,94,78,141,125,110,109,94,16,32,94,2
125,32,78,94,46,62,16,141,94,47,109,110,110,78,47,16,47,78,2
31,109,172,78,94,141,79,15,516,78,141,125,110,109,94,79,94,94,2
63,78,78,78,62,62,63,78,78,109,78,63,63,78,62,47,78,63,2
78,62,63,63,125,94,78,125,63,62,78,63,79,93,78,78,62,78,2
94,78,78,47,125,0,62,78,78,109,78,63,63,78,62,63,125,63,2
109,47,125,125,47,110,93,16,78,15,47,109,16,110,62,16,94,78,2
47,16,32,484,500,78,609,47,16,31,31,79,78,109,62,0,16,16,2
94,156,125,0,47,78,31,78,78,15,47,109,16,110,62,16,78,78,2
94,32,78,78,172,63,79,78,94,141,79,78,78,63,93,94,94,62,2
94,16,94,109,157,79,125,141,110,94,78,78,141,78,94,78,78,78,2
110,78,78,47,156,62,140,63,79,141,79,78,78,63,93,94,94,62,2
94,109,78,78,187,63,63,62,63,156,78,63,78,188,78,78,78,47,2
94,47,62,63,62,109,62,94,78,63,63,78,156,62,125,63,62,63,2
63,62,78,63,140,63,63,47,62,156,78,63,78,188,78,47,94,47,2
78,47,78,78,78,78,63,16,266,78,31,47,46,93,0,31,47,78,2
94,15,47,141,47,62,62,47,156,94,15,46,1390,63,141,16,94,93,2
47,47,78,0,15,94,125,94,31,78,31,47,46,93,0,63,156,78,2
62,79,109,109,31,63,94,141,110,63,141,62,15,93,32,31,63,78,2
78,125,31,110,31,94,78,78,156,94,63,16,0,125,500,78,94,63,2
78,31,109,0,0,0,78,47,63,63,141,62,15,93,32,78,78,78,2
