dtfk1,dtsk1,ft2,dtfk3,ft4,dtsk4,ft5,dtfk7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,gender
172,78,31,62,31,94,125,172,41,63,31,79,156,126,46,219,47,63,62,78,1
94,47,62,63,63,78,125,32,62,94,265,78,141,62,32,109,46,47,94,78,1
78,110,125,78,156,141,16,78,94,109,47,94,94,187,16,94,109,32,109,79,1
203,125,125,32,16,62,15,109,109,78,63,79,78,110,93,32,78,16,93,94,1
78,78,125,94,156,141,109,94,63,63,47,94,94,187,16,94,63,62,47,79,1
62,78,125,47,47,62,141,62,78,78,78,79,79,63,15,78,47,94,63,78,1
78,62,110,78,32,93,157,94,47,78,47,47,109,125,47,78,47,47,62,63,1
63,47,94,78,47,62,140,78,63,63,78,79,79,63,15,78,78,62,63,78,1
94,93,157,47,250,328,62,47,125,422,62,344,140,47,125,78,62,125,125,78,1
313,32,47,141,79,31,62,140,62,359,62,78,16,94,78,62,156,16,78,62,1
78,156,47,125,250,328,63,109,62,94,62,344,140,47,125,78,79,31,109,78,1
93,93,94,78,234,94,47,63,47,79,78,78,63,78,828,78,78,297,78,63,1
63,62,141,78,188,62,63,78,78,93,62,62,78,94,62,344,94,484,79,78,1
62,94,94,47,234,94,203,78,47,62,78,78,63,78,828,78,62,375,63,63,1
93,93,63,94,110,250,63,125,0,187,78,63,125,109,32,93,47,78,78,93,1
78,94,47,62,31,78,16,78,47,62,63,63,125,94,93,547,0,78,31,62,1
31,0,93,0,110,250,938,109,78,94,78,63,125,109,32,93,78,63,187,93,1
156,94,16,93,32,171,16,63,63,156,31,375,156,63,16,78,47,78,16,78,1
62,94,141,63,93,47,31,94,47,93,63,78,78,16,109,0,62,16,62,94,1
47,62,16,63,32,171,31,62,109,125,31,375,156,63,16,78,94,62,78,78,1
125,110,78,78,94,78,203,141,78,78,141,63,94,93,16,78,78,78,78,93,1
187,78,125,94,31,63,0,94,78,93,234,110,110,94,93,32,78,32,62,94,1
78,78,109,78,94,78,171,109,62,79,141,63,94,93,16,78,78,16,78,93,1
125,94,203,109,250,78,110,125,63,62,94,110,47,94,265,94,63,422,78,93,1
110,94,62,78,219,93,78,62,63,109,93,63,78,156,94,140,93,547,94,110,1
94,93,109,63,250,78,250,94,78,109,94,110,47,94,265,94,93,203,63,93,1
63,93,125,47,93,156,31,78,78,141,78,73,78,79,15,110,78,78,47,62,1
62,47,140,63,16,47,594,62,78,78,62,63,140,47,110,62,31,47,63,63,1
78,31,94,78,93,156,16,94,63,78,78,73,78,79,15,110,78,172,78,62,1
109,110,47,109,391,438,31,78,94,110,94,78,109,109,16,78,15,78,31,78,1
94,109,63,78,141,78,32,31,15,63,63,78,125,687,94,78,32,110,31,78,1
78,32,31,94,391,438,31,110,94,0,94,78,109,109,16,78,94,62,63,78,1
125,110,46,125,485,594,47,78,62,125,47,78,47,125,16,93,0,125,62,78,1
93,94,31,78,47,78,31,32,0,78,62,62,125,172,78,94,94,15,63,94,1
156,94,47,62,485,594,16,125,94,109,47,78,47,125,16,93,93,125,94,78,1
62,93,110,47,125,63,171,62,78,78,63,93,78,78,172,78,63,78,63,46,1
172,93,94,78,46,47,31,78,63,78,62,63,78,125,62,47,63,125,31,62,1
62,63,78,78,125,63,47,62,62,62,63,93,78,78,172,78,78,62,32,46,1
93,156,16,172,128,225,40,63,78,15,47,109,78,47,15,62,32,93,16,94,1
78,109,47,109,47,62,734,79,32,109,78,78,79,110,94,78,78,0,63,15,1
78,78,63,78,128,225,47,94,172,47,47,109,78,47,15,62,47,78,47,94,1
63,63,93,63,63,140,188,63,94,78,47,141,78,47,78,62,47,109,47,93,1
62,125,93,94,62,78,207,94,47,94,47,63,78,93,110,78,47,438,62,94,1
62,47,109,94,63,140,687,125,78,63,47,141,78,47,78,62,94,47,62,93,1
78,94,78,78,271,380,47,47,62,94,47,63,125,47,15,78,32,94,31,62,1
62,78,110,78,32,78,47,62,32,78,63,63,312,62,94,141,62,32,62,78,1
63,62,125,62,271,380,140,62,32,76,47,63,125,47,15,78,79,31,156,62,1
78,94,109,78,140,79,250,47,62,62,125,63,63,63,125,62,63,125,62,62,1
63,78,109,63,94,62,125,78,63,78,62,63,78,110,62,78,78,63,46,63,1
63,78,125,62,140,79,172,63,83,47,125,63,63,63,125,62,78,78,47,62,1
126,125,94,78,31,172,31,94,93,109,0,453,140,32,46,79,31,94,78,78,1
125,125,172,109,15,78,125,31,31,94,93,78,829,109,78,110,62,47,94,157,1
141,62,109,93,31,172,93,94,94,94,0,453,140,32,46,79,109,0,110,78,1
62,110,62,78,78,62,94,78,94,93,32,110,78,141,0,78,31,79,46,78,1
94,78,156,47,61,52,94,63,31,47,78,63,62,141,94,15,31,31,94,78,1
94,31,110,94,78,62,78,94,78,109,32,110,78,141,0,78,78,47,78,78,1
125,94,109,78,188,78,31,110,78,109,78,62,78,93,125,110,125,125,125,78,1
156,62,63,109,0,78,31,156,125,78,78,63,62,125,94,235,125,0,94,62,1
109,125,110,78,188,78,0,156,94,78,78,62,78,93,125,110,125,31,109,78,1
125,109,15,125,109,203,47,31,31,47,16,94,157,31,31,47,156,110,62,78,1
47,16,62,31,94,0,140,0,156,125,78,78,0,78,156,16,31,125,15,63,1
16,31,47,31,109,203,15,125,109,78,16,94,157,31,31,47,94,0,62,78,1
141,110,250,94,203,78,249,78,407,78,234,93,94,78,47,109,78,391,109,78,1
109,93,93,109,157,78,204,78,78,109,281,93,94,213,94,110,78,516,78,94,1
110,78,110,407,203,78,63,94,78,78,234,93,94,78,47,109,93,235,78,78,1
156,47,62,140,79,110,15,78,110,94,63,79,63,63,31,63,48,5,84,46,1
15,31,79,93,94,31,0,16,48,46,31,63,16,31,109,31,16,94,0,16,1
63,16,328,110,79,110,125,625,79,93,63,79,63,63,31,63,16,110,15,46,1
156,125,109,109,109,157,156,110,93,218,94,63,94,47,157,171,110,93,161,141,1
125,109,16,94,141,47,0,125,110,297,93,62,16,47,172,78,531,140,516,125,1
250,531,16,93,109,157,156,141,78,110,94,63,94,47,157,171,93,110,109,141,1
125,125,94,94,125,125,78,109,93,78,94,94,125,109,110,93,94,47,109,109,1
141,125,125,94,47,109,32,110,94,109,47,78,156,187,94,453,94,31,125,109,1
109,94,31,93,125,125,47,125,78,110,94,94,125,109,110,93,94,78,141,109,1
78,109,78,63,125,94,219,78,63,94,93,78,78,94,46,63,63,94,78,110,1
109,62,109,62,31,78,187,110,63,94,78,47,94,125,63,109,63,16,93,78,1
78,63,110,63,125,94,234,93,63,94,93,78,78,94,46,63,63,31,94,110,1
93,110,93,171,47,156,32,94,109,141,15,94,250,125,16,114,78,109,16,125,1
94,109,140,110,0,63,78,62,78,94,62,93,125,110,93,110,62,140,16,78,1
