dtfk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtfk7,dtsk7,ft8,dtfk10,dtsk10,dtfk11,dtsk12,dtfk13,dtfk14,ft14,gender
62,47,62,234,94,141,203,78,47,78,78,78,63,78,62,63,219,1
93,94,62,110,250,250,63,125,0,266,78,63,125,93,47,93,78,1
78,62,78,31,78,125,16,78,47,516,63,63,125,547,0,62,16,1
31,0,78,110,250,844,938,109,78,78,78,63,125,93,78,93,78,1
156,93,109,32,171,171,16,63,63,78,31,375,156,78,47,78,31,1
62,63,47,93,47,110,31,94,47,16,63,78,78,0,62,94,15,1
47,63,78,32,171,94,31,62,109,0,31,375,156,78,94,78,31,1
125,78,93,94,78,78,203,141,78,94,141,63,94,78,78,93,32,1
187,94,63,31,63,0,0,94,78,94,234,110,110,32,78,94,31,1
78,78,78,94,78,94,171,109,62,110,141,63,94,78,78,93,32,1
125,109,109,250,78,78,110,125,63,125,94,110,47,94,63,93,94,1
110,78,78,219,93,94,78,62,63,141,93,63,78,140,93,110,125,1
94,63,94,250,78,93,250,94,78,94,94,110,47,94,93,93,94,1
63,47,63,93,156,156,31,78,78,47,78,73,78,110,78,62,31,1
62,63,63,16,47,0,594,62,78,78,62,63,140,62,31,63,31,1
78,78,62,93,156,0,16,94,63,703,78,73,78,110,78,62,31,1
109,109,47,391,438,438,31,78,94,140,94,78,109,78,15,78,0,1
94,78,94,141,78,0,32,31,15,109,63,78,125,78,32,78,31,1
78,94,78,391,438,0,31,110,94,94,94,78,109,78,94,78,0,1
125,125,93,485,594,594,47,78,62,109,47,78,47,93,0,78,32,1
93,78,94,47,78,125,31,32,0,110,62,62,125,94,94,94,47,1
156,62,94,485,594,234,16,125,94,94,47,78,47,93,93,78,32,1
62,47,31,125,63,63,171,62,78,78,63,93,78,78,63,46,79,1
172,78,63,46,47,47,31,78,63,63,62,63,78,47,63,62,63,1
62,78,62,125,63,46,47,62,62,79,63,93,78,78,78,46,79,1
93,172,79,128,225,225,40,63,78,140,47,109,78,62,32,94,47,1
78,109,63,47,62,609,734,79,32,47,78,78,79,78,78,15,62,1
78,78,78,128,225,0,47,94,172,109,47,109,78,62,47,94,47,1
63,63,93,63,140,140,188,63,94,125,47,141,78,62,47,93,63,1
62,94,31,62,78,125,207,94,47,94,47,63,78,78,47,94,31,1
62,94,78,63,140,47,687,125,78,766,47,141,78,62,94,93,63,1
78,78,40,271,380,380,47,47,62,94,47,63,125,78,32,62,16,1
62,78,79,32,78,0,47,62,32,94,63,63,312,141,62,78,31,1
63,62,94,271,380,125,140,62,32,922,47,63,125,78,79,62,16,1
78,78,78,140,79,79,250,47,62,125,125,63,63,62,63,62,110,1
63,63,62,94,62,94,125,78,63,125,62,63,78,78,78,63,47,1
63,62,47,140,79,78,172,63,83,78,125,63,63,62,78,62,110,1
126,78,109,31,172,172,31,94,93,109,0,453,140,79,31,78,32,1
