dtfk1,ft1,dtsk2,dtfk3,ft3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk14,ft14,gender
141,15,102,102,31,53,91,91,259,144,63,16,125,93,156,78,110,94,110,125,94,15,1
109,188,94,16,141,15,63,78,172,94,78,110,16,109,79,93,94,125,125,250,156,15,1
125,15,109,16,93,53,91,94,223,125,16,78,171,125,156,78,110,94,110,125,94,15,1
94,31,78,78,16,15,63,63,62,63,78,46,31,94,78,79,63,109,78,62,15,47,1
78,16,125,156,32,79,62,515,63,78,79,79,15,172,63,125,78,79,109,15,109,16,1
140,31,78,46,16,15,63,94,62,79,31,16,110,109,78,79,63,109,78,62,15,47,1
125,62,63,63,78,63,78,78,125,47,78,63,125,63,265,78,141,46,62,109,78,15,1
172,16,63,62,63,31,94,78,125,203,78,41,63,46,31,79,156,47,126,219,78,47,1
94,31,78,63,15,63,78,62,125,110,78,62,94,126,265,78,141,46,62,109,78,15,1
78,62,78,78,31,156,141,141,16,125,110,94,109,78,47,94,94,125,187,94,79,78,1
203,31,94,32,218,16,62,172,15,94,94,109,78,78,63,79,78,110,110,32,94,31,1
78,47,110,94,31,156,141,125,109,125,47,63,63,110,47,94,94,125,187,94,79,78,1
62,32,47,47,46,47,62,62,141,62,63,78,78,78,78,79,79,140,63,78,78,16,1
78,47,94,78,78,32,93,78,157,62,79,47,78,94,47,47,109,94,125,78,63,47,1
63,125,62,78,47,47,62,63,140,78,46,63,63,125,78,79,79,140,63,78,78,16,1
94,141,47,47,47,250,328,328,62,172,157,125,422,250,62,344,140,234,47,78,78,31,1
313,109,110,141,62,79,31,0,62,172,344,62,359,63,62,78,16,93,94,62,62,281,1
78,78,78,125,78,250,328,0,63,172,47,62,94,94,62,344,140,234,47,78,78,31,1
93,282,78,78,891,234,94,94,47,94,63,47,79,62,78,78,63,140,78,78,63,219,1
63,297,62,78,250,188,62,93,63,109,78,78,93,78,62,62,78,140,94,344,78,204,1
62,797,62,47,235,234,94,141,203,109,219,47,62,94,78,78,63,140,78,78,63,219,1
93,32,94,94,78,110,250,250,63,63,78,0,187,93,78,63,125,47,109,93,93,78,1
78,16,109,62,47,31,78,125,16,63,63,47,62,78,63,63,125,15,94,547,62,16,1
31,172,78,0,16,110,250,844,938,31,16,78,94,94,78,63,125,47,109,93,93,78,1
156,0,93,93,16,32,171,171,16,109,47,63,156,110,31,375,156,47,63,78,78,31,1
62,16,16,63,47,93,47,110,31,109,375,47,93,125,63,78,78,47,16,0,94,15,1
47,31,93,63,62,32,171,94,31,125,15,109,125,16,31,375,156,47,63,78,78,31,1
125,15,78,78,63,94,78,78,203,63,63,78,78,78,141,63,94,78,93,78,93,32,1
187,16,63,94,62,31,63,0,0,94,63,78,93,94,234,110,110,93,94,32,94,31,1
78,31,62,78,63,94,78,94,171,63,15,62,79,94,141,63,94,78,93,78,93,32,1
125,172,109,109,110,250,78,78,110,78,78,63,62,47,94,110,47,156,94,94,93,94,1
110,359,78,78,110,219,93,94,78,78,110,63,109,109,93,63,78,109,156,140,110,125,1
94,313,78,63,15,250,78,93,250,94,78,78,109,156,94,110,47,156,94,94,93,94,1
63,94,47,47,47,93,156,156,31,63,63,78,141,172,78,73,78,31,79,110,62,31,1
62,16,47,63,62,16,47,0,594,656,73,78,78,62,62,63,140,0,47,62,63,31,1
78,31,63,78,32,93,156,0,16,94,62,63,78,47,78,73,78,31,79,110,62,31,1
109,16,109,109,78,391,438,438,31,46,94,94,110,79,94,78,109,125,109,78,78,0,1
94,0,110,78,47,141,78,0,32,46,78,15,63,47,63,78,125,31,687,78,78,31,1
78,109,93,94,31,391,438,0,31,94,78,94,0,687,94,78,109,125,109,78,78,0,1
125,31,125,125,79,485,594,594,47,140,94,62,125,63,47,78,47,62,125,93,78,32,1
93,16,125,78,125,47,78,125,31,141,78,0,78,109,62,62,125,62,172,94,94,47,1
156,16,63,62,31,485,594,234,16,109,94,94,109,172,47,78,47,62,125,93,78,32,1
62,63,47,47,78,125,63,63,171,79,63,78,78,78,63,93,78,78,78,78,46,79,1
172,15,47,78,47,46,47,47,31,94,93,63,78,109,62,63,78,94,125,47,62,63,1
62,0,63,78,47,125,63,46,47,94,94,62,62,125,63,93,78,78,78,78,46,79,1
93,547,172,172,292,128,225,225,40,110,63,78,15,94,47,109,78,63,47,62,94,47,1
78,16,109,109,0,47,62,609,734,0,109,32,109,125,78,78,79,78,110,78,15,62,1
78,78,47,78,297,128,225,0,47,141,93,172,47,110,47,109,78,63,47,62,94,47,1
63,15,63,63,16,63,140,140,188,109,31,94,78,62,47,141,78,94,47,62,93,63,1
62,78,63,94,78,62,78,125,207,109,141,47,94,62,47,63,78,125,93,78,94,31,1
62,31,63,94,62,63,140,47,687,94,78,78,63,93,47,141,78,94,47,62,93,63,1
78,47,78,78,52,271,380,380,47,125,79,62,94,62,47,63,125,32,47,78,62,16,1
62,31,0,78,31,32,78,0,47,125,63,32,78,78,63,63,312,63,62,141,78,31,1
63,0,78,62,16,271,380,125,140,94,63,32,76,62,47,63,125,32,47,78,62,16,1
78,94,78,78,563,140,79,79,250,93,62,62,62,63,125,63,63,93,63,62,62,110,1
63,47,63,63,109,94,62,94,125,125,63,63,78,62,62,63,78,110,110,78,63,47,1
63,78,47,62,78,140,79,78,172,125,62,83,47,110,125,63,63,93,63,62,62,110,1
126,31,78,78,31,31,172,172,31,156,110,93,109,63,0,453,140,47,32,79,78,32,1
125,46,16,109,0,15,78,110,125,156,453,31,94,62,93,78,829,31,109,110,157,31,1
141,0,110,93,32,31,172,172,93,157,31,94,94,109,0,453,140,47,32,79,78,32,1
62,78,78,78,16,78,62,62,94,94,62,94,93,31,32,110,78,94,141,78,78,62,1
94,0,16,47,31,61,52,78,94,188,110,31,47,78,78,63,62,110,141,15,78,47,1
94,47,94,94,62,78,62,79,78,78,16,78,109,141,32,110,78,94,141,78,78,62,1
125,16,78,78,63,188,78,78,31,94,94,78,109,125,78,62,78,110,93,110,78,32,1
156,16,78,109,31,0,78,0,31,109,62,125,78,125,78,63,62,94,125,235,62,235,1
109,31,78,78,47,188,78,0,0,94,0,94,78,125,78,62,78,110,93,110,78,32,1
125,16,125,125,0,109,203,203,47,62,31,31,47,31,16,94,157,31,31,47,78,16,1
47,78,63,31,109,94,0,1469,140,31,94,156,125,31,78,78,0,47,78,16,63,31,1
16,79,62,31,78,109,203,141,15,125,125,109,78,78,16,94,157,31,31,47,78,16,1
141,62,94,94,62,203,78,78,249,88,78,407,78,78,234,93,94,140,78,109,78,109,1
109,63,94,109,94,157,78,62,204,78,93,78,109,78,281,93,94,172,213,110,94,125,1
110,0,78,407,15,203,78,1109,63,250,32,78,78,213,234,93,94,140,78,109,78,109,1
156,47,140,140,32,79,110,110,15,110,31,110,94,78,63,79,63,47,63,63,46,109,1
15,63,46,93,32,94,31,141,0,94,79,48,46,93,31,63,16,78,31,31,16,109,1
63,15,32,110,15,79,110,438,125,31,93,79,93,31,63,79,63,47,63,63,46,109,1
156,16,109,109,32,109,157,157,156,94,109,93,218,111,94,63,94,203,47,171,141,15,1
125,110,94,94,125,141,47,172,0,172,63,110,297,109,93,62,16,141,47,78,125,63,1
250,110,125,93,63,109,157,94,156,110,94,78,110,47,94,63,94,203,47,171,141,15,1
125,93,94,94,93,125,125,125,78,125,94,93,78,93,94,94,125,94,109,93,109,62,1
141,78,94,94,78,47,109,109,32,171,94,94,109,94,47,78,156,47,187,453,109,94,1
109,16,78,93,63,125,125,125,47,141,47,78,110,187,94,94,125,94,109,93,109,62,1
78,63,63,63,62,125,94,94,219,98,78,63,94,78,93,78,78,110,94,63,110,62,1
109,32,47,62,47,31,78,94,187,78,78,63,94,78,78,47,94,93,125,109,78,109,1
78,78,62,63,15,125,94,110,234,78,15,63,94,125,93,78,78,110,94,63,110,62,1
93,47,171,171,16,47,156,156,32,140,172,109,141,125,15,94,250,31,125,114,125,0,1
94,16,63,110,47,0,63,110,78,187,94,78,94,78,62,93,125,93,110,110,78,0,1
250,0,125,109,32,47,156,125,79,140,16,94,94,110,15,94,250,31,125,114,125,0,1
125,15,78,78,31,16,141,141,62,125,78,78,140,63,47,63,62,140,109,16,110,62,1
78,15,16,125,16,78,63,0,15,125,63,0,172,63,78,63,78,93,31,187,94,31,1
78,31,110,78,31,16,141,187,0,94,94,62,78,31,47,63,62,140,109,16,110,62,1
93,47,109,109,203,16,203,203,15,137,78,94,78,94,157,125,94,78,141,78,109,31,1
172,16,125,94,31,32,78,156,16,137,125,94,94,125,110,79,109,63,375,109,78,15,1
62,110,62,94,16,16,203,0,47,140,32,172,78,375,157,125,94,78,141,78,109,31,1
94,78,109,109,141,109,203,203,78,109,78,110,110,78,156,125,109,63,109,93,94,47,1
500,15,93,109,485,47,62,0,15,109,125,78,110,78,79,94,78,110,94,172,78,31,1
93,375,63,110,78,109,203,0,47,125,78,110,78,94,156,125,109,63,109,93,94,47,1
156,47,141,141,47,31,78,78,32,31,47,31,78,32,94,62,47,125,62,63,0,78,1
78,156,47,47,63,156,16,531,625,31,62,31,31,63,31,62,94,0,47,31,31,62,1
78,156,62,31,63,31,78,671,193,31,15,93,16,47,94,62,47,125,62,63,0,78,1
110,15,141,141,15,31,125,125,31,125,125,203,203,93,125,93,47,141,31,63,15,93,1
47,31,125,94,15,110,94,0,0,125,93,46,16,62,47,79,0,93,1000,156,0,63,1
32,62,47,203,16,31,125,657,720,15,63,453,94,1000,125,93,47,141,31,63,15,93,1
94,62,63,63,31,172,78,78,31,78,62,62,63,47,40,106,47,125,63,62,78,79,1
78,47,46,63,297,62,63,78,250,47,106,63,78,47,47,31,78,109,101,13,62,141,1
63,62,46,62,47,172,78,62,188,78,27,63,74,101,40,106,47,125,63,62,78,79,1
78,78,109,109,297,79,109,109,31,78,63,78,110,62,141,109,140,16,109,63,63,16,2
78,47,94,93,203,63,62,0,31,141,109,32,78,63,78,63,109,16,125,94,78,16,2
78,16,125,78,172,79,109,0,16,94,93,109,63,125,141,109,140,16,109,63,63,16,2
375,16,62,62,94,156,250,250,31,141,47,94,109,141,156,62,94,62,109,78,93,47,2
94,31,110,63,62,47,62,0,32,141,62,156,78,110,63,63,79,78,94,266,110,31,2
171,63,31,94,47,156,250,62,94,94,32,62,109,94,156,62,94,62,109,78,93,47,2
109,47,78,78,16,141,250,250,47,47,94,62,47,47,63,78,32,141,16,16,63,31,2
63,15,109,94,31,172,16,0,47,47,78,16,94,49,15,78,31,94,968,125,63,31,2
32,93,62,62,16,141,250,906,1000,47,78,78,91,968,63,78,32,141,16,16,63,31,2
62,16,62,62,32,31,109,109,31,63,32,78,62,94,16,359,218,47,16,62,47,46,2
47,359,47,63,15,16,47,0,15,94,359,16,62,78,62,94,94,15,94,16,63,47,2
63,78,16,78,15,31,109,0,31,94,59,78,62,94,16,359,218,47,16,62,47,46,2
172,437,78,78,94,31,140,140,31,62,94,94,94,78,125,109,62,94,78,109,78,78,2
219,15,78,94,62,62,78,0,16,62,109,125,94,78,78,63,94,109,109,78,78,63,2
140,110,63,94,47,31,140,109,16,78,63,78,62,109,125,109,62,94,78,109,78,78,2
57,4369,69,69,166,63,80,80,442,110,65,79,79,80,47,78,69,111,63,109,33,69,2
192,4,72,98,49,31,78,70,411,65,78,81,94,78,58,150,78,94,141,141,78,63,2
74,6,79,79,21,63,80,73,185,103,109,31,47,141,47,78,69,111,63,109,33,69,2
110,156,94,94,172,63,172,172,47,109,63,78,109,94,110,78,156,63,78,125,78,78,2
94,15,78,78,62,16,78,0,31,109,78,15,110,94,78,63,110,47,109,62,109,172,2
187,78,94,78,109,63,172,0,15,109,47,94,141,109,110,78,156,63,78,125,78,78,2
93,32,63,63,0,32,187,187,0,78,93,78,78,94,16,78,94,78,63,78,109,16,2
125,32,32,94,16,16,62,110,31,78,78,20,94,156,47,63,94,31,109,15,63,46,2
78,78,78,78,16,32,187,109,47,63,16,78,94,109,16,78,94,78,63,78,109,16,2
62,141,63,63,94,219,62,62,31,47,46,47,94,63,547,1015,79,125,63,62,47,47,2
62,78,47,47,125,63,78,63,94,78,1015,62,63,63,31,62,93,110,188,485,63,62,2
31,109,78,47,125,219,62,47,78,109,79,47,63,188,547,1015,79,125,63,62,47,47,2
109,125,78,78,109,63,109,109,47,125,78,94,94,110,63,109,78,93,94,78,79,31,2
94,16,78,78,63,31,110,78,78,187,109,47,109,94,78,78,109,110,94,62,78,31,2
125,0,94,94,15,63,109,93,78,110,78,78,94,94,63,109,78,93,94,78,79,31,2
93,47,110,110,93,31,79,79,31,140,47,46,110,78,31,79,125,62,110,94,94,16,2
94,16,125,62,47,32,78,98,59,124,79,31,94,94,63,93,79,93,78,0,93,32,2
79,31,344,46,110,31,79,94,31,125,62,94,78,78,31,79,125,62,110,94,94,16,2
94,31,79,79,46,15,140,140,47,90,78,62,110,47,47,78,94,94,78,78,94,16,2
94,0,94,62,579,32,94,0,16,93,78,16,78,78,63,78,78,94,94,31,62,16,2
62,16,63,62,32,15,140,0,63,125,0,78,109,94,47,78,94,94,78,78,94,16,2
63,343,46,46,188,62,78,78,125,79,47,62,156,94,94,156,63,109,110,31,62,31,2
63,0,47,47,94,47,63,125,62,141,156,47,78,63,32,47,62,125,140,94,47,47,2
203,47,16,62,94,62,78,79,46,110,78,62,47,140,94,156,63,109,110,31,62,31,2
140,31,109,109,47,62,172,172,15,100,78,63,94,78,78,62,141,62,110,94,94,47,2
125,32,78,94,31,32,78,94,46,110,62,16,94,63,47,46,109,31,110,47,78,62,2
31,109,94,63,78,62,172,78,94,125,141,94,516,110,78,62,141,62,110,94,94,47,2
63,78,62,62,63,63,78,78,62,79,62,62,78,62,109,94,78,93,63,62,63,47,2
78,62,63,62,63,78,63,63,125,62,94,47,63,62,62,63,78,94,79,78,78,62,2
94,78,63,62,47,63,78,47,125,63,0,63,78,79,109,94,78,93,63,62,63,47,2
109,47,31,31,16,47,125,125,47,47,110,78,78,78,15,78,47,63,16,62,78,0,2
47,16,78,78,16,93,32,484,500,47,78,16,16,31,31,78,31,62,78,62,16,94,2
94,156,47,78,0,47,125,0,47,62,78,94,78,78,15,78,47,63,16,62,78,0,2
94,32,78,78,94,157,78,78,172,62,63,93,94,63,141,79,79,78,78,93,62,31,2
94,16,62,78,141,0,94,109,157,78,79,94,110,94,94,78,78,110,141,94,78,94,2
110,78,63,93,79,157,78,47,156,94,62,78,79,141,141,79,79,78,78,93,62,31,2
94,109,63,63,93,94,78,78,187,63,63,47,63,63,156,109,78,94,78,78,47,78,2
94,47,62,78,78,63,62,63,62,78,109,78,78,63,63,78,63,109,156,125,63,62,2
63,62,47,47,109,94,78,63,140,47,63,78,62,156,156,109,78,94,78,78,47,78,2
78,47,125,125,46,0,78,78,78,180,78,78,266,62,78,62,31,109,46,0,78,31,2
94,15,94,125,110,78,47,141,47,187,62,31,156,70,94,63,15,125,1390,141,93,0,2
47,47,0,78,15,0,78,0,15,172,94,94,31,1390,78,62,31,109,46,0,78,31,2
62,79,94,94,94,62,109,109,31,125,63,31,110,109,63,94,141,0,15,32,78,32,2
78,125,16,94,109,78,31,110,31,125,94,31,156,111,94,46,63,172,0,500,63,93,2
78,31,94,31,78,62,109,0,0,94,0,109,63,0,63,94,141,0,15,32,78,32,2
