ft1,dtfk3,dtsk3,dtfk4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,ft8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
15,102,118,118,91,91,259,144,31,78,16,125,125,156,78,110,110,343,125,94,15,125,1
188,16,63,110,63,78,172,94,219,16,110,16,94,79,93,94,125,125,250,156,15,109,1
15,16,532,118,91,94,223,125,156,16,78,171,125,156,78,110,110,343,125,94,15,125,1
31,78,94,94,63,63,62,63,62,32,46,31,93,78,79,63,78,16,62,15,47,16,1
16,156,78,78,62,515,63,78,78,31,79,15,47,63,125,78,109,172,15,109,16,79,1
31,46,78,94,63,94,62,79,110,172,16,110,78,78,79,63,78,16,62,15,47,16,1
62,63,109,109,78,78,125,47,46,16,63,125,78,265,78,141,62,32,109,78,15,63,1
16,62,78,94,94,78,125,203,172,116,41,63,141,31,79,156,126,46,219,78,47,46,1
31,63,94,109,78,62,125,110,32,31,62,94,62,265,78,141,62,32,109,78,15,63,1
62,78,78,78,141,141,16,125,78,16,94,109,110,47,94,94,187,16,94,79,78,62,1
31,32,110,78,62,172,15,94,109,63,109,78,94,63,79,78,110,93,32,94,31,63,1
47,94,78,78,141,125,109,125,94,15,63,63,93,47,94,94,187,16,94,79,78,62,1
32,47,63,63,62,62,141,62,62,110,78,78,110,78,79,79,63,15,78,78,16,62,1
47,78,63,62,93,78,157,62,94,203,47,78,156,47,47,109,125,47,78,63,47,78,1
125,78,62,63,62,63,140,78,78,31,63,63,78,78,79,79,63,15,78,78,16,62,1
141,47,78,78,328,328,62,172,47,78,125,422,47,62,344,140,47,125,78,78,31,94,1
109,141,157,46,31,0,62,172,140,235,62,359,515,62,78,16,94,78,62,62,281,79,1
78,125,15,78,328,0,63,172,109,141,62,94,125,62,344,140,47,125,78,78,31,94,1
282,78,78,78,94,94,47,94,63,218,47,79,109,78,78,63,78,828,78,63,219,78,1
297,78,63,62,62,93,63,109,78,250,78,93,47,62,62,78,94,62,344,78,204,62,1
797,47,62,78,94,141,203,109,78,375,47,62,78,78,78,63,78,828,78,63,219,78,1
32,94,62,62,250,250,63,63,125,46,0,187,266,78,63,125,109,32,93,93,78,63,1
16,62,78,78,78,125,16,63,78,16,47,62,516,63,63,125,94,93,547,62,16,78,1
172,0,78,62,250,844,938,31,109,32,78,94,78,78,63,125,109,32,93,93,78,63,1
0,93,109,109,171,171,16,109,63,62,63,156,78,31,375,156,63,16,78,78,31,125,1
16,63,47,94,47,110,31,109,94,109,47,93,16,63,78,78,16,109,0,94,15,94,1
31,63,78,109,171,94,31,125,62,125,109,125,0,31,375,156,63,16,78,78,31,125,1
15,78,93,93,78,78,203,63,141,0,78,78,94,141,63,94,93,16,78,93,32,62,1
16,94,63,78,63,0,0,94,94,63,78,93,94,234,110,110,94,93,32,94,31,78,1
31,78,78,93,78,94,171,63,109,16,62,79,110,141,63,94,93,16,78,93,32,62,1
172,109,109,109,78,78,110,78,125,140,63,62,125,94,110,47,94,265,94,93,94,78,1
359,78,78,78,93,94,78,78,62,328,63,109,141,93,63,78,156,94,140,110,125,93,1
313,63,94,109,78,93,250,94,94,187,78,109,94,94,110,47,94,265,94,93,94,78,1
94,47,63,63,156,156,31,63,78,125,78,141,47,78,73,78,79,15,110,62,31,63,1
16,63,63,47,47,0,594,656,62,125,78,78,78,62,63,140,47,110,62,63,31,78,1
31,78,62,63,156,0,16,94,94,31,63,78,703,78,73,78,79,15,110,62,31,63,1
16,109,47,47,438,438,31,46,78,31,94,110,140,94,78,109,109,16,78,78,0,94,1
0,78,94,78,78,0,32,46,31,78,15,63,109,63,78,125,687,94,78,78,31,94,1
109,94,78,47,438,0,31,94,110,31,94,0,94,94,78,109,109,16,78,78,0,94,1
31,125,93,93,594,594,47,140,78,141,62,125,109,47,78,47,125,16,93,78,32,93,1
16,78,94,109,78,125,31,141,32,110,0,78,110,62,62,125,172,78,94,94,47,93,1
16,62,94,93,594,234,16,109,125,78,94,109,94,47,78,47,125,16,93,78,32,93,1
63,47,31,31,63,63,171,79,62,32,78,78,78,63,93,78,78,172,78,46,79,78,1
15,78,63,79,47,47,31,94,78,15,63,78,63,62,63,78,125,62,47,62,63,78,1
0,78,62,31,63,46,47,94,62,16,62,62,79,63,93,78,78,172,78,46,79,78,1
547,172,79,79,225,225,40,110,63,47,78,15,140,47,109,78,47,15,62,94,47,94,1
16,109,63,78,62,609,734,0,79,93,32,109,47,78,78,79,110,94,78,15,62,47,1
78,78,78,79,225,0,47,141,94,31,172,47,109,47,109,78,47,15,62,94,47,94,1
15,63,93,93,140,140,188,109,63,578,94,78,125,47,141,78,47,78,62,93,63,62,1
78,94,31,79,78,125,207,109,94,78,47,94,94,47,63,78,93,110,78,94,31,94,1
31,94,78,93,140,47,687,94,125,453,78,63,766,47,141,78,47,78,62,93,63,62,1
