dtfk1,ft3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk6,dtsk7,dtfk8,ft8,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtsk12,dtsk13,dtfk14,ft14,gender
172,63,31,94,78,125,203,110,41,63,141,46,31,79,156,46,219,62,78,47,1
94,15,63,78,62,125,110,63,62,94,62,126,265,78,141,32,109,94,78,15,1
78,31,156,141,141,16,125,203,94,109,110,78,47,94,94,16,94,109,79,78,1
203,218,16,62,172,15,94,125,109,78,94,78,63,79,78,93,32,93,94,31,1
78,31,156,141,125,109,125,109,63,63,93,110,47,94,94,16,94,47,79,78,1
62,46,47,62,62,141,62,78,78,78,110,78,78,79,79,15,78,63,78,16,1
78,78,32,93,78,157,62,125,47,78,156,94,47,47,109,47,78,62,63,47,1
63,47,47,62,63,140,78,141,63,63,78,125,78,79,79,15,78,63,78,16,1
94,47,250,328,328,62,172,313,125,422,47,250,62,344,140,125,78,125,78,31,1
313,62,79,31,0,62,172,140,62,359,515,63,62,78,16,78,62,78,62,281,1
78,78,250,328,0,63,172,62,62,94,125,94,62,344,140,125,78,109,78,31,1
93,891,234,94,94,47,94,63,47,79,109,62,78,78,63,828,78,78,63,219,1
63,250,188,62,93,63,109,203,78,93,47,78,62,62,78,62,344,79,78,204,1
62,235,234,94,141,203,109,125,47,62,78,94,78,78,63,828,78,63,63,219,1
93,78,110,250,250,63,63,78,0,187,266,93,78,63,125,32,93,78,93,78,1
78,47,31,78,125,16,63,141,47,62,516,78,63,63,125,93,547,31,62,16,1
31,16,110,250,844,938,31,94,78,94,78,94,78,63,125,32,93,187,93,78,1
156,16,32,171,171,16,109,62,63,156,78,110,31,375,156,16,78,16,78,31,1
62,47,93,47,110,31,109,78,47,93,16,125,63,78,78,109,0,62,94,15,1
47,62,32,171,94,31,125,140,109,125,0,16,31,375,156,16,78,78,78,31,1
125,63,94,78,78,203,63,187,78,78,94,78,141,63,94,16,78,78,93,32,1
187,62,31,63,0,0,94,125,78,93,94,94,234,110,110,93,32,62,94,31,1
78,63,94,78,94,171,63,94,62,79,110,94,141,63,94,16,78,78,93,32,1
125,110,250,78,78,110,78,110,63,62,125,47,94,110,47,265,94,78,93,94,1
110,110,219,93,94,78,78,610,63,109,141,109,93,63,78,94,140,94,110,125,1
94,15,250,78,93,250,94,156,78,109,94,156,94,110,47,265,94,63,93,94,1
63,47,93,156,156,31,63,62,78,141,47,172,78,73,78,15,110,47,62,31,1
62,62,16,47,0,594,656,16,78,78,78,62,62,63,140,110,62,63,63,31,1
78,32,93,156,0,16,94,15,63,78,703,47,78,73,78,15,110,78,62,31,1
109,78,391,438,438,31,46,94,94,110,140,79,94,78,109,16,78,31,78,0,1
94,47,141,78,0,32,46,78,15,63,109,47,63,78,125,94,78,31,78,31,1
78,31,391,438,0,31,94,46,94,0,94,687,94,78,109,16,78,63,78,0,1
125,79,485,594,594,47,140,93,62,125,109,63,47,78,47,16,93,62,78,32,1
93,125,47,78,125,31,141,109,0,78,110,109,62,62,125,78,94,63,94,47,1
156,31,485,594,234,16,109,109,94,109,94,172,47,78,47,16,93,94,78,32,1
62,78,125,63,63,171,79,172,78,78,78,78,63,93,78,172,78,63,46,79,1
172,47,46,47,47,31,94,125,63,78,63,109,62,63,78,62,47,31,62,63,1
62,47,125,63,46,47,94,109,62,62,79,125,63,93,78,172,78,32,46,79,1
93,292,128,225,225,40,110,78,78,15,140,94,47,109,78,15,62,16,94,47,1
78,0,47,62,609,734,0,172,32,109,47,125,78,78,79,94,78,63,15,62,1
78,297,128,225,0,47,141,62,172,47,109,110,47,109,78,15,62,47,94,47,1
63,16,63,140,140,188,109,62,94,78,125,62,47,141,78,78,62,47,93,63,1
62,78,62,78,125,207,109,156,47,94,94,62,47,63,78,110,78,62,94,31,1
62,62,63,140,47,687,94,94,78,63,766,93,47,141,78,78,62,62,93,63,1
78,52,271,380,380,47,125,62,62,94,94,62,47,63,125,15,78,31,62,16,1
62,31,32,78,0,47,125,15,32,78,94,78,63,63,312,94,141,62,78,31,1
63,16,271,380,125,140,94,94,32,76,922,62,47,63,125,15,78,156,62,16,1
78,563,140,79,79,250,93,63,62,62,125,63,125,63,63,125,62,62,62,110,1
63,109,94,62,94,125,125,172,63,78,125,62,62,63,78,62,78,46,63,47,1
63,78,140,79,78,172,125,125,83,47,78,110,125,63,63,125,62,47,62,110,1
126,31,31,172,172,31,156,125,93,109,109,63,0,453,140,46,79,78,78,32,1
125,0,15,78,110,125,156,47,31,94,125,62,93,78,829,78,110,94,157,31,1
141,32,31,172,172,93,157,15,94,94,141,109,0,453,140,46,79,110,78,32,1
62,16,78,62,62,94,94,94,94,93,94,31,32,110,78,0,78,46,78,62,1
94,31,61,52,78,94,188,141,31,47,297,78,78,63,62,94,15,94,78,47,1
94,62,78,62,79,78,78,31,78,109,62,141,32,110,78,0,78,78,78,62,1
125,63,188,78,78,31,94,156,78,109,31,125,78,62,78,125,110,125,78,32,1
156,31,0,78,0,31,109,313,125,78,141,125,78,63,62,94,235,94,62,235,1
109,47,188,78,0,0,94,78,94,78,78,125,78,62,78,125,110,109,78,32,1
125,0,109,203,203,47,62,47,31,47,297,31,16,94,157,31,47,62,78,16,1
47,109,94,0,1469,140,31,63,156,125,32,31,78,78,0,156,16,15,63,31,1
16,78,109,203,141,15,125,47,109,78,0,78,16,94,157,31,47,62,78,16,1
141,62,203,78,78,249,88,109,407,78,94,78,234,93,94,47,109,109,78,109,1
109,94,157,78,62,204,78,172,78,109,125,78,281,93,94,94,110,78,94,125,1
110,15,203,78,1109,63,250,157,78,78,88,213,234,93,94,47,109,78,78,109,1
156,32,79,110,110,15,110,15,110,94,62,78,63,79,63,31,63,84,46,109,1
15,32,94,31,141,0,94,31,48,46,32,93,31,63,16,109,31,0,16,109,1
