dtfk1,ft1,dtsk1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,ft14,gender
78,94,94,156,128,93,94,16,62,78,125,94,94,94,62,641,78,78,156,47,109,141,140,32,63,1
125,93,32,94,110,94,94,78,156,62,94,94,125,62,109,94,78,234,234,63,157,109,63,109,203,1
141,16,93,94,94,62,62,391,110,15,110,93,78,109,79,125,297,235,297,31,141,93,109,344,32,1
93,32,93,125,93,78,94,47,94,15,141,250,16,125,344,125,78,94,172,31,140,78,15,62,62,1
234,141,62,94,79,94,62,391,110,15,109,218,125,188,109,94,297,235,297,31,141,93,109,94,32,1
62,32,109,78,78,63,63,15,109,16,62,63,46,47,63,63,94,94,109,16,31,94,125,15,32,1
63,15,94,78,79,31,78,63,31,15,62,78,78,63,15,93,78,62,94,47,94,109,110,62,47,1
78,63,62,16,63,47,63,15,109,16,63,94,62,16,79,78,94,94,109,16,31,94,125,94,32,1
141,15,82,102,102,118,118,53,91,259,144,109,31,78,16,125,156,78,110,94,187,110,125,110,15,1
109,188,62,94,16,63,110,15,63,172,94,157,219,16,110,16,79,93,94,125,78,125,250,110,15,1
125,15,110,109,16,532,118,53,91,223,125,110,156,16,78,171,156,78,110,94,187,110,125,109,15,1
94,31,78,78,78,94,94,15,63,62,63,78,62,32,46,31,78,79,63,109,140,78,62,79,47,1
78,16,62,125,156,78,78,79,62,63,78,78,78,31,79,15,63,125,78,79,78,109,15,63,16,1
140,31,63,78,46,78,94,15,63,62,79,109,110,172,16,110,78,79,63,109,140,78,62,79,47,1
125,62,94,63,63,109,109,63,78,125,47,172,46,16,63,125,265,78,141,46,32,62,109,41,15,1
172,16,78,63,62,78,94,31,94,125,203,110,172,116,41,63,31,79,156,47,94,126,219,47,47,1
94,31,47,78,63,94,109,63,78,125,110,63,32,31,62,94,265,78,141,46,32,62,109,46,15,1
78,62,110,78,78,78,78,156,141,16,125,203,78,16,94,109,47,94,94,125,78,187,94,109,78,1
203,31,125,94,32,110,78,16,62,15,94,125,109,63,109,78,63,79,78,110,78,110,32,78,31,1
78,47,78,110,94,78,78,156,141,109,125,109,94,15,63,63,47,94,94,125,78,187,94,63,78,1
62,32,78,47,47,63,63,47,62,141,62,78,62,110,78,78,78,79,79,140,47,63,78,47,16,1
78,47,62,94,78,63,62,32,93,157,62,125,94,203,47,78,47,47,109,94,62,125,78,47,47,1
63,125,47,62,78,62,63,47,62,140,78,141,78,31,63,63,78,79,79,140,47,63,78,78,16,1
94,141,93,47,47,78,78,250,328,62,172,313,47,78,125,422,62,344,140,234,63,47,78,62,31,1
313,109,32,110,141,157,46,79,31,62,172,140,140,235,62,359,62,78,16,93,63,94,62,156,281,1
78,78,156,78,125,15,78,250,328,63,172,62,109,141,62,94,62,344,140,234,63,47,78,79,31,1
93,282,93,78,78,78,78,234,94,47,94,63,63,218,47,79,78,78,63,140,94,78,78,78,219,1
63,297,62,62,78,63,62,188,62,63,109,203,78,250,78,93,62,62,78,140,78,94,344,94,204,1
62,797,94,62,47,62,78,234,94,203,109,125,78,375,47,62,78,78,63,140,94,78,78,62,219,1
93,32,93,94,94,62,62,110,250,63,63,78,125,46,0,187,78,63,125,47,63,109,93,47,78,1
