@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,20,21,22,23,24,27,30,33,34,36,42,43'

@attribute dtfk4 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
78,984,63,63,78,156,78,78,63,140,828,78,297,78,63,219,1
62,63,203,78,125,62,62,94,78,140,62,94,484,79,78,204,1
78,78,125,78,110,141,78,78,63,140,828,62,375,63,63,219,1
62,94,78,125,62,204,78,78,125,47,32,47,78,78,93,78,1
78,62,141,78,94,266,63,93,125,15,93,0,78,31,62,16,1
62,46,94,109,1047,1203,78,78,125,47,32,78,63,187,93,78,1
109,125,62,63,126,109,31,47,156,47,16,47,78,16,78,31,1
94,78,78,94,140,94,63,78,78,47,109,62,16,62,94,15,1
109,63,140,62,1176,94,31,47,156,47,16,94,62,78,78,31,1
93,94,187,141,141,0,141,109,94,78,16,78,78,78,93,32,1
78,62,125,94,94,125,234,328,110,93,93,78,32,62,94,31,1
93,78,94,109,78,93,141,109,94,78,16,78,16,78,93,32,1
109,156,110,125,94,172,94,78,47,156,265,63,422,78,93,94,1
78,93,610,62,156,94,93,94,78,109,94,93,547,94,110,125,1
109,63,156,94,78,188,94,78,47,156,265,93,203,63,93,94,1
63,469,62,78,78,63,78,56,78,31,15,78,78,47,62,31,1
47,166,16,62,15,109,62,78,140,0,110,31,47,63,63,31,1
63,141,15,94,844,891,78,56,78,31,15,78,172,78,62,31,1
47,62,94,78,78,32,94,31,109,125,16,15,78,31,78,0,1
78,94,78,31,46,125,63,62,125,31,94,32,110,31,78,31,1
47,47,46,110,765,844,94,31,109,125,16,94,62,63,78,0,1
93,47,93,78,140,16,47,78,47,62,16,0,125,62,78,32,1
109,79,109,32,109,0,62,94,125,62,78,94,15,63,94,47,1
93,94,109,125,985,1078,47,78,47,62,16,93,125,94,78,32,1
31,109,172,62,63,156,63,47,78,78,172,63,78,63,46,79,1
79,63,125,78,109,63,62,78,78,94,62,63,125,31,62,63,1
31,47,109,62,62,141,63,47,78,78,172,78,62,32,46,79,1
79,78,78,63,94,93,47,62,78,63,15,32,93,16,94,47,1
78,63,172,79,62,94,78,78,79,78,94,78,0,63,15,62,1
79,32,62,94,812,78,47,62,78,63,15,47,78,47,94,47,1
93,141,62,63,63,109,47,94,78,94,78,47,109,47,93,63,1
79,62,156,94,94,63,47,78,78,125,110,47,438,62,94,31,1
93,62,94,125,63,125,47,94,78,94,78,94,47,62,93,63,1
40,15,62,47,62,78,47,62,125,32,15,32,94,31,62,16,1
78,157,15,62,94,31,63,62,312,63,94,62,32,62,78,31,1
40,0,94,62,813,891,47,62,125,32,15,79,31,156,62,16,1
