@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,13,14,15,16,18,21,22,23,24,25,27,30,33,34,35,36,37,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute ft6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
78,62,93,78,32,62,94,203,62,47,109,109,94,47,62,63,47,1
63,47,94,78,47,47,78,31,171,78,62,79,140,62,63,78,16,1
94,93,93,47,250,93,47,78,94,62,78,140,234,125,125,78,31,1
313,32,31,141,79,94,140,235,188,62,78,16,93,16,78,62,281,1
78,156,297,125,250,63,109,141,47,62,78,140,234,31,109,78,31,1
93,93,93,78,234,984,63,218,156,78,78,63,140,297,78,63,219,1
63,62,47,78,188,63,78,250,62,62,94,78,140,484,79,78,204,1
62,94,78,47,234,78,78,375,141,78,78,63,140,375,63,63,219,1
93,93,93,94,110,94,125,46,204,78,78,125,47,78,78,93,78,1
78,94,94,62,31,62,78,16,266,63,93,125,15,78,31,62,16,1
31,0,172,0,110,46,109,32,1203,78,78,125,47,63,187,93,78,1
156,94,94,93,32,125,63,62,109,31,47,156,47,78,16,78,31,1
62,94,47,63,93,78,94,109,94,63,78,78,47,16,62,94,15,1
47,62,109,63,32,63,62,125,94,31,47,156,47,62,78,78,31,1
125,110,110,78,94,94,141,0,0,141,109,94,78,78,78,93,32,1
187,78,93,94,31,62,94,63,125,234,328,110,93,32,62,94,31,1
78,78,63,78,94,78,109,16,93,141,109,94,78,16,78,93,32,1
125,94,94,109,250,156,125,140,172,94,78,47,156,422,78,93,94,1
110,94,79,78,219,93,62,328,94,93,94,78,109,547,94,110,125,1
94,93,94,63,250,63,94,187,188,94,78,47,156,203,63,93,94,1
63,93,93,47,93,469,78,125,63,78,56,78,31,78,47,62,31,1
62,47,63,63,16,166,62,125,109,62,78,140,0,47,63,63,31,1
78,31,47,78,93,141,94,31,891,78,56,78,31,172,78,62,31,1
109,110,110,109,391,62,78,31,32,94,31,109,125,78,31,78,0,1
94,109,93,78,141,94,31,78,125,63,62,125,31,110,31,78,31,1
78,32,203,94,391,47,110,31,844,94,31,109,125,62,63,78,0,1
125,110,110,125,485,47,78,141,16,47,78,47,62,125,62,78,32,1
93,94,125,78,47,79,32,110,0,62,94,125,62,15,63,94,47,1
156,94,188,62,485,94,125,78,1078,47,78,47,62,125,94,78,32,1
62,93,93,47,125,109,62,32,156,63,47,78,78,78,63,46,79,1
172,93,94,78,46,63,78,15,63,62,78,78,94,125,31,62,63,1
62,63,78,78,125,47,62,16,141,63,47,78,78,62,32,46,79,1
93,156,156,172,128,78,63,47,93,47,62,78,63,93,16,94,47,1
78,109,109,109,47,63,79,93,94,78,78,79,78,0,63,15,62,1
78,78,15,78,128,32,94,31,78,47,62,78,63,78,47,94,47,1
63,63,63,63,63,141,63,578,109,47,94,78,94,109,47,93,63,1
62,125,79,94,62,62,94,78,63,47,78,78,125,438,62,94,31,1
62,47,63,94,63,62,125,453,125,47,94,78,94,47,62,93,63,1
78,94,94,78,271,15,47,16,78,47,62,125,32,94,31,62,16,1
62,78,31,78,32,157,62,31,31,63,62,312,63,32,62,78,31,1
63,62,141,62,271,0,62,0,891,47,62,125,32,31,156,62,16,1
78,94,94,78,140,125,47,141,156,125,47,63,93,125,62,62,110,1
63,78,94,63,94,62,78,78,47,62,78,78,110,63,46,63,47,1
63,78,94,62,140,63,63,125,187,125,47,63,93,78,47,62,110,1
126,125,125,78,31,46,94,16,47,0,93,140,47,94,78,78,32,1
125,125,47,109,15,94,31,63,141,93,110,829,31,47,94,157,31,1
141,62,78,93,31,78,94,78,875,0,93,140,47,0,110,78,32,1
62,110,110,78,78,47,78,31,547,32,62,78,94,79,46,78,62,1
94,78,0,47,61,62,63,62,110,78,78,62,110,31,94,78,47,1
94,31,93,94,78,94,94,47,62,32,62,78,94,47,78,78,62,1
125,94,94,78,188,62,110,31,110,78,63,78,110,125,125,78,32,1
156,62,140,109,0,94,156,31,156,78,47,62,94,0,94,62,235,1
109,125,78,78,188,62,156,16,62,78,63,78,110,31,109,78,32,1
125,109,109,125,109,78,31,63,0,16,62,157,31,110,62,78,16,1
47,16,32,31,94,78,0,62,32,78,78,0,47,125,15,63,31,1
16,31,47,31,109,0,125,719,110,16,62,157,31,0,62,78,16,1
141,110,110,94,203,282,78,344,531,234,79,94,140,391,109,78,109,1
109,93,94,109,157,63,78,172,78,281,63,94,172,516,78,94,125,1
110,78,109,407,203,93,94,203,250,234,79,94,140,235,78,78,109,1
156,47,47,140,79,47,78,16,578,63,78,63,47,5,84,46,109,1
