@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,7,8,12,13,14,15,16,17,18,20,21,22,23,24,27,30,33,34,35,36,39,42,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
93,93,78,78,234,63,78,156,78,78,63,140,78,297,63,219,1
63,47,63,62,188,78,125,62,62,94,78,140,94,484,78,204,1
62,78,62,78,234,78,110,141,78,78,63,140,62,375,63,219,1
93,93,62,62,110,125,62,204,78,78,125,47,47,78,93,78,1
78,94,78,78,31,78,94,266,63,93,125,15,0,78,62,16,1
31,172,78,62,110,109,1047,1203,78,78,125,47,78,63,93,78,1
156,94,109,109,32,63,126,109,31,47,156,47,47,78,78,31,1
62,47,47,94,93,94,140,94,63,78,78,47,62,16,94,15,1
47,109,78,109,32,62,1176,94,31,47,156,47,94,62,78,31,1
125,110,93,93,94,141,141,0,141,109,94,78,78,78,93,32,1
187,93,63,78,31,94,94,125,234,328,110,93,78,32,94,31,1
78,63,78,93,94,109,78,93,141,109,94,78,78,16,93,32,1
125,94,109,109,250,125,94,172,94,78,47,156,63,422,93,94,1
110,79,78,78,219,62,156,94,93,94,78,109,93,547,110,125,1
94,94,94,109,250,94,78,188,94,78,47,156,93,203,93,94,1
63,93,63,63,93,78,78,63,78,56,78,31,78,78,62,31,1
62,63,63,47,16,62,15,109,62,78,140,0,31,47,63,31,1
78,47,62,63,93,94,844,891,78,56,78,31,78,172,62,31,1
109,110,47,47,391,78,78,32,94,31,109,125,15,78,78,0,1
94,93,94,78,141,31,46,125,63,62,125,31,32,110,78,31,1
78,203,78,47,391,110,765,844,94,31,109,125,94,62,78,0,1
125,110,93,93,485,78,140,16,47,78,47,62,0,125,78,32,1
93,125,94,109,47,32,109,0,62,94,125,62,94,15,94,47,1
156,188,94,93,485,125,985,1078,47,78,47,62,93,125,78,32,1
62,93,31,31,125,62,63,156,63,47,78,78,63,78,46,79,1
172,94,63,79,46,78,109,63,62,78,78,94,63,125,62,63,1
62,78,62,31,125,62,62,141,63,47,78,78,78,62,46,79,1
93,156,79,79,128,63,94,93,47,62,78,63,32,93,94,47,1
78,109,63,78,47,79,62,94,78,78,79,78,78,0,15,62,1
78,15,78,79,128,94,812,78,47,62,78,63,47,78,94,47,1
63,63,93,93,63,63,63,109,47,94,78,94,47,109,93,63,1
62,79,31,79,62,94,94,63,47,78,78,125,47,438,94,31,1
62,63,78,93,63,125,63,125,47,94,78,94,94,47,93,63,1
78,94,40,40,271,47,62,78,47,62,125,32,32,94,62,16,1
62,31,79,78,32,62,94,31,63,62,312,63,62,32,78,31,1
63,141,94,40,271,62,813,891,47,62,125,32,79,31,62,16,1
78,94,78,78,140,47,63,156,125,47,63,93,63,125,62,110,1
63,94,62,63,94,78,125,47,62,78,78,110,78,63,63,47,1
63,94,47,78,140,63,63,187,125,47,63,93,78,78,62,110,1
126,125,109,109,31,94,172,47,0,93,140,47,31,94,78,32,1
125,47,110,125,15,31,15,141,93,110,829,31,62,47,157,31,1
141,78,78,109,31,94,719,875,0,93,140,47,109,0,78,32,1
62,110,63,63,78,78,47,547,32,62,78,94,31,79,78,62,1
94,0,62,78,61,63,31,110,78,78,62,110,31,31,78,47,1
94,93,47,63,78,94,895,62,32,62,78,94,78,47,78,62,1
125,94,93,93,188,110,78,110,78,63,78,110,125,125,78,32,1
156,140,94,78,0,156,78,156,78,47,62,94,125,0,62,235,1
