@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,12,13,14,16,17,18,20,21,22,23,24,27,28,30,33,34,35,37,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,62,110,78,78,78,156,125,78,109,16,63,94,125,94,32,78,62,1
203,31,110,32,110,78,16,94,109,109,79,93,78,110,32,16,31,63,1
78,47,78,94,78,78,156,125,94,129,62,63,94,125,94,62,78,62,1
62,32,78,47,63,63,47,62,62,63,140,62,79,140,78,94,16,62,1
78,47,93,78,63,62,32,62,94,141,62,109,109,94,78,47,47,78,1
63,125,94,78,62,63,47,78,78,79,171,62,79,140,78,62,16,62,1
94,141,93,47,78,78,250,172,47,1078,94,78,140,234,78,125,31,94,1
313,109,31,141,157,46,79,172,140,62,188,78,16,93,62,16,281,79,1
78,78,297,125,15,78,250,172,109,0,47,78,140,234,78,31,31,94,1
93,282,93,78,78,78,234,94,63,78,156,78,63,140,78,297,219,78,1
63,297,47,78,63,62,188,109,78,125,62,94,78,140,344,484,204,62,1
62,797,78,47,62,78,234,109,78,110,141,78,63,140,78,375,219,78,1
93,32,93,94,62,62,110,63,125,62,204,78,125,47,93,78,78,63,1
78,16,94,62,78,78,31,63,78,94,266,93,125,15,547,78,16,78,1
31,172,172,0,78,62,110,31,109,1047,1203,78,125,47,93,63,78,63,1
156,0,94,93,109,109,32,109,63,126,109,47,156,47,78,78,31,125,1
62,16,47,63,47,94,93,109,94,140,94,78,78,47,0,16,15,94,1
47,31,109,63,78,109,32,125,62,1176,94,47,156,47,78,62,31,125,1
125,15,110,78,93,93,94,63,141,141,0,109,94,78,78,78,32,62,1
187,16,93,94,63,78,31,94,94,94,125,328,110,93,32,32,31,78,1
78,31,63,78,78,93,94,63,109,78,93,109,94,78,78,16,32,62,1
125,172,94,109,109,109,250,78,125,94,172,78,47,156,94,422,94,78,1
110,359,79,78,78,78,219,78,62,156,94,94,78,109,140,547,125,93,1
94,313,94,63,94,109,250,94,94,78,188,78,47,156,94,203,94,78,1
63,94,93,47,63,63,93,63,78,78,63,56,78,31,110,78,31,63,1
62,16,63,63,63,47,16,656,62,15,109,78,140,0,62,47,31,78,1
78,31,47,78,62,63,93,94,94,844,891,56,78,31,110,172,31,63,1
109,16,110,109,47,47,391,46,78,78,32,31,109,125,78,78,0,94,1
94,0,93,78,94,78,141,46,31,46,125,62,125,31,78,110,31,94,1
78,109,203,94,78,47,391,94,110,765,844,31,109,125,78,62,0,94,1
125,31,110,125,93,93,485,140,78,140,16,78,47,62,93,125,32,93,1
93,16,125,78,94,109,47,141,32,109,0,94,125,62,94,15,47,93,1
