@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,14,15,16,17,18,21,22,23,24,26,27,30,33,34,35,36,38,39,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
93,93,93,78,234,94,63,218,78,78,78,63,140,78,63,219,1
63,62,47,78,188,93,78,250,125,62,94,78,140,94,78,204,1
62,94,78,47,234,141,78,375,110,78,78,63,140,62,63,219,1
93,93,93,94,110,250,125,46,62,78,78,125,47,47,93,78,1
78,94,94,62,31,125,78,16,94,63,93,125,15,0,62,16,1
31,0,172,0,110,844,109,32,1047,78,78,125,47,78,93,78,1
156,94,94,93,32,171,63,62,126,31,47,156,47,47,78,31,1
62,94,47,63,93,110,94,109,140,63,78,78,47,62,94,15,1
47,62,109,63,32,94,62,125,1176,31,47,156,47,94,78,31,1
125,110,110,78,94,78,141,0,141,141,109,94,78,78,93,32,1
187,78,93,94,31,0,94,63,94,234,328,110,93,78,94,31,1
78,78,63,78,94,94,109,16,78,141,109,94,78,78,93,32,1
125,94,94,109,250,78,125,140,94,94,78,47,156,63,93,94,1
110,94,79,78,219,94,62,328,156,93,94,78,109,93,110,125,1
94,93,94,63,250,93,94,187,78,94,78,47,156,93,93,94,1
63,93,93,47,93,156,78,125,78,78,56,78,31,78,62,31,1
62,47,63,63,16,0,62,125,15,62,78,140,0,31,63,31,1
78,31,47,78,93,0,94,31,844,78,56,78,31,78,62,31,1
109,110,110,109,391,438,78,31,78,94,31,109,125,15,78,0,1
94,109,93,78,141,0,31,78,46,63,62,125,31,32,78,31,1
78,32,203,94,391,0,110,31,765,94,31,109,125,94,78,0,1
125,110,110,125,485,594,78,141,140,47,78,47,62,0,78,32,1
93,94,125,78,47,125,32,110,109,62,94,125,62,94,94,47,1
156,94,188,62,485,234,125,78,985,47,78,47,62,93,78,32,1
62,93,93,47,125,63,62,32,63,63,47,78,78,63,46,79,1
172,93,94,78,46,47,78,15,109,62,78,78,94,63,62,63,1
62,63,78,78,125,46,62,16,62,63,47,78,78,78,46,79,1
93,156,156,172,128,225,63,47,94,47,62,78,63,32,94,47,1
78,109,109,109,47,609,79,93,62,78,78,79,78,78,15,62,1
78,78,15,78,128,0,94,31,812,47,62,78,63,47,94,47,1
63,63,63,63,63,140,63,578,63,47,94,78,94,47,93,63,1
62,125,79,94,62,125,94,78,94,47,78,78,125,47,94,31,1
62,47,63,94,63,47,125,453,63,47,94,78,94,94,93,63,1
78,94,94,78,271,380,47,16,62,47,62,125,32,32,62,16,1
62,78,31,78,32,0,62,31,94,63,62,312,63,62,78,31,1
63,62,141,62,271,125,62,0,813,47,62,125,32,79,62,16,1
78,94,94,78,140,79,47,141,63,125,47,63,93,63,62,110,1
63,78,94,63,94,94,78,78,125,62,78,78,110,78,63,47,1
63,78,94,62,140,78,63,125,63,125,47,63,93,78,62,110,1
126,125,125,78,31,172,94,16,172,0,93,140,47,31,78,32,1
125,125,47,109,15,110,31,63,15,93,110,829,31,62,157,31,1
141,62,78,93,31,172,94,78,719,0,93,140,47,109,78,32,1
62,110,110,78,78,62,78,31,47,32,62,78,94,31,78,62,1
94,78,0,47,61,78,63,62,31,78,78,62,110,31,78,47,1
94,31,93,94,78,79,94,47,895,32,62,78,94,78,78,62,1
125,94,94,78,188,78,110,31,78,78,63,78,110,125,78,32,1
156,62,140,109,0,0,156,31,78,78,47,62,94,125,62,235,1
109,125,78,78,188,0,156,16,203,78,63,78,110,125,78,32,1
125,109,109,125,109,203,31,63,93,16,62,157,31,156,78,16,1
47,16,32,31,94,1469,0,62,47,78,78,0,47,31,63,31,1
16,31,47,31,109,141,125,719,859,16,62,157,31,94,78,16,1
141,110,110,94,203,78,78,344,94,234,79,94,140,78,78,109,1
109,93,94,109,157,62,78,172,157,281,63,94,172,78,94,125,1
110,78,109,407,203,1109,94,203,63,234,79,94,140,93,78,109,1
156,47,47,140,79,110,78,16,469,63,78,63,47,48,46,109,1
15,31,31,93,94,141,16,78,47,31,78,16,78,16,16,109,1
63,16,235,110,79,438,625,32,0,63,78,63,47,16,46,109,1
156,125,125,109,109,157,110,94,125,94,109,94,203,110,141,15,1
125,109,156,94,141,172,125,125,125,93,110,16,141,531,125,63,1
250,531,312,93,109,94,141,140,750,94,109,94,203,93,141,15,1
125,125,125,94,125,125,109,63,94,94,62,125,94,94,109,62,1
141,125,125,94,47,109,110,140,94,47,93,156,47,94,109,94,1
109,94,156,93,125,125,125,110,125,94,62,125,94,94,109,62,1
78,109,109,63,125,94,78,109,78,93,63,78,110,63,110,62,1
109,62,78,62,31,94,110,15,63,78,109,94,93,63,78,109,1
78,63,109,63,125,110,93,0,93,93,63,78,110,63,110,62,1
93,110,110,171,47,156,94,31,110,15,141,250,31,78,125,0,1
94,109,0,110,0,110,62,109,0,62,110,125,93,62,78,0,1
250,62,312,109,47,125,141,15,860,15,141,250,31,125,125,0,1
125,78,78,78,16,141,78,63,109,47,47,62,140,0,110,62,1
78,94,32,125,78,0,78,78,47,78,109,78,93,94,94,31,1
78,94,79,78,16,187,140,63,937,47,47,62,140,78,110,62,1
93,94,94,109,16,203,125,16,94,157,62,94,78,94,109,31,1
172,78,219,94,32,156,109,0,16,110,93,109,63,15,78,15,1
62,15,63,94,16,0,47,16,110,157,62,94,78,78,109,31,1
94,125,125,109,109,203,125,47,94,156,78,109,63,78,94,47,1
500,156,141,109,47,0,46,109,141,79,62,78,110,79,78,31,1
93,79,94,110,109,0,141,31,1020,156,78,109,63,94,94,47,1
156,78,78,141,31,78,15,47,687,94,16,47,125,31,0,78,1
78,32,15,47,156,531,47,79,0,31,94,94,0,32,31,62,1
78,32,62,31,31,671,78,32,797,94,16,47,125,0,0,78,1
110,109,109,141,31,125,63,125,610,125,47,47,141,46,15,93,1
47,109,62,94,110,0,0,16,125,47,93,0,93,0,0,63,1
32,0,15,203,31,657,250,78,656,125,47,47,141,93,15,93,1
94,62,62,63,172,78,78,79,109,40,60,47,125,63,78,79,1
78,62,47,63,62,78,94,93,115,47,78,78,109,63,62,141,1
63,63,62,62,172,62,78,140,62,40,60,47,125,62,78,79,1
78,110,110,109,79,109,47,234,0,141,62,140,16,32,63,16,2
78,78,94,93,63,0,94,109,62,78,78,109,16,78,78,16,2
78,78,328,78,79,0,125,109,813,141,62,140,16,78,63,16,2
375,78,78,62,156,250,109,62,93,156,63,94,62,156,93,47,2
94,78,219,63,47,0,47,125,172,63,62,79,78,16,110,31,2
171,16,218,94,156,62,63,15,953,156,63,94,62,78,93,47,2
109,172,172,78,141,250,62,47,0,63,62,32,141,16,63,31,2
63,109,110,94,172,0,47,125,141,15,63,31,94,16,63,31,2
32,16,110,62,141,906,94,203,735,63,62,32,141,110,63,31,2
62,109,109,62,31,109,62,32,0,16,188,218,47,16,47,46,2
47,94,63,63,16,0,31,47,79,62,63,94,15,16,63,47,2
63,16,110,78,31,0,125,78,703,16,188,218,47,47,47,46,2
172,94,94,78,31,140,93,16,94,125,63,62,94,125,78,78,2
219,94,125,94,62,0,31,109,94,78,78,94,109,16,78,63,2
140,16,219,94,31,109,109,16,937,125,63,62,94,78,78,78,2
57,113,113,69,63,80,89,36,78,47,78,69,111,81,33,69,2
192,79,68,98,31,70,89,24,172,58,68,78,94,79,78,63,2
74,79,39,79,63,73,11,73,74,47,78,69,111,78,33,69,2
110,125,125,94,63,172,79,78,78,110,250,156,63,15,78,78,2
94,94,78,78,16,0,109,94,141,78,78,110,47,410,109,172,2
187,410,110,78,63,0,93,172,828,110,250,156,63,125,78,78,2
93,125,125,63,32,187,63,31,562,16,94,94,78,20,109,16,2
125,94,47,94,16,110,47,117,94,47,47,94,31,32,63,46,2
78,32,125,78,32,109,63,15,719,16,94,94,78,125,109,16,2
62,78,78,63,219,62,63,109,78,547,63,79,125,62,47,47,2
62,63,62,47,63,63,79,125,125,31,828,93,110,47,63,62,2
31,47,47,47,219,47,94,219,79,547,63,79,125,63,47,47,2
109,109,109,78,63,109,94,0,109,63,78,78,93,47,79,31,2
94,78,156,78,31,78,16,62,63,78,78,109,110,78,78,31,2
125,78,94,94,63,93,94,31,843,63,78,78,93,94,79,31,2
93,125,125,110,31,79,78,16,172,31,62,125,62,31,94,16,2
94,62,125,62,32,98,62,94,62,63,78,79,93,62,93,32,2
79,62,31,46,31,94,78,16,609,31,62,125,62,62,94,16,2
94,78,78,79,15,140,109,0,94,47,63,94,94,16,94,16,2
94,63,16,62,32,0,31,140,31,63,78,78,94,78,62,16,2
62,78,78,62,15,0,62,31,781,47,63,94,94,94,94,16,2
63,63,63,46,62,78,62,16,62,94,62,63,109,47,62,31,2
63,78,125,47,47,125,110,62,156,32,125,62,125,16,47,47,2
203,16,63,62,62,79,62,16,922,94,62,63,109,62,62,31,2
140,141,141,109,62,172,94,46,94,78,47,141,62,16,94,47,2
125,110,172,94,32,94,16,141,78,47,94,109,31,16,78,62,2
31,16,250,63,62,78,79,15,828,78,47,141,62,79,94,47,2
63,78,78,62,63,78,63,78,62,109,62,78,93,47,63,47,2
78,79,47,62,78,63,78,125,94,62,78,78,94,78,78,62,2
94,78,47,62,63,47,62,78,62,109,62,78,93,63,63,47,2
109,63,63,31,47,125,93,16,594,15,78,47,63,16,78,0,2
47,78,31,78,93,484,609,47,110,31,63,31,62,0,16,94,2
94,0,32,78,47,0,31,78,0,15,78,47,63,16,78,0,2
94,109,109,78,157,78,79,78,125,141,62,79,78,94,62,31,2
94,93,78,78,0,109,125,141,15,94,78,78,110,78,78,94,2
110,78,93,93,157,47,140,63,0,141,62,79,78,94,62,31,2
94,62,62,63,94,78,63,62,93,156,63,78,94,78,47,78,2
94,63,78,78,63,63,62,94,110,63,78,63,109,63,63,62,2
63,63,78,47,94,63,63,47,110,156,63,78,94,47,47,78,2
78,157,157,125,0,78,63,16,0,78,94,31,109,31,78,31,2
94,94,110,125,78,141,62,47,110,94,62,15,125,16,93,0,2
47,16,16,78,0,0,125,94,984,78,94,31,109,63,78,31,2
62,109,109,94,62,109,94,141,94,63,78,141,0,31,78,32,2
78,93,0,94,78,110,78,78,120,94,94,63,172,78,63,93,2
78,78,97,31,62,0,78,47,735,63,78,141,0,78,78,32,2
