@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,10,12,13,16,17,18,19,21,22,23,24,26,27,28,30,33,34,35,37,38,40,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
93,93,93,78,78,234,47,94,218,78,78,63,140,78,78,219,1
63,62,47,78,63,188,63,109,250,125,94,78,140,344,79,204,1
62,94,78,47,62,234,203,109,375,110,78,63,140,78,63,219,1
93,93,93,94,62,110,63,63,46,62,78,125,47,93,78,78,1
78,94,94,62,78,31,16,63,16,94,93,125,15,547,31,16,1
31,0,172,0,78,110,938,31,32,1047,78,125,47,93,187,78,1
156,94,94,93,109,32,16,109,62,126,47,156,47,78,16,31,1
62,94,47,63,47,93,31,109,109,140,78,78,47,0,62,15,1
47,62,109,63,78,32,31,125,125,1176,47,156,47,78,78,31,1
125,110,110,78,93,94,203,63,0,141,109,94,78,78,78,32,1
187,78,93,94,63,31,0,94,63,94,328,110,93,32,62,31,1
78,78,63,78,78,94,171,63,16,78,109,94,78,78,78,32,1
125,94,94,109,109,250,110,78,140,94,78,47,156,94,78,94,1
110,94,79,78,78,219,78,78,328,156,94,78,109,140,94,125,1
94,93,94,63,94,250,250,94,187,78,78,47,156,94,63,94,1
63,93,93,47,63,93,31,63,125,78,56,78,31,110,47,31,1
62,47,63,63,63,16,594,656,125,15,78,140,0,62,63,31,1
78,31,47,78,62,93,16,94,31,844,56,78,31,110,78,31,1
109,110,110,109,47,391,31,46,31,78,31,109,125,78,31,0,1
94,109,93,78,94,141,32,46,78,46,62,125,31,78,31,31,1
78,32,203,94,78,391,31,94,31,765,31,109,125,78,63,0,1
125,110,110,125,93,485,47,140,141,140,78,47,62,93,62,32,1
93,94,125,78,94,47,31,141,110,109,94,125,62,94,63,47,1
156,94,188,62,94,485,16,109,78,985,78,47,62,93,94,32,1
62,93,93,47,31,125,171,79,32,63,47,78,78,78,63,79,1
172,93,94,78,63,46,31,94,15,109,78,78,94,47,31,63,1
62,63,78,78,62,125,47,94,16,62,47,78,78,78,32,79,1
93,156,156,172,79,128,40,110,47,94,62,78,63,62,16,47,1
78,109,109,109,63,47,734,0,93,62,78,79,78,78,63,62,1
78,78,15,78,78,128,47,141,31,812,62,78,63,62,47,47,1
63,63,63,63,93,63,188,109,578,63,94,78,94,62,47,63,1
62,125,79,94,31,62,207,109,78,94,78,78,125,78,62,31,1
62,47,63,94,78,63,687,94,453,63,94,78,94,62,62,63,1
78,94,94,78,40,271,47,125,16,62,62,125,32,78,31,16,1
62,78,31,78,79,32,47,125,31,94,62,312,63,141,62,31,1
63,62,141,62,94,271,140,94,0,813,62,125,32,78,156,16,1
78,94,94,78,78,140,250,93,141,63,47,63,93,62,62,110,1
63,78,94,63,62,94,125,125,78,125,78,78,110,78,46,47,1
63,78,94,62,47,140,172,125,125,63,47,63,93,62,47,110,1
126,125,125,78,109,31,31,156,16,172,93,140,47,79,78,32,1
125,125,47,109,110,15,125,156,63,15,110,829,31,110,94,31,1
141,62,78,93,78,31,93,157,78,719,93,140,47,79,110,32,1
62,110,110,78,63,78,94,94,31,47,62,78,94,78,46,62,1
94,78,0,47,62,61,94,188,62,31,78,62,110,15,94,47,1
94,31,93,94,47,78,78,78,47,895,62,78,94,78,78,62,1
125,94,94,78,93,188,31,94,31,78,63,78,110,110,125,32,1
156,62,140,109,94,0,31,109,31,78,47,62,94,235,94,235,1
109,125,78,78,109,188,0,94,16,203,63,78,110,110,109,32,1
125,109,109,125,47,109,47,62,63,93,62,157,31,47,62,16,1
