@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,14,16,17,18,21,22,23,24,26,27,30,33,34,35,36,37,39,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
109,188,109,16,63,15,63,78,94,219,16,110,79,78,94,125,15,15,1
125,15,110,16,532,53,91,94,125,156,16,125,156,47,110,94,16,15,1
94,31,78,78,94,15,63,63,63,62,32,657,78,15,63,109,15,47,1
78,16,62,156,78,79,62,515,78,78,31,109,63,62,78,79,47,16,1
140,31,63,46,78,15,63,94,79,110,172,63,78,15,63,109,78,47,1
125,62,94,63,109,63,78,78,47,46,16,63,265,79,141,46,65,15,1
172,16,156,62,78,31,94,78,203,172,116,63,31,62,156,47,63,47,1
94,31,63,63,94,63,78,62,110,32,31,906,265,79,141,46,47,15,1
78,62,110,78,78,156,141,141,125,78,16,109,47,63,94,125,32,78,1
203,31,110,32,110,16,62,172,94,109,63,109,63,93,78,110,16,31,1
78,47,78,94,78,156,141,125,125,94,15,129,47,63,94,125,62,78,1
62,32,78,47,63,47,62,62,62,62,110,63,78,62,79,140,94,16,1
78,47,93,78,63,32,93,78,62,94,203,141,47,109,109,94,47,47,1
63,125,94,78,62,47,62,63,78,78,31,79,78,62,79,140,62,16,1
94,141,93,47,78,250,328,328,172,47,78,1078,62,78,140,234,125,31,1
313,109,31,141,157,79,31,0,172,140,235,62,62,78,16,93,16,281,1
78,78,297,125,15,250,328,0,172,109,141,0,62,78,140,234,31,31,1
93,282,93,78,78,234,94,94,94,63,218,78,78,78,63,140,297,219,1
63,297,47,78,63,188,62,93,109,78,250,125,62,94,78,140,484,204,1
62,797,78,47,62,234,94,141,109,78,375,110,78,78,63,140,375,219,1
93,32,93,94,62,110,250,250,63,125,46,62,78,78,125,47,78,78,1
78,16,94,62,78,31,78,125,63,78,16,94,63,93,125,15,78,16,1
31,172,172,0,78,110,250,844,31,109,32,1047,78,78,125,47,63,78,1
156,0,94,93,109,32,171,171,109,63,62,126,31,47,156,47,78,31,1
62,16,47,63,47,93,47,110,109,94,109,140,63,78,78,47,16,15,1
47,31,109,63,78,32,171,94,125,62,125,1176,31,47,156,47,62,31,1
125,15,110,78,93,94,78,78,63,141,0,141,141,109,94,78,78,32,1
