@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,13,14,15,16,17,20,21,22,23,24,26,27,28,33,34,36,38,39,40,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
156,94,94,93,32,62,63,126,47,375,156,47,16,47,31,1
62,94,47,63,93,78,94,140,78,78,78,47,109,62,15,1
47,62,109,63,32,140,62,1176,47,375,156,47,16,94,31,1
125,110,110,78,94,187,141,141,109,63,94,78,16,78,32,1
187,78,93,94,31,125,94,94,328,110,110,93,93,78,31,1
78,78,63,78,94,94,109,78,109,63,94,78,16,78,32,1
125,94,94,109,250,110,125,94,78,110,47,156,265,63,94,1
110,94,79,78,219,610,62,156,94,63,78,109,94,93,125,1
94,93,94,63,250,156,94,78,78,110,47,156,265,93,94,1
63,93,93,47,93,62,78,78,56,73,78,31,15,78,31,1
62,47,63,63,16,16,62,15,78,63,140,0,110,31,31,1
78,31,47,78,93,15,94,844,56,73,78,31,15,78,31,1
109,110,110,109,391,94,78,78,31,78,109,125,16,15,0,1
94,109,93,78,141,78,31,46,62,78,125,31,94,32,31,1
78,32,203,94,391,46,110,765,31,78,109,125,16,94,0,1
125,110,110,125,485,93,78,140,78,78,47,62,16,0,32,1
93,94,125,78,47,109,32,109,94,62,125,62,78,94,47,1
156,94,188,62,485,109,125,985,78,78,47,62,16,93,32,1
62,93,93,47,125,172,62,63,47,93,78,78,172,63,79,1
172,93,94,78,46,125,78,109,78,63,78,94,62,63,63,1
62,63,78,78,125,109,62,62,47,93,78,78,172,78,79,1
93,156,156,172,128,78,63,94,62,109,78,63,15,32,47,1
78,109,109,109,47,172,79,62,78,78,79,78,94,78,62,1
78,78,15,78,128,62,94,812,62,109,78,63,15,47,47,1
63,63,63,63,63,62,63,63,94,141,78,94,78,47,63,1
62,125,79,94,62,156,94,94,78,63,78,125,110,47,31,1
62,47,63,94,63,94,125,63,94,141,78,94,78,94,63,1
78,94,94,78,271,62,47,62,62,63,125,32,15,32,16,1
62,78,31,78,32,15,62,94,62,63,312,63,94,62,31,1
63,62,141,62,271,94,62,813,62,63,125,32,15,79,16,1
78,94,94,78,140,63,47,63,47,63,63,93,125,63,110,1
63,78,94,63,94,172,78,125,78,63,78,110,62,78,47,1
63,78,94,62,140,125,63,63,47,63,63,93,125,78,110,1
126,125,125,78,31,125,94,172,93,453,140,47,46,31,32,1
125,125,47,109,15,47,31,15,110,78,829,31,78,62,31,1
141,62,78,93,31,15,94,719,93,453,140,47,46,109,32,1
62,110,110,78,78,94,78,47,62,110,78,94,0,31,62,1
94,78,0,47,61,141,63,31,78,63,62,110,94,31,47,1
94,31,93,94,78,31,94,895,62,110,78,94,0,78,62,1
125,94,94,78,188,156,110,78,63,62,78,110,125,125,32,1
156,62,140,109,0,313,156,78,47,63,62,94,94,125,235,1
109,125,78,78,188,78,156,203,63,62,78,110,125,125,32,1
125,109,109,125,109,47,31,93,62,94,157,31,31,156,16,1
47,16,32,31,94,63,0,47,78,78,0,47,156,31,31,1
16,31,47,31,109,47,125,859,62,94,157,31,31,94,16,1
141,110,110,94,203,109,78,94,79,93,94,140,47,78,109,1
109,93,94,109,157,172,78,157,63,93,94,172,94,78,125,1
110,78,109,407,203,157,94,63,79,93,94,140,47,93,109,1
156,47,47,140,79,15,78,469,78,79,63,47,31,48,109,1
15,31,31,93,94,31,16,47,78,63,16,78,109,16,109,1
63,16,235,110,79,47,625,0,78,79,63,47,31,16,109,1
156,125,125,109,109,125,110,125,109,63,94,203,157,110,15,1
125,109,156,94,141,500,125,125,110,62,16,141,172,531,63,1
250,531,312,93,109,125,141,750,109,63,94,203,157,93,15,1
125,125,125,94,125,141,109,94,62,94,125,94,110,94,62,1
141,125,125,94,47,140,110,94,93,78,156,47,94,94,94,1
109,94,156,93,125,94,125,125,62,94,125,94,110,94,62,1
78,109,109,63,125,109,78,78,63,78,78,110,46,63,62,1
109,62,78,62,31,125,110,63,109,47,94,93,63,63,109,1
78,63,109,63,125,63,93,93,63,78,78,110,46,63,62,1
93,110,110,171,47,94,94,110,141,94,250,31,16,78,0,1
94,109,0,110,0,47,62,0,110,93,125,93,93,62,0,1
250,62,312,109,47,0,141,860,141,94,250,31,16,125,0,1
125,78,78,78,16,78,78,109,47,63,62,140,78,0,62,1
78,94,32,125,78,110,78,47,109,63,78,93,109,94,31,1
78,94,79,78,16,47,140,937,47,63,62,140,78,78,62,1
93,94,94,109,16,172,125,94,62,125,94,78,94,94,31,1
172,78,219,94,32,94,109,16,93,79,109,63,78,15,15,1
62,15,63,94,16,16,47,110,62,125,94,78,94,78,31,1
94,125,125,109,109,500,125,94,78,125,109,63,110,78,47,1
500,156,141,109,47,609,46,141,62,94,78,110,94,79,31,1
93,79,94,110,109,141,141,1020,78,125,109,63,110,94,47,1
156,78,78,141,31,78,15,687,16,62,47,125,47,31,78,1
78,32,15,47,156,172,47,0,94,62,94,0,109,32,62,1
78,32,62,31,31,0,78,797,16,62,47,125,47,0,78,1
110,109,109,141,31,47,63,610,47,93,47,141,16,46,93,1
47,109,62,94,110,78,0,125,93,79,0,93,78,0,63,1
32,0,15,203,31,125,250,656,47,93,47,141,16,93,93,1
94,62,62,63,172,78,78,109,60,106,47,125,94,63,79,1
78,62,47,63,62,91,94,115,78,31,78,109,176,63,141,1
63,63,62,62,172,115,78,62,60,106,47,125,94,62,79,1
78,110,110,109,79,78,47,0,62,109,140,16,203,32,16,2
78,78,94,93,63,203,94,62,78,63,109,16,63,78,16,2
78,78,328,78,79,62,125,813,62,109,140,16,203,78,16,2
375,78,78,62,156,94,109,93,63,62,94,62,47,156,47,2
94,78,219,63,47,16,47,172,62,63,79,78,62,16,31,2
171,16,218,94,156,172,63,953,63,62,94,62,47,78,47,2
109,172,172,78,141,63,62,0,62,78,32,141,78,16,31,2
63,109,110,94,172,47,47,141,63,78,31,94,63,16,31,2
32,16,110,62,141,141,94,735,62,78,32,141,78,110,31,2
62,109,109,62,31,47,62,0,188,359,218,47,47,16,46,2
47,94,63,63,16,47,31,79,63,94,94,15,156,16,47,2
63,16,110,78,31,79,125,703,188,359,218,47,47,47,46,2
172,94,94,78,31,219,93,94,63,109,62,94,94,125,78,2
219,94,125,94,62,110,31,94,78,63,94,109,78,16,63,2
140,16,219,94,31,94,109,937,63,109,62,94,94,78,78,2
57,113,113,69,63,192,89,78,78,78,69,111,78,81,69,2
192,79,68,98,31,187,89,172,68,150,78,94,62,79,63,2
74,79,39,79,63,172,11,74,78,78,69,111,78,78,69,2
110,125,125,94,63,94,79,78,250,78,156,63,47,15,78,2
94,94,78,78,16,62,109,141,78,63,110,47,94,410,172,2
187,410,110,78,63,141,93,828,250,78,156,63,47,125,78,2
93,125,125,63,32,125,63,562,94,78,94,78,15,20,16,2
125,94,47,94,16,78,47,94,47,63,94,31,172,32,46,2
78,32,125,78,32,94,63,719,94,78,94,78,15,125,16,2
62,78,78,63,219,62,63,78,63,1015,79,125,203,62,47,2
62,63,62,47,63,125,79,125,828,62,93,110,62,47,62,2
31,47,47,47,219,125,94,79,63,1015,79,125,203,63,47,2
109,109,109,78,63,94,94,109,78,109,78,93,47,47,31,2
94,78,156,78,31,46,16,63,78,78,109,110,94,78,31,2
125,78,94,94,63,63,94,843,78,109,78,93,47,94,31,2
93,125,125,110,31,94,78,172,62,79,125,62,15,31,16,2
94,62,125,62,32,125,62,62,78,93,79,93,78,62,32,2
79,62,31,46,31,62,78,609,62,79,125,62,15,62,16,2
94,78,78,79,15,94,109,94,63,78,94,94,0,16,16,2
94,63,16,62,32,31,31,31,78,78,78,94,78,78,16,2
62,78,78,62,15,31,62,781,63,78,94,94,0,94,16,2
63,63,63,46,62,63,62,62,62,156,63,109,234,47,31,2
63,78,125,47,47,141,110,156,125,47,62,125,63,16,47,2
203,16,63,62,62,156,62,922,62,156,63,109,234,62,31,2
140,141,141,109,62,125,94,94,47,62,141,62,109,16,47,2
125,110,172,94,32,62,16,78,94,46,109,31,78,16,62,2
31,16,250,63,62,78,79,828,47,62,141,62,109,79,47,2
63,78,78,62,63,78,63,62,62,94,78,93,78,47,47,2
78,79,47,62,78,15,78,94,78,63,78,94,93,78,62,2
94,78,47,62,63,94,62,62,62,94,78,93,78,63,47,2
109,63,63,31,47,47,93,594,78,78,47,63,110,16,0,2
47,78,31,78,93,0,609,110,63,78,31,62,109,0,94,2
94,0,32,78,47,110,31,0,78,78,47,63,110,16,0,2
94,109,109,78,157,94,79,125,62,79,79,78,63,94,31,2
94,93,78,78,0,93,125,15,78,78,78,110,78,78,94,2
110,78,93,93,157,15,140,0,62,79,79,78,63,94,31,2
94,62,62,63,94,94,63,93,63,109,78,94,188,78,78,2
94,63,78,78,63,172,62,110,78,78,63,109,62,63,62,2
63,63,78,47,94,110,63,110,63,109,78,94,188,47,78,2
78,157,157,125,0,94,63,0,94,62,31,109,93,31,31,2
94,94,110,125,78,219,62,110,62,63,15,125,63,16,0,2
47,16,16,78,0,110,125,984,94,62,31,109,93,63,31,2
62,109,109,94,62,78,94,94,78,94,141,0,93,31,32,2
78,93,0,94,78,109,78,120,94,46,63,172,125,78,93,2
78,78,97,31,62,120,78,735,78,94,141,0,93,78,32,2
