@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,13,14,16,17,18,21,22,23,24,26,27,28,33,35,36,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
140,31,63,46,78,15,63,79,110,172,63,15,79,63,109,78,78,62,47,1
125,62,94,63,109,63,78,47,46,16,63,79,78,141,46,62,65,78,15,1
172,16,156,62,78,31,94,203,172,116,63,62,79,156,47,126,63,62,47,1
94,31,63,63,94,63,78,110,32,31,906,79,78,141,46,62,47,94,15,1
78,62,110,78,78,156,141,125,78,16,109,63,94,94,125,187,32,109,78,1
203,31,110,32,110,16,62,94,109,63,109,93,79,78,110,110,16,93,31,1
78,47,78,94,78,156,141,125,94,15,129,63,94,94,125,187,62,47,78,1
62,32,78,47,63,47,62,62,62,110,63,62,79,79,140,63,94,63,16,1
78,47,93,78,63,32,93,62,94,203,141,109,47,109,94,125,47,62,47,1
63,125,94,78,62,47,62,78,78,31,79,62,79,79,140,63,62,63,16,1
94,141,93,47,78,250,328,172,47,78,1078,78,344,140,234,47,125,125,31,1
313,109,31,141,157,79,31,172,140,235,62,78,78,16,93,94,16,78,281,1
78,78,297,125,15,250,328,172,109,141,0,78,344,140,234,47,31,109,31,1
93,282,93,78,78,234,94,94,63,218,78,78,78,63,140,78,297,78,219,1
63,297,47,78,63,188,62,109,78,250,125,94,62,78,140,94,484,79,204,1
62,797,78,47,62,234,94,109,78,375,110,78,78,63,140,78,375,63,219,1
93,32,93,94,62,110,250,63,125,46,62,78,63,125,47,109,78,78,78,1
78,16,94,62,78,31,78,63,78,16,94,93,63,125,15,94,78,31,16,1
31,172,172,0,78,110,250,31,109,32,1047,78,63,125,47,109,63,187,78,1
156,0,94,93,109,32,171,109,63,62,126,47,375,156,47,63,78,16,31,1
62,16,47,63,47,93,47,109,94,109,140,78,78,78,47,16,16,62,15,1
47,31,109,63,78,32,171,125,62,125,1176,47,375,156,47,63,62,78,31,1
125,15,110,78,93,94,78,63,141,0,141,109,63,94,78,93,78,78,32,1
187,16,93,94,63,31,63,94,94,63,94,328,110,110,93,94,32,62,31,1
78,31,63,78,78,94,78,63,109,16,78,109,63,94,78,93,16,78,32,1
125,172,94,109,109,250,78,78,125,140,94,78,110,47,156,94,422,78,94,1
110,359,79,78,78,219,93,78,62,328,156,94,63,78,109,156,547,94,125,1
94,313,94,63,94,250,78,94,94,187,78,78,110,47,156,94,203,63,94,1
63,94,93,47,63,93,156,63,78,125,78,56,73,78,31,79,78,47,31,1
62,16,63,63,63,16,47,656,62,125,15,78,63,140,0,47,47,63,31,1
78,31,47,78,62,93,156,94,94,31,844,56,73,78,31,79,172,78,31,1
109,16,110,109,47,391,438,46,78,31,78,31,78,109,125,109,78,31,0,1
94,0,93,78,94,141,78,46,31,78,46,62,78,125,31,687,110,31,31,1
78,109,203,94,78,391,438,94,110,31,765,31,78,109,125,109,62,63,0,1
125,31,110,125,93,485,594,140,78,141,140,78,78,47,62,125,125,62,32,1
93,16,125,78,94,47,78,141,32,110,109,94,62,125,62,172,15,63,47,1
156,16,188,62,94,485,594,109,125,78,985,78,78,47,62,125,125,94,32,1
62,63,93,47,31,125,63,79,62,32,63,47,93,78,78,78,78,63,79,1
172,15,94,78,63,46,47,94,78,15,109,78,63,78,94,125,125,31,63,1
62,0,78,78,62,125,63,94,62,16,62,47,93,78,78,78,62,32,79,1
93,547,156,172,79,128,225,110,63,47,94,62,109,78,63,47,93,16,47,1
78,16,109,109,63,47,62,0,79,93,62,78,78,79,78,110,0,63,62,1
78,78,15,78,78,128,225,141,94,31,812,62,109,78,63,47,78,47,47,1
63,15,63,63,93,63,140,109,63,578,63,94,141,78,94,47,109,47,63,1
62,78,79,94,31,62,78,109,94,78,94,78,63,78,125,93,438,62,31,1
62,31,63,94,78,63,140,94,125,453,63,94,141,78,94,47,47,62,63,1
78,47,94,78,40,271,380,125,47,16,62,62,63,125,32,47,94,31,16,1
62,31,31,78,79,32,78,125,62,31,94,62,63,312,63,62,32,62,31,1
63,0,141,62,94,271,380,94,62,0,813,62,63,125,32,47,31,156,16,1
78,94,94,78,78,140,79,93,47,141,63,47,63,63,93,63,125,62,110,1
63,47,94,63,62,94,62,125,78,78,125,78,63,78,110,110,63,46,47,1
63,78,94,62,47,140,79,125,63,125,63,47,63,63,93,63,78,47,110,1
126,31,125,78,109,31,172,156,94,16,172,93,453,140,47,32,94,78,32,1
125,46,47,109,110,15,78,156,31,63,15,110,78,829,31,109,47,94,31,1
141,0,78,93,78,31,172,157,94,78,719,93,453,140,47,32,0,110,32,1
62,78,110,78,63,78,62,94,78,31,47,62,110,78,94,141,79,46,62,1
94,0,0,47,62,61,52,188,63,62,31,78,63,62,110,141,31,94,47,1
94,47,93,94,47,78,62,78,94,47,895,62,110,78,94,141,47,78,62,1
125,16,94,78,93,188,78,94,110,31,78,63,62,78,110,93,125,125,32,1
