@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,36,39,40,42'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
16,109,109,63,157,110,93,15,4960,1
110,94,110,62,172,531,140,63,5704,1
110,93,109,63,157,93,110,15,5814,1
93,94,62,94,110,94,47,62,4233,1
78,94,93,78,94,94,31,94,4563,1
16,93,62,94,110,94,78,62,4142,1
63,63,63,78,46,63,94,62,3677,1
32,62,109,47,63,63,16,109,3404,1
78,63,63,78,46,63,31,62,3484,1
47,171,141,94,16,78,109,0,4112,1
16,110,110,93,93,62,140,0,3546,1
0,109,141,94,16,125,0,0,4802,1
15,78,47,63,78,0,110,62,3298,1
15,125,109,63,109,94,15,31,3000,1
31,78,47,63,78,78,141,62,4078,1
47,109,62,125,94,94,109,31,4810,1
16,94,93,79,78,15,78,15,3762,1
110,94,62,125,94,78,15,31,4143,1
78,109,78,125,110,78,94,47,5623,1
15,109,62,94,94,79,78,31,5015,1
375,110,78,125,110,94,484,47,6649,1
47,141,16,62,47,31,78,78,3281,1
156,47,94,62,109,32,78,62,3485,1
156,31,16,62,47,0,79,78,4676,1
15,141,47,93,16,46,109,93,4046,1
31,94,93,79,78,0,94,63,4154,1
62,203,47,93,16,93,63,93,6861,1
62,63,60,106,94,63,94,79,3348,1
47,63,78,31,176,63,78,141,3587,1
62,62,60,106,94,62,141,79,3553,1
78,109,62,109,203,32,78,16,3921,2
47,93,78,63,63,78,265,16,3845,2
16,78,62,109,203,78,219,16,4874,2
16,62,63,62,47,156,63,47,4562,2
31,63,62,63,62,16,78,31,3488,2
63,94,63,62,47,78,110,47,5671,2
47,78,62,78,78,16,78,31,3049,2
15,94,63,78,63,16,78,31,3707,2
93,62,62,78,78,110,15,31,8140,2
16,62,188,359,47,16,78,46,3000,2
359,63,63,94,156,16,78,47,2969,2
78,78,188,359,47,47,15,46,4467,2
437,78,63,109,94,125,78,78,4296,2
15,94,78,63,78,16,78,63,3310,2
110,94,63,109,94,78,94,78,4249,2
4369,69,78,78,78,81,37,69,8445,2
4,98,68,150,62,79,13,63,4213,2
6,79,78,78,78,78,15,69,3365,2
156,94,250,78,47,15,63,78,4252,2
15,78,78,63,94,410,94,172,3846,2
78,78,250,78,47,125,266,78,5502,2
32,63,94,78,15,20,88,16,3638,2
32,94,47,63,172,32,32,46,3279,2
78,78,94,78,15,125,15,16,3657,2
141,63,63,1015,203,62,188,47,4983,2
78,47,828,62,62,47,172,62,5531,2
109,47,63,1015,203,63,125,47,5221,2
125,78,78,109,47,47,78,31,3750,2
16,78,78,78,94,78,78,31,3373,2
0,94,78,109,47,94,31,31,5093,2
47,110,62,79,15,31,78,16,3298,2
16,62,78,93,78,62,32,32,3122,2
31,46,62,79,15,62,32,16,3749,2
31,79,63,78,0,16,78,16,2996,2
0,62,78,78,78,78,15,16,3220,2
16,62,63,78,0,94,15,16,3423,2
343,46,62,156,234,47,78,31,3952,2
0,47,125,47,63,16,78,47,3300,2
47,62,62,156,234,62,47,31,4171,2
31,109,47,62,109,16,93,47,3582,2
32,94,94,46,78,16,78,62,3159,2
109,63,47,62,109,79,46,47,5580,2
78,62,62,94,78,47,31,47,3012,2
62,62,78,63,93,78,47,62,3267,2
78,62,62,94,78,63,31,47,3780,2
47,31,78,78,110,16,47,0,3142,2
16,78,63,78,109,0,94,94,3721,2
156,78,78,78,110,16,93,0,3562,2
32,78,62,79,63,94,15,31,4392,2
16,78,78,78,78,78,47,94,3658,2
78,93,62,79,63,94,156,31,3643,2
109,63,63,109,188,78,78,78,3596,2
47,78,78,78,62,63,78,62,3406,2
62,47,63,109,188,47,47,78,3410,2
47,125,94,62,93,31,94,31,3397,2
15,125,62,63,63,16,94,0,4740,2
47,78,94,62,93,63,31,31,7215,2
79,94,78,94,93,31,78,32,3421,2
125,94,94,46,125,78,78,93,3729,2
31,31,78,94,93,78,94,32,3667,2
