@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,8,9,10,12,15,16,18,20,22,23,24,26,27,30,31,32,33,34,36,37,42,43'

@attribute dtfk1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
93,78,234,94,47,984,63,47,78,78,78,828,297,78,63,219,1
63,78,188,93,63,63,78,78,125,62,94,62,484,79,78,204,1
62,47,234,141,203,78,78,47,110,78,78,828,375,63,63,219,1
93,94,110,250,63,94,125,0,62,78,78,32,78,78,93,78,1
78,62,31,125,16,62,78,47,94,63,93,93,78,31,62,16,1
31,0,110,844,938,46,109,78,1047,78,78,32,63,187,93,78,1
156,93,32,171,16,125,63,63,126,31,47,16,78,16,78,31,1
62,63,93,110,31,78,94,47,140,63,78,109,16,62,94,15,1
47,63,32,94,31,63,62,109,1176,31,47,16,62,78,78,31,1
125,78,94,78,203,94,141,78,141,141,109,16,78,78,93,32,1
187,94,31,0,0,62,94,78,94,234,328,93,32,62,94,31,1
78,78,94,94,171,78,109,62,78,141,109,16,16,78,93,32,1
125,109,250,78,110,156,125,63,94,94,78,265,422,78,93,94,1
110,78,219,94,78,93,62,63,156,93,94,94,547,94,110,125,1
94,63,250,93,250,63,94,78,78,94,78,265,203,63,93,94,1
63,47,93,156,31,469,78,78,78,78,56,15,78,47,62,31,1
62,63,16,0,594,166,62,78,15,62,78,110,47,63,63,31,1
78,78,93,0,16,141,94,63,844,78,56,15,172,78,62,31,1
109,109,391,438,31,62,78,94,78,94,31,16,78,31,78,0,1
94,78,141,0,32,94,31,15,46,63,62,94,110,31,78,31,1
78,94,391,0,31,47,110,94,765,94,31,16,62,63,78,0,1
