@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,10,13,14,15,16,17,18,20,21,22,23,24,25,27,30,33,34,36,37,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,47,93,78,32,93,94,62,47,109,109,94,47,47,63,47,78,1
63,125,94,78,47,62,78,171,78,62,79,140,15,62,78,16,62,1
94,141,93,47,250,328,47,94,62,78,140,234,125,125,78,31,94,1
313,109,31,141,79,31,140,188,62,78,16,93,78,16,62,281,79,1
78,78,297,125,250,328,109,47,62,78,140,234,125,31,78,31,94,1
93,282,93,78,234,94,63,156,78,78,63,140,828,297,63,219,78,1
63,297,47,78,188,62,78,62,62,94,78,140,62,484,78,204,62,1
62,797,78,47,234,94,78,141,78,78,63,140,828,375,63,219,78,1
93,32,93,94,110,250,125,204,78,78,125,47,32,78,93,78,63,1
78,16,94,62,31,78,78,266,63,93,125,15,93,78,62,16,78,1
31,172,172,0,110,250,109,1203,78,78,125,47,32,63,93,78,63,1
156,0,94,93,32,171,63,109,31,47,156,47,16,78,78,31,125,1
62,16,47,63,93,47,94,94,63,78,78,47,109,16,94,15,94,1
47,31,109,63,32,171,62,94,31,47,156,47,16,62,78,31,125,1
125,15,110,78,94,78,141,0,141,109,94,78,16,78,93,32,62,1
187,16,93,94,31,63,94,125,234,328,110,93,93,32,94,31,78,1
78,31,63,78,94,78,109,93,141,109,94,78,16,16,93,32,62,1
125,172,94,109,250,78,125,172,94,78,47,156,265,422,93,94,78,1
110,359,79,78,219,93,62,94,93,94,78,109,94,547,110,125,93,1
94,313,94,63,250,78,94,188,94,78,47,156,265,203,93,94,78,1
63,94,93,47,93,156,78,63,78,56,78,31,15,78,62,31,63,1
62,16,63,63,16,47,62,109,62,78,140,0,110,47,63,31,78,1
78,31,47,78,93,156,94,891,78,56,78,31,15,172,62,31,63,1
109,16,110,109,391,438,78,32,94,31,109,125,16,78,78,0,94,1
94,0,93,78,141,78,31,125,63,62,125,31,94,110,78,31,94,1
78,109,203,94,391,438,110,844,94,31,109,125,16,62,78,0,94,1
125,31,110,125,485,594,78,16,47,78,47,62,16,125,78,32,93,1
93,16,125,78,47,78,32,0,62,94,125,62,78,15,94,47,93,1
156,16,188,62,485,594,125,1078,47,78,47,62,16,125,78,32,93,1
62,63,93,47,125,63,62,156,63,47,78,78,172,78,46,79,78,1
172,15,94,78,46,47,78,63,62,78,78,94,62,125,62,63,78,1
62,0,78,78,125,63,62,141,63,47,78,78,172,62,46,79,78,1
93,547,156,172,128,225,63,93,47,62,78,63,15,93,94,47,94,1
78,16,109,109,47,62,79,94,78,78,79,78,94,0,15,62,47,1
78,78,15,78,128,225,94,78,47,62,78,63,15,78,94,47,94,1
63,15,63,63,63,140,63,109,47,94,78,94,78,109,93,63,62,1
62,78,79,94,62,78,94,63,47,78,78,125,110,438,94,31,94,1
62,31,63,94,63,140,125,125,47,94,78,94,78,47,93,63,62,1
78,47,94,78,271,380,47,78,47,62,125,32,15,94,62,16,78,1
62,31,31,78,32,78,62,31,63,62,312,63,94,32,78,31,79,1
63,0,141,62,271,380,62,891,47,62,125,32,15,31,62,16,78,1
78,94,94,78,140,79,47,156,125,47,63,93,125,125,62,110,78,1
63,47,94,63,94,62,78,47,62,78,78,110,62,63,63,47,78,1
63,78,94,62,140,79,63,187,125,47,63,93,125,78,62,110,78,1
126,31,125,78,31,172,94,47,0,93,140,47,46,94,78,32,78,1
125,46,47,109,15,78,31,141,93,110,829,31,78,47,157,31,109,1
141,0,78,93,31,172,94,875,0,93,140,47,46,0,78,32,78,1
62,78,110,78,78,62,78,547,32,62,78,94,0,79,78,62,63,1
94,0,0,47,61,52,63,110,78,78,62,110,94,31,78,47,78,1
94,47,93,94,78,62,94,62,32,62,78,94,0,47,78,62,63,1
125,16,94,78,188,78,110,110,78,63,78,110,125,125,78,32,125,1
156,16,140,109,0,78,156,156,78,47,62,94,94,0,62,235,125,1
109,31,78,78,188,78,156,62,78,63,78,110,125,31,78,32,125,1
125,16,109,125,109,203,31,0,16,62,157,31,31,110,78,16,62,1
47,78,32,31,94,0,0,32,78,78,0,47,156,125,63,31,94,1
