@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,8,9,10,12,13,14,15,16,17,21,22,23,24,26,27,30,33,36,37,39,40,43'

@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,93,78,32,125,94,203,141,47,109,109,94,125,47,47,47,78,1
125,94,78,47,141,78,31,79,78,62,79,140,63,15,62,16,62,1
141,93,47,250,313,47,78,1078,62,78,140,234,47,125,125,31,94,1
109,31,141,79,140,140,235,62,62,78,16,93,94,78,16,281,79,1
78,297,125,250,62,109,141,0,62,78,140,234,47,125,31,31,94,1
282,93,78,234,63,63,218,78,78,78,63,140,78,828,297,219,78,1
297,47,78,188,203,78,250,125,62,94,78,140,94,62,484,204,62,1
797,78,47,234,125,78,375,110,78,78,63,140,78,828,375,219,78,1
32,93,94,110,78,125,46,62,78,78,125,47,109,32,78,78,63,1
16,94,62,31,141,78,16,94,63,93,125,15,94,93,78,16,78,1
172,172,0,110,94,109,32,1047,78,78,125,47,109,32,63,78,63,1
0,94,93,32,62,63,62,126,31,47,156,47,63,16,78,31,125,1
16,47,63,93,78,94,109,140,63,78,78,47,16,109,16,15,94,1
31,109,63,32,140,62,125,1176,31,47,156,47,63,16,62,31,125,1
15,110,78,94,187,141,0,141,141,109,94,78,93,16,78,32,62,1
16,93,94,31,125,94,63,94,234,328,110,93,94,93,32,31,78,1
31,63,78,94,94,109,16,78,141,109,94,78,93,16,16,32,62,1
172,94,109,250,110,125,140,94,94,78,47,156,94,265,422,94,78,1
359,79,78,219,610,62,328,156,93,94,78,109,156,94,547,125,93,1
313,94,63,250,156,94,187,78,94,78,47,156,94,265,203,94,78,1
94,93,47,93,62,78,125,78,78,56,78,31,79,15,78,31,63,1
16,63,63,16,16,62,125,15,62,78,140,0,47,110,47,31,78,1
31,47,78,93,15,94,31,844,78,56,78,31,79,15,172,31,63,1
16,110,109,391,94,78,31,78,94,31,109,125,109,16,78,0,94,1
0,93,78,141,78,31,78,46,63,62,125,31,687,94,110,31,94,1
109,203,94,391,46,110,31,765,94,31,109,125,109,16,62,0,94,1
31,110,125,485,93,78,141,140,47,78,47,62,125,16,125,32,93,1
16,125,78,47,109,32,110,109,62,94,125,62,172,78,15,47,93,1
16,188,62,485,109,125,78,985,47,78,47,62,125,16,125,32,93,1
63,93,47,125,172,62,32,63,63,47,78,78,78,172,78,79,78,1
15,94,78,46,125,78,15,109,62,78,78,94,125,62,125,63,78,1
0,78,78,125,109,62,16,62,63,47,78,78,78,172,62,79,78,1
547,156,172,128,78,63,47,94,47,62,78,63,47,15,93,47,94,1
16,109,109,47,172,79,93,62,78,78,79,78,110,94,0,62,47,1
78,15,78,128,62,94,31,812,47,62,78,63,47,15,78,47,94,1
15,63,63,63,62,63,578,63,47,94,78,94,47,78,109,63,62,1
78,79,94,62,156,94,78,94,47,78,78,125,93,110,438,31,94,1
31,63,94,63,94,125,453,63,47,94,78,94,47,78,47,63,62,1
47,94,78,271,62,47,16,62,47,62,125,32,47,15,94,16,78,1
31,31,78,32,15,62,31,94,63,62,312,63,62,94,32,31,79,1
0,141,62,271,94,62,0,813,47,62,125,32,47,15,31,16,78,1
94,94,78,140,63,47,141,63,125,47,63,93,63,125,125,110,78,1
