ft1,dtsk1,ft2,ft3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft8,dtsk8,dtsk9,ft10,dtsk10,dtfk12,dtsk12,dtfk13,dtsk13,gender
16,62,94,32,78,62,515,78,79,62,78,78,47,172,94,62,125,109,15,63,78,1
31,63,78,16,94,63,94,79,31,63,109,110,78,109,78,15,79,78,62,79,62,1
62,94,125,78,109,78,78,47,78,109,172,46,78,63,78,79,78,62,109,41,78,1
16,78,31,63,94,94,78,203,78,93,110,172,141,46,62,62,79,126,219,47,62,1
31,47,62,15,109,78,62,110,78,47,63,32,62,126,172,79,78,62,109,46,94,1
62,110,125,31,78,141,141,125,110,125,203,78,110,78,140,63,94,187,94,109,109,1
31,125,125,218,78,62,172,94,94,62,125,109,94,78,15,93,79,110,32,78,93,1
47,78,125,31,78,141,125,125,47,78,109,94,93,110,109,63,94,187,94,63,47,1
32,78,125,46,63,62,62,62,63,125,78,62,110,78,79,62,79,63,78,47,63,1
47,62,110,78,62,93,78,62,79,62,125,94,156,94,125,109,47,125,78,47,62,1
125,47,94,47,63,62,63,78,46,47,141,78,78,125,94,62,79,63,78,78,63,1
141,93,157,47,78,328,328,172,157,93,313,47,47,250,172,78,344,47,78,62,125,1
109,32,47,62,46,31,0,172,344,94,140,140,515,63,282,78,78,94,62,156,78,1
78,156,47,78,78,328,0,172,47,63,62,109,125,94,140,78,344,47,78,79,109,1
282,93,94,891,78,94,94,94,63,984,63,63,109,62,78,78,78,78,78,78,78,1
297,62,141,250,62,62,93,109,78,63,203,78,47,78,125,94,62,94,344,94,79,1
797,94,94,235,78,94,141,109,219,78,125,78,78,94,78,78,78,78,78,62,63,1
32,93,63,78,62,250,250,63,78,94,78,125,266,93,344,78,63,109,93,47,78,1
16,94,47,47,78,78,125,63,63,62,141,78,516,78,16,93,63,94,547,0,31,1
172,0,93,16,62,250,844,31,16,46,94,109,78,94,78,78,63,109,93,78,187,1
0,94,16,16,109,171,171,109,47,125,62,63,78,110,78,47,375,63,78,47,16,1
16,94,141,47,94,47,110,109,375,78,78,94,16,125,78,78,78,16,0,62,62,1
31,62,16,62,109,171,94,125,15,63,140,62,0,16,94,47,375,63,78,94,78,1
15,110,78,63,93,78,78,63,63,94,187,141,94,78,203,109,63,93,78,78,78,1
16,78,125,62,78,63,0,94,63,62,125,94,94,94,31,328,110,94,32,78,62,1
31,78,109,63,93,78,94,63,15,78,94,109,110,94,94,109,63,93,78,78,78,1
172,94,203,110,109,78,78,78,78,156,110,125,125,47,78,78,110,94,94,63,78,1
359,94,62,110,78,93,94,78,110,93,610,62,141,109,141,94,63,156,140,93,94,1
313,93,109,15,109,78,93,94,78,63,156,94,94,156,62,78,110,94,94,93,63,1
94,93,125,47,63,156,156,63,63,469,62,78,47,172,141,56,73,79,110,78,47,1
16,47,140,62,47,47,0,656,73,166,16,62,78,62,16,78,63,47,62,31,63,1
31,31,94,32,63,156,0,94,62,141,15,94,703,47,62,56,73,79,110,78,78,1
16,110,47,78,47,438,438,46,94,62,94,78,140,79,109,31,78,109,78,15,31,1
0,109,63,47,78,78,0,46,78,94,78,31,109,47,110,62,78,687,78,32,31,1
109,32,31,31,47,438,0,94,78,47,46,110,94,687,31,31,78,109,78,94,63,1
31,110,46,79,93,594,594,140,94,47,93,78,109,63,125,78,78,125,93,0,62,1
16,94,31,125,109,78,125,141,78,79,109,32,110,109,109,94,62,172,94,94,63,1
16,94,47,31,93,594,234,109,94,94,109,125,94,172,32,78,78,125,93,93,94,1
63,93,110,78,31,63,63,79,63,109,172,62,78,78,78,47,93,78,78,63,63,1
15,93,94,47,79,47,47,94,93,63,125,78,63,109,125,78,63,125,47,63,31,1
0,63,78,47,31,63,46,94,94,47,109,62,79,125,78,47,93,78,78,78,32,1
547,156,16,292,79,225,225,110,63,78,78,63,140,94,203,62,109,47,62,32,16,1
16,109,47,0,78,62,609,0,109,63,172,79,47,125,78,78,78,110,78,78,63,1
78,78,63,297,79,225,0,141,93,32,62,94,109,110,79,62,109,47,62,47,47,1
15,63,93,16,93,140,140,109,31,141,62,63,125,62,78,94,141,47,62,47,47,1
78,125,93,78,79,78,125,109,141,62,156,94,94,62,93,78,63,93,78,47,62,1
31,47,109,62,93,140,47,94,78,62,94,125,766,93,94,94,141,47,62,94,62,1
47,94,78,52,40,380,380,125,79,15,62,47,94,62,172,62,63,47,78,32,31,1
31,78,110,31,78,78,0,125,63,157,15,62,94,78,125,62,63,62,141,62,62,1
0,62,125,16,40,380,125,94,63,0,94,62,922,62,62,62,63,47,78,79,156,1
94,94,109,563,78,79,79,93,62,125,63,47,125,63,47,47,63,63,62,63,62,1
47,78,109,109,63,62,94,125,63,62,172,78,125,62,156,78,63,110,78,78,46,1
78,78,125,78,78,79,78,125,62,63,125,63,78,110,78,47,63,63,62,78,47,1
31,125,94,31,109,172,172,156,110,46,125,94,109,63,187,93,453,32,79,31,78,1
46,125,172,0,125,78,110,156,453,94,47,31,125,62,0,110,78,109,110,62,94,1
0,62,109,32,109,172,172,157,31,78,15,94,141,109,31,93,453,32,79,109,110,1
78,110,62,16,63,62,62,94,62,47,94,78,94,31,93,62,110,141,78,31,46,1
0,78,156,31,78,52,78,188,110,62,141,63,297,78,0,78,63,141,15,31,94,1
47,31,110,62,63,62,79,78,16,94,31,94,62,141,63,62,110,141,78,78,78,1
16,94,109,63,93,78,78,94,94,62,156,110,31,125,250,63,62,93,110,125,125,1
16,62,63,31,78,78,0,109,62,94,313,156,141,125,16,47,63,125,235,125,94,1
31,125,110,47,93,78,0,94,0,62,78,156,78,125,156,63,62,93,110,125,109,1
16,109,15,0,47,203,203,62,31,78,47,31,297,31,125,62,94,31,47,156,62,1
78,16,62,109,344,0,1469,31,94,78,63,0,32,31,141,78,78,78,16,31,15,1
79,31,47,78,47,203,141,125,125,0,47,125,0,78,0,62,94,31,47,94,62,1
62,110,250,62,78,78,78,88,78,282,109,78,94,78,94,79,93,78,109,78,109,1
63,93,93,94,62,78,62,78,93,63,172,78,125,78,156,63,93,213,110,78,78,1
0,78,110,15,78,78,1109,250,32,93,157,94,88,213,78,79,93,78,109,93,78,1
47,47,62,32,78,110,110,110,31,47,15,78,62,78,16,78,79,63,63,48,84,1
63,31,79,32,15,31,141,94,79,188,31,16,32,93,16,78,63,31,31,16,0,1
15,16,328,15,78,110,438,31,93,32,47,625,0,31,16,78,79,63,63,16,15,1
