dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,ft8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtsk12,dtfk14,dtsk14,gender
94,93,47,110,109,94,109,16,78,78,78,78,47,0,94,94,1
109,32,171,94,125,62,125,0,94,47,375,156,47,78,78,125,1
93,94,78,78,63,141,0,94,203,109,63,94,78,78,93,62,1
78,31,63,0,94,94,63,94,31,328,110,110,93,32,94,78,1
93,94,78,94,63,109,16,110,94,109,63,94,78,78,93,62,1
109,250,78,78,78,125,140,125,78,78,110,47,156,94,93,78,1
78,219,93,94,78,62,328,141,141,94,63,78,109,140,110,93,1
109,250,78,93,94,94,187,94,62,78,110,47,156,94,93,78,1
63,93,156,156,63,78,125,47,141,56,73,78,31,110,62,63,1
47,16,47,0,656,62,125,78,16,78,63,140,0,62,63,78,1
63,93,156,0,94,94,31,703,62,56,73,78,31,110,62,63,1
47,391,438,438,46,78,31,140,109,31,78,109,125,78,78,94,1
78,141,78,0,46,31,78,109,110,62,78,125,31,78,78,94,1
47,391,438,0,94,110,31,94,31,31,78,109,125,78,78,94,1
93,485,594,594,140,78,141,109,125,78,78,47,62,93,78,93,1
109,47,78,125,141,32,110,110,109,94,62,125,62,94,94,93,1
93,485,594,234,109,125,78,94,32,78,78,47,62,93,78,93,1
31,125,63,63,79,62,32,78,78,47,93,78,78,78,46,78,1
79,46,47,47,94,78,15,63,125,78,63,78,94,47,62,78,1
31,125,63,46,94,62,16,79,78,47,93,78,78,78,46,78,1
79,128,225,225,110,63,47,140,203,62,109,78,63,62,94,94,1
78,47,62,609,0,79,93,47,78,78,78,79,78,78,15,47,1
79,128,225,0,141,94,31,109,79,62,109,78,63,62,94,94,1
93,63,140,140,109,63,578,125,78,94,141,78,94,62,93,62,1
79,62,78,125,109,94,78,94,93,78,63,78,125,78,94,94,1
93,63,140,47,94,125,453,766,94,94,141,78,94,62,93,62,1
40,271,380,380,125,47,16,94,172,62,63,125,32,78,62,78,1
78,32,78,0,125,62,31,94,125,62,63,312,63,141,78,79,1
40,271,380,125,94,62,0,922,62,62,63,125,32,78,62,78,1
78,140,79,79,93,47,141,125,47,47,63,63,93,62,62,78,1
63,94,62,94,125,78,78,125,156,78,63,78,110,78,63,78,1
78,140,79,78,125,63,125,78,78,47,63,63,93,62,62,78,1
109,31,172,172,156,94,16,109,187,93,453,140,47,79,78,78,1
125,15,78,110,156,31,63,125,0,110,78,829,31,110,157,109,1
109,31,172,172,157,94,78,141,31,93,453,140,47,79,78,78,1
63,78,62,62,94,78,31,94,93,62,110,78,94,78,78,63,1
78,61,52,78,188,63,62,297,0,78,63,62,110,15,78,78,1
