dtsk2,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,gender
78,140,79,79,250,93,141,62,63,63,93,63,1
63,94,62,94,125,125,78,63,63,78,110,62,1
47,140,79,78,172,125,125,83,63,63,93,63,1
78,31,172,172,31,156,16,93,453,140,47,63,1
16,15,78,110,125,156,63,31,78,829,31,93,1
110,31,172,172,93,157,78,94,453,140,47,63,1
78,78,62,62,94,94,31,94,110,78,94,63,1
16,61,52,78,94,188,62,31,63,62,110,62,1
94,78,62,79,78,78,47,78,110,78,94,63,1
78,188,78,78,31,94,31,78,62,78,110,78,1
78,0,78,0,31,109,31,125,63,62,94,62,1
78,188,78,0,0,94,16,94,62,78,110,78,1
125,109,203,203,47,62,63,31,94,157,31,62,1
63,94,0,1469,140,31,62,156,78,0,47,63,1
62,109,203,141,15,125,719,109,94,157,31,62,1
94,203,78,78,249,88,344,407,93,94,140,79,1
94,157,78,62,204,78,172,78,93,94,172,78,1
78,203,78,1109,63,250,203,78,93,94,140,79,1
140,79,110,110,15,110,16,110,79,63,47,15,1
46,94,31,141,0,94,78,48,63,16,78,62,1
32,79,110,438,125,31,32,79,79,63,47,15,1
109,109,157,157,156,94,94,93,63,94,203,63,1
94,141,47,172,0,172,125,110,62,16,141,62,1
125,109,157,94,156,110,140,78,63,94,203,63,1
94,125,125,125,78,125,63,93,94,125,94,78,1
94,47,109,109,32,171,140,94,78,156,47,110,1
78,125,125,125,47,141,110,78,94,125,94,78,1
63,125,94,94,219,98,109,63,78,78,110,46,1
47,31,78,94,187,78,15,63,47,94,93,78,1
62,125,94,110,234,78,0,63,78,78,110,46,1
171,47,156,156,32,140,31,109,94,250,31,125,1
63,0,63,110,78,187,109,78,93,125,93,94,1
125,47,156,125,79,140,15,94,94,250,31,125,1
78,16,141,141,62,125,63,78,63,62,140,63,1
16,78,63,0,15,125,78,0,63,78,93,32,1
110,16,141,187,0,94,63,62,63,62,140,63,1
109,16,203,203,15,137,16,94,125,94,78,109,1
125,32,78,156,16,137,0,94,79,109,63,141,1
62,16,203,0,47,140,16,172,125,94,78,109,1
109,109,203,203,78,109,47,110,125,109,63,78,1
93,47,62,0,15,109,109,78,94,78,110,109,1
63,109,203,0,47,125,31,110,125,109,63,78,1
141,31,78,78,32,31,47,31,62,47,125,47,1
47,156,16,531,625,31,79,31,62,94,0,62,1
62,31,78,671,193,31,32,93,62,47,125,47,1
141,31,125,125,31,125,125,203,93,47,141,31,1
