dtfk1,dtsk1,ft2,ft3,dtfk4,ft4,ft5,dtfk6,ft6,dtfk7,ft7,dtfk8,dtfk9,dtfk10,ft10,dtfk11,dtfk12,ft12,dtfk13,dtfk14,sum,gender
125,110,78,93,118,53,223,16,93,156,16,171,125,156,47,110,110,343,109,94,4970,1
94,78,94,16,94,15,62,78,94,62,32,31,657,78,15,63,78,16,79,15,3312,1
78,62,94,32,78,79,63,79,62,78,31,15,109,63,62,78,109,172,63,109,3658,1
140,63,78,16,94,15,62,31,63,110,172,110,63,78,15,63,78,16,79,15,2985,1
125,94,125,78,109,63,125,78,109,46,16,125,63,265,79,141,62,32,41,78,3560,1
172,78,31,63,94,31,125,78,93,172,116,63,63,31,62,156,126,46,47,78,3641,1
94,47,62,15,109,63,125,78,47,32,31,94,906,265,79,141,62,32,46,78,4048,1
78,110,125,31,78,156,16,110,125,78,16,109,109,47,63,94,187,16,109,79,3862,1
203,125,125,218,78,16,15,94,62,109,63,78,109,63,93,78,110,93,78,94,3611,1
78,78,125,31,78,156,109,47,78,94,15,63,129,47,63,94,187,16,63,79,3614,1
62,78,125,46,63,47,141,63,125,62,110,78,63,78,62,79,63,15,47,78,3080,1
78,62,110,78,62,32,157,79,62,94,203,78,141,47,109,109,125,47,47,63,3515,1
63,47,94,47,63,47,140,46,47,78,31,63,79,78,62,79,63,15,78,78,3141,1
94,93,157,47,78,250,62,157,93,47,78,422,1078,62,78,140,47,125,62,78,6577,1
313,32,47,62,46,79,62,344,94,140,235,359,62,62,78,16,94,78,156,62,5172,1
78,156,47,78,78,250,63,47,63,109,141,94,0,62,78,140,47,125,79,78,4420,1
93,93,94,891,78,234,47,63,984,63,218,79,78,78,78,63,78,828,78,63,6749,1
63,62,141,250,62,188,63,78,63,78,250,93,125,62,94,78,94,62,94,78,4935,1
62,94,94,235,78,234,203,219,78,78,375,62,110,78,78,63,78,828,62,63,6250,1
93,93,63,78,62,110,63,78,94,125,46,187,62,78,78,125,109,32,47,93,4202,1
78,94,47,47,78,31,16,63,62,78,16,62,94,63,93,125,94,93,0,62,3891,1
31,0,93,16,62,110,938,16,46,109,32,94,1047,78,78,125,109,32,78,93,7094,1
156,94,16,16,109,32,16,47,125,63,62,156,126,31,47,156,63,16,47,78,3624,1
62,94,141,47,94,93,31,375,78,94,109,93,140,63,78,78,16,109,62,94,3281,1
47,62,16,62,109,32,31,15,63,62,125,125,1176,31,47,156,63,16,94,78,4501,1
125,110,78,63,93,94,203,63,94,141,0,78,141,141,109,94,93,16,78,93,3703,1
187,78,125,62,78,31,0,63,62,94,63,93,94,234,328,110,94,93,78,94,3610,1
78,78,109,63,93,94,171,15,78,109,16,79,78,141,109,94,93,16,78,93,3280,1
125,94,203,110,109,250,110,78,156,125,140,62,94,94,78,47,94,265,63,93,4923,1
110,94,62,110,78,219,78,110,93,62,328,109,156,93,94,78,156,94,93,110,5672,1
94,93,109,15,109,250,250,78,63,94,187,109,78,94,78,47,94,265,93,93,4811,1
63,93,125,47,63,93,31,63,469,78,125,141,78,78,56,78,79,15,78,62,3755,1
62,47,140,62,47,16,594,73,166,62,125,78,15,62,78,140,47,110,31,63,3739,1
78,31,94,32,63,93,16,62,141,94,31,78,844,78,56,78,79,15,78,62,5098,1
109,110,47,78,47,391,31,94,62,78,31,110,78,94,31,109,109,16,15,78,4172,1
94,109,63,47,78,141,32,78,94,31,78,63,46,63,62,125,687,94,32,78,3593,1
78,32,31,31,47,391,31,78,47,110,31,0,765,94,31,109,109,16,94,78,5717,1
125,110,46,79,93,485,47,94,47,78,141,125,140,47,78,47,125,16,0,78,4935,1
