ft1,dtsk1,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtsk12,sum,gender
282,93,78,234,94,47,94,63,218,78,78,78,63,140,828,78,6749,1
297,62,62,188,62,63,109,78,250,62,94,62,78,140,62,344,4935,1
797,94,78,234,94,203,109,219,375,78,78,78,63,140,828,78,6250,1
32,93,62,110,250,63,63,78,46,78,78,63,125,47,32,93,4202,1
16,94,78,31,78,16,63,63,16,63,93,63,125,15,93,547,3891,1
172,0,62,110,250,938,31,16,32,78,78,63,125,47,32,93,7094,1
0,94,109,32,171,16,109,47,62,31,47,375,156,47,16,78,3624,1
16,94,94,93,47,31,109,375,109,63,78,78,78,47,109,0,3281,1
31,62,109,32,171,31,125,15,125,31,47,375,156,47,16,78,4501,1
15,110,93,94,78,203,63,63,0,141,109,63,94,78,16,78,3703,1
16,78,78,31,63,0,94,63,63,234,328,110,110,93,93,32,3610,1
31,78,93,94,78,171,63,15,16,141,109,63,94,78,16,78,3280,1
172,94,109,250,78,110,78,78,140,94,78,110,47,156,265,94,4923,1
359,94,78,219,93,78,78,110,328,93,94,63,78,109,94,140,5672,1
313,93,109,250,78,250,94,78,187,94,78,110,47,156,265,94,4811,1
94,93,63,93,156,31,63,63,125,78,56,73,78,31,15,110,3755,1
16,47,47,16,47,594,656,73,125,62,78,63,140,0,110,62,3739,1
31,31,63,93,156,16,94,62,31,78,56,73,78,31,15,110,5098,1
16,110,47,391,438,31,46,94,31,94,31,78,109,125,16,78,4172,1
0,109,78,141,78,32,46,78,78,63,62,78,125,31,94,78,3593,1
109,32,47,391,438,31,94,78,31,94,31,78,109,125,16,78,5717,1
31,110,93,485,594,47,140,94,141,47,78,78,47,62,16,93,4935,1
16,94,109,47,78,31,141,78,110,62,94,62,125,62,78,94,3515,1
16,94,93,485,594,16,109,94,78,47,78,78,47,62,16,93,6516,1
63,93,31,125,63,171,79,63,32,63,47,93,78,78,172,78,3344,1
15,93,79,46,47,31,94,93,15,62,78,63,78,94,62,47,3125,1
0,63,31,125,63,47,94,94,16,63,47,93,78,78,172,78,2983,1
547,156,79,128,225,40,110,63,47,47,62,109,78,63,15,62,4488,1
16,109,78,47,62,734,0,109,93,78,78,78,79,78,94,78,4343,1
78,78,79,128,225,47,141,93,31,47,62,109,78,63,15,62,4134,1
15,63,93,63,140,188,109,31,578,47,94,141,78,94,78,62,3999,1
78,125,79,62,78,207,109,141,78,47,78,63,78,125,110,78,3941,1
31,47,93,63,140,687,94,78,453,47,94,141,78,94,78,62,5077,1
47,94,40,271,380,47,125,79,16,47,62,63,125,32,15,78,3507,1
31,78,78,32,78,47,125,63,31,63,62,63,312,63,94,141,3018,1
0,62,40,271,380,140,94,63,0,47,62,63,125,32,15,78,5659,1
94,94,78,140,79,250,93,62,141,125,47,63,63,93,125,62,4205,1
47,78,63,94,62,125,125,63,78,62,78,63,78,110,62,78,3438,1
78,78,78,140,79,172,125,62,125,125,47,63,63,93,125,62,3585,1
31,125,109,31,172,31,156,110,16,0,93,453,140,47,46,79,3983,1
46,125,125,15,78,125,156,453,63,93,110,78,829,31,78,110,4546,1
0,62,109,31,172,93,157,31,78,0,93,453,140,47,46,79,5156,1
78,110,63,78,62,94,94,62,31,32,62,110,78,94,0,78,3438,1
0,78,78,61,52,94,188,110,62,78,78,63,62,110,94,15,3129,1
47,31,63,78,62,78,78,16,47,32,62,110,78,94,0,78,3866,1
16,94,93,188,78,31,94,94,31,78,63,62,78,110,125,110,3953,1
16,62,78,0,78,31,109,62,31,78,47,63,62,94,94,235,3921,1
31,125,93,188,78,0,94,0,16,78,63,62,78,110,125,110,3623,1
16,109,47,109,203,47,62,31,63,16,62,94,157,31,31,47,3231,1
78,16,344,94,0,140,31,94,62,78,78,78,0,47,156,16,4361,1
79,31,47,109,203,15,125,125,719,16,62,94,157,31,31,47,4186,1
62,110,78,203,78,249,88,78,344,234,79,93,94,140,47,109,5854,1
63,93,62,157,78,204,78,93,172,281,63,93,94,172,94,110,5009,1
0,78,78,203,78,63,250,32,203,234,79,93,94,140,47,109,5833,1
47,47,78,79,110,15,110,31,16,63,78,79,63,47,31,63,3717,1
63,31,15,94,31,0,94,79,78,31,78,63,16,78,109,31,2360,1
15,16,78,79,110,125,31,93,32,63,78,79,63,47,31,63,3677,1
16,125,187,109,157,156,94,109,94,94,109,63,94,203,157,171,4960,1
110,109,78,141,47,0,172,63,125,93,110,62,16,141,172,78,5704,1
110,531,187,109,157,156,110,94,140,94,109,63,94,203,157,171,5814,1
93,125,94,125,125,78,125,94,63,94,62,94,125,94,110,93,4233,1
78,125,94,47,109,32,171,94,140,47,93,78,156,47,94,453,4563,1
16,94,94,125,125,47,141,47,110,94,62,94,125,94,110,93,4142,1
63,109,78,125,94,219,98,78,109,93,63,78,78,110,46,63,3677,1
32,62,94,31,78,187,78,78,15,78,109,47,94,93,63,109,3404,1
78,63,78,125,94,234,78,15,0,93,63,78,78,110,46,63,3484,1
47,110,94,47,156,32,140,172,31,15,141,94,250,31,16,114,4112,1
16,109,125,0,63,78,187,94,109,62,110,93,125,93,93,110,3546,1
0,62,94,47,156,79,140,16,15,15,141,94,250,31,16,114,4802,1
15,78,78,16,141,62,125,78,63,47,47,63,62,140,78,16,3298,1
15,94,78,78,63,15,125,63,78,78,109,63,78,93,109,187,3000,1
31,94,78,16,141,0,94,94,63,47,47,63,62,140,78,16,4078,1
47,94,297,16,203,15,137,78,16,157,62,125,94,78,94,78,4810,1
16,78,93,32,78,16,137,125,0,110,93,79,109,63,78,109,3762,1
110,15,297,16,203,47,140,32,16,157,62,125,94,78,94,78,4143,1
78,125,110,109,203,78,109,78,47,156,78,125,109,63,110,93,5623,1
15,156,125,47,62,15,109,125,109,79,62,94,78,110,94,172,5015,1
375,79,110,109,203,47,125,78,31,156,78,125,109,63,110,93,6649,1
47,78,109,31,78,32,31,47,47,94,16,62,47,125,47,63,3281,1
156,32,31,156,16,625,31,62,79,31,94,62,94,0,109,31,3485,1
156,32,109,31,78,193,31,15,32,94,16,62,47,125,47,63,4676,1
15,109,110,31,125,31,125,125,125,125,47,93,47,141,16,63,4046,1
31,109,16,110,94,0,125,93,16,47,93,79,0,93,78,156,4154,1
62,0,110,31,125,720,15,63,78,125,47,93,47,141,16,63,6861,1
62,62,63,172,78,31,78,62,79,40,60,106,47,125,94,62,3348,1
47,62,79,62,63,250,47,106,93,47,78,31,78,109,176,13,3587,1
62,63,63,172,78,188,78,27,140,40,60,106,47,125,94,62,3553,1
78,110,109,79,109,31,78,63,234,141,62,109,140,16,203,63,3921,2
47,78,125,63,62,31,141,109,109,78,78,63,109,16,63,94,3845,2
16,78,109,79,109,16,94,93,109,141,62,109,140,16,203,63,4874,2
16,78,94,156,250,31,141,47,62,156,63,62,94,62,47,78,4562,2
31,78,47,47,62,32,141,62,125,63,62,63,79,78,62,266,3488,2
63,16,94,156,250,94,94,32,15,156,63,62,94,62,47,78,5671,2
47,172,94,141,250,47,47,94,47,63,62,78,32,141,78,16,3049,2
15,109,78,172,16,47,47,78,125,15,63,78,31,94,63,125,3707,2
93,16,94,141,250,1000,47,78,203,63,62,78,32,141,78,16,8140,2
16,109,78,31,109,31,63,32,32,16,188,359,218,47,47,62,3000,2
359,94,62,16,47,15,94,359,47,62,63,94,94,15,156,16,2969,2
78,16,78,31,109,31,94,59,78,16,188,359,218,47,47,62,4467,2
437,94,94,31,140,31,62,94,16,125,63,109,62,94,94,109,4296,2
15,94,94,62,78,16,62,109,109,78,78,63,94,109,78,78,3310,2
110,16,94,31,140,16,78,63,16,125,63,109,62,94,94,109,4249,2
4369,113,90,63,80,442,110,65,36,47,78,78,69,111,78,109,8445,2
4,79,78,31,78,411,65,78,24,58,68,150,78,94,62,141,4213,2
6,79,90,63,80,185,103,109,73,47,78,78,69,111,78,109,3365,2
156,125,109,63,172,47,109,63,78,110,250,78,156,63,47,125,4252,2
15,94,156,16,78,31,109,78,94,78,78,63,110,47,94,62,3846,2
78,410,109,63,172,15,109,47,172,110,250,78,156,63,47,125,5502,2
32,125,93,32,187,0,78,93,31,16,94,78,94,78,15,78,3638,2
32,94,62,16,62,31,78,78,117,47,47,63,94,31,172,15,3279,2
78,32,93,32,187,47,63,16,15,16,94,78,94,78,15,78,3657,2
141,78,78,219,62,31,47,46,109,547,63,1015,79,125,203,62,4983,2
78,63,62,63,78,94,78,1015,125,31,828,62,93,110,62,485,5531,2
109,47,78,219,62,78,109,79,219,547,63,1015,79,125,203,62,5221,2
125,109,125,63,109,47,125,78,0,63,78,109,78,93,47,78,3750,2
16,78,94,31,110,78,187,109,62,78,78,78,109,110,94,62,3373,2
0,78,125,63,109,78,110,78,31,63,78,109,78,93,47,78,5093,2
47,125,94,31,79,31,140,47,16,31,62,79,125,62,15,94,3298,2
16,62,78,32,78,59,124,79,94,63,78,93,79,93,78,0,3122,2
31,62,94,31,79,31,125,62,16,31,62,79,125,62,15,94,3749,2
31,78,79,15,140,47,90,78,0,47,63,78,94,94,0,78,2996,2
0,63,78,32,94,16,93,78,140,63,78,78,78,94,78,31,3220,2
16,78,79,15,140,63,125,0,31,47,63,78,94,94,0,78,3423,2
343,63,47,62,78,125,79,47,16,94,62,156,63,109,234,31,3952,2
0,78,93,47,63,62,141,156,62,32,125,47,62,125,63,94,3300,2
47,16,47,62,78,46,110,78,16,94,62,156,63,109,234,31,4171,2
31,141,94,62,172,15,100,78,46,78,47,62,141,62,109,94,3582,2
32,110,93,32,78,46,110,62,141,47,94,46,109,31,78,47,3159,2
109,16,94,62,172,94,125,141,15,78,47,62,141,62,109,94,5580,2
78,78,62,63,78,62,79,62,78,109,62,94,78,93,78,62,3012,2
62,79,63,78,63,125,62,94,125,62,78,63,78,94,93,78,3267,2
78,78,62,63,78,125,63,0,78,109,62,94,78,93,78,62,3780,2
47,63,78,47,125,47,47,110,16,15,78,78,47,63,110,62,3142,2
16,78,16,93,32,500,47,78,47,31,63,78,31,62,109,62,3721,2
156,0,78,47,125,47,62,78,78,15,78,78,47,63,110,62,3562,2
32,109,62,157,78,172,62,63,78,141,62,79,79,78,63,93,4392,2
16,93,93,0,94,157,78,79,141,94,78,78,78,110,78,94,3658,2
78,78,62,157,78,156,94,62,63,141,62,79,79,78,63,93,3643,2
109,62,63,94,78,187,63,63,62,156,63,109,78,94,188,78,3596,2
47,63,62,63,62,62,78,109,94,63,78,78,63,109,62,125,3406,2
62,63,63,94,78,140,47,63,47,156,63,109,78,94,188,78,3410,2
47,157,156,0,78,78,180,78,16,78,94,62,31,109,93,0,3397,2
15,94,15,78,47,47,187,62,47,94,62,63,15,125,63,141,4740,2
47,16,156,0,78,15,172,94,94,78,94,62,31,109,93,0,7215,2
79,109,78,62,109,31,125,63,141,63,78,94,141,0,93,32,3421,2
125,93,47,78,31,31,125,94,78,94,94,46,63,172,125,500,3729,2
31,78,78,62,109,0,94,0,47,63,78,94,141,0,93,32,3667,2
