dtsk2,ft3,ft4,dtsk4,dtsk5,dtsk6,ft7,dtfk8,dtfk9,dtfk10,ft10,dtsk10,ft13,dtsk13,dtfk14,dtsk14,sum,gender
78,78,250,328,172,62,141,94,0,62,78,344,31,109,78,94,4420,1
78,891,234,94,94,63,218,79,78,78,78,78,297,78,63,78,6749,1
62,250,188,62,109,203,250,93,125,62,94,62,484,79,78,62,4935,1
62,235,234,94,109,125,375,62,110,78,78,78,375,63,63,78,6250,1
94,78,110,250,63,78,46,187,62,78,78,63,78,78,93,63,4202,1
109,47,31,78,63,141,16,62,94,63,93,63,78,31,62,78,3891,1
78,16,110,250,31,94,32,94,1047,78,78,63,63,187,93,63,7094,1
93,16,32,171,109,62,62,156,126,31,47,375,78,16,78,125,3624,1
16,47,93,47,109,78,109,93,140,63,78,78,16,62,94,94,3281,1
93,62,32,171,125,140,125,125,1176,31,47,375,62,78,78,125,4501,1
78,63,94,78,63,187,0,78,141,141,109,63,78,78,93,62,3703,1
63,62,31,63,94,125,63,93,94,234,328,110,32,62,94,78,3610,1
62,63,94,78,63,94,16,79,78,141,109,63,16,78,93,62,3280,1
109,110,250,78,78,110,140,62,94,94,78,110,422,78,93,78,4923,1
78,110,219,93,78,610,328,109,156,93,94,63,547,94,110,93,5672,1
78,15,250,78,94,156,187,109,78,94,78,110,203,63,93,78,4811,1
47,47,93,156,63,62,125,141,78,78,56,73,78,47,62,63,3755,1
47,62,16,47,656,16,125,78,15,62,78,63,47,63,63,78,3739,1
63,32,93,156,94,15,31,78,844,78,56,73,172,78,62,63,5098,1
109,78,391,438,46,94,31,110,78,94,31,78,78,31,78,94,4172,1
110,47,141,78,46,78,78,63,46,63,62,78,110,31,78,94,3593,1
93,31,391,438,94,46,31,0,765,94,31,78,62,63,78,94,5717,1
125,79,485,594,140,93,141,125,140,47,78,78,125,62,78,93,4935,1
125,125,47,78,141,109,110,78,109,62,94,62,15,63,94,93,3515,1
63,31,485,594,109,109,78,109,985,47,78,78,125,94,78,93,6516,1
47,78,125,63,79,172,32,78,63,63,47,93,78,63,46,78,3344,1
47,47,46,47,94,125,15,78,109,62,78,63,125,31,62,78,3125,1
63,47,125,63,94,109,16,62,62,63,47,93,62,32,46,78,2983,1
172,292,128,225,110,78,47,15,94,47,62,109,93,16,94,94,4488,1
109,0,47,62,0,172,93,109,62,78,78,78,0,63,15,47,4343,1
