ft1,dtsk2,ft3,dtsk3,dtfk4,ft4,ft5,ft6,dtsk6,dtfk8,ft8,dtfk10,ft10,dtsk10,dtsk11,ft12,dtfk13,dtsk13,ft14,sum,gender
62,63,78,109,109,63,125,109,172,125,78,265,79,78,32,32,41,78,15,3560,1
16,63,63,78,94,31,125,93,110,63,141,31,62,79,94,46,47,62,47,3641,1
31,78,15,94,109,63,125,47,63,94,62,265,79,78,32,32,46,94,15,4048,1
62,78,31,78,78,156,16,125,203,109,110,47,63,94,78,16,109,109,78,3862,1
31,94,218,110,78,16,15,62,125,78,94,63,93,79,78,93,78,93,31,3611,1
47,110,31,78,78,156,109,78,109,63,93,47,63,94,78,16,63,47,78,3614,1
32,47,46,63,63,47,141,125,78,78,110,78,62,79,47,15,47,63,16,3080,1
47,94,78,63,62,32,157,62,125,78,156,47,109,47,62,47,47,62,47,3515,1
125,62,47,62,63,47,140,47,141,63,78,78,62,79,47,15,78,63,16,3141,1
141,47,47,78,78,250,62,93,313,422,47,62,78,344,63,125,62,125,31,6577,1
109,110,62,157,46,79,62,94,140,359,515,62,78,78,63,78,156,78,281,5172,1
78,78,78,15,78,250,63,63,62,94,125,62,78,344,63,125,79,109,31,4420,1
282,78,891,78,78,234,47,984,63,79,109,78,78,78,94,828,78,78,219,6749,1
297,62,250,63,62,188,63,63,203,93,47,62,94,62,78,62,94,79,204,4935,1
797,62,235,62,78,234,203,78,125,62,78,78,78,78,94,828,62,63,219,6250,1
32,94,78,62,62,110,63,94,78,187,266,78,78,63,63,32,47,78,78,4202,1
16,109,47,78,78,31,16,62,141,62,516,63,93,63,78,93,0,31,16,3891,1
172,78,16,78,62,110,938,46,94,94,78,78,78,63,63,32,78,187,78,7094,1
0,93,16,109,109,32,16,125,62,156,78,31,47,375,78,16,47,16,31,3624,1
16,16,47,47,94,93,31,78,78,93,16,63,78,78,125,109,62,62,15,3281,1
31,93,62,78,109,32,31,63,140,125,0,31,47,375,78,16,94,78,31,4501,1
15,78,63,93,93,94,203,94,187,78,94,141,109,63,94,16,78,78,32,3703,1
