dtfk1,dtsk1,dtsk2,dtsk3,dtfk4,ft4,dtsk4,ft5,ft6,ft7,dtsk7,dtfk8,ft8,dtsk8,dtsk10,ft11,ft12,dtfk13,dtfk14,dtsk14,gender
172,78,63,78,94,31,94,125,93,116,41,63,141,46,79,47,46,47,78,46,1
94,47,78,94,109,63,78,125,47,31,62,94,62,126,78,46,32,46,78,63,1
78,110,78,78,78,156,141,16,125,16,94,109,110,78,94,125,16,109,79,62,1
203,125,94,110,78,16,62,15,62,63,109,78,94,78,79,110,93,78,94,63,1
78,78,110,78,78,156,141,109,78,15,63,63,93,110,94,125,16,63,79,62,1
62,78,47,63,63,47,62,141,125,110,78,78,110,78,79,140,15,47,78,62,1
78,62,94,63,62,32,93,157,62,203,47,78,156,94,47,94,47,47,63,78,1
63,47,62,62,63,47,62,140,47,31,63,63,78,125,79,140,15,78,78,62,1
94,93,47,78,78,250,328,62,93,78,125,422,47,250,344,234,125,62,78,94,1
313,32,110,157,46,79,31,62,94,235,62,359,515,63,78,93,78,156,62,79,1
78,156,78,15,78,250,328,63,63,141,62,94,125,94,344,234,125,79,78,94,1
93,93,78,78,78,234,94,47,984,218,47,79,109,62,78,140,828,78,63,78,1
63,62,62,63,62,188,62,63,63,250,78,93,47,78,62,140,62,94,78,62,1
62,94,62,62,78,234,94,203,78,375,47,62,78,94,78,140,828,62,63,78,1
93,93,94,62,62,110,250,63,94,46,0,187,266,93,63,47,32,47,93,63,1
78,94,109,78,78,31,78,16,62,16,47,62,516,78,63,15,93,0,62,78,1
31,0,78,78,62,110,250,938,46,32,78,94,78,94,63,47,32,78,93,63,1
156,94,93,109,109,32,171,16,125,62,63,156,78,110,375,47,16,47,78,125,1
62,94,16,47,94,93,47,31,78,109,47,93,16,125,78,47,109,62,94,94,1
47,62,93,78,109,32,171,31,63,125,109,125,0,16,375,47,16,94,78,125,1
125,110,78,93,93,94,78,203,94,0,78,78,94,78,63,78,16,78,93,62,1
187,78,63,63,78,31,63,0,62,63,78,93,94,94,110,93,93,78,94,78,1
78,78,62,78,93,94,78,171,78,16,62,79,110,94,63,78,16,78,93,62,1
125,94,109,109,109,250,78,110,156,140,63,62,125,47,110,156,265,63,93,78,1
110,94,78,78,78,219,93,78,93,328,63,109,141,109,63,109,94,93,110,93,1
94,93,78,94,109,250,78,250,63,187,78,109,94,156,110,156,265,93,93,78,1
63,93,47,63,63,93,156,31,469,125,78,141,47,172,73,31,15,78,62,63,1
62,47,47,63,47,16,47,594,166,125,78,78,78,62,63,0,110,31,63,78,1
78,31,63,62,63,93,156,16,141,31,63,78,703,47,73,31,15,78,62,63,1
109,110,109,47,47,391,438,31,62,31,94,110,140,79,78,125,16,15,78,94,1
94,109,110,94,78,141,78,32,94,78,15,63,109,47,78,31,94,32,78,94,1
78,32,93,78,47,391,438,31,47,31,94,0,94,687,78,125,16,94,78,94,1
125,110,125,93,93,485,594,47,47,141,62,125,109,63,78,62,16,0,78,93,1
93,94,125,94,109,47,78,31,79,110,0,78,110,109,62,62,78,94,94,93,1
156,94,63,94,93,485,594,16,94,78,94,109,94,172,78,62,16,93,78,93,1
62,93,47,31,31,125,63,171,109,32,78,78,78,78,93,78,172,63,46,78,1
172,93,47,63,79,46,47,31,63,15,63,78,63,109,63,94,62,63,62,78,1
62,63,63,62,31,125,63,47,47,16,62,62,79,125,93,78,172,78,46,78,1
93,156,172,79,79,128,225,40,78,47,78,15,140,94,109,63,15,32,94,94,1
78,109,109,63,78,47,62,734,63,93,32,109,47,125,78,78,94,78,15,47,1
78,78,47,78,79,128,225,47,32,31,172,47,109,110,109,63,15,47,94,94,1
63,63,63,93,93,63,140,188,141,578,94,78,125,62,141,94,78,47,93,62,1
62,125,63,31,79,62,78,207,62,78,47,94,94,62,63,125,110,47,94,94,1
62,47,63,78,93,63,140,687,62,453,78,63,766,93,141,94,78,94,93,62,1
78,94,78,40,40,271,380,47,15,16,62,94,94,62,63,32,15,32,62,78,1
62,78,0,79,78,32,78,47,157,31,32,78,94,78,63,63,94,62,78,79,1
63,62,78,94,40,271,380,140,0,0,32,76,922,62,63,32,15,79,62,78,1
78,94,78,78,78,140,79,250,125,141,62,62,125,63,63,93,125,63,62,78,1
63,78,63,62,63,94,62,125,62,78,63,78,125,62,63,110,62,78,63,78,1
63,78,47,47,78,140,79,172,63,125,83,47,78,110,63,93,125,78,62,78,1
126,125,78,109,109,31,172,31,46,16,93,109,109,63,453,47,46,31,78,78,1
125,125,16,110,125,15,78,125,94,63,31,94,125,62,78,31,78,62,157,109,1
141,62,110,78,109,31,172,93,78,78,94,94,141,109,453,47,46,109,78,78,1
62,110,78,63,63,78,62,94,47,31,94,93,94,31,110,94,0,31,78,63,1
94,78,16,62,78,61,52,94,62,62,31,47,297,78,63,110,94,31,78,78,1
94,31,94,47,63,78,62,78,94,47,78,109,62,141,110,94,0,78,78,63,1
125,94,78,93,93,188,78,31,62,31,78,109,31,125,62,110,125,125,78,125,1
156,62,78,94,78,0,78,31,94,31,125,78,141,125,63,94,94,125,62,125,1
109,125,78,109,93,188,78,0,62,16,94,78,78,125,62,110,125,125,78,125,1
125,109,125,47,47,109,203,47,78,63,31,47,297,31,94,31,31,156,78,62,1
47,16,63,31,344,94,0,140,78,62,156,125,32,31,78,47,156,31,63,94,1
16,31,62,62,47,109,203,15,0,719,109,78,0,78,94,31,31,94,78,62,1
141,110,94,78,78,203,78,249,282,344,407,78,94,78,93,140,47,78,78,94,1
109,93,94,78,62,157,78,204,63,172,78,109,125,78,93,172,94,78,94,93,1
110,78,78,78,78,203,78,63,93,203,78,78,88,213,93,140,47,93,78,94,1
156,47,140,78,78,79,110,15,47,16,110,94,62,78,79,47,31,48,46,78,1
15,31,46,31,15,94,31,0,188,78,48,46,32,93,63,78,109,16,16,16,1
63,16,32,16,78,79,110,125,32,32,79,93,0,31,79,47,31,16,46,78,1
156,125,109,187,187,109,157,156,203,94,93,218,16,111,63,203,157,110,141,94,1
125,109,94,109,78,141,47,0,93,125,110,297,47,109,62,141,172,531,125,93,1
250,531,125,125,187,109,157,156,78,140,78,110,0,47,63,203,157,93,141,94,1
125,125,94,94,94,125,125,78,109,63,93,78,157,93,94,94,110,94,109,79,1
141,125,94,94,94,47,109,32,94,140,94,109,125,94,78,47,94,94,109,94,1
109,94,78,109,94,125,125,47,140,110,78,110,94,187,94,94,110,94,109,79,1
78,109,63,78,78,125,94,219,94,109,63,94,109,78,78,110,46,63,110,94,1
109,62,47,78,94,31,78,187,62,15,63,94,125,78,47,93,63,63,78,63,1
78,63,62,94,78,125,94,234,109,0,63,94,78,125,78,110,46,63,110,94,1
93,110,171,94,94,47,156,32,15,31,109,141,93,125,94,31,16,78,125,109,1
94,109,63,172,125,0,63,78,109,109,78,94,94,78,93,93,93,62,78,125,1
250,62,125,78,94,47,156,79,125,15,94,94,109,110,94,31,16,125,125,109,1
125,78,78,78,78,16,141,62,79,63,78,140,47,63,63,140,78,0,110,156,1
78,94,16,78,78,78,63,15,62,78,0,172,47,63,63,93,109,94,94,78,1
78,94,110,94,78,16,141,0,0,63,62,78,0,31,63,140,78,78,110,156,1
93,94,109,297,297,16,203,15,63,16,94,78,109,94,125,78,94,94,109,110,1
172,78,125,78,93,32,78,16,78,0,94,94,94,125,79,63,78,15,78,78,1
62,15,62,125,297,16,203,47,125,16,172,78,94,375,125,78,94,78,109,110,1
94,125,109,110,110,109,203,78,390,47,110,110,93,78,125,63,110,78,94,78,1
500,156,93,78,125,47,62,15,63,109,78,110,94,78,94,110,94,79,78,94,1
93,79,63,93,110,109,203,47,78,31,110,78,109,94,125,63,110,94,94,78,1
156,78,141,109,109,31,78,32,62,47,31,78,78,32,62,125,47,31,0,16,1
