dtsk1,dtfk3,dtfk4,ft4,dtsk4,dtsk5,dtfk6,dtfk7,ft7,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtsk12,dtfk14,sum,gender
110,78,78,156,141,125,110,78,16,94,47,94,94,125,187,16,94,79,3862,1
125,32,78,16,62,94,94,109,63,109,63,79,78,110,110,93,32,94,3611,1
78,94,78,156,141,125,47,94,15,63,47,94,94,125,187,16,94,79,3614,1
78,47,63,47,62,62,63,62,110,78,78,79,79,140,63,15,78,78,3080,1
62,78,62,32,93,62,79,94,203,47,47,47,109,94,125,47,78,63,3515,1
47,78,63,47,62,78,46,78,31,63,78,79,79,140,63,15,78,78,3141,1
93,47,78,250,328,172,157,47,78,125,62,344,140,234,47,125,78,78,6577,1
32,141,46,79,31,172,344,140,235,62,62,78,16,93,94,78,62,62,5172,1
156,125,78,250,328,172,47,109,141,62,62,344,140,234,47,125,78,78,4420,1
93,78,78,234,94,94,63,63,218,47,78,78,63,140,78,828,78,63,6749,1
62,78,62,188,62,109,78,78,250,78,62,62,78,140,94,62,344,78,4935,1
94,47,78,234,94,109,219,78,375,47,78,78,63,140,78,828,78,63,6250,1
93,94,62,110,250,63,78,125,46,0,78,63,125,47,109,32,93,93,4202,1
94,62,78,31,78,63,63,78,16,47,63,63,125,15,94,93,547,62,3891,1
0,0,62,110,250,31,16,109,32,78,78,63,125,47,109,32,93,93,7094,1
94,93,109,32,171,109,47,63,62,63,31,375,156,47,63,16,78,78,3624,1
94,63,94,93,47,109,375,94,109,47,63,78,78,47,16,109,0,94,3281,1
62,63,109,32,171,125,15,62,125,109,31,375,156,47,63,16,78,78,4501,1
110,78,93,94,78,63,63,141,0,78,141,63,94,78,93,16,78,93,3703,1
78,94,78,31,63,94,63,94,63,78,234,110,110,93,94,93,32,94,3610,1
78,78,93,94,78,63,15,109,16,62,141,63,94,78,93,16,78,93,3280,1
94,109,109,250,78,78,78,125,140,63,94,110,47,156,94,265,94,93,4923,1
94,78,78,219,93,78,110,62,328,63,93,63,78,109,156,94,140,110,5672,1
93,63,109,250,78,94,78,94,187,78,94,110,47,156,94,265,94,93,4811,1
