dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,ft7,dtfk11,ft11,dtsk11,dtfk13,dtfk14,ft14,dtsk14,gender
78,94,391,438,0,31,31,109,125,109,94,78,0,94,1
125,125,485,594,594,47,141,47,62,109,0,78,32,93,1
93,78,47,78,125,31,110,125,62,125,94,94,47,93,1
156,62,485,594,234,16,78,47,62,109,93,78,32,93,1
62,47,125,63,63,171,32,78,78,47,63,46,79,78,1
172,78,46,47,47,31,15,78,94,63,63,62,63,78,1
62,78,125,63,46,47,16,78,78,47,78,46,79,78,1
93,172,128,225,225,40,47,78,63,93,32,94,47,94,1
78,109,47,62,609,734,93,79,78,172,78,15,62,47,1
78,78,128,225,0,47,31,78,63,93,47,94,47,94,1
63,63,63,140,140,188,578,78,94,188,47,93,63,62,1
62,94,62,78,125,207,78,78,125,62,47,94,31,94,1
62,94,63,140,47,687,453,78,94,188,94,93,63,62,1
78,78,271,380,380,47,16,125,32,0,32,62,16,78,1
62,78,32,78,0,47,31,312,63,94,62,78,31,79,1
63,62,271,380,125,140,0,125,32,0,79,62,16,78,1
78,78,140,79,79,250,141,63,93,63,63,62,110,78,1
63,63,94,62,94,125,78,78,110,62,78,63,47,78,1
63,62,140,79,78,172,125,63,93,63,78,62,110,78,1
126,78,31,172,172,31,16,140,47,63,31,78,32,78,1
125,109,15,78,110,125,63,829,31,93,62,157,31,109,1
141,93,31,172,172,93,78,140,47,63,109,78,32,78,1
62,78,78,62,62,94,31,78,94,63,31,78,62,63,1
94,47,61,52,78,94,62,62,110,62,31,78,47,78,1
94,94,78,62,79,78,47,78,94,63,78,78,62,63,1
125,78,188,78,78,31,31,78,110,78,125,78,32,125,1
156,109,0,78,0,31,31,62,94,62,125,62,235,125,1
109,78,188,78,0,0,16,78,110,78,125,78,32,125,1
125,125,109,203,203,47,63,157,31,62,156,78,16,62,1
47,31,94,0,1469,140,62,0,47,63,31,63,31,94,1
16,31,109,203,141,15,719,157,31,62,94,78,16,62,1
141,94,203,78,78,249,344,94,140,79,78,78,109,94,1
109,109,157,78,62,204,172,94,172,78,78,94,125,93,1
110,407,203,78,1109,63,203,94,140,79,93,78,109,94,1
156,140,79,110,110,15,16,63,47,15,48,46,109,78,1
15,93,94,31,141,0,78,16,78,62,16,16,109,16,1
63,110,79,110,438,125,32,63,47,15,16,46,109,78,1
156,109,109,157,157,156,94,94,203,63,110,141,15,94,1
125,94,141,47,172,0,125,16,141,62,531,125,63,93,1
250,93,109,157,94,156,140,94,203,63,93,141,15,94,1
125,94,125,125,125,78,63,125,94,78,94,109,62,79,1
141,94,47,109,109,32,140,156,47,110,94,109,94,94,1
109,93,125,125,125,47,110,125,94,78,94,109,62,79,1
78,63,125,94,94,219,109,78,110,46,63,110,62,94,1
109,62,31,78,94,187,15,94,93,78,63,78,109,63,1
78,63,125,94,110,234,0,78,110,46,63,110,62,94,1
93,171,47,156,156,32,31,250,31,125,78,125,0,109,1
94,110,0,63,110,78,109,125,93,94,62,78,0,125,1
250,109,47,156,125,79,15,250,31,125,125,125,0,109,1
125,78,16,141,141,62,63,62,140,63,0,110,62,156,1
78,125,78,63,0,15,78,78,93,32,94,94,31,78,1
78,78,16,141,187,0,63,62,140,63,78,110,62,156,1
93,109,16,203,203,15,16,94,78,109,94,109,31,110,1
172,94,32,78,156,16,0,109,63,141,15,78,15,78,1
62,94,16,203,0,47,16,94,78,109,78,109,31,110,1
94,109,109,203,203,78,47,109,63,78,78,94,47,78,1
500,109,47,62,0,15,109,78,110,109,79,78,31,94,1
93,110,109,203,0,47,31,109,63,78,94,94,47,78,1
156,141,31,78,78,32,47,47,125,47,31,0,78,16,1
78,47,156,16,531,625,79,94,0,62,32,31,62,0,1
