ft1,dtfk3,dtfk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtsk8,ft9,dtfk10,dtsk10,dtfk11,dtsk11,ft12,dtfk14,ft14,dtsk14,gender
16,156,78,515,63,78,79,62,78,31,79,172,63,63,125,78,78,172,109,16,79,1
31,46,94,94,62,79,31,63,110,172,16,109,109,78,79,63,140,16,15,47,16,1
62,63,109,78,125,47,78,109,46,16,63,63,172,265,78,141,32,32,78,15,63,1
16,62,94,78,125,203,78,93,172,116,41,46,109,31,79,156,94,46,78,47,46,1
31,63,109,62,125,110,78,47,32,31,62,126,94,265,78,141,32,32,78,15,63,1
62,78,78,141,16,125,110,125,78,16,94,78,16,47,94,94,78,16,79,78,62,1
31,32,78,172,15,94,94,62,109,63,109,78,79,63,79,78,78,93,94,31,63,1
47,94,78,125,109,125,47,78,94,15,63,110,62,47,94,94,78,16,79,78,62,1
32,47,63,62,141,62,63,125,62,110,78,78,140,78,79,79,47,15,78,16,62,1
47,78,62,78,157,62,79,62,94,203,47,94,62,47,47,109,62,47,63,47,78,1
125,78,63,63,140,78,46,47,78,31,63,125,171,78,79,79,47,15,78,16,62,1
141,47,78,328,62,172,157,93,47,78,125,250,94,62,344,140,63,125,78,31,94,1
109,141,46,0,62,172,344,94,140,235,62,63,188,62,78,16,63,78,62,281,79,1
78,125,78,0,63,172,47,63,109,141,62,94,47,62,344,140,63,125,78,31,94,1
282,78,78,94,47,94,63,984,63,218,47,62,156,78,78,63,94,828,63,219,78,1
297,78,62,93,63,109,78,63,78,250,78,78,62,62,62,78,78,62,78,204,62,1
797,47,78,141,203,109,219,78,78,375,47,94,141,78,78,63,94,828,63,219,78,1
32,94,62,250,63,63,78,94,125,46,0,93,204,78,63,125,63,32,93,78,63,1
16,62,78,125,16,63,63,62,78,16,47,78,266,63,63,125,78,93,62,16,78,1
172,0,62,844,938,31,16,46,109,32,78,94,1203,78,63,125,63,32,93,78,63,1
0,93,109,171,16,109,47,125,63,62,63,110,109,31,375,156,78,16,78,31,125,1
16,63,94,110,31,109,375,78,94,109,47,125,94,63,78,78,125,109,94,15,94,1
31,63,109,94,31,125,15,63,62,125,109,16,94,31,375,156,78,16,78,31,125,1
15,78,93,78,203,63,63,94,141,0,78,78,0,141,63,94,94,16,93,32,62,1
16,94,78,0,0,94,63,62,94,63,78,94,125,234,110,110,78,93,94,31,78,1
31,78,93,94,171,63,15,78,109,16,62,94,93,141,63,94,94,16,93,32,62,1
172,109,109,78,110,78,78,156,125,140,63,47,172,94,110,47,79,265,93,94,78,1
359,78,78,94,78,78,110,93,62,328,63,109,94,93,63,78,79,94,110,125,93,1
313,63,109,93,250,94,78,63,94,187,78,156,188,94,110,47,79,265,93,94,78,1
94,47,63,156,31,63,63,469,78,125,78,172,63,78,73,78,125,15,62,31,63,1
16,63,47,0,594,656,73,166,62,125,78,62,109,62,63,140,63,110,63,31,78,1
31,78,63,0,16,94,62,141,94,31,63,47,891,78,73,78,125,15,62,31,63,1
16,109,47,438,31,46,94,62,78,31,94,79,32,94,78,109,109,16,78,0,94,1
0,78,78,0,32,46,78,94,31,78,15,47,125,63,78,125,62,94,78,31,94,1
109,94,47,0,31,94,78,47,110,31,94,687,844,94,78,109,109,16,78,0,94,1
31,125,93,594,47,140,94,47,78,141,62,63,16,47,78,47,109,16,78,32,93,1
16,78,109,125,31,141,78,79,32,110,0,109,0,62,62,125,125,78,94,47,93,1
16,62,93,234,16,109,94,94,125,78,94,172,1078,47,78,47,109,16,78,32,93,1
63,47,31,63,171,79,63,109,62,32,78,78,156,63,93,78,47,172,46,79,78,1
15,78,79,47,31,94,93,63,78,15,63,109,63,62,63,78,63,62,62,63,78,1
0,78,31,46,47,94,94,47,62,16,62,125,141,63,93,78,47,172,46,79,78,1
