ft1,dtfk2,ft2,dtfk3,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtfk8,dtsk8,ft9,dtsk9,dtfk11,dtfk12,dtsk12,ft13,dtfk14,ft14,dtsk14,gender
16,62,94,156,62,63,78,78,78,31,15,172,63,94,78,109,15,47,109,16,79,1
31,63,78,46,63,62,79,109,110,172,110,109,109,78,63,78,62,78,15,47,16,1
62,94,125,63,78,125,47,172,46,16,125,63,172,78,141,62,109,65,78,15,63,1
16,156,31,62,94,125,203,110,172,116,63,46,109,62,156,126,219,63,78,47,46,1
31,63,62,63,78,125,110,63,32,31,94,126,94,172,141,62,109,47,78,15,63,1
62,110,125,78,141,16,125,203,78,16,109,78,16,140,94,187,94,32,79,78,62,1
31,110,125,32,62,15,94,125,109,63,78,78,79,15,78,110,32,16,94,31,63,1
47,78,125,94,141,109,125,109,94,15,63,110,62,109,94,187,94,62,79,78,62,1
32,78,125,47,62,141,62,78,62,110,78,78,140,79,79,63,78,94,78,16,62,1
47,93,110,78,93,157,62,125,94,203,78,94,62,125,109,125,78,47,63,47,78,1
125,94,94,78,62,140,78,141,78,31,63,125,171,94,79,63,78,62,78,16,62,1
141,93,157,47,328,62,172,313,47,78,422,250,94,172,140,47,78,125,78,31,94,1
109,31,47,141,31,62,172,140,140,235,359,63,188,282,16,94,62,16,62,281,79,1
78,297,47,125,328,63,172,62,109,141,94,94,47,140,140,47,78,31,78,31,94,1
282,93,94,78,94,47,94,63,63,218,79,62,156,78,63,78,78,297,63,219,78,1
297,47,141,78,62,63,109,203,78,250,93,78,62,125,78,94,344,484,78,204,62,1
797,78,94,47,94,203,109,125,78,375,62,94,141,78,63,78,78,375,63,219,78,1
32,93,63,94,250,63,63,78,125,46,187,93,204,344,125,109,93,78,93,78,63,1
16,94,47,62,78,16,63,141,78,16,62,78,266,16,125,94,547,78,62,16,78,1
172,172,93,0,250,938,31,94,109,32,94,94,1203,78,125,109,93,63,93,78,63,1
0,94,16,93,171,16,109,62,63,62,156,110,109,78,156,63,78,78,78,31,125,1
16,47,141,63,47,31,109,78,94,109,93,125,94,78,78,16,0,16,94,15,94,1
31,109,16,63,171,31,125,140,62,125,125,16,94,94,156,63,78,62,78,31,125,1
15,110,78,78,78,203,63,187,141,0,78,78,0,203,94,93,78,78,93,32,62,1
16,93,125,94,63,0,94,125,94,63,93,94,125,31,110,94,32,32,94,31,78,1
31,63,109,78,78,171,63,94,109,16,79,94,93,94,94,93,78,16,93,32,62,1
172,94,203,109,78,110,78,110,125,140,62,47,172,78,47,94,94,422,93,94,78,1
359,79,62,78,93,78,78,610,62,328,109,109,94,141,78,156,140,547,110,125,93,1
313,94,109,63,78,250,94,156,94,187,109,156,188,62,47,94,94,203,93,94,78,1
94,93,125,47,156,31,63,62,78,125,141,172,63,141,78,79,110,78,62,31,63,1
16,63,140,63,47,594,656,16,62,125,78,62,109,16,140,47,62,47,63,31,78,1
31,47,94,78,156,16,94,15,94,31,78,47,891,62,78,79,110,172,62,31,63,1
16,110,47,109,438,31,46,94,78,31,110,79,32,109,109,109,78,78,78,0,94,1
0,93,63,78,78,32,46,78,31,78,63,47,125,110,125,687,78,110,78,31,94,1
109,203,31,94,438,31,94,46,110,31,0,687,844,31,109,109,78,62,78,0,94,1
31,110,46,125,594,47,140,93,78,141,125,63,16,125,47,125,93,125,78,32,93,1
16,125,31,78,78,31,141,109,32,110,78,109,0,109,125,172,94,15,94,47,93,1
16,188,47,62,594,16,109,109,125,78,109,172,1078,32,47,125,93,125,78,32,93,1
63,93,110,47,63,171,79,172,62,32,78,78,156,78,78,78,78,78,46,79,78,1
15,94,94,78,47,31,94,125,78,15,78,109,63,125,78,125,47,125,62,63,78,1
0,78,78,78,63,47,94,109,62,16,62,125,141,78,78,78,78,62,46,79,78,1
547,156,16,172,225,40,110,78,63,47,15,94,93,203,78,47,62,93,94,47,94,1
16,109,47,109,62,734,0,172,79,93,109,125,94,78,79,110,78,0,15,62,47,1
78,15,63,78,225,47,141,62,94,31,47,110,78,79,78,47,62,78,94,47,94,1
15,63,93,63,140,188,109,62,63,578,78,62,109,78,78,47,62,109,93,63,62,1
78,79,93,94,78,207,109,156,94,78,94,62,63,93,78,93,78,438,94,31,94,1
31,63,109,94,140,687,94,94,125,453,63,93,125,94,78,47,62,47,93,63,62,1
47,94,78,78,380,47,125,62,47,16,94,62,78,172,125,47,78,94,62,16,78,1
31,31,110,78,78,47,125,15,62,31,78,78,31,125,312,62,141,32,78,31,79,1
0,141,125,62,380,140,94,94,62,0,76,62,891,62,125,47,78,31,62,16,78,1
94,94,109,78,79,250,93,63,47,141,62,63,156,47,63,63,62,125,62,110,78,1
47,94,109,63,62,125,125,172,78,78,78,62,47,156,78,110,78,63,63,47,78,1
78,94,125,62,79,172,125,125,63,125,47,110,187,78,63,63,62,78,62,110,78,1
31,125,94,78,172,31,156,125,94,16,109,63,47,187,140,32,79,94,78,32,78,1
46,47,172,109,78,125,156,47,31,63,94,62,141,0,829,109,110,47,157,31,109,1
0,78,109,93,172,93,157,15,94,78,94,109,875,31,140,32,79,0,78,32,78,1
78,110,62,78,62,94,94,94,78,31,93,31,547,93,78,141,78,79,78,62,63,1
0,0,156,47,52,94,188,141,63,62,47,78,110,0,62,141,15,31,78,47,78,1
47,93,110,94,62,78,78,31,94,47,109,141,62,63,78,141,78,47,78,62,63,1
16,94,109,78,78,31,94,156,110,31,109,125,110,250,78,93,110,125,78,32,125,1
16,140,63,109,78,31,109,313,156,31,78,125,156,16,62,125,235,0,62,235,125,1
31,78,110,78,78,0,94,78,156,16,78,125,62,156,78,93,110,31,78,32,125,1
16,109,15,125,203,47,62,47,31,63,47,31,0,125,157,31,47,110,78,16,62,1
78,32,62,31,0,140,31,63,0,62,125,31,32,141,0,78,16,125,63,31,94,1
79,47,47,31,203,15,125,47,125,719,78,78,110,0,157,31,47,0,78,16,62,1
62,110,250,94,78,249,88,109,78,344,78,78,531,94,94,78,109,391,78,109,94,1
63,94,93,109,78,204,78,172,78,172,109,78,78,156,94,213,110,516,94,125,93,1
0,109,110,407,78,63,250,157,94,203,78,213,250,78,94,78,109,235,78,109,94,1
47,47,62,140,110,15,110,15,78,16,94,78,578,16,63,63,63,5,46,109,78,1
63,31,79,93,31,0,94,31,16,78,46,93,140,16,16,31,31,94,16,109,16,1
15,235,328,110,110,125,31,47,625,32,93,31,62,16,63,63,63,110,46,109,78,1
16,125,109,109,157,156,94,125,110,94,218,111,110,203,94,47,171,93,141,15,94,1
110,156,16,94,47,0,172,500,125,125,297,109,156,157,16,47,78,140,125,63,93,1
110,312,16,93,157,156,110,125,141,140,110,47,125,125,94,47,171,110,141,15,94,1
93,125,94,94,125,78,125,141,109,63,78,93,109,125,125,109,93,47,109,62,79,1
78,125,125,94,109,32,171,140,110,140,109,94,125,16,156,187,453,31,109,94,94,1
16,156,31,93,125,47,141,94,125,110,110,187,94,110,125,109,93,78,109,62,79,1
63,109,78,63,94,219,98,109,78,109,94,78,94,110,78,94,63,94,110,62,94,1
32,78,109,62,78,187,78,125,110,15,94,78,78,109,94,125,109,16,78,109,63,1
78,109,110,63,94,234,78,63,93,0,94,125,125,110,78,94,63,31,110,62,94,1
47,110,93,171,156,32,140,94,94,31,141,125,47,203,250,125,114,109,125,0,109,1
16,0,140,110,63,78,187,47,62,109,94,78,140,16,125,110,110,140,78,0,125,1
0,312,63,109,156,79,140,0,141,15,94,110,125,62,250,125,114,0,125,0,109,1
15,78,94,78,141,62,125,78,78,63,140,63,32,157,62,109,16,110,110,62,156,1
15,32,109,125,63,15,125,110,78,78,172,63,93,79,78,31,187,15,94,31,78,1
31,79,93,78,141,0,94,47,140,63,78,31,94,78,62,109,16,141,110,62,156,1
47,94,141,109,203,15,137,172,125,16,78,94,188,125,94,141,78,109,109,31,110,1
16,219,0,94,78,16,137,94,109,0,94,125,141,46,109,375,109,78,78,15,78,1
110,63,219,94,203,47,140,16,47,16,78,375,78,109,94,141,78,15,109,31,110,1
78,125,94,109,203,78,109,500,125,47,110,78,343,468,109,109,93,94,94,47,78,1
15,141,16,109,62,15,109,609,46,109,110,78,266,15,78,94,172,78,78,31,94,1
375,94,109,110,203,47,125,141,141,31,78,94,1114,46,109,109,93,484,94,47,78,1
47,78,63,141,78,32,31,78,15,47,78,32,125,16,47,62,63,78,0,78,16,1
156,15,125,47,16,625,31,172,47,79,31,63,78,32,94,47,31,78,31,62,0,1
