dtfk1,dtsk1,ft2,dtsk2,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtfk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,dtsk14,gender
94,78,31,110,47,62,0,32,141,47,125,78,47,63,79,78,62,62,16,78,2
171,16,63,31,156,250,62,94,94,63,15,109,47,62,94,62,94,47,78,110,2
109,172,31,78,141,250,250,47,47,62,47,47,94,78,32,141,31,78,16,78,2
63,109,62,109,172,16,0,47,47,47,125,94,47,78,31,94,31,63,16,110,2
32,16,188,62,141,250,906,1000,47,94,203,91,47,78,32,141,31,78,110,78,2
62,109,16,62,31,109,109,31,63,62,32,62,94,359,218,47,16,47,16,63,2
47,94,15,47,16,47,0,15,94,31,47,62,94,94,94,15,62,156,16,47,2
63,16,203,16,31,109,0,31,94,125,78,62,31,359,218,47,16,47,47,63,2
172,94,94,78,31,140,140,31,62,93,16,94,94,109,62,94,62,94,125,62,2
219,94,16,78,62,78,0,16,62,31,109,94,32,63,94,109,62,78,16,78,2
140,16,31,63,31,140,109,16,78,109,16,62,31,109,62,94,62,94,78,62,2
57,113,168,69,63,80,80,442,110,89,36,79,141,78,69,111,41,78,81,61,2
192,79,80,72,31,78,70,411,65,89,24,94,406,150,78,94,94,62,79,78,2
74,79,136,79,63,80,73,185,103,11,73,47,89,78,69,111,41,78,78,61,2
110,125,31,94,63,172,172,47,109,79,78,109,63,78,156,63,141,47,15,125,2
94,94,125,78,16,78,0,31,109,109,94,110,110,63,110,47,62,94,410,125,2
187,410,15,94,63,172,0,15,109,93,172,141,109,78,156,63,141,47,125,125,2
93,125,47,63,32,187,187,0,78,63,31,78,78,78,94,78,47,15,20,93,2
125,94,125,32,16,62,110,31,78,47,117,94,15,63,94,31,63,172,32,125,2
78,32,32,78,32,187,109,47,63,63,15,94,47,78,94,78,47,15,125,93,2
62,78,109,63,219,62,62,31,47,63,109,94,94,1015,79,125,62,203,62,78,2
62,63,125,47,63,78,63,94,78,79,125,63,78,62,93,110,93,62,47,63,2
31,47,125,78,219,62,47,78,109,94,219,63,79,1015,79,125,62,203,63,78,2
109,109,79,78,63,109,109,47,125,94,0,94,125,109,78,93,203,47,47,78,2
94,78,15,78,31,110,78,78,187,16,62,109,125,78,109,110,62,94,78,94,2
125,78,78,94,63,109,93,78,110,94,31,94,16,109,78,93,203,47,94,78,2
93,125,47,110,31,79,79,31,140,78,16,110,94,79,125,62,109,15,31,78,2
94,62,62,125,32,78,98,59,124,62,94,94,78,93,79,93,140,78,62,62,2
79,62,156,344,31,79,94,31,125,78,16,78,62,79,125,62,109,15,62,78,2
94,78,125,79,15,140,140,47,90,109,0,110,140,78,94,94,47,0,16,78,2
94,63,62,94,32,94,0,16,93,31,140,78,0,78,78,94,78,78,78,94,2
62,78,94,63,15,140,0,63,125,62,31,109,31,78,94,94,47,0,94,78,2
63,63,219,46,62,78,78,125,79,62,16,156,78,156,63,109,62,234,47,47,2
63,78,47,47,47,63,125,62,141,110,62,78,125,47,62,125,63,63,16,62,2
203,16,203,16,62,78,79,46,110,62,16,47,110,156,63,109,62,234,62,47,2
140,141,31,109,62,172,172,15,100,94,46,94,93,62,141,62,125,109,16,62,2
125,110,16,78,32,78,94,46,110,16,141,94,94,46,109,31,110,78,16,79,2
31,16,31,94,62,172,78,94,125,79,15,516,16,62,141,62,125,109,79,62,2
63,78,94,62,63,78,78,62,79,63,78,78,124,94,78,93,63,78,47,62,2
78,79,109,63,78,63,63,125,62,78,125,63,62,63,78,94,63,93,78,63,2
94,78,109,63,63,78,47,125,63,62,78,78,78,94,78,93,63,78,63,62,2
109,63,47,31,47,125,125,47,47,93,16,78,94,78,47,63,109,110,16,31,2
47,78,78,78,93,32,484,500,47,609,47,16,93,78,31,62,79,109,0,16,2
94,0,78,47,47,125,0,47,62,31,78,78,609,78,47,63,109,110,16,31,2
94,109,703,78,157,78,78,172,62,79,78,94,266,79,79,78,78,63,94,79,2
94,93,110,62,0,94,109,157,78,125,141,110,47,78,78,110,78,78,78,94,2
110,78,125,63,157,78,47,156,94,140,63,79,125,79,79,78,78,63,94,79,2
94,62,141,63,94,78,78,187,63,63,62,63,110,109,78,94,63,188,78,63,2
94,63,125,62,63,62,63,62,78,62,94,78,109,78,63,109,78,62,63,47,2
63,63,125,47,94,78,63,140,47,63,47,62,62,109,78,94,63,188,47,63,2
78,157,62,125,0,78,78,78,180,63,16,266,141,62,31,109,47,93,31,63,2
94,94,47,94,78,47,141,47,187,62,47,156,165,63,15,125,46,63,16,63,2
47,16,94,0,0,78,0,15,172,125,94,31,62,62,31,109,47,93,63,63,2
62,109,78,94,62,109,109,31,125,94,141,110,94,94,141,0,62,93,31,93,2
78,93,109,16,78,31,110,31,125,78,78,156,62,46,63,172,16,125,78,78,2
78,78,46,94,62,109,0,0,94,78,47,63,78,94,141,0,62,93,78,93,2
