dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtfk8,dtfk11,ft11,dtsk11,ft12,dtfk13,gender
110,78,219,93,94,78,78,62,328,109,78,109,79,94,93,1
94,63,250,78,93,250,94,94,187,109,47,156,79,265,93,1
63,47,93,156,156,31,63,78,125,141,78,31,125,15,78,1
62,63,16,47,0,594,656,62,125,78,140,0,63,110,31,1
78,78,93,156,0,16,94,94,31,78,78,31,125,15,78,1
109,109,391,438,438,31,46,78,31,110,109,125,109,16,15,1
94,78,141,78,0,32,46,31,78,63,125,31,62,94,32,1
78,94,391,438,0,31,94,110,31,0,109,125,109,16,94,1
125,125,485,594,594,47,140,78,141,125,47,62,109,16,0,1
93,78,47,78,125,31,141,32,110,78,125,62,125,78,94,1
156,62,485,594,234,16,109,125,78,109,47,62,109,16,93,1
62,47,125,63,63,171,79,62,32,78,78,78,47,172,63,1
172,78,46,47,47,31,94,78,15,78,78,94,63,62,63,1
62,78,125,63,46,47,94,62,16,62,78,78,47,172,78,1
93,172,128,225,225,40,110,63,47,15,78,63,93,15,32,1
78,109,47,62,609,734,0,79,93,109,79,78,172,94,78,1
78,78,128,225,0,47,141,94,31,47,78,63,93,15,47,1
63,63,63,140,140,188,109,63,578,78,78,94,188,78,47,1
62,94,62,78,125,207,109,94,78,94,78,125,62,110,47,1
62,94,63,140,47,687,94,125,453,63,78,94,188,78,94,1
78,78,271,380,380,47,125,47,16,94,125,32,0,15,32,1
62,78,32,78,0,47,125,62,31,78,312,63,94,94,62,1
63,62,271,380,125,140,94,62,0,76,125,32,0,15,79,1
78,78,140,79,79,250,93,47,141,62,63,93,63,125,63,1
63,63,94,62,94,125,125,78,78,78,78,110,62,62,78,1
63,62,140,79,78,172,125,63,125,47,63,93,63,125,78,1
126,78,31,172,172,31,156,94,16,109,140,47,63,46,31,1
125,109,15,78,110,125,156,31,63,94,829,31,93,78,62,1
141,93,31,172,172,93,157,94,78,94,140,47,63,46,109,1
62,78,78,62,62,94,94,78,31,93,78,94,63,0,31,1
94,47,61,52,78,94,188,63,62,47,62,110,62,94,31,1
94,94,78,62,79,78,78,94,47,109,78,94,63,0,78,1
125,78,188,78,78,31,94,110,31,109,78,110,78,125,125,1
156,109,0,78,0,31,109,156,31,78,62,94,62,94,125,1
109,78,188,78,0,0,94,156,16,78,78,110,78,125,125,1
125,125,109,203,203,47,62,31,63,47,157,31,62,31,156,1
47,31,94,0,1469,140,31,0,62,125,0,47,63,156,31,1
16,31,109,203,141,15,125,125,719,78,157,31,62,31,94,1
141,94,203,78,78,249,88,78,344,78,94,140,79,47,78,1
109,109,157,78,62,204,78,78,172,109,94,172,78,94,78,1
110,407,203,78,1109,63,250,94,203,78,94,140,79,47,93,1
156,140,79,110,110,15,110,78,16,94,63,47,15,31,48,1
15,93,94,31,141,0,94,16,78,46,16,78,62,109,16,1
63,110,79,110,438,125,31,625,32,93,63,47,15,31,16,1
156,109,109,157,157,156,94,110,94,218,94,203,63,157,110,1
125,94,141,47,172,0,172,125,125,297,16,141,62,172,531,1
250,93,109,157,94,156,110,141,140,110,94,203,63,157,93,1
125,94,125,125,125,78,125,109,63,78,125,94,78,110,94,1
141,94,47,109,109,32,171,110,140,109,156,47,110,94,94,1
109,93,125,125,125,47,141,125,110,110,125,94,78,110,94,1
78,63,125,94,94,219,98,78,109,94,78,110,46,46,63,1
109,62,31,78,94,187,78,110,15,94,94,93,78,63,63,1
78,63,125,94,110,234,78,93,0,94,78,110,46,46,63,1
93,171,47,156,156,32,140,94,31,141,250,31,125,16,78,1
94,110,0,63,110,78,187,62,109,94,125,93,94,93,62,1
250,109,47,156,125,79,140,141,15,94,250,31,125,16,125,1
125,78,16,141,141,62,125,78,63,140,62,140,63,78,0,1
78,125,78,63,0,15,125,78,78,172,78,93,32,109,94,1
78,78,16,141,187,0,94,140,63,78,62,140,63,78,78,1
93,109,16,203,203,15,137,125,16,78,94,78,109,94,94,1
172,94,32,78,156,16,137,109,0,94,109,63,141,78,15,1
62,94,16,203,0,47,140,47,16,78,94,78,109,94,78,1
94,109,109,203,203,78,109,125,47,110,109,63,78,110,78,1
500,109,47,62,0,15,109,46,109,110,78,110,109,94,79,1
93,110,109,203,0,47,125,141,31,78,109,63,78,110,94,1
156,141,31,78,78,32,31,15,47,78,47,125,47,47,31,1
78,47,156,16,531,625,31,47,79,31,94,0,62,109,32,1
78,31,31,78,671,193,31,78,32,16,47,125,47,47,0,1
110,141,31,125,125,31,125,63,125,203,47,141,31,16,46,1
47,94,110,94,0,0,125,0,16,16,0,93,47,78,0,1
32,203,31,125,657,720,15,250,78,94,47,141,31,16,93,1
94,63,172,78,78,31,78,78,79,63,47,125,63,94,63,1
78,63,62,63,78,250,47,94,93,78,78,109,63,176,63,1
63,62,172,78,62,188,78,78,140,74,47,125,63,94,62,1
78,109,79,109,109,31,78,47,234,110,140,16,62,203,32,2
