dtfk1,dtsk1,dtfk2,dtsk2,dtsk5,dtfk6,ft6,ft7,dtsk7,dtfk8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk13,dtfk14,ft14,gender
172,78,156,63,203,78,93,116,41,63,62,62,79,156,47,126,219,47,78,47,1
94,47,63,78,110,78,47,31,62,94,172,79,78,141,46,62,109,46,78,15,1
78,110,110,78,125,110,125,16,94,109,140,63,94,94,125,187,94,109,79,78,1
203,125,110,94,94,94,62,63,109,78,15,93,79,78,110,110,32,78,94,31,1
78,78,78,110,125,47,78,15,63,63,109,63,94,94,125,187,94,63,79,78,1
62,78,78,47,62,63,125,110,78,78,79,62,79,79,140,63,78,47,78,16,1
78,62,93,94,62,79,62,203,47,78,125,109,47,109,94,125,78,47,63,47,1
63,47,94,62,78,46,47,31,63,63,94,62,79,79,140,63,78,78,78,16,1
94,93,93,47,172,157,93,78,125,422,172,78,344,140,234,47,78,62,78,31,1
313,32,31,110,172,344,94,235,62,359,282,78,78,16,93,94,62,156,62,281,1
78,156,297,78,172,47,63,141,62,94,140,78,344,140,234,47,78,79,78,31,1
93,93,93,78,94,63,984,218,47,79,78,78,78,63,140,78,78,78,63,219,1
63,62,47,62,109,78,63,250,78,93,125,94,62,78,140,94,344,94,78,204,1
62,94,78,62,109,219,78,375,47,62,78,78,78,63,140,78,78,62,63,219,1
93,93,93,94,63,78,94,46,0,187,344,78,63,125,47,109,93,47,93,78,1
78,94,94,109,63,63,62,16,47,62,16,93,63,125,15,94,547,0,62,16,1
31,0,172,78,31,16,46,32,78,94,78,78,63,125,47,109,93,78,93,78,1
156,94,94,93,109,47,125,62,63,156,78,47,375,156,47,63,78,47,78,31,1
62,94,47,16,109,375,78,109,47,93,78,78,78,78,47,16,0,62,94,15,1
47,62,109,93,125,15,63,125,109,125,94,47,375,156,47,63,78,94,78,31,1
125,110,110,78,63,63,94,0,78,78,203,109,63,94,78,93,78,78,93,32,1
187,78,93,63,94,63,62,63,78,93,31,328,110,110,93,94,32,78,94,31,1
78,78,63,62,63,15,78,16,62,79,94,109,63,94,78,93,78,78,93,32,1
125,94,94,109,78,78,156,140,63,62,78,78,110,47,156,94,94,63,93,94,1
110,94,79,78,78,110,93,328,63,109,141,94,63,78,109,156,140,93,110,125,1
94,93,94,78,94,78,63,187,78,109,62,78,110,47,156,94,94,93,93,94,1
63,93,93,47,63,63,469,125,78,141,141,56,73,78,31,79,110,78,62,31,1
62,47,63,47,656,73,166,125,78,78,16,78,63,140,0,47,62,31,63,31,1
78,31,47,63,94,62,141,31,63,78,62,56,73,78,31,79,110,78,62,31,1
109,110,110,109,46,94,62,31,94,110,109,31,78,109,125,109,78,15,78,0,1
94,109,93,110,46,78,94,78,15,63,110,62,78,125,31,687,78,32,78,31,1
78,32,203,93,94,78,47,31,94,0,31,31,78,109,125,109,78,94,78,0,1
125,110,110,125,140,94,47,141,62,125,125,78,78,47,62,125,93,0,78,32,1
93,94,125,125,141,78,79,110,0,78,109,94,62,125,62,172,94,94,94,47,1
156,94,188,63,109,94,94,78,94,109,32,78,78,47,62,125,93,93,78,32,1
62,93,93,47,79,63,109,32,78,78,78,47,93,78,78,78,78,63,46,79,1
172,93,94,47,94,93,63,15,63,78,125,78,63,78,94,125,47,63,62,63,1
62,63,78,63,94,94,47,16,62,62,78,47,93,78,78,78,78,78,46,79,1
93,156,156,172,110,63,78,47,78,15,203,62,109,78,63,47,62,32,94,47,1
78,109,109,109,0,109,63,93,32,109,78,78,78,79,78,110,78,78,15,62,1
78,78,15,47,141,93,32,31,172,47,79,62,109,78,63,47,62,47,94,47,1
63,63,63,63,109,31,141,578,94,78,78,94,141,78,94,47,62,47,93,63,1
62,125,79,63,109,141,62,78,47,94,93,78,63,78,125,93,78,47,94,31,1
62,47,63,63,94,78,62,453,78,63,94,94,141,78,94,47,62,94,93,63,1
78,94,94,78,125,79,15,16,62,94,172,62,63,125,32,47,78,32,62,16,1
62,78,31,0,125,63,157,31,32,78,125,62,63,312,63,62,141,62,78,31,1
63,62,141,78,94,63,0,0,32,76,62,62,63,125,32,47,78,79,62,16,1
78,94,94,78,93,62,125,141,62,62,47,47,63,63,93,63,62,63,62,110,1
63,78,94,63,125,63,62,78,63,78,156,78,63,78,110,110,78,78,63,47,1
63,78,94,47,125,62,63,125,83,47,78,47,63,63,93,63,62,78,62,110,1
126,125,125,78,156,110,46,16,93,109,187,93,453,140,47,32,79,31,78,32,1
125,125,47,16,156,453,94,63,31,94,0,110,78,829,31,109,110,62,157,31,1
141,62,78,110,157,31,78,78,94,94,31,93,453,140,47,32,79,109,78,32,1
62,110,110,78,94,62,47,31,94,93,93,62,110,78,94,141,78,31,78,62,1
94,78,0,16,188,110,62,62,31,47,0,78,63,62,110,141,15,31,78,47,1
94,31,93,94,78,16,94,47,78,109,63,62,110,78,94,141,78,78,78,62,1
125,94,94,78,94,94,62,31,78,109,250,63,62,78,110,93,110,125,78,32,1
156,62,140,78,109,62,94,31,125,78,16,47,63,62,94,125,235,125,62,235,1
109,125,78,78,94,0,62,16,94,78,156,63,62,78,110,93,110,125,78,32,1
125,109,109,125,62,31,78,63,31,47,125,62,94,157,31,31,47,156,78,16,1
47,16,32,63,31,94,78,62,156,125,141,78,78,0,47,78,16,31,63,31,1
16,31,47,62,125,125,0,719,109,78,0,62,94,157,31,31,47,94,78,16,1
141,110,110,94,88,78,282,344,407,78,94,79,93,94,140,78,109,78,78,109,1
109,93,94,94,78,93,63,172,78,109,156,63,93,94,172,213,110,78,94,125,1
110,78,109,78,250,32,93,203,78,78,78,79,93,94,140,78,109,93,78,109,1
156,47,47,140,110,31,47,16,110,94,16,78,79,63,47,63,63,48,46,109,1
15,31,31,46,94,79,188,78,48,46,16,78,63,16,78,31,31,16,16,109,1
63,16,235,32,31,93,32,32,79,93,16,78,79,63,47,63,63,16,46,109,1
156,125,125,109,94,109,203,94,93,218,203,109,63,94,203,47,171,110,141,15,1
125,109,156,94,172,63,93,125,110,297,157,110,62,16,141,47,78,531,125,63,1
250,531,312,125,110,94,78,140,78,110,125,109,63,94,203,47,171,93,141,15,1
125,125,125,94,125,94,109,63,93,78,125,62,94,125,94,109,93,94,109,62,1
141,125,125,94,171,94,94,140,94,109,16,93,78,156,47,187,453,94,109,94,1
109,94,156,78,141,47,140,110,78,110,110,62,94,125,94,109,93,94,109,62,1
78,109,109,63,98,78,94,109,63,94,110,63,78,78,110,94,63,63,110,62,1
109,62,78,47,78,78,62,15,63,94,109,109,47,94,93,125,109,63,78,109,1
78,63,109,62,78,15,109,0,63,94,110,63,78,78,110,94,63,63,110,62,1
93,110,110,171,140,172,15,31,109,141,203,141,94,250,31,125,114,78,125,0,1
