dtfk1,dtfk2,dtfk3,ft3,ft4,dtsk4,ft5,dtsk6,ft7,dtfk8,ft9,dtfk10,ft10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
78,62,156,32,79,62,63,78,31,15,63,63,62,78,79,172,63,47,78,109,16,1
140,63,46,16,15,63,62,109,172,110,109,78,15,63,109,16,79,78,62,15,47,1
125,94,63,78,63,78,125,172,16,125,172,265,79,141,46,32,41,65,78,78,15,1
172,156,62,63,31,94,125,110,116,63,109,31,62,156,47,46,47,63,62,78,47,1
94,63,63,15,63,78,125,63,31,94,94,265,79,141,46,32,46,47,94,78,15,1
78,110,78,31,156,141,16,203,16,109,16,47,63,94,125,16,109,32,109,79,78,1
203,110,32,218,16,62,15,125,63,78,79,63,93,78,110,93,78,16,93,94,31,1
78,78,94,31,156,141,109,109,15,63,62,47,63,94,125,16,63,62,47,79,78,1
62,78,47,46,47,62,141,78,110,78,140,78,62,79,140,15,47,94,63,78,16,1
78,93,78,78,32,93,157,125,203,78,62,47,109,109,94,47,47,47,62,63,47,1
63,94,78,47,47,62,140,141,31,63,171,78,62,79,140,15,78,62,63,78,16,1
94,93,47,47,250,328,62,313,78,422,94,62,78,140,234,125,62,125,125,78,31,1
313,31,141,62,79,31,62,140,235,359,188,62,78,16,93,78,156,16,78,62,281,1
78,297,125,78,250,328,63,62,141,94,47,62,78,140,234,125,79,31,109,78,31,1
93,93,78,891,234,94,47,63,218,79,156,78,78,63,140,828,78,297,78,63,219,1
63,47,78,250,188,62,63,203,250,93,62,62,94,78,140,62,94,484,79,78,204,1
62,78,47,235,234,94,203,125,375,62,141,78,78,63,140,828,62,375,63,63,219,1
93,93,94,78,110,250,63,78,46,187,204,78,78,125,47,32,47,78,78,93,78,1
78,94,62,47,31,78,16,141,16,62,266,63,93,125,15,93,0,78,31,62,16,1
31,172,0,16,110,250,938,94,32,94,1203,78,78,125,47,32,78,63,187,93,78,1
156,94,93,16,32,171,16,62,62,156,109,31,47,156,47,16,47,78,16,78,31,1
62,47,63,47,93,47,31,78,109,93,94,63,78,78,47,109,62,16,62,94,15,1
47,109,63,62,32,171,31,140,125,125,94,31,47,156,47,16,94,62,78,78,31,1
125,110,78,63,94,78,203,187,0,78,0,141,109,94,78,16,78,78,78,93,32,1
187,93,94,62,31,63,0,125,63,93,125,234,328,110,93,93,78,32,62,94,31,1
78,63,78,63,94,78,171,94,16,79,93,141,109,94,78,16,78,16,78,93,32,1
125,94,109,110,250,78,110,110,140,62,172,94,78,47,156,265,63,422,78,93,94,1
110,79,78,110,219,93,78,610,328,109,94,93,94,78,109,94,93,547,94,110,125,1
94,94,63,15,250,78,250,156,187,109,188,94,78,47,156,265,93,203,63,93,94,1
63,93,47,47,93,156,31,62,125,141,63,78,56,78,31,15,78,78,47,62,31,1
62,63,63,62,16,47,594,16,125,78,109,62,78,140,0,110,31,47,63,63,31,1
78,47,78,32,93,156,16,15,31,78,891,78,56,78,31,15,78,172,78,62,31,1
109,110,109,78,391,438,31,94,31,110,32,94,31,109,125,16,15,78,31,78,0,1
94,93,78,47,141,78,32,78,78,63,125,63,62,125,31,94,32,110,31,78,31,1
78,203,94,31,391,438,31,46,31,0,844,94,31,109,125,16,94,62,63,78,0,1
125,110,125,79,485,594,47,93,141,125,16,47,78,47,62,16,0,125,62,78,32,1
93,125,78,125,47,78,31,109,110,78,0,62,94,125,62,78,94,15,63,94,47,1
156,188,62,31,485,594,16,109,78,109,1078,47,78,47,62,16,93,125,94,78,32,1
62,93,47,78,125,63,171,172,32,78,156,63,47,78,78,172,63,78,63,46,79,1
172,94,78,47,46,47,31,125,15,78,63,62,78,78,94,62,63,125,31,62,63,1
62,78,78,47,125,63,47,109,16,62,141,63,47,78,78,172,78,62,32,46,79,1
93,156,172,292,128,225,40,78,47,15,93,47,62,78,63,15,32,93,16,94,47,1
78,109,109,0,47,62,734,172,93,109,94,78,78,79,78,94,78,0,63,15,62,1
78,15,78,297,128,225,47,62,31,47,78,47,62,78,63,15,47,78,47,94,47,1
63,63,63,16,63,140,188,62,578,78,109,47,94,78,94,78,47,109,47,93,63,1
62,79,94,78,62,78,207,156,78,94,63,47,78,78,125,110,47,438,62,94,31,1
62,63,94,62,63,140,687,94,453,63,125,47,94,78,94,78,94,47,62,93,63,1
78,94,78,52,271,380,47,62,16,94,78,47,62,125,32,15,32,94,31,62,16,1
62,31,78,31,32,78,47,15,31,78,31,63,62,312,63,94,62,32,62,78,31,1
63,141,62,16,271,380,140,94,0,76,891,47,62,125,32,15,79,31,156,62,16,1
78,94,78,563,140,79,250,63,141,62,156,125,47,63,93,125,63,125,62,62,110,1
63,94,63,109,94,62,125,172,78,78,47,62,78,78,110,62,78,63,46,63,47,1
63,94,62,78,140,79,172,125,125,47,187,125,47,63,93,125,78,78,47,62,110,1
126,125,78,31,31,172,31,125,16,109,47,0,93,140,47,46,31,94,78,78,32,1
125,47,109,0,15,78,125,47,63,94,141,93,110,829,31,78,62,47,94,157,31,1
141,78,93,32,31,172,93,15,78,94,875,0,93,140,47,46,109,0,110,78,32,1
62,110,78,16,78,62,94,94,31,93,547,32,62,78,94,0,31,79,46,78,62,1
94,0,47,31,61,52,94,141,62,47,110,78,78,62,110,94,31,31,94,78,47,1
94,93,94,62,78,62,78,31,47,109,62,32,62,78,94,0,78,47,78,78,62,1
125,94,78,63,188,78,31,156,31,109,110,78,63,78,110,125,125,125,125,78,32,1
156,140,109,31,0,78,31,313,31,78,156,78,47,62,94,94,125,0,94,62,235,1
109,78,78,47,188,78,0,78,16,78,62,78,63,78,110,125,125,31,109,78,32,1
125,109,125,0,109,203,47,47,63,47,0,16,62,157,31,31,156,110,62,78,16,1
47,32,31,109,94,0,140,63,62,125,32,78,78,0,47,156,31,125,15,63,31,1
16,47,31,78,109,203,15,47,719,78,110,16,62,157,31,31,94,0,62,78,16,1
141,110,94,62,203,78,249,109,344,78,531,234,79,94,140,47,78,391,109,78,109,1
109,94,109,94,157,78,204,172,172,109,78,281,63,94,172,94,78,516,78,94,125,1
