dtsk1,dtfk2,dtfk3,ft4,dtsk4,dtfk5,ft6,dtfk7,ft7,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,ft14,dtsk14,gender
78,156,62,31,94,78,93,172,116,109,31,62,79,156,47,46,47,63,47,46,1
47,63,63,63,78,62,47,32,31,94,265,79,78,141,46,32,46,47,15,63,1
110,110,78,156,141,141,125,78,16,16,47,63,94,94,125,16,109,32,78,62,1
125,110,32,16,62,172,62,109,63,79,63,93,79,78,110,93,78,16,31,63,1
78,78,94,156,141,125,78,94,15,62,47,63,94,94,125,16,63,62,78,62,1
78,78,47,47,62,62,125,62,110,140,78,62,79,79,140,15,47,94,16,62,1
62,93,78,32,93,78,62,94,203,62,47,109,47,109,94,47,47,47,47,78,1
47,94,78,47,62,63,47,78,31,171,78,62,79,79,140,15,78,62,16,62,1
93,93,47,250,328,328,93,47,78,94,62,78,344,140,234,125,62,125,31,94,1
32,31,141,79,31,0,94,140,235,188,62,78,78,16,93,78,156,16,281,79,1
156,297,125,250,328,0,63,109,141,47,62,78,344,140,234,125,79,31,31,94,1
93,93,78,234,94,94,984,63,218,156,78,78,78,63,140,828,78,297,219,78,1
62,47,78,188,62,93,63,78,250,62,62,94,62,78,140,62,94,484,204,62,1
94,78,47,234,94,141,78,78,375,141,78,78,78,63,140,828,62,375,219,78,1
93,93,94,110,250,250,94,125,46,204,78,78,63,125,47,32,47,78,78,63,1
94,94,62,31,78,125,62,78,16,266,63,93,63,125,15,93,0,78,16,78,1
0,172,0,110,250,844,46,109,32,1203,78,78,63,125,47,32,78,63,78,63,1
94,94,93,32,171,171,125,63,62,109,31,47,375,156,47,16,47,78,31,125,1
94,47,63,93,47,110,78,94,109,94,63,78,78,78,47,109,62,16,15,94,1
62,109,63,32,171,94,63,62,125,94,31,47,375,156,47,16,94,62,31,125,1
110,110,78,94,78,78,94,141,0,0,141,109,63,94,78,16,78,78,32,62,1
78,93,94,31,63,0,62,94,63,125,234,328,110,110,93,93,78,32,31,78,1
78,63,78,94,78,94,78,109,16,93,141,109,63,94,78,16,78,16,32,62,1
94,94,109,250,78,78,156,125,140,172,94,78,110,47,156,265,63,422,94,78,1
94,79,78,219,93,94,93,62,328,94,93,94,63,78,109,94,93,547,125,93,1
93,94,63,250,78,93,63,94,187,188,94,78,110,47,156,265,93,203,94,78,1
93,93,47,93,156,156,469,78,125,63,78,56,73,78,31,15,78,78,31,63,1
47,63,63,16,47,0,166,62,125,109,62,78,63,140,0,110,31,47,31,78,1
31,47,78,93,156,0,141,94,31,891,78,56,73,78,31,15,78,172,31,63,1
110,110,109,391,438,438,62,78,31,32,94,31,78,109,125,16,15,78,0,94,1
109,93,78,141,78,0,94,31,78,125,63,62,78,125,31,94,32,110,31,94,1
32,203,94,391,438,0,47,110,31,844,94,31,78,109,125,16,94,62,0,94,1
110,110,125,485,594,594,47,78,141,16,47,78,78,47,62,16,0,125,32,93,1
94,125,78,47,78,125,79,32,110,0,62,94,62,125,62,78,94,15,47,93,1
94,188,62,485,594,234,94,125,78,1078,47,78,78,47,62,16,93,125,32,93,1
93,93,47,125,63,63,109,62,32,156,63,47,93,78,78,172,63,78,79,78,1
93,94,78,46,47,47,63,78,15,63,62,78,63,78,94,62,63,125,63,78,1
63,78,78,125,63,46,47,62,16,141,63,47,93,78,78,172,78,62,79,78,1
156,156,172,128,225,225,78,63,47,93,47,62,109,78,63,15,32,93,47,94,1
