ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,ft6,dtsk6,dtfk7,dtfk9,dtsk9,dtfk10,ft10,dtsk10,ft11,dtsk11,dtfk12,dtfk13,ft13,dtsk13,ft14,gender
32,109,78,63,63,15,109,62,141,63,46,62,188,94,47,94,16,31,94,15,78,47,32,1
15,109,79,31,78,63,0,62,78,78,78,94,94,78,63,62,47,94,109,62,31,63,47,1
63,109,63,47,63,15,125,63,31,94,62,884,78,94,47,94,16,31,94,94,46,47,32,1
15,82,102,118,118,53,91,144,62,109,31,875,125,156,47,78,94,187,110,110,31,125,15,1
188,109,16,63,110,15,78,94,78,157,219,110,109,79,78,93,125,78,125,110,15,109,15,1
15,110,16,532,118,53,94,125,93,110,156,125,219,156,47,78,94,187,110,109,16,125,15,1
31,78,78,94,94,15,63,63,94,78,62,657,109,78,15,79,109,140,78,79,15,47,47,1
16,62,156,78,78,79,515,78,62,78,78,109,94,63,62,125,79,78,109,63,47,78,16,1
31,63,46,78,94,15,94,79,63,109,110,63,78,78,15,79,109,140,78,79,78,62,47,1
62,94,63,109,109,63,78,47,109,172,46,63,78,265,79,78,46,32,62,41,65,78,15,1
16,156,62,78,94,31,78,203,93,110,172,63,62,31,62,79,47,94,126,47,63,62,47,1
31,63,63,94,109,63,62,110,47,63,32,906,172,265,79,78,46,32,62,46,47,94,15,1
62,110,78,78,78,156,141,125,125,203,78,109,140,47,63,94,125,78,187,109,32,109,78,1
31,110,32,110,78,16,172,94,62,125,109,109,15,63,93,79,110,78,110,78,16,93,31,1
47,78,94,78,78,156,125,125,78,109,94,129,109,47,63,94,125,78,187,63,62,47,78,1
32,78,47,63,63,47,62,62,125,78,62,63,79,78,62,79,140,47,63,47,94,63,16,1
47,93,78,63,62,32,78,62,62,125,94,141,125,47,109,47,94,62,125,47,47,62,47,1
125,94,78,62,63,47,63,78,47,141,78,79,94,78,62,79,140,47,63,78,62,63,16,1
141,93,47,78,78,250,328,172,93,313,47,1078,172,62,78,344,234,63,47,62,125,125,31,1
109,31,141,157,46,79,0,172,94,140,140,62,282,62,78,78,93,63,94,156,16,78,281,1
78,297,125,15,78,250,0,172,63,62,109,0,140,62,78,344,234,63,47,79,31,109,31,1
282,93,78,78,78,234,94,94,984,63,63,78,78,78,78,78,140,94,78,78,297,78,219,1
297,47,78,63,62,188,93,109,63,203,78,125,125,62,94,62,140,78,94,94,484,79,204,1
797,78,47,62,78,234,141,109,78,125,78,110,78,78,78,78,140,94,78,62,375,63,219,1
32,93,94,62,62,110,250,63,94,78,125,62,344,78,78,63,47,63,109,47,78,78,78,1
16,94,62,78,78,31,125,63,62,141,78,94,16,63,93,63,15,78,94,0,78,31,16,1
172,172,0,78,62,110,844,31,46,94,109,1047,78,78,78,63,47,63,109,78,63,187,78,1
0,94,93,109,109,32,171,109,125,62,63,126,78,31,47,375,47,78,63,47,78,16,31,1
16,47,63,47,94,93,110,109,78,78,94,140,78,63,78,78,47,125,16,62,16,62,15,1
31,109,63,78,109,32,94,125,63,140,62,1176,94,31,47,375,47,78,63,94,62,78,31,1
15,110,78,93,93,94,78,63,94,187,141,141,203,141,109,63,78,94,93,78,78,78,32,1
16,93,94,63,78,31,0,94,62,125,94,94,31,234,328,110,93,78,94,78,32,62,31,1
31,63,78,78,93,94,94,63,78,94,109,78,94,141,109,63,78,94,93,78,16,78,32,1
172,94,109,109,109,250,78,78,156,110,125,94,78,94,78,110,156,79,94,63,422,78,94,1
359,79,78,78,78,219,94,78,93,610,62,156,141,93,94,63,109,79,156,93,547,94,125,1
313,94,63,94,109,250,93,94,63,156,94,78,62,94,78,110,156,79,94,93,203,63,94,1
94,93,47,63,63,93,156,63,469,62,78,78,141,78,56,73,31,125,79,78,78,47,31,1
16,63,63,63,47,16,0,656,166,16,62,15,16,62,78,63,0,63,47,31,47,63,31,1
31,47,78,62,63,93,0,94,141,15,94,844,62,78,56,73,31,125,79,78,172,78,31,1
16,110,109,47,47,391,438,46,62,94,78,78,109,94,31,78,125,109,109,15,78,31,0,1
0,93,78,94,78,141,0,46,94,78,31,46,110,63,62,78,31,62,687,32,110,31,31,1
109,203,94,78,47,391,0,94,47,46,110,765,31,94,31,78,125,109,109,94,62,63,0,1
31,110,125,93,93,485,594,140,47,93,78,140,125,47,78,78,62,109,125,0,125,62,32,1
16,125,78,94,109,47,125,141,79,109,32,109,109,62,94,62,62,125,172,94,15,63,47,1
16,188,62,94,93,485,234,109,94,109,125,985,32,47,78,78,62,109,125,93,125,94,32,1
63,93,47,31,31,125,63,79,109,172,62,63,78,63,47,93,78,47,78,63,78,63,79,1
15,94,78,63,79,46,47,94,63,125,78,109,125,62,78,63,94,63,125,63,125,31,63,1
0,78,78,62,31,125,46,94,47,109,62,62,78,63,47,93,78,47,78,78,62,32,79,1
547,156,172,79,79,128,225,110,78,78,63,94,203,47,62,109,63,93,47,32,93,16,47,1
16,109,109,63,78,47,609,0,63,172,79,62,78,78,78,78,78,172,110,78,0,63,62,1
78,15,78,78,79,128,0,141,32,62,94,812,79,47,62,109,63,93,47,47,78,47,47,1
15,63,63,93,93,63,140,109,141,62,63,63,78,47,94,141,94,188,47,47,109,47,63,1
78,79,94,31,79,62,125,109,62,156,94,94,93,47,78,63,125,62,93,47,438,62,31,1
31,63,94,78,93,63,47,94,62,94,125,63,94,47,94,141,94,188,47,94,47,62,63,1
47,94,78,40,40,271,380,125,15,62,47,62,172,47,62,63,32,0,47,32,94,31,16,1
31,31,78,79,78,32,0,125,157,15,62,94,125,63,62,63,63,94,62,62,32,62,31,1
0,141,62,94,40,271,125,94,0,94,62,813,62,47,62,63,32,0,47,79,31,156,16,1
94,94,78,78,78,140,79,93,125,63,47,63,47,125,47,63,93,63,63,63,125,62,110,1
47,94,63,62,63,94,94,125,62,172,78,125,156,62,78,63,110,62,110,78,63,46,47,1
78,94,62,47,78,140,78,125,63,125,63,63,78,125,47,63,93,63,63,78,78,47,110,1
31,125,78,109,109,31,172,156,46,125,94,172,187,0,93,453,47,63,32,31,94,78,32,1
46,47,109,110,125,15,110,156,94,47,31,15,0,93,110,78,31,93,109,62,47,94,31,1
0,78,93,78,109,31,172,157,78,15,94,719,31,0,93,453,47,63,32,109,0,110,32,1
78,110,78,63,63,78,62,94,47,94,78,47,93,32,62,110,94,63,141,31,79,46,62,1
0,0,47,62,78,61,78,188,62,141,63,31,0,78,78,63,110,62,141,31,31,94,47,1
47,93,94,47,63,78,79,78,94,31,94,895,63,32,62,110,94,63,141,78,47,78,62,1
16,94,78,93,93,188,78,94,62,156,110,78,250,78,63,62,110,78,93,125,125,125,32,1
16,140,109,94,78,0,0,109,94,313,156,78,16,78,47,63,94,62,125,125,0,94,235,1
31,78,78,109,93,188,0,94,62,78,156,203,156,78,63,62,110,78,93,125,31,109,32,1
16,109,125,47,47,109,203,62,78,47,31,93,125,16,62,94,31,62,31,156,110,62,16,1
