dtfk1,dtsk1,dtfk2,dtfk3,dtsk3,ft4,dtsk4,ft5,ft6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,dtsk12,dtfk13,dtsk13,ft14,gender
78,62,62,156,78,79,62,63,62,78,31,109,63,62,78,79,172,15,63,78,16,1
140,63,63,46,78,15,63,62,63,110,172,63,78,15,63,109,16,62,79,62,47,1
125,94,94,63,109,63,78,125,109,46,16,63,265,79,141,46,32,109,41,78,15,1
172,78,156,62,78,31,94,125,93,172,116,63,31,62,156,47,46,219,47,62,47,1
94,47,63,63,94,63,78,125,47,32,31,906,265,79,141,46,32,109,46,94,15,1
78,110,110,78,78,156,141,16,125,78,16,109,47,63,94,125,16,94,109,109,78,1
203,125,110,32,110,16,62,15,62,109,63,109,63,93,78,110,93,32,78,93,31,1
78,78,78,94,78,156,141,109,78,94,15,129,47,63,94,125,16,94,63,47,78,1
62,78,78,47,63,47,62,141,125,62,110,63,78,62,79,140,15,78,47,63,16,1
78,62,93,78,63,32,93,157,62,94,203,141,47,109,109,94,47,78,47,62,47,1
63,47,94,78,62,47,62,140,47,78,31,79,78,62,79,140,15,78,78,63,16,1
94,93,93,47,78,250,328,62,93,47,78,1078,62,78,140,234,125,78,62,125,31,1
313,32,31,141,157,79,31,62,94,140,235,62,62,78,16,93,78,62,156,78,281,1
78,156,297,125,15,250,328,63,63,109,141,0,62,78,140,234,125,78,79,109,31,1
93,93,93,78,78,234,94,47,984,63,218,78,78,78,63,140,828,78,78,78,219,1
63,62,47,78,63,188,62,63,63,78,250,125,62,94,78,140,62,344,94,79,204,1
62,94,78,47,62,234,94,203,78,78,375,110,78,78,63,140,828,78,62,63,219,1
93,93,93,94,62,110,250,63,94,125,46,62,78,78,125,47,32,93,47,78,78,1
78,94,94,62,78,31,78,16,62,78,16,94,63,93,125,15,93,547,0,31,16,1
31,0,172,0,78,110,250,938,46,109,32,1047,78,78,125,47,32,93,78,187,78,1
156,94,94,93,109,32,171,16,125,63,62,126,31,47,156,47,16,78,47,16,31,1
62,94,47,63,47,93,47,31,78,94,109,140,63,78,78,47,109,0,62,62,15,1
47,62,109,63,78,32,171,31,63,62,125,1176,31,47,156,47,16,78,94,78,31,1
125,110,110,78,93,94,78,203,94,141,0,141,141,109,94,78,16,78,78,78,32,1
187,78,93,94,63,31,63,0,62,94,63,94,234,328,110,93,93,32,78,62,31,1
78,78,63,78,78,94,78,171,78,109,16,78,141,109,94,78,16,78,78,78,32,1
125,94,94,109,109,250,78,110,156,125,140,94,94,78,47,156,265,94,63,78,94,1
110,94,79,78,78,219,93,78,93,62,328,156,93,94,78,109,94,140,93,94,125,1
94,93,94,63,94,250,78,250,63,94,187,78,94,78,47,156,265,94,93,63,94,1
63,93,93,47,63,93,156,31,469,78,125,78,78,56,78,31,15,110,78,47,31,1
62,47,63,63,63,16,47,594,166,62,125,15,62,78,140,0,110,62,31,63,31,1
78,31,47,78,62,93,156,16,141,94,31,844,78,56,78,31,15,110,78,78,31,1
109,110,110,109,47,391,438,31,62,78,31,78,94,31,109,125,16,78,15,31,0,1
94,109,93,78,94,141,78,32,94,31,78,46,63,62,125,31,94,78,32,31,31,1
78,32,203,94,78,391,438,31,47,110,31,765,94,31,109,125,16,78,94,63,0,1
125,110,110,125,93,485,594,47,47,78,141,140,47,78,47,62,16,93,0,62,32,1
93,94,125,78,94,47,78,31,79,32,110,109,62,94,125,62,78,94,94,63,47,1
156,94,188,62,94,485,594,16,94,125,78,985,47,78,47,62,16,93,93,94,32,1
62,93,93,47,31,125,63,171,109,62,32,63,63,47,78,78,172,78,63,63,79,1
172,93,94,78,63,46,47,31,63,78,15,109,62,78,78,94,62,47,63,31,63,1
62,63,78,78,62,125,63,47,47,62,16,62,63,47,78,78,172,78,78,32,79,1
93,156,156,172,79,128,225,40,78,63,47,94,47,62,78,63,15,62,32,16,47,1
78,109,109,109,63,47,62,734,63,79,93,62,78,78,79,78,94,78,78,63,62,1
78,78,15,78,78,128,225,47,32,94,31,812,47,62,78,63,15,62,47,47,47,1
63,63,63,63,93,63,140,188,141,63,578,63,47,94,78,94,78,62,47,47,63,1
62,125,79,94,31,62,78,207,62,94,78,94,47,78,78,125,110,78,47,62,31,1
62,47,63,94,78,63,140,687,62,125,453,63,47,94,78,94,78,62,94,62,63,1
78,94,94,78,40,271,380,47,15,47,16,62,47,62,125,32,15,78,32,31,16,1
62,78,31,78,79,32,78,47,157,62,31,94,63,62,312,63,94,141,62,62,31,1
63,62,141,62,94,271,380,140,0,62,0,813,47,62,125,32,15,78,79,156,16,1
78,94,94,78,78,140,79,250,125,47,141,63,125,47,63,93,125,62,63,62,110,1
63,78,94,63,62,94,62,125,62,78,78,125,62,78,78,110,62,78,78,46,47,1
63,78,94,62,47,140,79,172,63,63,125,63,125,47,63,93,125,62,78,47,110,1
126,125,125,78,109,31,172,31,46,94,16,172,0,93,140,47,46,79,31,78,32,1
125,125,47,109,110,15,78,125,94,31,63,15,93,110,829,31,78,110,62,94,31,1
141,62,78,93,78,31,172,93,78,94,78,719,0,93,140,47,46,79,109,110,32,1
62,110,110,78,63,78,62,94,47,78,31,47,32,62,78,94,0,78,31,46,62,1
94,78,0,47,62,61,52,94,62,63,62,31,78,78,62,110,94,15,31,94,47,1
94,31,93,94,47,78,62,78,94,94,47,895,32,62,78,94,0,78,78,78,62,1
125,94,94,78,93,188,78,31,62,110,31,78,78,63,78,110,125,110,125,125,32,1
156,62,140,109,94,0,78,31,94,156,31,78,78,47,62,94,94,235,125,94,235,1
109,125,78,78,109,188,78,0,62,156,16,203,78,63,78,110,125,110,125,109,32,1
125,109,109,125,47,109,203,47,78,31,63,93,16,62,157,31,31,47,156,62,16,1
47,16,32,31,31,94,0,140,78,0,62,47,78,78,0,47,156,16,31,15,31,1
16,31,47,31,62,109,203,15,0,125,719,859,16,62,157,31,31,47,94,62,16,1
141,110,110,94,78,203,78,249,282,78,344,94,234,79,94,140,47,109,78,109,109,1
109,93,94,109,78,157,78,204,63,78,172,157,281,63,94,172,94,110,78,78,125,1
110,78,109,407,78,203,78,63,93,94,203,63,234,79,94,140,47,109,93,78,109,1
156,47,47,140,78,79,110,15,47,78,16,469,63,78,63,47,31,63,48,84,109,1
15,31,31,93,31,94,31,0,188,16,78,47,31,78,16,78,109,31,16,0,109,1
