ft1,dtsk1,dtfk3,ft3,dtfk4,ft4,dtfk5,ft5,dtsk5,ft6,dtsk6,dtfk7,ft7,dtfk8,dtsk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,sum,gender
16,125,110,109,93,16,0,62,93,78,94,141,93,47,110,93,266,172,62,79,110,156,16,94,703,62,109,813,5530,1
16,94,172,15,94,78,891,93,172,141,93,94,78,156,156,1078,78,94,156,78,203,94,78,125,31,110,78,78,5998,1
16,78,78,109,94,0,94,109,94,157,93,78,15,94,93,94,109,109,62,94,78,78,125,78,47,78,93,47,4670,1
16,78,109,16,110,78,94,78,94,78,94,78,31,62,94,47,109,63,78,109,78,109,63,78,31,78,78,47,3172,1
47,78,79,31,94,0,94,78,94,94,47,47,31,78,109,62,94,109,62,94,78,78,125,94,172,94,93,47,4016,1
157,109,93,16,141,265,390,63,110,78,38,15,93,109,94,78,94,46,125,985,141,47,359,125,94,141,78,110,6223,1
129,297,594,94,172,250,0,15,187,94,140,94,125,94,62,31,78,94,172,109,78,157,15,344,406,16,156,313,6904,1
125,344,219,110,141,265,0,46,140,125,31,141,187,94,157,1312,109,46,125,985,141,47,359,391,31,109,78,110,7576,1
296,110,141,109,94,78,156,63,93,63,78,109,31,94,109,78,78,78,63,234,157,109,63,62,125,94,94,203,4641,1
94,94,128,63,94,16,0,78,125,78,94,94,94,641,108,94,62,78,94,78,109,141,140,32,93,47,78,63,4392,1
93,32,110,62,94,78,125,62,94,94,94,125,62,94,141,797,94,78,63,234,157,109,63,109,156,63,94,203,5392,1
16,93,94,125,62,391,110,15,110,235,93,78,109,125,109,109,47,297,78,235,141,93,109,344,62,360,93,32,5689,1
32,93,93,16,94,47,125,15,141,78,250,16,125,125,125,218,157,78,94,94,140,78,15,62,94,344,94,62,4655,1
141,62,79,31,62,391,0,15,109,63,218,125,188,94,78,1172,1313,297,78,235,141,93,109,94,141,266,93,32,7678,1
32,109,78,94,63,15,109,16,62,141,63,46,47,63,78,62,78,94,47,94,31,94,125,15,78,47,62,32,3155,1
15,94,79,15,78,63,0,15,62,78,78,78,63,93,62,94,62,78,63,62,94,109,110,62,31,63,63,47,2765,1
63,62,63,47,63,15,125,16,63,31,94,62,16,78,109,884,62,94,47,94,31,94,125,94,46,47,62,32,3729,1
15,82,102,31,118,53,91,259,144,62,109,31,78,125,93,875,125,156,47,78,187,110,125,110,31,125,94,15,5127,1
188,62,16,141,110,15,78,172,94,78,157,219,16,16,109,110,125,79,78,93,78,125,250,110,15,109,156,15,4174,1
15,110,16,93,118,53,94,223,125,93,110,156,16,171,125,125,110,156,47,78,187,110,125,109,16,125,94,15,4970,1
31,78,78,16,94,15,63,62,63,94,78,62,32,31,94,657,78,78,15,79,140,78,62,79,15,47,15,47,3312,1
16,62,156,32,78,79,515,63,78,62,78,78,31,15,172,109,63,63,62,125,78,109,15,63,47,78,109,16,3658,1
31,63,46,16,94,15,94,62,79,63,109,110,172,110,109,63,109,78,15,79,140,78,62,79,78,62,15,47,2985,1
62,94,63,78,109,63,78,125,47,109,172,46,16,125,63,63,172,265,79,78,32,62,109,41,65,78,78,15,3560,1
16,78,62,63,94,31,78,125,203,93,110,172,116,63,46,63,109,31,62,79,94,126,219,47,63,62,78,47,3641,1
31,47,63,15,109,63,62,125,110,47,63,32,31,94,126,906,94,265,79,78,32,62,109,46,47,94,78,15,4048,1
62,110,78,31,78,156,141,16,125,125,203,78,16,109,78,109,16,47,63,94,78,187,94,109,32,109,79,78,3862,1
31,125,32,218,78,16,172,15,94,62,125,109,63,78,78,109,79,63,93,79,78,110,32,78,16,93,94,31,3611,1
47,78,94,31,78,156,125,109,125,78,109,94,15,63,110,129,62,47,63,94,78,187,94,63,62,47,79,78,3614,1
32,78,47,46,63,47,62,141,62,125,78,62,110,78,78,63,140,78,62,79,47,63,78,47,94,63,78,16,3080,1
47,62,78,78,62,32,78,157,62,62,125,94,203,78,94,141,62,47,109,47,62,125,78,47,47,62,63,47,3515,1
125,47,78,47,63,47,63,140,78,47,141,78,31,63,125,79,171,78,62,79,47,63,78,78,62,63,78,16,3141,1
141,93,47,47,78,250,328,62,172,93,313,47,78,422,250,1078,94,62,78,344,63,47,78,62,125,125,78,31,6577,1
109,32,141,62,46,79,0,62,172,94,140,140,235,359,63,62,188,62,78,78,63,94,62,156,16,78,62,281,5172,1
78,156,125,78,78,250,0,63,172,63,62,109,141,94,94,0,47,62,78,344,63,47,78,79,31,109,78,31,4420,1
282,93,78,891,78,234,94,47,94,984,63,63,218,79,62,78,156,78,78,78,94,78,78,78,297,78,63,219,6749,1
297,62,78,250,62,188,93,63,109,63,203,78,250,93,78,125,62,62,94,62,78,94,344,94,484,79,78,204,4935,1
797,94,47,235,78,234,141,203,109,78,125,78,375,62,94,110,141,78,78,78,94,78,78,62,375,63,63,219,6250,1
32,93,94,78,62,110,250,63,63,94,78,125,46,187,93,62,204,78,78,63,63,109,93,47,78,78,93,78,4202,1
16,94,62,47,78,31,125,16,63,62,141,78,16,62,78,94,266,63,93,63,78,94,547,0,78,31,62,16,3891,1
172,0,0,16,62,110,844,938,31,46,94,109,32,94,94,1047,1203,78,78,63,63,109,93,78,63,187,93,78,7094,1
0,94,93,16,109,32,171,16,109,125,62,63,62,156,110,126,109,31,47,375,78,63,78,47,78,16,78,31,3624,1
16,94,63,47,94,93,110,31,109,78,78,94,109,93,125,140,94,63,78,78,125,16,0,62,16,62,94,15,3281,1
31,62,63,62,109,32,94,31,125,63,140,62,125,125,16,1176,94,31,47,375,78,63,78,94,62,78,78,31,4501,1
15,110,78,63,93,94,78,203,63,94,187,141,0,78,78,141,0,141,109,63,94,93,78,78,78,78,93,32,3703,1
16,78,94,62,78,31,0,0,94,62,125,94,63,93,94,94,125,234,328,110,78,94,32,78,32,62,94,31,3610,1
