ft1,dtsk1,dtfk3,ft3,dtfk4,ft4,dtfk5,ft5,dtsk5,ft6,dtsk6,dtfk7,ft7,dtfk8,dtsk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,sum,gender
47,63,31,16,78,47,125,47,47,62,47,93,16,78,78,594,78,15,78,78,109,16,62,16,47,94,78,0,3142,2
16,78,78,16,16,93,484,500,47,94,0,609,47,16,31,110,31,31,63,78,79,78,62,0,94,16,16,94,3721,2
156,0,78,0,78,47,0,47,62,31,110,31,78,78,78,0,547,15,78,78,109,16,62,16,93,78,78,0,3562,2
32,109,78,94,62,157,78,172,62,93,94,79,78,94,63,125,141,141,62,79,78,78,93,94,15,94,62,31,4392,2
16,93,78,141,93,0,109,157,78,78,93,125,141,110,94,15,125,94,78,78,78,141,94,78,47,78,78,94,3658,2
78,78,93,79,62,157,47,156,94,172,15,140,63,79,141,0,32,141,62,79,78,78,93,94,156,94,62,31,3643,2
109,62,63,93,63,94,78,187,63,140,94,63,62,63,63,93,47,156,63,109,63,78,78,78,78,78,47,78,3596,2
47,63,78,78,62,63,63,62,78,63,172,62,94,78,63,110,78,63,78,78,78,156,125,63,78,62,63,62,3406,2
62,63,47,109,63,94,63,140,47,62,110,63,47,62,156,110,94,156,63,109,63,78,78,47,47,94,47,78,3410,2
47,157,125,46,156,0,78,78,180,109,94,63,16,266,62,0,16,78,94,62,47,46,0,31,94,47,78,31,3397,2
15,94,125,110,15,78,141,47,187,94,219,62,47,156,70,110,20,94,62,63,46,1390,141,16,94,94,93,0,4740,2
47,16,78,15,156,0,0,15,172,15,110,125,94,31,1390,984,1094,78,94,62,47,46,0,63,31,156,78,31,7215,2
79,109,94,94,78,62,109,31,125,125,78,94,141,110,109,94,93,63,78,94,62,15,32,31,78,63,78,32,3421,2
125,93,94,109,47,78,110,31,125,78,109,78,78,156,111,120,94,94,94,46,16,0,500,78,78,94,63,93,3729,2
31,78,31,78,78,62,0,0,94,187,120,78,47,63,0,735,78,63,78,94,62,15,32,78,94,78,78,32,3667,2
