dtfk3,ft3,dtsk3,ft4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
102,31,118,53,91,259,31,78,16,93,875,156,47,78,110,94,343,110,31,125,15,125,1
16,141,63,15,78,172,219,16,110,109,110,79,78,93,94,125,125,110,15,109,15,109,1
16,93,532,53,94,223,156,16,78,125,125,156,47,78,110,94,343,109,16,125,15,125,1
78,16,94,15,63,62,62,32,46,94,657,78,15,79,63,109,16,79,15,47,47,16,1
156,32,78,79,515,63,78,31,79,172,109,63,62,125,78,79,172,63,47,78,16,79,1
46,16,78,15,94,62,110,172,16,109,63,78,15,79,63,109,16,79,78,62,47,16,1
63,78,109,63,78,125,46,16,63,63,63,265,79,78,141,46,32,41,65,78,15,63,1
62,63,78,31,78,125,172,116,41,46,63,31,62,79,156,47,46,47,63,62,47,46,1
63,15,94,63,62,125,32,31,62,126,906,265,79,78,141,46,32,46,47,94,15,63,1
78,31,78,156,141,16,78,16,94,78,109,47,63,94,94,125,16,109,32,109,78,62,1
32,218,110,16,172,15,109,63,109,78,109,63,93,79,78,110,93,78,16,93,31,63,1
94,31,78,156,125,109,94,15,63,110,129,47,63,94,94,125,16,63,62,47,78,62,1
47,46,63,47,62,141,62,110,78,78,63,78,62,79,79,140,15,47,94,63,16,62,1
78,78,63,32,78,157,94,203,47,94,141,47,109,47,109,94,47,47,47,62,47,78,1
78,47,62,47,63,140,78,31,63,125,79,78,62,79,79,140,15,78,62,63,16,62,1
47,47,78,250,328,62,47,78,125,250,1078,62,78,344,140,234,125,62,125,125,31,94,1
141,62,157,79,0,62,140,235,62,63,62,62,78,78,16,93,78,156,16,78,281,79,1
125,78,15,250,0,63,109,141,62,94,0,62,78,344,140,234,125,79,31,109,31,94,1
78,891,78,234,94,47,63,218,47,62,78,78,78,78,63,140,828,78,297,78,219,78,1
78,250,63,188,93,63,78,250,78,78,125,62,94,62,78,140,62,94,484,79,204,62,1
47,235,62,234,141,203,78,375,47,94,110,78,78,78,63,140,828,62,375,63,219,78,1
94,78,62,110,250,63,125,46,0,93,62,78,78,63,125,47,32,47,78,78,78,63,1
62,47,78,31,125,16,78,16,47,78,94,63,93,63,125,15,93,0,78,31,16,78,1
0,16,78,110,844,938,109,32,78,94,1047,78,78,63,125,47,32,78,63,187,78,63,1
93,16,109,32,171,16,63,62,63,110,126,31,47,375,156,47,16,47,78,16,31,125,1
63,47,47,93,110,31,94,109,47,125,140,63,78,78,78,47,109,62,16,62,15,94,1
63,62,78,32,94,31,62,125,109,16,1176,31,47,375,156,47,16,94,62,78,31,125,1
78,63,93,94,78,203,141,0,78,78,141,141,109,63,94,78,16,78,78,78,32,62,1
94,62,63,31,0,0,94,63,78,94,94,234,328,110,110,93,93,78,32,62,31,78,1
78,63,78,94,94,171,109,16,62,94,78,141,109,63,94,78,16,78,16,78,32,62,1
109,110,109,250,78,110,125,140,63,47,94,94,78,110,47,156,265,63,422,78,94,78,1
78,110,78,219,94,78,62,328,63,109,156,93,94,63,78,109,94,93,547,94,125,93,1
63,15,94,250,93,250,94,187,78,156,78,94,78,110,47,156,265,93,203,63,94,78,1
47,47,63,93,156,31,78,125,78,172,78,78,56,73,78,31,15,78,78,47,31,63,1
63,62,63,16,0,594,62,125,78,62,15,62,78,63,140,0,110,31,47,63,31,78,1
78,32,62,93,0,16,94,31,63,47,844,78,56,73,78,31,15,78,172,78,31,63,1
109,78,47,391,438,31,78,31,94,79,78,94,31,78,109,125,16,15,78,31,0,94,1
78,47,94,141,0,32,31,78,15,47,46,63,62,78,125,31,94,32,110,31,31,94,1
94,31,78,391,0,31,110,31,94,687,765,94,31,78,109,125,16,94,62,63,0,94,1
125,79,93,485,594,47,78,141,62,63,140,47,78,78,47,62,16,0,125,62,32,93,1
78,125,94,47,125,31,32,110,0,109,109,62,94,62,125,62,78,94,15,63,47,93,1
62,31,94,485,234,16,125,78,94,172,985,47,78,78,47,62,16,93,125,94,32,93,1
47,78,31,125,63,171,62,32,78,78,63,63,47,93,78,78,172,63,78,63,79,78,1
78,47,63,46,47,31,78,15,63,109,109,62,78,63,78,94,62,63,125,31,63,78,1
78,47,62,125,46,47,62,16,62,125,62,63,47,93,78,78,172,78,62,32,79,78,1
172,292,79,128,225,40,63,47,78,94,94,47,62,109,78,63,15,32,93,16,47,94,1
109,0,63,47,609,734,79,93,32,125,62,78,78,78,79,78,94,78,0,63,62,47,1
78,297,78,128,0,47,94,31,172,110,812,47,62,109,78,63,15,47,78,47,47,94,1
63,16,93,63,140,188,63,578,94,62,63,47,94,141,78,94,78,47,109,47,63,62,1
94,78,31,62,125,207,94,78,47,62,94,47,78,63,78,125,110,47,438,62,31,94,1
94,62,78,63,47,687,125,453,78,93,63,47,94,141,78,94,78,94,47,62,63,62,1
78,52,40,271,380,47,47,16,62,62,62,47,62,63,125,32,15,32,94,31,16,78,1
