dtfk1,ft1,ft2,dtfk3,ft3,dtfk4,dtsk4,dtfk5,ft5,ft6,dtfk7,ft7,dtsk7,ft10,dtsk10,dtfk11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtsk13,dtsk14,sum,gender
141,16,172,94,125,62,110,110,15,235,78,109,79,78,235,297,141,282,109,344,62,360,109,5689,1
93,32,31,93,16,94,94,125,15,78,16,125,344,94,94,172,140,141,15,62,94,344,94,4655,1
234,141,16,79,31,62,110,0,15,63,125,188,109,78,235,297,141,282,109,94,141,266,109,7678,1
62,32,234,78,94,63,109,109,16,141,46,47,63,47,94,109,31,47,125,15,78,47,78,3155,1
63,15,16,79,15,78,31,0,15,78,78,63,15,63,62,94,94,78,110,62,31,63,94,2765,1
78,63,203,63,47,63,109,125,16,31,62,16,79,47,94,109,31,47,125,94,46,47,78,3729,1
141,15,121,102,31,118,91,91,259,62,31,78,16,47,78,110,187,343,125,110,31,125,125,5127,1
109,188,78,16,141,110,63,78,172,78,219,16,110,78,93,94,78,125,250,110,15,109,109,4174,1
125,15,78,16,93,118,91,94,223,93,156,16,78,47,78,110,187,343,125,109,16,125,125,4970,1
94,31,94,78,16,94,63,63,62,94,62,32,46,15,79,63,140,16,62,79,15,47,16,3312,1
78,16,94,156,32,78,62,515,63,62,78,31,79,62,125,78,78,172,15,63,47,78,79,3658,1
140,31,78,46,16,94,63,94,62,63,110,172,16,15,79,63,140,16,62,79,78,62,16,2985,1
125,62,125,63,78,109,78,78,125,109,46,16,63,79,78,141,32,32,109,41,65,78,63,3560,1
172,16,31,62,63,94,94,78,125,93,172,116,41,62,79,156,94,46,219,47,63,62,46,3641,1
94,31,62,63,15,109,78,62,125,47,32,31,62,79,78,141,32,32,109,46,47,94,63,4048,1
78,62,125,78,31,78,141,141,16,125,78,16,94,63,94,94,78,16,94,109,32,109,62,3862,1
203,31,125,32,218,78,62,172,15,62,109,63,109,93,79,78,78,93,32,78,16,93,63,3611,1
78,47,125,94,31,78,141,125,109,78,94,15,63,63,94,94,78,16,94,63,62,47,62,3614,1
62,32,125,47,46,63,62,62,141,125,62,110,78,62,79,79,47,15,78,47,94,63,62,3080,1
78,47,110,78,78,62,93,78,157,62,94,203,47,109,47,109,62,47,78,47,47,62,78,3515,1
63,125,94,78,47,63,62,63,140,47,78,31,63,62,79,79,47,15,78,78,62,63,62,3141,1
