ft1,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft13,dtsk13,ft14,sum,gender
141,79,31,94,62,391,109,218,125,188,1172,297,78,235,297,31,93,282,94,141,266,32,7678,1
32,78,94,63,63,15,62,63,46,47,62,94,47,94,109,16,94,47,15,78,47,32,3155,1
15,79,15,31,78,63,62,78,78,63,94,78,63,62,94,47,109,78,62,31,63,47,2765,1
63,63,47,47,63,15,63,94,62,16,884,94,47,94,109,16,94,47,94,46,47,32,3729,1
15,102,31,118,118,53,144,109,31,78,875,156,47,78,110,94,110,343,110,31,125,15,5127,1
188,16,141,63,110,15,94,157,219,16,110,79,78,93,94,125,125,125,110,15,109,15,4174,1
15,16,93,532,118,53,125,110,156,16,125,156,47,78,110,94,110,343,109,16,125,15,4970,1
31,78,16,94,94,15,63,78,62,32,657,78,15,79,63,109,78,16,79,15,47,47,3312,1
16,156,32,78,78,79,78,78,78,31,109,63,62,125,78,79,109,172,63,47,78,16,3658,1
31,46,16,78,94,15,79,109,110,172,63,78,15,79,63,109,78,16,79,78,62,47,2985,1
62,63,78,109,109,63,47,172,46,16,63,265,79,78,141,46,62,32,41,65,78,15,3560,1
16,62,63,78,94,31,203,110,172,116,63,31,62,79,156,47,126,46,47,63,62,47,3641,1
31,63,15,94,109,63,110,63,32,31,906,265,79,78,141,46,62,32,46,47,94,15,4048,1
62,78,31,78,78,156,125,203,78,16,109,47,63,94,94,125,187,16,109,32,109,78,3862,1
31,32,218,110,78,16,94,125,109,63,109,63,93,79,78,110,110,93,78,16,93,31,3611,1
47,94,31,78,78,156,125,109,94,15,129,47,63,94,94,125,187,16,63,62,47,78,3614,1
32,47,46,63,63,47,62,78,62,110,63,78,62,79,79,140,63,15,47,94,63,16,3080,1
47,78,78,63,62,32,62,125,94,203,141,47,109,47,109,94,125,47,47,47,62,47,3515,1
125,78,47,62,63,47,78,141,78,31,79,78,62,79,79,140,63,15,78,62,63,16,3141,1
141,47,47,78,78,250,172,313,47,78,1078,62,78,344,140,234,47,125,62,125,125,31,6577,1
109,141,62,157,46,79,172,140,140,235,62,62,78,78,16,93,94,78,156,16,78,281,5172,1
78,125,78,15,78,250,172,62,109,141,0,62,78,344,140,234,47,125,79,31,109,31,4420,1
282,78,891,78,78,234,94,63,63,218,78,78,78,78,63,140,78,828,78,297,78,219,6749,1
297,78,250,63,62,188,109,203,78,250,125,62,94,62,78,140,94,62,94,484,79,204,4935,1
797,47,235,62,78,234,109,125,78,375,110,78,78,78,63,140,78,828,62,375,63,219,6250,1
32,94,78,62,62,110,63,78,125,46,62,78,78,63,125,47,109,32,47,78,78,78,4202,1
16,62,47,78,78,31,63,141,78,16,94,63,93,63,125,15,94,93,0,78,31,16,3891,1
172,0,16,78,62,110,31,94,109,32,1047,78,78,63,125,47,109,32,78,63,187,78,7094,1
0,93,16,109,109,32,109,62,63,62,126,31,47,375,156,47,63,16,47,78,16,31,3624,1
16,63,47,47,94,93,109,78,94,109,140,63,78,78,78,47,16,109,62,16,62,15,3281,1
31,63,62,78,109,32,125,140,62,125,1176,31,47,375,156,47,63,16,94,62,78,31,4501,1
15,78,63,93,93,94,63,187,141,0,141,141,109,63,94,78,93,16,78,78,78,32,3703,1
16,94,62,63,78,31,94,125,94,63,94,234,328,110,110,93,94,93,78,32,62,31,3610,1
31,78,63,78,93,94,63,94,109,16,78,141,109,63,94,78,93,16,78,16,78,32,3280,1
172,109,110,109,109,250,78,110,125,140,94,94,78,110,47,156,94,265,63,422,78,94,4923,1
359,78,110,78,78,219,78,610,62,328,156,93,94,63,78,109,156,94,93,547,94,125,5672,1
313,63,15,94,109,250,94,156,94,187,78,94,78,110,47,156,94,265,93,203,63,94,4811,1
94,47,47,63,63,93,63,62,78,125,78,78,56,73,78,31,79,15,78,78,47,31,3755,1
16,63,62,63,47,16,656,16,62,125,15,62,78,63,140,0,47,110,31,47,63,31,3739,1
31,78,32,62,63,93,94,15,94,31,844,78,56,73,78,31,79,15,78,172,78,31,5098,1
16,109,78,47,47,391,46,94,78,31,78,94,31,78,109,125,109,16,15,78,31,0,4172,1
0,78,47,94,78,141,46,78,31,78,46,63,62,78,125,31,687,94,32,110,31,31,3593,1
109,94,31,78,47,391,94,46,110,31,765,94,31,78,109,125,109,16,94,62,63,0,5717,1
31,125,79,93,93,485,140,93,78,141,140,47,78,78,47,62,125,16,0,125,62,32,4935,1
16,78,125,94,109,47,141,109,32,110,109,62,94,62,125,62,172,78,94,15,63,47,3515,1
16,62,31,94,93,485,109,109,125,78,985,47,78,78,47,62,125,16,93,125,94,32,6516,1
63,47,78,31,31,125,79,172,62,32,63,63,47,93,78,78,78,172,63,78,63,79,3344,1
15,78,47,63,79,46,94,125,78,15,109,62,78,63,78,94,125,62,63,125,31,63,3125,1
0,78,47,62,31,125,94,109,62,16,62,63,47,93,78,78,78,172,78,62,32,79,2983,1
547,172,292,79,79,128,110,78,63,47,94,47,62,109,78,63,47,15,32,93,16,47,4488,1
16,109,0,63,78,47,0,172,79,93,62,78,78,78,79,78,110,94,78,0,63,62,4343,1
78,78,297,78,79,128,141,62,94,31,812,47,62,109,78,63,47,15,47,78,47,47,4134,1
15,63,16,93,93,63,109,62,63,578,63,47,94,141,78,94,47,78,47,109,47,63,3999,1
78,94,78,31,79,62,109,156,94,78,94,47,78,63,78,125,93,110,47,438,62,31,3941,1
31,94,62,78,93,63,94,94,125,453,63,47,94,141,78,94,47,78,94,47,62,63,5077,1
47,78,52,40,40,271,125,62,47,16,62,47,62,63,125,32,47,15,32,94,31,16,3507,1
31,78,31,79,78,32,125,15,62,31,94,63,62,63,312,63,62,94,62,32,62,31,3018,1
0,62,16,94,40,271,94,94,62,0,813,47,62,63,125,32,47,15,79,31,156,16,5659,1
94,78,563,78,78,140,93,63,47,141,63,125,47,63,63,93,63,125,63,125,62,110,4205,1
47,63,109,62,63,94,125,172,78,78,125,62,78,63,78,110,110,62,78,63,46,47,3438,1
78,62,78,47,78,140,125,125,63,125,63,125,47,63,63,93,63,125,78,78,47,110,3585,1
31,78,31,109,109,31,156,125,94,16,172,0,93,453,140,47,32,46,31,94,78,32,3983,1
46,109,0,110,125,15,156,47,31,63,15,93,110,78,829,31,109,78,62,47,94,31,4546,1
0,93,32,78,109,31,157,15,94,78,719,0,93,453,140,47,32,46,109,0,110,32,5156,1
78,78,16,63,63,78,94,94,78,31,47,32,62,110,78,94,141,0,31,79,46,62,3438,1
0,47,31,62,78,61,188,141,63,62,31,78,78,63,62,110,141,94,31,31,94,47,3129,1
47,94,62,47,63,78,78,31,94,47,895,32,62,110,78,94,141,0,78,47,78,62,3866,1
16,78,63,93,93,188,94,156,110,31,78,78,63,62,78,110,93,125,125,125,125,32,3953,1
16,109,31,94,78,0,109,313,156,31,78,78,47,63,62,94,125,94,125,0,94,235,3921,1
31,78,47,109,93,188,94,78,156,16,203,78,63,62,78,110,93,125,125,31,109,32,3623,1
16,125,0,47,47,109,62,47,31,63,93,16,62,94,157,31,31,31,156,110,62,16,3231,1
78,31,109,31,344,94,31,63,0,62,47,78,78,78,0,47,78,156,31,125,15,31,4361,1
79,31,78,62,47,109,125,47,125,719,859,16,62,94,157,31,31,31,94,0,62,16,4186,1
62,94,62,78,78,203,88,109,78,344,94,234,79,93,94,140,78,47,78,391,109,109,5854,1
63,109,94,78,62,157,78,172,78,172,157,281,63,93,94,172,213,94,78,516,78,125,5009,1
0,407,15,78,78,203,250,157,94,203,63,234,79,93,94,140,78,47,93,235,78,109,5833,1
47,140,32,78,78,79,110,15,78,16,469,63,78,79,63,47,63,31,48,5,84,109,3717,1
63,93,32,31,15,94,94,31,16,78,47,31,78,63,16,78,31,109,16,94,0,109,2360,1
15,110,15,16,78,79,31,47,625,32,0,63,78,79,63,47,63,31,16,110,15,109,3677,1
16,109,32,187,187,109,94,125,110,94,125,94,109,63,94,203,47,157,110,93,161,15,4960,1
110,94,125,109,78,141,172,500,125,125,125,93,110,62,16,141,47,172,531,140,516,63,5704,1
110,93,63,125,187,109,110,125,141,140,750,94,109,63,94,203,47,157,93,110,109,15,5814,1
93,94,93,94,94,125,125,141,109,63,94,94,62,94,125,94,109,110,94,47,109,62,4233,1
78,94,78,94,94,47,171,140,110,140,94,47,93,78,156,47,187,94,94,31,125,94,4563,1
16,93,63,109,94,125,141,94,125,110,125,94,62,94,125,94,109,110,94,78,141,62,4142,1
63,63,62,78,78,125,98,109,78,109,78,93,63,78,78,110,94,46,63,94,78,62,3677,1
32,62,47,78,94,31,78,125,110,15,63,78,109,47,94,93,125,63,63,16,93,109,3404,1
