@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,7,8,10,15,20,21,23,25,26,27,29,32,33,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
156,47,78,94,94,93,0,94,94,78,31,94,47,47,78,109,109,94,94,78,594,125,172,94,47,1
125,157,109,141,93,141,265,390,390,63,15,78,38,15,109,94,46,985,203,47,172,359,94,141,110,1
38,129,297,47,109,15,250,31,0,15,985,94,140,94,94,62,94,109,16,157,282,15,406,16,313,1
16,125,344,141,78,15,265,390,0,46,31,125,31,141,94,157,46,985,203,47,172,359,31,109,110,1
94,296,110,31,141,94,78,156,156,63,93,63,78,109,94,109,78,234,234,109,94,63,125,94,203,1
78,94,94,63,156,93,16,62,0,78,234,78,94,94,641,108,78,78,156,141,78,140,93,47,63,1
125,93,32,62,94,94,78,156,125,62,93,94,94,125,94,141,78,234,234,109,94,63,156,63,203,1
141,16,93,172,94,62,391,110,110,15,78,235,93,78,125,109,297,235,297,93,282,109,62,360,32,1
93,32,93,31,125,78,47,94,125,15,235,78,250,16,125,125,78,94,172,78,141,15,94,344,62,1
234,141,62,16,94,94,391,110,0,15,16,63,218,125,94,78,297,235,297,93,282,109,141,266,32,1
62,32,109,234,78,63,15,109,109,16,31,141,63,46,63,78,94,94,109,94,47,125,78,47,32,1
63,15,94,16,78,31,63,31,0,15,94,78,78,78,93,62,78,62,94,109,78,110,31,63,47,1
78,63,62,203,16,47,15,109,125,16,16,31,94,62,78,109,94,94,109,94,47,125,46,47,32,1
141,15,82,121,102,118,53,91,91,259,63,62,109,31,125,93,156,78,110,110,343,125,31,125,15,1
109,188,62,78,94,63,15,63,78,172,78,78,157,219,16,109,79,93,94,125,125,250,15,109,15,1
125,15,110,78,109,532,53,91,94,223,16,93,110,156,171,125,156,78,110,110,343,125,16,125,15,1
94,31,78,94,78,94,15,63,63,62,78,94,78,62,31,94,78,79,63,78,16,62,15,47,47,1
78,16,62,94,125,78,79,62,515,63,79,62,78,78,15,172,63,125,78,109,172,15,47,78,16,1
140,31,63,78,78,78,15,63,94,62,31,63,109,110,110,109,78,79,63,78,16,62,78,62,47,1
125,62,94,125,63,109,63,78,78,125,78,109,172,46,125,63,265,78,141,62,32,109,65,78,15,1
172,16,78,31,63,78,31,94,78,125,78,93,110,172,63,46,31,79,156,126,46,219,63,62,47,1
94,31,47,62,78,94,63,78,62,125,78,47,63,32,94,126,265,78,141,62,32,109,47,94,15,1
78,62,110,125,78,78,156,141,141,16,110,125,203,78,109,78,47,94,94,187,16,94,32,109,78,1
203,31,125,125,94,110,16,62,172,15,94,62,125,109,78,78,63,79,78,110,93,32,16,93,31,1
78,47,78,125,110,78,156,141,125,109,47,78,109,94,63,110,47,94,94,187,16,94,62,47,78,1
62,32,78,125,47,63,47,62,62,141,63,125,78,62,78,78,78,79,79,63,15,78,94,63,16,1
78,47,62,110,94,63,32,93,78,157,79,62,125,94,78,94,47,47,109,125,47,78,47,62,47,1
63,125,47,94,62,62,47,62,63,140,46,47,141,78,63,125,78,79,79,63,15,78,62,63,16,1
94,141,93,157,47,78,250,328,328,62,157,93,313,47,422,250,62,344,140,47,125,78,125,125,31,1
313,109,32,47,110,157,79,31,0,62,344,94,140,140,359,63,62,78,16,94,78,62,16,78,281,1
78,78,156,47,78,15,250,328,0,63,47,63,62,109,94,94,62,344,140,47,125,78,31,109,31,1
93,282,93,94,78,78,234,94,94,47,63,984,63,63,79,62,78,78,63,78,828,78,297,78,219,1
63,297,62,141,62,63,188,62,93,63,78,63,203,78,93,78,62,62,78,94,62,344,484,79,204,1
62,797,94,94,62,62,234,94,141,203,219,78,125,78,62,94,78,78,63,78,828,78,375,63,219,1
93,32,93,63,94,62,110,250,250,63,78,94,78,125,187,93,78,63,125,109,32,93,78,78,78,1
78,16,94,47,109,78,31,78,125,16,63,62,141,78,62,78,63,63,125,94,93,547,78,31,16,1
31,172,0,93,78,78,110,250,844,938,16,46,94,109,94,94,78,63,125,109,32,93,63,187,78,1
156,0,94,16,93,109,32,171,171,16,47,125,62,63,156,110,31,375,156,63,16,78,78,16,31,1
62,16,94,141,16,47,93,47,110,31,375,78,78,94,93,125,63,78,78,16,109,0,16,62,15,1
47,31,62,16,93,78,32,171,94,31,15,63,140,62,125,16,31,375,156,63,16,78,62,78,31,1
125,15,110,78,78,93,94,78,78,203,63,94,187,141,78,78,141,63,94,93,16,78,78,78,32,1
187,16,78,125,63,63,31,63,0,0,63,62,125,94,93,94,234,110,110,94,93,32,32,62,31,1
78,31,78,109,62,78,94,78,94,171,15,78,94,109,79,94,141,63,94,93,16,78,16,78,32,1
125,172,94,203,109,109,250,78,78,110,78,156,110,125,62,47,94,110,47,94,265,94,422,78,94,1
110,359,94,62,78,78,219,93,94,78,110,93,610,62,109,109,93,63,78,156,94,140,547,94,125,1
94,313,93,109,78,94,250,78,93,250,78,63,156,94,109,156,94,110,47,94,265,94,203,63,94,1
63,94,93,125,47,63,93,156,156,31,63,469,62,78,141,172,78,73,78,79,15,110,78,47,31,1
62,16,47,140,47,63,16,47,0,594,73,166,16,62,78,62,62,63,140,47,110,62,47,63,31,1
78,31,31,94,63,62,93,156,0,16,62,141,15,94,78,47,78,73,78,79,15,110,172,78,31,1
109,16,110,47,109,47,391,438,438,31,94,62,94,78,110,79,94,78,109,109,16,78,78,31,0,1
94,0,109,63,110,94,141,78,0,32,78,94,78,31,63,47,63,78,125,687,94,78,110,31,31,1
78,109,32,31,93,78,391,438,0,31,78,47,46,110,0,687,94,78,109,109,16,78,62,63,0,1
