@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,17,18,19,20,21,23,24,25,26,27,29,33,35,37,38,39,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
156,0,93,16,109,109,32,171,171,16,109,47,156,31,375,156,47,63,78,78,31,1
62,16,63,47,47,94,93,47,110,31,109,375,93,63,78,78,47,16,0,94,15,1
47,31,63,62,78,109,32,171,94,31,125,15,125,31,375,156,47,63,78,78,31,1
125,15,78,63,93,93,94,78,78,203,63,63,78,141,63,94,78,93,78,93,32,1
187,16,94,62,63,78,31,63,0,0,94,63,93,234,110,110,93,94,32,94,31,1
78,31,78,63,78,93,94,78,94,171,63,15,79,141,63,94,78,93,78,93,32,1
125,172,109,110,109,109,250,78,78,110,78,78,62,94,110,47,156,94,94,93,94,1
110,359,78,110,78,78,219,93,94,78,78,110,109,93,63,78,109,156,140,110,125,1
94,313,63,15,94,109,250,78,93,250,94,78,109,94,110,47,156,94,94,93,94,1
63,94,47,47,63,63,93,156,156,31,63,63,141,78,73,78,31,79,110,62,31,1
62,16,63,62,63,47,16,47,0,594,656,73,78,62,63,140,0,47,62,63,31,1
78,31,78,32,62,63,93,156,0,16,94,62,78,78,73,78,31,79,110,62,31,1
109,16,109,78,47,47,391,438,438,31,46,94,110,94,78,109,125,109,78,78,0,1
94,0,78,47,94,78,141,78,0,32,46,78,63,63,78,125,31,687,78,78,31,1
78,109,94,31,78,47,391,438,0,31,94,78,0,94,78,109,125,109,78,78,0,1
125,31,125,79,93,93,485,594,594,47,140,94,125,47,78,47,62,125,93,78,32,1
93,16,78,125,94,109,47,78,125,31,141,78,78,62,62,125,62,172,94,94,47,1
156,16,62,31,94,93,485,594,234,16,109,94,109,47,78,47,62,125,93,78,32,1
62,63,47,78,31,31,125,63,63,171,79,63,78,63,93,78,78,78,78,46,79,1
172,15,78,47,63,79,46,47,47,31,94,93,78,62,63,78,94,125,47,62,63,1
62,0,78,47,62,31,125,63,46,47,94,94,62,63,93,78,78,78,78,46,79,1
93,547,172,292,79,79,128,225,225,40,110,63,15,47,109,78,63,47,62,94,47,1
78,16,109,0,63,78,47,62,609,734,0,109,109,78,78,79,78,110,78,15,62,1
78,78,78,297,78,79,128,225,0,47,141,93,47,47,109,78,63,47,62,94,47,1
63,15,63,16,93,93,63,140,140,188,109,31,78,47,141,78,94,47,62,93,63,1
62,78,94,78,31,79,62,78,125,207,109,141,94,47,63,78,125,93,78,94,31,1
62,31,94,62,78,93,63,140,47,687,94,78,63,47,141,78,94,47,62,93,63,1
78,47,78,52,40,40,271,380,380,47,125,79,94,47,63,125,32,47,78,62,16,1
62,31,78,31,79,78,32,78,0,47,125,63,78,63,63,312,63,62,141,78,31,1
63,0,62,16,94,40,271,380,125,140,94,63,76,47,63,125,32,47,78,62,16,1
78,94,78,563,78,78,140,79,79,250,93,62,62,125,63,63,93,63,62,62,110,1
63,47,63,109,62,63,94,62,94,125,125,63,78,62,63,78,110,110,78,63,47,1
63,78,62,78,47,78,140,79,78,172,125,62,47,125,63,63,93,63,62,62,110,1
126,31,78,31,109,109,31,172,172,31,156,110,109,0,453,140,47,32,79,78,32,1
125,46,109,0,110,125,15,78,110,125,156,453,94,93,78,829,31,109,110,157,31,1
141,0,93,32,78,109,31,172,172,93,157,31,94,0,453,140,47,32,79,78,32,1
62,78,78,16,63,63,78,62,62,94,94,62,93,32,110,78,94,141,78,78,62,1
94,0,47,31,62,78,61,52,78,94,188,110,47,78,63,62,110,141,15,78,47,1
94,47,94,62,47,63,78,62,79,78,78,16,109,32,110,78,94,141,78,78,62,1
125,16,78,63,93,93,188,78,78,31,94,94,109,78,62,78,110,93,110,78,32,1
156,16,109,31,94,78,0,78,0,31,109,62,78,78,63,62,94,125,235,62,235,1
109,31,78,47,109,93,188,78,0,0,94,0,78,78,62,78,110,93,110,78,32,1
125,16,125,0,47,47,109,203,203,47,62,31,47,16,94,157,31,31,47,78,16,1
47,78,31,109,31,344,94,0,1469,140,31,94,125,78,78,0,47,78,16,63,31,1
16,79,31,78,62,47,109,203,141,15,125,125,78,16,94,157,31,31,47,78,16,1
141,62,94,62,78,78,203,78,78,249,88,78,78,234,93,94,140,78,109,78,109,1
109,63,109,94,78,62,157,78,62,204,78,93,109,281,93,94,172,213,110,94,125,1
110,0,407,15,78,78,203,78,1109,63,250,32,78,234,93,94,140,78,109,78,109,1
156,47,140,32,78,78,79,110,110,15,110,31,94,63,79,63,47,63,63,46,109,1
15,63,93,32,31,15,94,31,141,0,94,79,46,31,63,16,78,31,31,16,109,1
63,15,110,15,16,78,79,110,438,125,31,93,93,63,79,63,47,63,63,46,109,1
156,16,109,32,187,187,109,157,157,156,94,109,218,94,63,94,203,47,171,141,15,1
125,110,94,125,109,78,141,47,172,0,172,63,297,93,62,16,141,47,78,125,63,1
250,110,93,63,125,187,109,157,94,156,110,94,110,94,63,94,203,47,171,141,15,1
125,93,94,93,94,94,125,125,125,78,125,94,78,94,94,125,94,109,93,109,62,1
141,78,94,78,94,94,47,109,109,32,171,94,109,47,78,156,47,187,453,109,94,1
109,16,93,63,109,94,125,125,125,47,141,47,110,94,94,125,94,109,93,109,62,1
78,63,63,62,78,78,125,94,94,219,98,78,94,93,78,78,110,94,63,110,62,1
109,32,62,47,78,94,31,78,94,187,78,78,94,78,47,94,93,125,109,78,109,1
78,78,63,15,94,78,125,94,110,234,78,15,94,93,78,78,110,94,63,110,62,1
93,47,171,16,94,94,47,156,156,32,140,172,141,15,94,250,31,125,114,125,0,1
94,16,110,47,172,125,0,63,110,78,187,94,94,62,93,125,93,110,110,78,0,1
250,0,109,32,78,94,47,156,125,79,140,16,94,15,94,250,31,125,114,125,0,1
125,15,78,31,78,78,16,141,141,62,125,78,140,47,63,62,140,109,16,110,62,1
78,15,125,16,78,78,78,63,0,15,125,63,172,78,63,78,93,31,187,94,31,1
78,31,78,31,94,78,16,141,187,0,94,94,78,47,63,62,140,109,16,110,62,1
93,47,109,203,297,297,16,203,203,15,137,78,78,157,125,94,78,141,78,109,31,1
172,16,94,31,78,93,32,78,156,16,137,125,94,110,79,109,63,375,109,78,15,1
62,110,94,16,125,297,16,203,0,47,140,32,78,157,125,94,78,141,78,109,31,1
94,78,109,141,110,110,109,203,203,78,109,78,110,156,125,109,63,109,93,94,47,1
500,15,109,485,78,125,47,62,0,15,109,125,110,79,94,78,110,94,172,78,31,1
93,375,110,78,93,110,109,203,0,47,125,78,78,156,125,109,63,109,93,94,47,1
156,47,141,47,109,109,31,78,78,32,31,47,78,94,62,47,125,62,63,0,78,1
78,156,47,63,47,31,156,16,531,625,31,62,31,31,62,94,0,47,31,31,62,1
78,156,31,63,47,109,31,78,671,193,31,15,16,94,62,47,125,62,63,0,78,1
110,15,141,15,110,110,31,125,125,31,125,125,203,125,93,47,141,31,63,15,93,1
47,31,94,15,125,16,110,94,0,0,125,93,16,47,79,0,93,1000,156,0,63,1
32,62,203,16,16,110,31,125,657,720,15,63,94,125,93,47,141,31,63,15,93,1
94,62,63,31,63,63,172,78,78,31,78,62,63,40,106,47,125,63,62,78,79,1
78,47,63,297,62,79,62,63,78,250,47,106,78,47,31,78,109,101,13,62,141,1
63,62,62,47,94,63,172,78,62,188,78,27,74,40,106,47,125,63,62,78,79,1
78,78,109,297,109,109,79,109,109,31,78,63,110,141,109,140,16,109,63,63,16,2
78,47,93,203,63,125,63,62,0,31,141,109,78,78,63,109,16,125,94,78,16,2
78,16,78,172,62,109,79,109,0,16,94,93,63,141,109,140,16,109,63,63,16,2
375,16,62,94,94,94,156,250,250,31,141,47,109,156,62,94,62,109,78,93,47,2
94,31,63,62,47,47,47,62,0,32,141,62,78,63,63,79,78,94,266,110,31,2
171,63,94,47,125,94,156,250,62,94,94,32,109,156,62,94,62,109,78,93,47,2
109,47,78,16,94,94,141,250,250,47,47,94,47,63,78,32,141,16,16,63,31,2
63,15,94,31,94,78,172,16,0,47,47,78,94,15,78,31,94,968,125,63,31,2
32,93,62,16,78,94,141,250,906,1000,47,78,91,63,78,32,141,16,16,63,31,2
62,16,62,32,78,78,31,109,109,31,63,32,62,16,359,218,47,16,62,47,46,2
47,359,63,15,32,62,16,47,0,15,94,359,62,62,94,94,15,94,16,63,47,2
63,78,78,15,79,78,31,109,0,31,94,59,62,16,359,218,47,16,62,47,46,2
172,437,78,94,94,94,31,140,140,31,62,94,94,125,109,62,94,78,109,78,78,2
219,15,94,62,94,94,62,78,0,16,62,109,94,78,63,94,109,109,78,78,63,2
140,110,94,47,78,94,31,140,109,16,78,63,62,125,109,62,94,78,109,78,78,2
57,4369,69,166,90,90,63,80,80,442,110,65,79,47,78,69,111,63,109,33,69,2
192,4,98,49,65,78,31,78,70,411,65,78,94,58,150,78,94,141,141,78,63,2
74,6,79,21,104,90,63,80,73,185,103,109,47,47,78,69,111,63,109,33,69,2
110,156,94,172,109,109,63,172,172,47,109,63,109,110,78,156,63,78,125,78,78,2
94,15,78,62,63,156,16,78,0,31,109,78,110,78,63,110,47,109,62,109,172,2
187,78,78,109,78,109,63,172,0,15,109,47,141,110,78,156,63,78,125,78,78,2
93,32,63,0,93,93,32,187,187,0,78,93,78,16,78,94,78,63,78,109,16,2
125,32,94,16,93,62,16,62,110,31,78,78,94,47,63,94,31,109,15,63,46,2
78,78,78,16,93,93,32,187,109,47,63,16,94,16,78,94,78,63,78,109,16,2
62,141,63,94,78,78,219,62,62,31,47,46,94,547,1015,79,125,63,62,47,47,2
62,78,47,125,46,62,63,78,63,94,78,1015,63,31,62,93,110,188,485,63,62,2
31,109,47,125,62,78,219,62,47,78,109,79,63,547,1015,79,125,63,62,47,47,2
109,125,78,109,125,125,63,109,109,47,125,78,94,63,109,78,93,94,78,79,31,2
94,16,78,63,78,94,31,110,78,78,187,109,109,78,78,109,110,94,62,78,31,2
125,0,94,15,94,125,63,109,93,78,110,78,94,63,109,78,93,94,78,79,31,2
93,47,110,93,94,94,31,79,79,31,140,47,110,31,79,125,62,110,94,94,16,2
94,16,62,47,47,78,32,78,98,59,124,79,94,63,93,79,93,78,0,93,32,2
79,31,46,110,62,94,31,79,94,31,125,62,78,31,79,125,62,110,94,94,16,2
94,31,79,46,79,79,15,140,140,47,90,78,110,47,78,94,94,78,78,94,16,2
94,0,62,579,78,78,32,94,0,16,93,78,78,63,78,78,94,94,31,62,16,2
62,16,62,32,78,79,15,140,0,63,125,0,109,47,78,94,94,78,78,94,16,2
63,343,46,188,47,47,62,78,78,125,79,47,156,94,156,63,109,110,31,62,31,2
63,0,47,94,47,93,47,63,125,62,141,156,78,32,47,62,125,140,94,47,47,2
203,47,62,94,47,47,62,78,79,46,110,78,47,94,156,63,109,110,31,62,31,2
140,31,109,47,94,94,62,172,172,15,100,78,94,78,62,141,62,110,94,94,47,2
125,32,94,31,78,93,32,78,94,46,110,62,94,47,46,109,31,110,47,78,62,2
31,109,63,78,94,94,62,172,78,94,125,141,516,78,62,141,62,110,94,94,47,2
63,78,62,63,62,62,63,78,78,62,79,62,78,109,94,78,93,63,62,63,47,2
78,62,62,63,62,63,78,63,63,125,62,94,63,62,63,78,94,79,78,78,62,2
94,78,62,47,78,62,63,78,47,125,63,0,78,109,94,78,93,63,62,63,47,2
109,47,31,16,78,78,47,125,125,47,47,110,78,15,78,47,63,16,62,78,0,2
47,16,78,16,110,16,93,32,484,500,47,78,16,31,78,31,62,78,62,16,94,2
94,156,78,0,110,78,47,125,0,47,62,78,78,15,78,47,63,16,62,78,0,2
94,32,78,94,62,62,157,78,78,172,62,63,94,141,79,79,78,78,93,62,31,2
94,16,78,141,63,93,0,94,109,157,78,79,110,94,78,78,110,141,94,78,94,2
110,78,93,79,78,62,157,78,47,156,94,62,79,141,79,79,78,78,93,62,31,2
94,109,63,93,63,63,94,78,78,187,63,63,63,156,109,78,94,78,78,47,78,2
94,47,78,78,63,62,63,62,63,62,78,109,78,63,78,63,109,156,125,63,62,2
63,62,47,109,63,63,94,78,63,140,47,63,62,156,109,78,94,78,78,47,78,2
78,47,125,46,156,156,0,78,78,78,180,78,266,78,62,31,109,46,0,78,31,2
94,15,125,110,78,15,78,47,141,47,187,62,156,94,63,15,125,1390,141,93,0,2
47,47,78,15,94,156,0,78,0,15,172,94,31,78,62,31,109,46,0,78,31,2
62,79,94,94,78,78,62,109,109,31,125,63,110,63,94,141,0,15,32,78,32,2
78,125,94,109,63,47,78,31,110,31,125,94,156,94,46,63,172,0,500,63,93,2
78,31,31,78,156,78,62,109,0,0,94,0,63,63,94,141,0,15,32,78,32,2
