@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,8,16,17,22,24,25,26,27,29,31,32,33,37,38,39,40,41,43'

@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,47,78,78,63,15,78,94,125,234,94,141,15,62,78,31,62,78,0,94,78,1
16,78,78,94,94,78,125,125,94,78,250,125,109,172,140,94,78,94,78,78,78,1
16,110,110,78,93,16,78,0,62,93,94,141,93,94,93,172,79,156,109,16,125,1
16,93,172,78,94,78,125,891,93,172,93,94,78,78,78,94,78,94,78,78,78,1
16,78,78,94,94,0,94,94,109,94,93,78,15,79,94,109,94,78,594,125,78,1
16,78,109,62,110,78,78,94,78,94,94,78,31,78,94,63,109,109,78,63,94,1
47,94,79,93,94,0,94,94,78,94,47,47,31,78,110,109,94,78,594,125,78,1
157,93,93,141,141,265,390,390,63,110,38,15,93,219,109,46,985,47,172,359,109,1
129,109,594,15,172,250,31,0,15,187,140,94,125,125,94,94,109,157,282,15,391,1
125,78,219,15,141,265,390,0,46,140,31,141,187,94,125,46,985,47,172,359,109,1
296,141,141,94,94,78,156,156,63,93,78,109,31,110,141,78,234,109,94,63,140,1
94,156,128,93,94,16,62,0,78,125,94,94,94,62,78,78,78,141,78,140,109,1
93,94,110,94,94,78,156,125,62,94,94,125,62,109,110,78,234,109,94,63,140,1
16,94,94,62,62,391,110,110,15,110,93,78,109,79,204,297,235,93,282,109,109,1
32,125,93,78,94,47,94,125,15,141,250,16,125,344,125,78,94,78,141,15,94,1
141,94,79,94,62,391,110,0,15,109,218,125,188,109,156,297,235,93,282,109,109,1
32,78,78,63,63,15,109,109,16,62,63,46,47,63,93,94,94,94,47,125,78,1
15,78,79,31,78,63,31,0,15,62,78,78,63,15,110,78,62,109,78,110,94,1
63,16,63,47,63,15,109,125,16,63,94,62,16,79,125,94,94,94,47,125,78,1
15,102,102,118,118,53,91,91,259,144,109,31,78,16,125,156,78,110,343,125,125,1
188,94,16,63,110,15,63,78,172,94,157,219,16,110,94,79,93,125,125,250,109,1
15,109,16,532,118,53,91,94,223,125,110,156,16,78,125,156,78,110,343,125,125,1
31,78,78,94,94,15,63,63,62,63,78,62,32,46,93,78,79,78,16,62,16,1
16,125,156,78,78,79,62,515,63,78,78,78,31,79,47,63,125,109,172,15,79,1
31,78,46,78,94,15,63,94,62,79,109,110,172,16,78,78,79,78,16,62,16,1
62,63,63,109,109,63,78,78,125,47,172,46,16,63,78,265,78,62,32,109,63,1
16,63,62,78,94,31,94,78,125,203,110,172,116,41,141,31,79,126,46,219,46,1
31,78,63,94,109,63,78,62,125,110,63,32,31,62,62,265,78,62,32,109,63,1
62,78,78,78,78,156,141,141,16,125,203,78,16,94,110,47,94,187,16,94,62,1
31,94,32,110,78,16,62,172,15,94,125,109,63,109,94,63,79,110,93,32,63,1
47,110,94,78,78,156,141,125,109,125,109,94,15,63,93,47,94,187,16,94,62,1
32,47,47,63,63,47,62,62,141,62,78,62,110,78,110,78,79,63,15,78,62,1
47,94,78,63,62,32,93,78,157,62,125,94,203,47,156,47,47,125,47,78,78,1
125,62,78,62,63,47,62,63,140,78,141,78,31,63,78,78,79,63,15,78,62,1
141,47,47,78,78,250,328,328,62,172,313,47,78,125,47,62,344,47,125,78,94,1
109,110,141,157,46,79,31,0,62,172,140,140,235,62,515,62,78,94,78,62,79,1
78,78,125,15,78,250,328,0,63,172,62,109,141,62,125,62,344,47,125,78,94,1
282,78,78,78,78,234,94,94,47,94,63,63,218,47,109,78,78,78,828,78,78,1
297,62,78,63,62,188,62,93,63,109,203,78,250,78,47,62,62,94,62,344,62,1
797,62,47,62,78,234,94,141,203,109,125,78,375,47,78,78,78,78,828,78,78,1
32,94,94,62,62,110,250,250,63,63,78,125,46,0,266,78,63,109,32,93,63,1
16,109,62,78,78,31,78,125,16,63,141,78,16,47,516,63,63,94,93,547,78,1
172,78,0,78,62,110,250,844,938,31,94,109,32,78,78,78,63,109,32,93,63,1
0,93,93,109,109,32,171,171,16,109,62,63,62,63,78,31,375,63,16,78,125,1
16,16,63,47,94,93,47,110,31,109,78,94,109,47,16,63,78,16,109,0,94,1
31,93,63,78,109,32,171,94,31,125,140,62,125,109,0,31,375,63,16,78,125,1
15,78,78,93,93,94,78,78,203,63,187,141,0,78,94,141,63,93,16,78,62,1
16,63,94,63,78,31,63,0,0,94,125,94,63,78,94,234,110,94,93,32,78,1
31,62,78,78,93,94,78,94,171,63,94,109,16,62,110,141,63,93,16,78,62,1
172,109,109,109,109,250,78,78,110,78,110,125,140,63,125,94,110,94,265,94,78,1
359,78,78,78,78,219,93,94,78,78,610,62,328,63,141,93,63,156,94,140,93,1
313,78,63,94,109,250,78,93,250,94,156,94,187,78,94,94,110,94,265,94,78,1
