@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,7,8,10,12,17,21,22,24,25,26,27,29,31,32,33,36,38,41,43'

@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
312,16,125,125,109,94,156,110,94,125,141,140,0,94,63,47,157,93,109,141,94,1
125,94,94,94,125,125,78,125,94,141,109,63,157,94,94,109,110,94,109,109,79,1
125,125,94,94,47,109,32,171,94,140,110,140,125,47,78,187,94,94,125,109,94,1
156,31,78,109,125,125,47,141,47,94,125,110,94,94,94,109,110,94,141,109,79,1
109,78,63,78,125,94,219,98,78,109,78,109,109,93,78,94,46,63,78,110,94,1
78,109,47,78,31,94,187,78,78,125,110,15,125,78,47,125,63,63,93,78,63,1
109,110,62,94,125,110,234,78,15,63,93,0,78,93,78,94,46,63,94,110,94,1
110,93,171,94,47,156,32,140,172,94,94,31,93,15,94,125,16,78,16,125,109,1
0,140,63,172,0,110,78,187,94,47,62,109,94,62,93,110,93,62,16,78,125,1
312,63,125,78,47,125,79,140,16,0,141,15,109,15,94,125,16,125,109,125,109,1
78,94,78,78,16,141,62,125,78,78,78,63,47,47,63,109,78,0,15,110,156,1
32,109,16,78,78,0,15,125,63,110,78,78,47,78,63,31,109,94,94,94,78,1
79,93,110,94,16,187,0,94,94,47,140,63,0,47,63,109,78,78,78,110,156,1
94,141,109,297,16,203,15,137,78,172,125,16,109,157,125,141,94,94,125,109,110,1
219,0,125,78,32,156,16,137,125,94,109,0,94,110,79,375,78,15,0,78,78,1
63,219,62,125,16,0,47,140,32,16,47,16,94,157,125,141,94,78,141,109,110,1
125,94,109,110,109,203,78,109,78,500,125,47,93,156,125,109,110,78,78,94,78,1
141,16,93,78,47,0,15,109,125,609,46,109,94,79,94,94,94,79,78,78,94,1
94,109,63,93,109,0,47,125,78,141,141,31,109,156,125,109,110,94,203,94,78,1
78,63,141,109,31,78,32,31,47,78,15,47,78,94,62,62,47,31,0,0,16,1
15,125,47,47,156,531,625,31,62,172,47,79,47,31,62,47,109,32,31,31,0,1
62,47,62,47,31,671,193,31,15,0,78,32,0,94,62,62,47,0,78,0,16,1
109,63,141,110,31,125,31,125,125,47,63,125,32,125,93,31,16,46,16,15,47,1
62,547,125,125,110,0,0,125,93,78,0,16,47,47,79,1000,78,0,15,0,93,1
15,63,47,16,31,657,720,15,63,125,250,78,78,125,93,31,16,93,219,15,47,1
62,125,63,63,172,78,31,78,62,78,78,79,203,40,106,63,94,63,62,78,62,1
47,125,46,62,62,78,250,47,106,91,94,93,125,47,31,101,176,63,62,62,62,1
62,126,46,94,172,62,188,78,27,115,78,140,67,40,106,63,94,62,235,78,62,1
110,78,109,109,79,109,31,78,63,78,47,234,156,141,109,109,203,32,109,63,62,2
94,47,94,63,63,0,31,141,109,203,94,109,187,78,63,125,63,78,110,78,78,2
328,31,125,62,79,0,16,94,93,62,125,109,78,141,109,109,203,78,78,63,62,2
78,94,62,94,156,250,31,141,47,94,109,62,78,156,62,109,47,156,109,93,110,2
219,31,110,47,47,0,32,141,62,16,47,125,125,63,63,94,62,16,31,110,78,2
218,63,31,125,156,62,94,94,32,172,63,15,78,156,62,109,47,78,172,93,110,2
172,31,78,94,141,250,47,47,94,63,62,47,31,63,78,16,78,16,47,63,78,2
110,62,109,94,172,0,47,47,78,47,47,125,31,15,78,968,63,16,16,63,110,2
