@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,17,18,19,20,22,23,24,25,26,27,29,33,37,39,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
62,78,94,79,78,125,207,109,141,47,47,63,78,125,93,110,78,438,94,31,1
62,31,94,93,140,47,687,94,78,78,47,141,78,94,47,78,62,47,93,63,1
78,47,78,40,380,380,47,125,79,62,47,63,125,32,47,15,78,94,62,16,1
62,31,78,78,78,0,47,125,63,32,63,63,312,63,62,94,141,32,78,31,1
63,0,62,40,380,125,140,94,63,32,47,63,125,32,47,15,78,31,62,16,1
78,94,78,78,79,79,250,93,62,62,125,63,63,93,63,125,62,125,62,110,1
63,47,63,63,62,94,125,125,63,63,62,63,78,110,110,62,78,63,63,47,1
63,78,62,78,79,78,172,125,62,83,125,63,63,93,63,125,62,78,62,110,1
126,31,78,109,172,172,31,156,110,93,0,453,140,47,32,46,79,94,78,32,1
125,46,109,125,78,110,125,156,453,31,93,78,829,31,109,78,110,47,157,31,1
141,0,93,109,172,172,93,157,31,94,0,453,140,47,32,46,79,0,78,32,1
62,78,78,63,62,62,94,94,62,94,32,110,78,94,141,0,78,79,78,62,1
94,0,47,78,52,78,94,188,110,31,78,63,62,110,141,94,15,31,78,47,1
94,47,94,63,62,79,78,78,16,78,32,110,78,94,141,0,78,47,78,62,1
125,16,78,93,78,78,31,94,94,78,78,62,78,110,93,125,110,125,78,32,1
156,16,109,78,78,0,31,109,62,125,78,63,62,94,125,94,235,0,62,235,1
109,31,78,93,78,0,0,94,0,94,78,62,78,110,93,125,110,31,78,32,1
125,16,125,47,203,203,47,62,31,31,16,94,157,31,31,31,47,110,78,16,1
47,78,31,344,0,1469,140,31,94,156,78,78,0,47,78,156,16,125,63,31,1
16,79,31,47,203,141,15,125,125,109,16,94,157,31,31,31,47,0,78,16,1
141,62,94,78,78,78,249,88,78,407,234,93,94,140,78,47,109,391,78,109,1
109,63,109,62,78,62,204,78,93,78,281,93,94,172,213,94,110,516,94,125,1
110,0,407,78,78,1109,63,250,32,78,234,93,94,140,78,47,109,235,78,109,1
156,47,140,78,110,110,15,110,31,110,63,79,63,47,63,31,63,5,46,109,1
15,63,93,15,31,141,0,94,79,48,31,63,16,78,31,109,31,94,16,109,1
63,15,110,78,110,438,125,31,93,79,63,79,63,47,63,31,63,110,46,109,1
156,16,109,187,157,157,156,94,109,93,94,63,94,203,47,157,171,93,141,15,1
125,110,94,78,47,172,0,172,63,110,93,62,16,141,47,172,78,140,125,63,1
250,110,93,187,157,94,156,110,94,78,94,63,94,203,47,157,171,110,141,15,1
125,93,94,94,125,125,78,125,94,93,94,94,125,94,109,110,93,47,109,62,1
141,78,94,94,109,109,32,171,94,94,47,78,156,47,187,94,453,31,109,94,1
109,16,93,94,125,125,47,141,47,78,94,94,125,94,109,110,93,78,109,62,1
78,63,63,78,94,94,219,98,78,63,93,78,78,110,94,46,63,94,110,62,1
109,32,62,94,78,94,187,78,78,63,78,47,94,93,125,63,109,16,78,109,1
78,78,63,78,94,110,234,78,15,63,93,78,78,110,94,46,63,31,110,62,1
93,47,171,94,156,156,32,140,172,109,15,94,250,31,125,16,114,109,125,0,1
94,16,110,125,63,110,78,187,94,78,62,93,125,93,110,93,110,140,78,0,1
250,0,109,94,156,125,79,140,16,94,15,94,250,31,125,16,114,0,125,0,1
125,15,78,78,141,141,62,125,78,78,47,63,62,140,109,78,16,110,110,62,1
78,15,125,78,63,0,15,125,63,0,78,63,78,93,31,109,187,15,94,31,1
78,31,78,78,141,187,0,94,94,62,47,63,62,140,109,78,16,141,110,62,1
93,47,109,297,203,203,15,137,78,94,157,125,94,78,141,94,78,109,109,31,1
172,16,94,93,78,156,16,137,125,94,110,79,109,63,375,78,109,78,78,15,1
62,110,94,297,203,0,47,140,32,172,157,125,94,78,141,94,78,15,109,31,1
94,78,109,110,203,203,78,109,78,110,156,125,109,63,109,110,93,94,94,47,1
